report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,1305042000.0,817356000.0,211244000.0,249314000.0,1055728000.0,,438154000.0,,155456000.0,127145000.0,605000.0,28445000.0,0.66,191267000.0,179297000.0,15241000.0,13202000.0,164056000.0,0.0,,0.66,168658000.0,0.12043348286679903,0.09742598322506095,,,0.11911953791525483,0.14725004925511118,,,0.0,3.8692507242809264,,,,,,,,,
2011-12-31,1394751000.0,941270000.0,230225000.0,260259000.0,1134492000.0,,540865000.0,,230826000.0,175315000.0,788000.0,54353000.0,0.91,191806000.0,270084000.0,21982000.0,17616000.0,248102000.0,0.0,4.1272,0.91,248442000.0,0.1545317199239836,0.1256962712340769,,,0.1654962068498248,0.20346199003606902,,,0.0,4.088478662178304,,,,,,,,,
2012-03-31,2017464000.0,811934000.0,353677000.0,804184000.0,1213280000.0,247000000.0,359388000.0,,70038000.0,45413000.0,2287000.0,22396000.0,0.23,194560000.0,62805000.0,3766000.0,5875000.0,59039000.0,247000000.0,4.1272,0.23,75913000.0,0.03742994197547145,0.022509943176185546,,,0.034715861100867225,0.047962034678280877,,,0.20358037715943558,2.2956935282757995,,,,,,,,,
2012-06-30,2457610000.0,1276161000.0,375162000.0,707916000.0,1749694000.0,180000000.0,806210000.0,,153743000.0,81671000.0,4366000.0,67860000.0,0.42,195832000.0,164332000.0,8018000.0,11419000.0,156314000.0,180000000.0,,0.42,165162000.0,0.046677304717281994,0.033231879753093455,,,0.06255793230008017,0.07967221746038491,,,0.10287513130867454,3.4016264973531434,429544000.0,610063000.0,627511000.0,658175000.0,8046000.0,2.22,2.22,0.27348349603069094,75.82189908028835
2012-09-30,2505608000.0,1410391000.0,361942000.0,633173000.0,1872435000.0,113000000.0,905526000.0,,296462000.0,173851000.0,6220000.0,116446000.0,0.88,197635000.0,305656000.0,14257000.0,17613000.0,291399000.0,113000000.0,,0.88,314075000.0,0.09284754878006446,0.06938475611508264,,,0.11831938595342927,0.14931841133051446,,,0.0603492244056536,3.8967320730945842,476250000.0,751069000.0,754854000.0,803592000.0,13661000.0,2.44,2.44,0.14061862238548917,54.97906449015446
2012-12-31,2613560000.0,1495600000.0,360089000.0,642710000.0,1970850000.0,101000000.0,989501000.0,,-115905000.0,-46113000.0,-5471000.0,-63958000.0,-0.25,-389526000.0,-122180000.0,-4195000.0,-11020000.0,-126375000.0,101000000.0,4.1556,-0.25,-126925000.0,-0.023397518837050005,-0.017643750286964906,,,-0.04434755658947948,-0.05594275647368294,,,0.05124692391607682,4.153417627308804,254822000.0,404338000.0,380377000.0,428225000.0,7402000.0,1.28,1.28,0.23585731799871562,54.62550661983248
2013-03-31,2685881000.0,1550041000.0,295747000.0,595828000.0,2090053000.0,101000000.0,1022960000.0,,116972000.0,82217000.0,1171000.0,34524000.0,0.41,199057000.0,46497000.0,5493000.0,6266000.0,41004000.0,101000000.0,4.1556,0.41,123238000.0,0.03933727996371384,0.030610812616046652,,,0.04355070086872799,0.05338620288966082,,,0.04832413340714326,5.241104728027672,291626000.0,451272000.0,362342000.0,475550000.0,6286000.0,1.46,1.46,0.21238565871096626,71.79000954502068
2013-12-31,3317696000.0,2186857000.0,582429000.0,935617000.0,2382079000.0,65000000.0,529857000.0,,528010000.0,252895000.0,4112000.0,273374000.0,1.27,199712000.0,497349000.0,29329000.0,28693000.0,468020000.0,65000000.0,3.7577,1.27,556703000.0,0.1061656645308573,0.07622609184204943,,,0.1591496026157912,0.21577153822986508,,,0.027287088295560306,3.7547186008938427,462850000.0,825539000.0,674048000.0,867091000.0,6032000.0,2.31,2.31,0.07496329681659711,136.85991379310346
2019-03-31,13999600000.0,3650600000.0,943800000.0,4293000000.0,9706600000.0,2470000000.0,1544800000.0,1140400000.0,516800000.0,587900000.0,19900000.0,-46100000.0,2.61,225500000.0,429900000.0,36000000.0,97200000.0,393900000.0,2470000000.0,2.8833,2.61,614000000.0,0.060567036861516904,0.04199405697305637,0.5155208698702209,0.4531743247983164,0.036915340438298236,0.04244206100225022,0.34540512101017184,0.5384075762890214,0.25446603342055923,3.867980504344141,876899000.0,1045877000.0,776549000.0,1167016000.0,19712000.0,4.04,4.04,2.1165091138424836,53.05788352272727
2020-03-31,18148500000.0,4870200000.0,1119900000.0,6400700000.0,11747800000.0,2343300000.0,2315000000.0,1444800000.0,695500000.0,557600000.0,25800000.0,106000000.0,2.5,222600000.0,549600000.0,12200000.0,89300000.0,537400000.0,2343300000.0,4.2513,2.5,784800000.0,0.04746420606411413,0.03072430228393531,0.3859357696566999,0.48138150609080843,0.038322726396120894,0.049357395803024603,0.3719545957918051,0.5431893687707641,0.1994671342719488,4.348781141173319,1480612000.0,1857282000.0,1440324000.0,2078741000.0,50983000.0,6.789999999999999,6.789999999999999,1.1272688612963326,36.429437263401525
2021-03-31,18650200000.0,6452600000.0,1426200000.0,6219200000.0,12416800000.0,2388800000.0,3429600000.0,1636500000.0,636200000.0,636000000.0,27100000.0,113400000.0,2.86,222600000.0,637600000.0,20200000.0,75600000.0,617400000.0,2388800000.0,3.5895,2.86,711800000.0,0.05122092648669545,0.03410151097575361,0.38863428047662696,0.38875649251451266,0.03411223472134347,0.04297022748149349,0.3772685609532539,0.43495264283531926,0.19238451130726114,4.5243303884448185,2034395000.0,2376510000.0,2016720000.0,2667303000.0,76912000.0,9.239999999999998,9.239999999999998,0.8955862907213766,30.89907946744331
