report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,5053416000.0,4831547000.0,137437000.0,,,50836000.0,58737000.0,-1915000.0,0.1,405713000.0,143186000.0,61590000.0,0.0,,767.4994,7.7882,0.1,,0.010521681771904526,,,,,,,0.0,,,,,,,,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2010-06-30,9883007000.0,4746248000.0,4809637000.0,135283000.0,,,75447000.0,116078000.0,-6051000.0,0.13,405871000.0,229734000.0,123171000.0,0.0,,33.4803,6.5704,0.13,,0.015686630820579597,0.007634012603653928,,,,,,0.0,,,,,,,,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2010-09-30,9814508000.0,4553861000.0,4942328000.0,158116000.0,,,30333000.0,57795000.0,-377000.0,0.04,406253000.0,,,0.0,,41.5219,7.5718,0.04,,0.006137391124182774,0.003090628689690813,,,,,,0.0,,,,,,,,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2010-12-31,9833875000.0,,5161286000.0,125154000.0,,,-13748000.0,-6222000.0,11758000.0,-0.05000000000000002,-811636000.0,107015000.0,62876000.0,0.0,1.05,52.4596,9.1151,-0.05000000000000002,,-0.002663677230829681,-0.0013980246850809066,,,,,,0.0,,142868000.0,,,226388000.0,0.22,0.22,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2011-03-31,9895158000.0,4680434000.0,5119650000.0,148038000.0,,,28963000.0,55557000.0,4219000.0,0.03,407361000.0,114842000.0,66332000.0,0.0,,63.2184,9.2589,0.03,,0.00565722266170539,0.0029269871183461647,,,,,,0.0,,120995000.0,,,223208000.0,0.15,0.15,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2011-06-30,9704680000.0,4497976000.0,4893286000.0,144067000.0,,,67671000.0,111361000.0,9782000.0,0.09,407472000.0,215835000.0,128286000.0,0.0,,57.4238,9.4921,0.09,,0.01382935720495389,0.006973027446551561,,,,,,0.0,,113219000.0,,,218491000.0,0.10999999999999999,0.10999999999999999,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2011-09-30,9580551000.0,4538655000.0,4750461000.0,180198000.0,,,122654000.0,167756000.0,14199000.0,0.19,407386000.0,367915000.0,188812000.0,0.0,,39.3923,7.6875,0.19,,0.025819388897203872,0.012802395185830127,,,,,,0.0,,205540000.0,,,328452000.0,0.26,0.26,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2011-12-31,9614516000.0,4639299000.0,4686386000.0,112882000.0,,,-50237000.0,-109639000.0,-8663000.0,-0.03999999999999998,-814550000.0,-249979000.0,-132291000.0,0.0,1.2721,41.0518,8.5206,-0.03999999999999998,,-0.010719774256751365,-0.005225120016441805,,,,,,0.0,,169051000.0,,,225035000.0,0.27,0.27,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2012-03-31,9826565000.0,4447917000.0,5087162000.0,242300000.0,231356000.0,67481000.0,53638000.0,57519000.0,3433000.0,0.09,407279000.0,156874000.0,64885000.0,0.0,,41.2474,9.8457,0.09,132366000.0,0.010543796324945029,0.005458468956344358,0.23184183682290496,0.2916760317432874,0.006867201305847974,0.01326495991281583,0.5721312609139162,0.0,,193726000.0,,,226997000.0,0.33,0.33,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2012-06-30,10030071000.0,4729923000.0,5014608000.0,383729000.0,465189000.0,126606000.0,122750000.0,114881000.0,-616000.0,0.21,406827000.0,275432000.0,131191000.0,0.0,,35.2449,9.6123,0.21,257797000.0,0.024478483662132712,0.012238198513250803,0.26387124373104265,0.2721603477296325,0.012622642451882942,0.025247437087804272,0.5541769044409907,0.0,,248805000.0,,,230517000.0,0.45,0.45,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2012-09-30,10115976000.0,4777738000.0,5072717000.0,429529000.0,687555000.0,202208000.0,177692000.0,171632000.0,4822000.0,0.28,406650000.0,407590000.0,197964000.0,0.0,,35.9939,9.6987,0.28,400172000.0,0.03502895982567133,0.01756548255946831,0.25844041567583687,0.29409719949676755,0.019988975853639828,0.039861872838559693,0.5820218018922123,0.0,,303843000.0,,,234393000.0,0.54,0.54,,,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2012-12-31,9740807000.0,4727251000.0,4765160000.0,141875000.0,-461796000.0,-138785000.0,-88007000.0,-116437000.0,-3700000.0,-0.1600000000000001,-814067000.0,-360842000.0,-131298000.0,0.0,3.2472,29.5982,9.0065,-0.1600000000000001,-270083000.0,-0.018468844697764608,-0.009034877705717812,0.1905754922086809,0.30053313584353264,-0.014247792816344683,-0.02912494019088551,0.5848534850886539,0.0,922304000.0,266073000.0,257510000.0,520252000.0,227595000.0,0.42,0.42,0.0,1.1314396186207958,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2013-03-31,10061835000.0,5019723000.0,4787735000.0,166894000.0,241178000.0,77134000.0,67770000.0,53624000.0,15133000.0,0.13,407666000.0,149885000.0,62773000.0,0.0,,32.6452,10.4314,0.13,139907000.0,0.014154918766389534,0.006735351951209695,0.28099577905115725,0.31982187430030934,0.007665997305660448,0.016110749655108312,0.5800985164484322,0.0,932126000.0,280205000.0,267163000.0,527793000.0,223700000.0,0.45999999999999996,0.45999999999999996,0.0,1.1942914617791685,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
2013-06-30,9988471000.0,5036704000.0,4722273000.0,156450000.0,484813000.0,128601000.0,118909000.0,108970000.0,3937000.0,0.0,408163000.0,265528000.0,127042000.0,0.0,,32.9646,9.9405,0.0,255643000.0,0.02518045864777407,0.01190462484198032,0.2452677630344071,0.2652589761413163,0.01287494352238696,0.027232860107833663,0.5273022794355762,0.0,951750000.0,276364000.0,269158000.0,525639000.0,217789000.0,0.24999999999999994,0.24999999999999994,0.0,1.235865906909899,1.0351335,23.905,17.93,5.32936,15564.199,26.6173,1.3268,7.2726
