report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,,,,,,,0.0,,36.222,10.2791,,,,,,,,,,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2010-09-30,7893067000.0,3672984000.0,4130006000.0,181147000.0,487385000.0,72580000.0,325000.0,0.58,124660000.0,291004000.0,140137000.0,0.0,,52.0738,11.5816,0.58,0.01757382434795494,0.009195411618829537,0.1489171804630836,0.0,,,,,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2011-03-31,13258044000.0,6482895000.0,6620141000.0,2667995000.0,255477000.0,23372000.0,129000.0,0.15,155485000.0,115112000.0,74768000.0,0.0,,71.6058,13.768,0.15,0.0035304384000280358,0.001762854309429053,0.09148377349037291,0.0,,,,,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2011-06-30,13480661000.0,6729209000.0,6598190000.0,328758000.0,634023000.0,93219000.0,340000.0,0.56,166458000.0,241598000.0,185821000.0,0.0,,56.0546,10.4909,0.56,0.014127965396570878,0.006915017001020944,0.1470277892126942,0.0,,,,,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2011-09-30,13861089000.0,7135060000.0,6578793000.0,136676000.0,1018809000.0,129826000.0,563000.0,0.76,170301000.0,417633000.0,301461000.0,0.0,,38.0268,7.8468,0.76,0.019734015038928875,0.009366219349720647,0.12742918446931661,0.0,2395694000.0,318997000.0,2.05,2.05,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2011-12-31,14924606000.0,7612309000.0,7124764000.0,163482000.0,-487147000.0,-89309000.0,356000.0,-0.5700000000000002,-317843000.0,-186119000.0,-138445000.0,0.0,1.4641,48.6853,7.9654,-0.5700000000000002,-0.012535011686001109,-0.0059840105661750805,0.18333069894713505,0.0,1421162000.0,157108000.0,0.8999999999999998,0.8999999999999998,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2012-03-31,15859734000.0,7271181000.0,8396385000.0,469217000.0,435359000.0,39307000.0,1470000.0,0.19,201658000.0,174044000.0,127422000.0,0.0,,48.043,7.7889,0.19,0.004681419444201284,0.002478414833439199,0.09028640730982936,0.0,1601044000.0,173043000.0,0.94,0.94,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2012-06-30,16347426000.0,8085565000.0,8058073000.0,204895000.0,884222000.0,94037000.0,2918000.0,0.45,208237000.0,351038000.0,260385000.0,0.0,,53.8461,8.0017,0.45,0.011669911652575,0.005752404078782801,0.10634998902990425,0.0,1851243000.0,173861000.0,0.8299999999999998,0.8299999999999998,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2012-12-31,19549109000.0,8993998000.0,10294801000.0,1033764000.0,1822099000.0,221884000.0,7612000.0,0.98,225953000.0,818133000.0,533585000.0,0.0,2.6577,53.5429,8.8175,0.98,0.02155301496357239,0.011350082502481314,0.12177384434105941,0.0,2654533000.0,265919000.0,1.0499999999999998,1.0499999999999998,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2013-03-31,20788972000.0,10372098000.0,10180772000.0,269842000.0,633915000.0,55058000.0,2763000.0,0.21,260036000.0,199808000.0,187122000.0,0.0,,57.6039,8.8614,0.21,0.005408037818743019,0.002648423404485801,0.08685391574580188,0.0,3775595000.0,410286000.0,1.83,1.83,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2013-06-30,22196393000.0,10099427000.0,11644161000.0,512472000.0,682125000.0,-8508000.0,1215000.0,0.0,276481000.0,,,0.0,,77.5907,8.273,0.0,-0.000730666640559161,-0.0003833055217575216,-0.012472787245739417,0.0,4022361000.0,362471000.0,1.64,1.64,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2013-09-30,23049805000.0,11103680000.0,11560463000.0,164838000.0,786930000.0,20691000.0,3077000.0,0.0,288029000.0,,,0.0,,79.6582,6.9222,0.0,0.0017898072075486942,0.0008976648609391706,0.02629331706759178,0.0,3925069000.0,289125000.0,1.19,1.19,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2013-12-31,23083957000.0,11292587000.0,11414583000.0,158780000.0,777638000.0,11473000.0,-14546000.0,0.07000000000000003,-545785000.0,788689000.0,686838000.0,0.0,0.9822,106.6122,5.3683,0.07000000000000003,0.0010051177515639424,0.0004970118424670433,0.014753651441930565,0.0,2880608000.0,78714000.0,0.28,0.28,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2014-03-31,23211042000.0,11554145000.0,11294355000.0,185928000.0,801807000.0,50022000.0,-2260000.0,0.0,290917000.0,258661000.0,233318000.0,0.0,,124.0375,5.679,0.0,0.004428938173096206,0.0021550949759170657,0.062386584302706265,0.0,3048500000.0,73678000.0,0.07000000000000003,0.07000000000000003,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2014-06-30,23573890000.0,11023596000.0,12182769000.0,207354000.0,1628254000.0,121851000.0,-3830000.0,0.0,294590000.0,595534000.0,447766000.0,0.0,,87.5652,6.0149,0.0,0.010001913358120802,0.005168896605524162,0.07483537580746001,0.0,3994629000.0,204037000.0,0.07000000000000003,0.07000000000000003,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
2014-09-30,24541722000.0,10959884000.0,13195609000.0,998678000.0,2475777000.0,258107000.0,6369000.0,0.0,300645000.0,854169000.0,648737000.0,0.0,,60.6936,6.2315,0.0,0.019560067292081783,0.010517069666097594,0.10425292746479187,0.0,5683476000.0,441453000.0,0.07000000000000003,0.07000000000000003,0.83485603,216.43,130.29,3.38939,141176.27,150.6933,3.0627,13.026
