report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-31,61578000000.0,27004000000.0,14691000000.0,,30798000000.0,,9914000000.0,26820000000.0,9062000000.0,6135000000.0,-754000000.0,2108000000.0,1.21,5073000000.0,,,,0.0,1.8381,18.162,4.1544,1.21,9062000000.0,0.19920124683421,0.09962973789340349,0.22874720357941836,0.3378821774794929,0.14716294780603462,0.2942398857068641,,0.3378821774794929,0.0,1.8381321897760534,,,,,,,,,,,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2011-05-31,73535000000.0,39174000000.0,14192000000.0,,39776000000.0,,16163000000.0,35622000000.0,12033000000.0,8547000000.0,808000000.0,2864000000.0,1.67,5128000000.0,,,,0.0,2.7603,20.261,4.8612,1.67,12033000000.0,0.2148783185840708,0.1162303664921466,0.23993599461007242,0.3377968671045983,0.16363636363636364,0.3025191069991955,,0.3377968671045983,0.0,2.7602874859075537,,,,,,,,,,,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2011-08-31,73859000000.0,39206000000.0,13056000000.0,,40892000000.0,,13162000000.0,8374000000.0,2683000000.0,1840000000.0,192000000.0,631000000.0,0.36,5150000000.0,,,,0.0,,15.7164,3.8909,0.36,2683000000.0,0.04499657634745183,0.024912332958745717,0.21972772868402196,0.32039646524958204,0.036325972461040634,0.06561185561968111,,0.32039646524958204,0.0,3.0029105392156863,,,,,,,,,,,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2011-11-30,72910000000.0,38482000000.0,11072000000.0,72910000000.0,41920000000.0,,13286000000.0,17166000000.0,5794000000.0,4032000000.0,384000000.0,1399000000.0,0.78,5137000000.0,6676000000.0,289000000.0,6387000000.0,0.0,,16.9016,4.3086,0.78,5794000000.0,0.09618320610687023,0.0553010560965574,0.23488290807409998,0.3375276709775137,0.07946783705938829,0.13821564885496182,0.37207270185249913,0.3375276709775137,0.0,3.475614161849711,87982000000.0,20554000000.0,29572000000.0,,29572000000.0,630000000.0,4.02,4.02,0.0,46.939682539682536,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2012-02-29,74361000000.0,37538000000.0,11632000000.0,74361000000.0,42873000000.0,0.0,13781000000.0,26205000000.0,9111000000.0,6529000000.0,574000000.0,2050000000.0,1.28,5118000000.0,9686000000.0,431000000.0,9255000000.0,0.0,,15.0987,3.976,1.28,9111000000.0,0.15228698714808855,0.08780140127217224,0.24915092539591682,0.34768174012593017,0.12252390365917618,0.21251137079280666,0.35317687464224384,0.34768174012593017,0.0,3.2271320495185694,87367000000.0,20948000000.0,29621000000.0,,29621000000.0,1958000000.0,4.09,4.09,0.0,15.128192032686414,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2012-05-31,78327000000.0,40023000000.0,15388000000.0,78327000000.0,43688000000.0,2950000000.0,14955000000.0,-14624000000.0,-3882000000.0,-2420000000.0,-384000000.0,,-0.45999999999999996,-10310000000.0,-2619000000.0,-72000000.0,-2691000000.0,2950000000.0,2.6009,13.1955,3.5476,-0.45999999999999996,-3882000000.0,-0.05539278520417506,-0.03089611500504296,0.16548140043763676,0.26545404814004375,-0.04956145390478379,-0.08323684549080149,0.18401258205689278,0.26545404814004375,0.06752426295550265,2.6009227969846633,37121000000.0,9981000000.0,13706000000.0,,13706000000.0,766000000.0,1.96,1.96,0.21523420399824894,17.89295039164491,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2012-08-31,76558000000.0,38172000000.0,13955000000.0,76558000000.0,43329000000.0,1250000000.0,15667000000.0,8181000000.0,2879000000.0,2034000000.0,188000000.0,,0.41,4939000000.0,5671000000.0,139000000.0,5532000000.0,1250000000.0,,15.1888,4.1847,0.41,2879000000.0,0.046943155854046945,0.02656809216541707,0.24862486248624863,0.3519129690746852,0.03760547558713655,0.06458197806141905,0.6762009534286763,0.3519129690746852,0.02884903875002885,2.7353636689358654,36928000000.0,10175000000.0,13902000000.0,18483000000.0,13902000000.0,762000000.0,2.0100000000000002,2.0100000000000002,0.0899151201266005,18.244094488188978,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2012-11-30,79657000000.0,41129000000.0,12347000000.0,79657000000.0,42983000000.0,1250000000.0,15912000000.0,17275000000.0,6350000000.0,4615000000.0,382000000.0,,0.94,4904000000.0,6466000000.0,351000000.0,6115000000.0,1250000000.0,,14.6789,4.1647,0.94,6350000000.0,0.10736802922085475,0.057935900171987395,0.2671490593342981,0.3675832127351664,0.07971678571876922,0.1435579770759388,0.35397973950795947,0.3675832127351664,0.029081264686038666,3.3310925730946788,37037000000.0,10758000000.0,14458000000.0,18211000000.0,14458000000.0,760000000.0,2.17,2.17,0.08645732466454557,19.023684210526316,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2013-02-28,79450000000.0,40686000000.0,11916000000.0,79450000000.0,43348000000.0,1250000000.0,16101000000.0,26233000000.0,9684000000.0,7119000000.0,588000000.0,,1.46,4873000000.0,9660000000.0,467000000.0,9193000000.0,1250000000.0,,15.336,4.3636,1.46,9684000000.0,0.16422903017440252,0.08960352422907489,0.2713757481035337,0.3691533564594213,0.12188797986154815,0.21713978205300685,0.35043647314451265,0.3691533564594213,0.028836393835932454,3.414400805639476,37065000000.0,11348000000.0,15031000000.0,18149000000.0,15031000000.0,774000000.0,2.3499999999999996,2.3499999999999996,0.08316146630297386,19.419896640826874,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2013-05-31,81812000000.0,41692000000.0,12872000000.0,,44648000000.0,,14613000000.0,-14509000000.0,-4229000000.0,-2843000000.0,-361000000.0,,-0.8099999999999996,-9872000000.0,,,,0.0,3.239,14.5653,4.2799,-0.8099999999999996,-4229000000.0,-0.06367586454040494,-0.03475040336380971,0.1959473430284651,0.29147425735750226,-0.051691683371632526,-0.0947186884070955,,0.29147425735750226,0.0,3.2389683032939716,37180000000.0,10925000000.0,14684000000.0,,14684000000.0,797000000.0,2.0,2.0,0.0,18.424090338770387,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2013-08-31,86406000000.0,45457000000.0,14526000000.0,,43541000000.0,1533000000.0,19664000000.0,8372000000.0,2873000000.0,2191000000.0,217000000.0,472000000.0,0.0,4674000000.0,,,,1533000000.0,,13.1979,3.9137,0.0,2873000000.0,0.05032038768057693,0.025357035391060805,0.2617056856187291,0.34316770186335405,0.03325000578663519,0.06373962816701424,,0.34316770186335405,0.03520819457522795,3.1293542613245218,37371000000.0,11082000000.0,14678000000.0,,14678000000.0,826000000.0,1.5900000000000003,1.5900000000000003,0.10444202207385202,17.769975786924938,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2013-11-30,85238000000.0,44252000000.0,13110000000.0,,43563000000.0,1525000000.0,14894000000.0,17647000000.0,6283000000.0,4744000000.0,446000000.0,1122000000.0,1.0,4637000000.0,,,,1525000000.0,,14.4957,4.2669,1.0,6283000000.0,0.10889975437871588,0.05565592810718224,0.2688275627585425,0.35603785345951156,0.07371125554330228,0.1393497161107168,,0.35603785345951156,0.035006771801758374,3.375438596491228,37743000000.0,11211000000.0,14611000000.0,,14611000000.0,890000000.0,1.6500000000000004,1.6500000000000004,0.1043734172883444,16.41685393258427,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2014-02-28,86562000000.0,44404000000.0,13092000000.0,86562000000.0,44707000000.0,1516000000.0,16832000000.0,26955000000.0,9850000000.0,7309000000.0,674000000.0,1807000000.0,1.58,4616000000.0,10465000000.0,426000000.0,10039000000.0,1516000000.0,,15.8249,4.6408,1.58,9850000000.0,0.16348670230612655,0.08443658880340103,0.27115562975329255,0.36542385457243554,0.11379127099651117,0.21309737576531165,0.37243554071600815,0.36542385457243554,0.033909678573825125,3.3916895814237704,38465000000.0,11401000000.0,14777000000.0,,14777000000.0,976000000.0,1.7700000000000005,1.7700000000000005,0.10259186573729444,15.140368852459016,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2014-05-31,90344000000.0,48138000000.0,14389000000.0,,46878000000.0,1508000000.0,17769000000.0,-14699000000.0,-4247000000.0,-3289000000.0,-423000000.0,-652000000.0,-0.5800000000000001,-9323000000.0,,,,1508000000.0,3.3448,17.0825,4.8893,-0.5800000000000001,-4247000000.0,-0.0701608430393788,-0.03640529531568228,0.22375671814409143,0.2889312198108715,-0.04700920924466483,-0.08777332286198487,,0.2889312198108715,0.03216860787576262,3.3454722357356315,38275000000.0,10955000000.0,14759000000.0,,14759000000.0,914000000.0,2.0,2.0,0.10217494410190392,16.14770240700219,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2014-08-31,99726000000.0,58194000000.0,13377000000.0,,47354000000.0,,24179000000.0,8596000000.0,2963000000.0,2184000000.0,261000000.0,534000000.0,0.0,4548000000.0,,,,0.0,,16.952,4.8207,0.0,2963000000.0,0.04612070785994847,0.02190000601648517,0.254071661237785,0.34469520707305723,0.029711409261376172,0.06257127169827259,,0.34469520707305723,0.0,4.350302758466023,38499000000.0,10948000000.0,14849000000.0,,14849000000.0,958000000.0,2.0,2.0,0.0,15.5,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
2014-11-30,98305000000.0,52040000000.0,11985000000.0,,47543000000.0,,16153000000.0,18194000000.0,6506000000.0,4685000000.0,544000000.0,1302000000.0,1.0,4527000000.0,,,,0.0,,17.112,4.8034,1.0,6506000000.0,0.09854237216835286,0.04765779970499975,0.2575024733428603,0.357590414422337,0.06618178119119068,0.13684454073154828,,0.357590414422337,0.0,4.34209428452232,39046000000.0,10889000000.0,15072000000.0,,15072000000.0,1056000000.0,2.0,2.0,0.0,14.272727272727273,1.596762,345.72,118.86,21.86721,420996.2,25.9714,22.84,6.5702
