report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,12139570000.0,6231399000.0,5724554000.0,44604000.0,295914000.0,,81036000.0,75956000.0,387000.0,0.25,294087000.0,109459000.0,78147000.0,0.0,,,,0.25,,0.014155862622660212,0.006675360000395402,0.27384983474928526,,,,,0.0,,,,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2010-06-30,12244643000.0,5951323000.0,6112203000.0,96260000.0,598933000.0,,166137000.0,148703000.0,964000.0,0.52,295067000.0,276097000.0,156059000.0,0.0,,,,0.52,,0.027181198006676153,0.013568137511236547,0.277388288840321,,,,,0.0,,,,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2010-09-30,12245299000.0,5991515000.0,6064881000.0,52635000.0,914061000.0,,188792000.0,220303000.0,1809000.0,0.57,300468.0,430728000.0,234008000.0,0.0,,,,0.57,,0.03112872288837984,0.015417508384237902,0.2065420141544164,,,,,0.0,,,,,,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2010-12-31,13331923000.0,5185876000.0,7957367000.0,1036701000.0,-553774000.0,,-105256000.0,-156312000.0,,-0.33999999999999986,-282554468.0,-235786000.0,-156262000.0,0.0,,,,-0.33999999999999986,,-0.013227490952723433,-0.007895035097337421,0.19007031749414022,,,,,0.0,1255134000.0,330709000.0,288650000.0,1.0,1.0,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2011-03-31,17499652000.0,8232204000.0,9077533000.0,3988622000.0,331705000.0,,70093000.0,108576000.0,,0.17,373960000.0,149827000.0,91420000.0,0.0,,,,0.17,,0.007721591317817297,0.004005393935833696,0.21131125548303462,,,,,0.0,1290925000.0,319766000.0,321270000.0,0.9200000000000002,0.9200000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2011-06-30,17693058000.0,8371790000.0,9145528000.0,276205000.0,820411000.0,,298852000.0,213705000.0,,0.73,391100000.0,432815000.0,181472000.0,0.0,,,,0.73,,0.03267739161697389,0.016890918460788405,0.3642710787641804,,,,,0.0,1512403000.0,452481000.0,386272000.0,1.1300000000000001,1.1300000000000001,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2011-09-30,17439377000.0,8122325000.0,9127777000.0,44860000.0,1265083000.0,,471047000.0,317903000.0,,1.14,397013000.0,586921000.0,270028000.0,0.0,,,,1.14,,0.05160588388607653,0.027010540571489453,0.3723447394360686,,,,,0.0,1863425000.0,734736000.0,483872000.0,1.7000000000000002,1.7000000000000002,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2011-12-31,17408475000.0,8187853000.0,9033482000.0,33506000.0,-691813000.0,,-301101000.0,-220847000.0,,-0.75,-761855000.0,-445402000.0,-186086000.0,0.0,,,,-0.75,,-0.03333166546410343,-0.017296230715211986,0.43523466601523825,,,,,0.0,1725386000.0,538891000.0,419337000.0,1.2899999999999998,1.2899999999999998,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2012-03-31,17725319000.0,8415357000.0,9124791000.0,347425000.0,459011000.0,,193380000.0,104568000.0,-709000.0,0.43,411661000.0,186468000.0,88241000.0,0.0,,,,0.43,,0.02119281416966153,0.01090981775842793,0.42129709309798674,,,,,0.0,1852692000.0,662178000.0,415329000.0,1.5499999999999998,1.5499999999999998,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
2012-06-30,17789768000.0,8098829000.0,9507230000.0,169636000.0,923450000.0,,395404000.0,207793000.0,-533000.0,0.9,416666000.0,483551000.0,176165000.0,0.0,,,,0.9,,0.04158982164100374,0.02222648434763174,0.4281812767339867,,,,,0.0,1955731000.0,758730000.0,409417000.0,1.7199999999999998,1.7199999999999998,1.2782896,28.42,15.25,5.59082,12195.706,39.8541,1.7213,5.5918
