report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-10-01,2843568000.0,1423132000.0,377502000.0,636214000.0,2207234000.0,99281000.0,231194000.0,1587527000.0,322064000.0,215435000.0,114295000.0,1.24,173656000.0,377805000.0,75602000.0,156841000.0,302203000.0,99281000.0,,38.7521,5.3088,1.24,478905000.0,0.0976040601041847,0.07576221141889344,0.13570477856439608,0.2028715102168341,0.11326052339877225,0.13963230241294766,0.19036085685471807,0.30166731022527493,0.044979825428568064,3.7698661199145964,,,,,,,,,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2011-12-31,3000358000.0,1502313000.0,438720000.0,689557000.0,2310681000.0,86821000.0,243146000.0,2203153000.0,459798000.0,306627000.0,163067000.0,1.76,173867000.0,546294000.0,104795000.0,212556000.0,441499000.0,86821000.0,3.4244,34.5608,4.8097,1.76,672354000.0,0.1326998404366505,0.10219680451466125,0.13917644394193232,0.20869998588386734,0.15324771243964888,0.1917821132161725,0.20039416236639035,0.3051780788715082,0.037573771541809534,3.424309354485777,,,,,,,,,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2012-03-31,3139559000.0,1591471000.0,443520000.0,695707000.0,2443732000.0,107856000.0,281198000.0,641212000.0,127439000.0,88708000.0,41355000.0,0.51,175027000.0,162708000.0,26363000.0,52789000.0,136345000.0,107856000.0,,39.5492,5.5594,0.51,180228000.0,0.036300216226656606,0.02825492370106757,0.13834426055657098,0.19874706025464278,0.04059136967962698,0.04994497544274389,0.21263638235092294,0.28107396617655317,0.044135772662468715,3.5882733585858584,,,,,,,,,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2012-06-30,3299044000.0,1660781000.0,465126000.0,730524000.0,2568400000.0,125951000.0,302788000.0,1278570000.0,263522000.0,186537000.0,82423000.0,1.06,175333000.0,345547000.0,78164000.0,106215000.0,267383000.0,125951000.0,,39.5517,5.7183,1.06,369737000.0,0.07262770596480299,0.05654274389792922,0.14589502334639481,0.20610682246572343,0.07987829201429263,0.09780537131205251,0.20912660237609204,0.2891800996425694,0.04903870113689456,3.5706045243654407,5710462000.0,797307000.0,1172823000.0,1147430000.0,1701224000.0,4.57,4.57,0.0740355179564831,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2012-09-29,3470456000.0,1745780000.0,496007000.0,773779000.0,2696557000.0,141678000.0,288101000.0,1955052000.0,411218000.0,285424000.0,134583000.0,1.63,175517000.0,527760000.0,129966000.0,162336000.0,397794000.0,141678000.0,,35.1856,5.1546,1.63,573554000.0,0.10584756784299386,0.08224394719310661,0.14599304775525151,0.2103360933622226,0.11849105708298852,0.14488511345959726,0.2034697798319431,0.293370201917903,0.05254033198630698,3.519668069200636,6077987000.0,867296000.0,1261977000.0,1243021000.0,1795873000.0,4.96,4.96,0.07889087925482481,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2012-12-29,3704468000.0,1790506000.0,580112000.0,870818000.0,2833650000.0,136557000.0,317120000.0,-1209398000.0,-230517000.0,-163437000.0,-67885000.0,-0.9400000000000004,-350180000.0,-327701000.0,-51064000.0,-98760000.0,-378765000.0,136557000.0,3.0865,33.4792,4.9889,-0.9400000000000004,-329277000.0,-0.05767720078344185,-0.04411888562676206,0.13513913533840805,0.1906047471551962,-0.062226748888099453,-0.07760974235129067,0.3131847414994898,0.2722652096332225,0.04819120215975862,3.086483299776595,2665436000.0,397232000.0,571662000.0,422757000.0,794242000.0,2.26,2.26,0.17193374311607798,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2013-03-30,3765149000.0,1727560000.0,572423000.0,865909000.0,2899240000.0,135470000.0,281458000.0,680029000.0,156569000.0,110040000.0,49573000.0,0.62,176413000.0,213648000.0,49451000.0,59341000.0,164197000.0,135470000.0,,38.7745,6.0005,0.62,215910000.0,0.03795477435465846,0.029225935016117557,0.16181662840849434,0.23023871040793847,0.04158374608813622,0.05159273868013747,0.2414558790875095,0.31750116539147594,0.046726038548033276,3.0179779638484128,2704253000.0,418564000.0,600792000.0,450609000.0,829924000.0,2.3699999999999997,2.3699999999999997,0.16323181399742628,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2013-12-28,4098364000.0,1761708000.0,640432000.0,930700000.0,3167664000.0,111717000.0,202377000.0,2910748000.0,576012000.0,398354000.0,189700000.0,1.13,352281000.0,695865000.0,352877000.0,263538000.0,342988000.0,111717000.0,2.7509,48.0551,6.5759,1.13,839550000.0,0.12575639335485075,0.0971982966861899,0.1368562307695479,0.19789140111064235,0.14054681331380034,0.17564656256775288,0.11783500323628153,0.28843101498309026,0.03526794508508478,2.7508119519324454,4336431000.0,630381000.0,913282000.0,526214000.0,1299737000.0,2.4399999999999995,2.4399999999999995,0.08595354290906546,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2019-03-30,6998512000.0,2423806000.0,940624000.0,1869363000.0,5129149000.0,438823000.0,503161000.0,1389877000.0,197944000.0,166219000.0,40157000.0,0.51,327003000.0,317266000.0,119261000.0,166671000.0,198005000.0,438823000.0,,29.3215,3.415,0.51,364615000.0,0.03240674037739984,0.023750620131822307,0.1195925970427599,0.14241835788346738,0.02828372659788252,0.03555046613021761,0.14246224665923676,0.262336163559797,0.08555473822265643,2.57680646039225,3771256000.0,511176000.0,700008000.0,326425000.0,1090798000.0,1.3199999999999996,1.3199999999999996,0.4022953837465782,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
2020-03-31,6736430000.0,1963606000.0,1018486000.0,2873351000.0,3863079000.0,1338417000.0,285412000.0,1411741000.0,178376000.0,147159000.0,36812000.0,0.47,312240000.0,283506000.0,49248000.0,172646000.0,234258000.0,1338417000.0,,37.5479,3.3537,0.47,351022000.0,0.038093707118078614,0.02184525037742543,0.10423937535284447,0.12635178832377894,0.026479307288875563,0.03429321103005751,0.1659355363342143,0.24864475849323636,0.3464637922237676,1.9279656274116679,6392395000.0,821772000.0,1108901000.0,939448000.0,1771097000.0,2.7299999999999995,2.7299999999999995,0.7556994337407833,0.76139,95.0,69.09,4.04995,27930.5,7.55665,4.80992
