report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-01,6592000000.0,2687000000.0,1135000000.0,1977000000.0,2523000000.0,,1188000000.0,1932000000.0,694000000.0,185000000.0,,61000000.0,74000000.0,0.34,-60000000.0,44000000.0,97000000.0,-104000000.0,2523000000.0,,16.0842,1.0172,0.34,282000000.0,,,,0.35921325051759834,0.09575569358178054,0.028064320388349516,0.04111111111111111,-0.053830227743271224,0.14596273291925466,1.2761760242792108,2.367400881057269,,,,,,,,,,,,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2010-07-31,6722000000.0,2805000000.0,1180000000.0,2073000000.0,2532000000.0,,1300000000.0,4174000000.0,1472000000.0,421000000.0,,112000000.0,140000000.0,0.87,184000000.0,110000000.0,194000000.0,74000000.0,2532000000.0,,12.8654,0.9463,0.87,615000000.0,,,,0.3526593195975084,0.10086248203162435,0.06263016959238323,0.09142236699239957,0.01772879731672257,0.14734068040249163,1.2214182344428364,2.3771186440677967,,,,,,,,,,,,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2010-10-30,6891000000.0,2981000000.0,1372000000.0,2043000000.0,2519000000.0,,988000000.0,6157000000.0,2186000000.0,570000000.0,,160000000.0,180000000.0,1.06,81000000.0,197000000.0,291000000.0,-116000000.0,2519000000.0,,13.2298,1.0173,1.06,861000000.0,,,,0.3550430404417736,0.09257755400357316,0.0827165868524162,0.12494519947391496,-0.018840344323534187,0.1398408315738184,1.2329906999510525,2.172740524781341,,,,,,,,,,,,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2011-01-29,6451000000.0,2592000000.0,1504000000.0,1476000000.0,2507000000.0,,1130000000.0,-2650000000.0,-721000000.0,108000000.0,805000000.0,-125000000.0,52000000.0,0.1499999999999999,1079000000.0,-77000000.0,-188000000.0,1002000000.0,2507000000.0,1.7234,11.716,0.9811,0.1499999999999999,-80000000.0,0.5453929539295393,0.12478685475120137,-0.30377358490566037,0.2720754716981132,-0.040754716981132075,0.016741590451092855,0.027115239769018327,-0.3781132075471698,0.03018867924528302,1.698509485094851,1.7234042553191489,9613000000.0,,1284000000.0,3631000000.0,856000000.0,1678000000.0,208000000.0,2.42,2.42,1.4940405244338497,6.173076923076923,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2011-04-30,7015000000.0,3164000000.0,1389000000.0,1127000000.0,3510000000.0,,1557000000.0,2217000000.0,842000000.0,217000000.0,165000000.0,55000000.0,84000000.0,0.5,-18000000.0,77000000.0,98000000.0,-95000000.0,3510000000.0,,15.2148,1.3173,0.5,315000000.0,0.14640638864241348,0.023521026372059873,0.07442489851150202,0.37979251240414974,0.09788001804239964,0.030933713471133287,0.046797498382574944,-0.04285069914298602,0.14208389715832206,3.114463176574978,2.2778977681785455,9898000000.0,,1316000000.0,3779000000.0,865000000.0,1711000000.0,202000000.0,2.58,2.58,2.0514319111630623,6.514851485148514,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2011-07-30,6500000000.0,2652000000.0,1347000000.0,625000000.0,3524000000.0,,1035000000.0,4675000000.0,1744000000.0,410000000.0,396000000.0,119000000.0,129000000.0,1.23,223000000.0,162000000.0,196000000.0,61000000.0,3524000000.0,,12.5904,1.1328,1.23,606000000.0,0.6336,0.06092307692307692,0.08470588235294117,0.373048128342246,0.0877005347593583,0.06307692307692307,0.09881899252832008,0.01304812834224599,0.12962566844919787,5.6384,1.9688195991091315,10399000000.0,,1305000000.0,4051000000.0,852000000.0,1702000000.0,209000000.0,2.94,2.94,2.070505287896592,6.244019138755981,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2013-08-03,6072000000.0,2098000000.0,1485000000.0,-861000000.0,4475000000.0,,551000000.0,4784000000.0,1930000000.0,669000000.0,321000000.0,156000000.0,196000000.0,1090000.0,354000000.0,383000000.0,202000000.0,-29000000.0,4475000000.0,,20.6339,1.5557,1090000.0,871000000.0,-0.37282229965156793,0.052865612648221344,0.06709866220735786,0.40342809364548493,0.13984113712374582,0.11017786561264822,0.18511344770337576,-0.006061872909698997,0.18206521739130435,-5.197444831591173,1.4127946127946127,9026000000.0,1687000000.0,1404000000.0,3795000000.0,939000000.0,1712000000.0,205000000.0,1090001.88,1090001.88,2.6139018691588785,6.848780487804878,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2013-11-02,6636000000.0,2580000000.0,1734000000.0,-820000000.0,4762000000.0,,425000000.0,6955000000.0,2787000000.0,880000000.0,413000000.0,232000000.0,246000000.0,1400000.0,-31000000.0,598000000.0,299000000.0,-629000000.0,4762000000.0,,22.1765,1.6903,1400000.0,1179000000.0,-0.5036585365853659,0.06223628691983123,0.05938173975557153,0.4007189072609633,0.12652767792954708,0.13261000602772754,0.22323693556570268,-0.09043853342918763,0.16951833213515458,-5.807317073170732,1.4878892733564013,18631000000.0,1295000000.0,2176000000.0,7303000000.0,-692000000.0,2971000000.0,562000000.0,2490001.73,2490001.73,1.6028273308650287,3.8718861209964412,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2014-05-03,6663000000.0,2585000000.0,1515000000.0,-609000000.0,4758000000.0,,912000000.0,2391000000.0,982000000.0,336000000.0,157000000.0,84000000.0,98000000.0,530000.0,-89000000.0,150000000.0,110000000.0,-239000000.0,4758000000.0,,17.3308,1.4585,530000.0,446000000.0,-0.25779967159277506,0.023562959627795286,0.06566290255123379,0.410706817231284,0.14052697616060225,0.05042773525438991,0.08098336948662328,-0.0999581764951903,0.1865328314512756,-7.812807881773399,1.7062706270627064,18805000000.0,1287000000.0,2295000000.0,7443000000.0,-836000000.0,3102000000.0,591000000.0,3020001.23,3020001.23,1.5338491295938104,3.883248730964467,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
2014-08-02,6870000000.0,2699000000.0,1580000000.0,-504000000.0,4758000000.0,,1147000000.0,5066000000.0,2026000000.0,712000000.0,345000000.0,166000000.0,206000000.0,1160000.0,446000000.0,349000000.0,219000000.0,97000000.0,4758000000.0,,18.5654,1.5568,1160000.0,931000000.0,-0.6845238095238095,0.05021834061135371,0.06810106592972759,0.3999210422424003,0.1405448085274378,0.10363901018922853,0.16737188528443817,0.01914725621792341,0.1837741808132649,-9.44047619047619,1.7082278481012658,19196000000.0,1236000000.0,2597000000.0,7725000000.0,-800000000.0,3427000000.0,638000000.0,4180000.0,4180000.0,1.3883863437408812,4.070532915360501,1.5140587,34.66,14.275,6.50711,3735.0583,5.7551,1379.6722,0.5123
