report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2010-07-04,3146039000.0,923868000.0,513913000.0,1502347000.0,1643692000.0,620138000.0,215664000.0,962931000.0,82070000.0,82034000.0,20090000.0,0.69,118118000.0,120059000.0,18547000.0,48518000.0,101512000.0,620138000.0,0.69,130588000.0,0.04990837699520348,0.026075328373233772,0.08519198156461885,0.08522936742092632,0.026086771333731083,0.036252722156699044,0.10541980681897249,0.1356151167632987,0.3772835786753236,1.7977128424460949,,,,,,,,
2010-10-03,3248011000.0,977585000.0,513845000.0,1540976000.0,1707035000.0,670131000.0,250988000.0,1234376000.0,105280000.0,95425000.0,23771000.0,0.81,118147000.0,135331000.0,22882000.0,65870000.0,112449000.0,670131000.0,0.81,171150000.0,0.05590102136160067,0.029379518726999385,0.07730626648606259,0.0852900574865357,0.03241368332804292,0.04428803036893511,0.09109785024984283,0.1386530522304387,0.39257015819827945,1.9024900505016105,,,,,,,,
2011-01-02,3209373000.0,1085039000.0,515202000.0,1283555000.0,1925818000.0,424000000.0,420086000.0,1704346000.0,153601000.0,383919000.0,26062000.0,3.25,,164253000.0,33646000.0,89163000.0,130607000.0,424000000.0,3.25,242764000.0,0.19935372916859226,0.11962430044747058,0.22525883828753082,0.09012313227478458,0.047860127196184425,0.06536719013983211,0.07663174026870131,0.14243821383686175,0.22016618392807627,2.106045783983758,,,,,,,,
2011-04-03,3306100000.0,1087700000.0,511214000.0,1398168000.0,1907932000.0,514000000.0,415848000.0,447864000.0,39342000.0,23522000.0,7686000.0,0.2,115140000.0,42651000.0,7681000.0,23953000.0,34970000.0,514000000.0,0.2,63295000.0,0.012328531624816817,0.007114727322222558,0.05252040798099423,0.08784363110229891,0.011899821541998125,0.016244056397950065,0.07808173909936945,0.1413263847953843,0.269401634859104,2.127680384340022,4349517000.0,584900000.0,380293000.0,379538000.0,607797000.0,4.95,4.95,0.845677092845144
2011-07-03,3595859000.0,1076171000.0,559352000.0,1639398000.0,1956461000.0,671000000.0,395208000.0,927355000.0,76832000.0,52075000.0,13012000.0,0.46,114381000.0,94551000.0,15970000.0,50601000.0,78581000.0,671000000.0,0.46,127433000.0,0.0266169374191461,0.0144819360269688,0.05615433140490966,0.0828506882477584,0.021366799977418468,0.029241918338654693,0.08473669738126176,0.1374155528357533,0.34296620275078316,1.9239602254036814,4313941000.0,554941000.0,375055000.0,356607000.0,604642000.0,4.72,4.72,1.1097475861749597
2011-10-02,3401938000.0,929825000.0,875957000.0,1456798000.0,1945140000.0,150000000.0,248102000.0,1381095000.0,111040000.0,87394000.0,16603000.0,0.77,114063000.0,142349000.0,24979000.0,78718000.0,117370000.0,150000000.0,0.77,189758000.0,0.04492941382111313,0.025689474646510314,0.06327877517477075,0.0803999724856002,0.03264021860480702,0.05299884494592247,0.0849832922427494,0.13739677574678064,0.07711527190844875,1.061496169332513,4460660000.0,546910000.0,380815000.0,361528000.0,623250000.0,4.68,4.68,0.24067388688327315
2012-01-01,3834198000.0,862218000.0,600066000.0,1991982000.0,1842216000.0,944908000.0,142342000.0,-835027000.0,-136086000.0,-155336000.0,25881000.0,-1.36,,-54677000.0,-18038000.0,-42351000.0,-72715000.0,944908000.0,-1.36,-178437000.0,-0.0843201882949665,-0.04051329639210077,0.18602512254094777,0.16297197575647254,-0.03549268973589784,-0.04882667581349089,0.08708101654198008,0.21369009624838478,0.5129192233701151,1.4368719440861506,1921287000.0,7655000.0,91128000.0,158206000.0,202049000.0,0.06999999999999984,0.06999999999999984,4.6766279466861995
2012-04-01,3864238000.0,908064000.0,602786000.0,1981655000.0,1882583000.0,933971000.0,144757000.0,510890000.0,36382000.0,22569000.0,1476000.0,0.2,114119000.0,15539000.0,5228000.0,32007000.0,10311000.0,933971000.0,0.2,68389000.0,0.011988316052997397,0.005840478769682406,0.044175849987277103,0.07121298126798332,0.009415051557383371,0.01291720307865569,0.020182426745483373,0.1338624752882225,0.49611145962754366,1.5064450733759576,1984313000.0,6702000.0,88168000.0,133547000.0,207143000.0,0.06999999999999984,0.06999999999999984,4.508822407708684
2012-07-01,3800937000.0,897800000.0,587685000.0,1915607000.0,1885330000.0,911043000.0,171403000.0,1032680000.0,86169000.0,56202000.0,6337000.0,0.49,114348000.0,91929000.0,11449000.0,64163000.0,80480000.0,911043000.0,0.49,150332000.0,0.029810165859557744,0.014786353996396152,0.05442344191811597,0.08344211178680715,0.022670462572781394,0.030814558715879462,0.07793314482705194,0.14557462137351357,0.48322733951085484,1.5276891532028212,2089638000.0,10829000.0,97505000.0,135446000.0,230042000.0,0.09999999999999981,0.09999999999999981,3.960333330435312
2012-09-30,3889971000.0,940994000.0,582277000.0,1947531000.0,1942440000.0,930860000.0,170828000.0,1542284000.0,129387000.0,85796000.0,8694000.0,0.75,114565000.0,112646000.0,24350000.0,94791000.0,88296000.0,930860000.0,0.75,224178000.0,0.04416918926710735,0.02205569141775093,0.055629183730104184,0.08389310918092906,0.0332616875549972,0.04503080082135524,0.057250156261752054,0.14535455207990228,0.4792220094314367,1.6160590234544727,2250827000.0,9231000.0,115852000.0,106372000.0,264462000.0,0.07999999999999985,0.07999999999999985,3.5198251544645354
