report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,14880179000.0,12414259000.0,2219392000.0,,866196000.0,2216268000.0,159218000.0,,97337000.0,1.28,119456000.0,8830000.0,17979000.0,-9149000.0,0.0,,15.1474,1.0582,1.28,0.07173946738566238,0.010700005692135826,0.07184058967597781,-0.004128110860238924,0.0,,,,,,,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2010-09-30,17883081000.0,15286213000.0,2302816000.0,,2943239000.0,2979516000.0,228283000.0,,133625000.0,1.83,119592000.0,-1021393000.0,22287000.0,-1043680000.0,0.0,0.8153,13.786,1.0563,1.83,0.0991321060822923,0.01276530593358046,0.07661747746949504,-0.3502850798586079,0.0,,,,,,,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2010-12-31,14849838000.0,12131905000.0,2406742000.0,,1204883000.0,830333000.0,81723000.0,,48791000.0,0.65,121534000.0,1212449000.0,9500000.0,1202949000.0,0.0,,15.3911,1.3231,0.65,0.03395586232342312,0.005503292359148968,0.0984219584190921,1.4487548971316326,0.0,,,,,,,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2011-03-31,15284179000.0,12464771000.0,2507790000.0,,1255168000.0,1697077000.0,162640000.0,,94111000.0,1.29,122238000.0,1132977000.0,15974000.0,1117003000.0,0.0,,16.5819,1.504,1.29,0.06485391520023606,0.010641068780992424,0.09583536869570444,0.6581922918052628,0.0,7723194000.0,631864000.0,1267123000.0,,5.050000000000001,5.050000000000001,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2011-06-30,16117109000.0,13251870000.0,2558664000.0,,1598688000.0,2565289000.0,209426000.0,,125992000.0,1.65,122689000.0,1090155000.0,28170000.0,1061985000.0,0.0,,14.6034,1.2219,1.65,0.08184974658649984,0.012994017723650067,0.08163836511207899,0.41398259611295257,0.0,8072215000.0,682072000.0,2338257000.0,,5.42,5.42,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2011-09-30,18006995000.0,15095150000.0,2587619000.0,,2439695000.0,-1692813000.0,-175436000.0,,-86000000.0,-1.4,-243625000.0,-1877140000.0,-16444000.0,-1893584000.0,0.0,0.7955,11.8106,0.9668,-1.4,-0.06779823459326895,-0.009742658339162087,0.10363578257019529,1.118601995613219,0.0,3399886000.0,278353000.0,1488353000.0,,2.19,2.19,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2011-12-31,17891566000.0,14928612000.0,2636669000.0,,1916954000.0,798817000.0,67325000.0,,43526000.0,0.53,123712000.0,-19991000.0,13647000.0,-33638000.0,0.0,,15.3526,1.2028,0.53,0.025534111411026565,0.003762946183693479,0.08428088035182026,-0.042109769822124464,0.0,3368370000.0,263955000.0,251766000.0,,2.0700000000000003,2.0700000000000003,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2012-03-31,19275376000.0,15859505000.0,3087853000.0,,2875858000.0,1688670000.0,136194000.0,,86154000.0,1.05,126989000.0,69070000.0,31182000.0,37888000.0,0.0,,19.7401,1.4662,1.05,0.04410637423478384,0.007065698744346155,0.08065163708717511,0.022436592110951222,0.0,3359963000.0,237509000.0,-827349000.0,,1.83,1.83,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2012-06-30,21170555000.0,17588846000.0,3157696000.0,,1729035000.0,2804432000.0,212544000.0,,134674000.0,1.6,130187000.0,215787000.0,53572000.0,162215000.0,0.0,,16.8916,1.3066,1.6,0.06730983603234764,0.01003960453563924,0.07578860888764641,0.05784237235918004,0.0,3599106000.0,240627000.0,-1727119000.0,,1.7800000000000002,1.7800000000000002,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2012-09-30,21160265000.0,17479983000.0,3268940000.0,,1980020000.0,-1394019000.0,-120194000.0,,-88698000.0,-0.98,-249097000.0,126423000.0,-20886000.0,105537000.0,0.0,0.489,17.1321,1.3005,-0.98,-0.03676849376250405,-0.005680174610289616,0.08622120645414445,-0.07570700255878865,0.0,3897900000.0,295869000.0,272002000.0,,2.2,2.2,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2012-12-31,22275971000.0,18466389000.0,3379801000.0,,2187707000.0,1137509000.0,85874000.0,,53273000.0,0.61,138694000.0,237989000.0,18935000.0,219054000.0,0.0,,17.0254,1.2638,0.61,0.025408004790814606,0.003855005916464876,0.07549302906614365,0.19257342139710543,0.0,4236592000.0,314418000.0,524694000.0,,2.2800000000000002,2.2800000000000002,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2013-03-31,22735145000.0,18823261000.0,3470756000.0,,2174149000.0,2307807000.0,165834000.0,,104330000.0,1.17,139669000.0,176008000.0,46933000.0,129075000.0,0.0,,19.5522,1.4094,1.17,0.047780368311687714,0.007294169445587437,0.07185782866591531,0.05592972029290144,0.0,4855729000.0,344058000.0,615881000.0,,2.4000000000000004,2.4000000000000004,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2013-06-30,22214191000.0,18339049000.0,3544195000.0,,2585545000.0,3445535000.0,249696000.0,,152522000.0,1.0,140165000.0,,65757000.0,,0.0,,18.203,1.3358,1.0,0.07045210548516659,0.01124038233037611,0.07246944233624096,,0.0,5496832000.0,381210000.0,,,1.8,1.8,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2013-09-30,23186122000.0,19187785000.0,3662924000.0,,2596616000.0,-2295053000.0,-134250000.0,,-113092000.0,-0.7799999999999998,-277987000.0,,-58746000.0,,0.0,0.5362,15.8655,1.268,-0.7799999999999998,-0.03665104708697205,-0.005790101509860079,0.05849538115241783,,0.0,4595798000.0,367154000.0,,,2.0000000000000004,2.0000000000000004,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2013-12-31,21924495000.0,17798907000.0,3782076000.0,,2801952000.0,1208774000.0,116633000.0,,62291000.0,0.81,142597000.0,16516000.0,12691000.0,3825000.0,0.0,,18.4209,1.5709,0.81,0.03083835438526354,0.005319757650062179,0.09648867364784484,0.0031643632308438136,0.0,4667063000.0,397913000.0,,,2.2,2.2,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2014-03-31,22868902000.0,18660541000.0,3888304000.0,,2641876000.0,2413399000.0,221193000.0,,123195000.0,1.0,143065000.0,,31320000.0,,0.0,,18.6276,1.6744,1.0,0.056886755768067516,0.009672217756672359,0.09165206416344748,,0.0,4772655000.0,453272000.0,,,2.0300000000000002,2.0300000000000002,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2014-06-30,23070289000.0,18757111000.0,4015176000.0,,2845757000.0,3654682000.0,343882000.0,,191749000.0,2.0,143312000.0,,44104000.0,,0.0,,15.5109,1.4894,2.0,0.08564556074254279,0.014905838414074484,0.09409354904202336,,0.0,4981802000.0,547458000.0,,,3.0300000000000002,3.0300000000000002,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2014-09-30,23325652000.0,18892396000.0,4141236000.0,1190836000.0,2199063000.0,-2311395000.0,-201460000.0,104091000.0,-109438000.0,-0.81,-285385000.0,,-27966000.0,,1190836000.0,0.4552,15.7597,1.5244,-0.81,-0.04864731205852552,-0.008636843248797503,0.08715948593814558,,0.2875556959323255,4965460000.0,480248000.0,,,3.0,3.0,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2014-12-31,24253246000.0,19695112000.0,4270665000.0,1189883000.0,2649385000.0,1279844000.0,126296000.0,27384000.0,76612000.0,0.0,145282000.0,,13058000.0,,1189883000.0,,16.6524,1.6201,0.0,0.029572911946968445,0.005207385436159762,0.0986807767196627,,0.2786177328355186,5036530000.0,489911000.0,,,2.19,2.19,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
2015-03-31,24967935000.0,20316025000.0,4375425000.0,1188916000.0,2540137000.0,2592468000.0,239759000.0,54230000.0,143469000.0,1.0,146188000.0,,29643000.0,,1188916000.0,,16.25,1.5759,1.0,0.05479673403155122,0.00960267639274133,0.09248291589327236,,0.2717258323477148,5215599000.0,508477000.0,,,2.19,2.19,1.0292497,177.66,117.565,1.36619,28158.395,13.4215,2.7347,1.7541
