report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2023-12-31,354782000.0,336291000.0,67670000.0,503031000.0,-148249000.0,278600000.0,,69558000.0,-165986000.0,-240053000.0,46325000.0,39106000.0,-2.94,81712166.0,-118686000.0,3216000.0,-121902000.0,0.0,4.9696,2.1251,-2.94,-165986000.0,1.6192554418579552,-0.6766211363597928,-3.4511199286926018,-2.3862963282440552,-0.4678534987682577,1.1196433028216042,-1.7525230742689555,-2.3862963282440552,-0.0,4.969572927441998,,,,,,,,,,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2024-03-31,307966000.0,290206000.0,62985000.0,502415000.0,-194449000.0,234300000.0,,18053000.0,-33613000.0,-46606000.0,12496000.0,200000.0,-0.56,82552322.0,-44095000.0,531000.0,-44626000.0,0.0,,5.3403,-0.56,-33613000.0,0.2396823845841326,-0.15133488761746428,-2.5816207832493214,-1.861906608319947,-0.10914516537539859,0.17286280721423097,-2.4719437212651636,-1.861906608319947,-0.0,4.607541478129713,,,,,,,,,,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2024-06-30,371779000.0,355359000.0,57632000.0,503449000.0,-131670000.0,300100000.0,,35463000.0,-62654000.0,-83150000.0,25175000.0,400000.0,-0.93,89121783.0,-76940000.0,561000.0,-77501000.0,0.0,,5.3033,-0.93,-62654000.0,0.6315029999240526,-0.22365437531436688,-2.3446972901333782,-1.7667428023573866,-0.16852484944012439,0.4758411179463811,-2.1854045061049545,-1.7667428023573866,-0.0,6.166001526929484,,,,,,,,,,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2024-09-30,349079000.0,333005000.0,67679000.0,521025000.0,-171946000.0,274300000.0,,53927000.0,-98218000.0,-127119000.0,38292000.0,500000.0,-1.35,94394355.0,-101983000.0,777000.0,-102760000.0,0.0,,4.3068,-1.35,-98218000.0,0.7392960580647413,-0.36415539175945844,-2.357242197785896,-1.8213139985536002,-0.28136324442318217,0.5712142184174102,-1.9055389693474512,-1.8213139985536002,-0.0,4.9203593433709125,177001000.0,-496928000.0,-360471000.0,-346789000.0,-360471000.0,122288000.0,-5.78,-5.78,-0.0,-2.947721771555672,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2024-12-31,321980000.0,307390000.0,80469000.0,524622000.0,-202642000.0,250867000.0,98861402.0,-36606000.0,63831000.0,99029000.0,,-934000.0,1.2200000000000002,-168908494.0,99183000.0,-1002000.0,98181000.0,0.0,3.82,2.7163,1.2200000000000002,63831000.0,-0.48868941285617,0.3075625815268029,-2.7052668961372452,-1.7437305359777087,0.1982452326231443,-0.31499393018229194,-2.6821012948696934,-1.7437305359777087,-0.0,3.8199803651095454,70837000.0,-157846000.0,-130654000.0,-126706000.0,-130654000.0,,-1.62,-1.62,-0.0,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2025-03-31,272539000.0,257989000.0,57794000.0,510762000.0,-238223000.0,194701000.0,,23033000.0,-28464000.0,-38602000.0,12230000.0,200000.0,-0.36,107202374.0,-56334000.0,264000.0,-56598000.0,0.0,,1.8427,-0.36,-28464000.0,0.1620414485587034,-0.1416384444061217,-1.6759432119133417,-1.2357921243433334,-0.10444009848131827,0.11948468451828749,-2.457256979116919,-1.2357921243433334,-0.0,4.463940893518358,75817000.0,-149842000.0,-125505000.0,-138678000.0,-125505000.0,,-1.42,-1.42,-0.0,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2025-06-30,321561000.0,318755000.0,64600000.0,520745000.0,-199184000.0,264560000.0,,41872000.0,-72611000.0,-95248000.0,,1419000.0,-0.86,110490935.0,-80421000.0,264000.0,-80685000.0,0.0,,3.9031,-0.86,-72611000.0,0.47819101935898467,-0.2962050746203675,-2.2747420710737485,-1.7341182651891478,-0.2258078560521954,0.36454233271748737,-1.9269440198700802,-1.7341182651891478,-0.0,4.934287925696594,82226000.0,-161940000.0,-135462000.0,-141862000.0,-135462000.0,,-1.35,-1.35,-0.0,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2025-09-30,289758000.0,287149000.0,62044000.0,527941000.0,-238183000.0,234738000.0,,58299000.0,-103580000.0,-136214000.0,,1419000.0,-1.14,119237877.0,-110051000.0,264000.0,-110315000.0,0.0,,5.9833,-1.14,-103580000.0,0.5718880020824324,-0.4700957350616721,-2.336472323710527,-1.7767028593972451,-0.3574707169431042,0.4348757048152051,-1.892227997049692,-1.7767028593972451,-0.0,4.628150989620269,86598000.0,-171035000.0,-140824000.0,-149417000.0,-140824000.0,,-1.1399999999999997,-1.1399999999999997,-0.0,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
2025-12-31,323150000.0,306335000.0,70163000.0,508984000.0,-185834000.0,261338000.0,,-41847000.0,83156000.0,127441000.0,,-2023000.0,1.2399999999999998,-209863646.0,105632000.0,-528000.0,105104000.0,0.0,4.366,5.3749,1.2399999999999998,83156000.0,-0.6857787057266163,0.3943710351230079,-3.045403493679356,-1.987143642316056,0.2573294135850224,-0.4474746278937116,-2.511625684039477,-1.987143642316056,-0.0,4.366047631942762,81357000.0,-142623000.0,-121499000.0,-142494000.0,-121499000.0,,-1.12,-1.12,-0.0,,1.8185303,4.98,1.225,0.86731,487.13605,3.3259,5.9876
