report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-09-30,419355000000.0,388024000000.0,31331000000.0,,,27465000000.0,7515000000.0,,2164000000.0,322000000.0,660000000.0,1.0,1294000000.0,-6405000000.0,465000000.0,,-6870000000.0,0.0,,15.4799,4.3999,1.0,,0.0690689732214101,0.0051603057075747276,0.28795741849634066,,,,-0.9141716566866267,,0.0,9678000000.0,2412000000.0,3456000000.0,-93000000.0,0.31000000000000005,0.31000000000000005,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2020-12-31,549009000000.0,492949000000.0,56060000000.0,13632000000.0,,40348000000.0,-3508000000.0,4300000000.0,-1126000000.0,-273000000.0,-380000000.0,0.1200000000000001,-2447000000.0,9464000000.0,-325000000.0,,9139000000.0,13632000000.0,0.2186,30.1697,8.2195,0.1200000000000001,4300000000.0,-0.02008562254727078,-0.0020509681990641317,0.3209806157354618,-1.225769669327252,0.007832294188255566,0.0617000516558572,-2.605188141391106,-1.225769669327252,0.24316803424901892,11691000000.0,3299000000.0,5571000000.0,418000000.0,2.12,2.12,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2021-03-31,563457000000.0,507863000000.0,55594000000.0,17698000000.0,2500000000.0,48182000000.0,4715000000.0,1960000000.0,1484000000.0,104000000.0,476000000.0,0.73,1892000000.0,-4742000000.0,186000000.0,,-4928000000.0,20198000000.0,,30.8117,8.6686,0.73,1960000000.0,0.02669352807856963,0.0026337413502716266,0.3147401908801697,0.41569459172852596,0.003478526311679507,0.025860249102807684,-1.0451749734888653,0.41569459172852596,0.363312587689319,13789000000.0,3988000000.0,-9319000000.0,386000000.0,2.85,2.85,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2021-06-30,574532000000.0,517082000000.0,57450000000.0,,3500000000.0,30337000000.0,9242000000.0,,2749000000.0,225000000.0,930000000.0,1.32,1894000000.0,-5336000000.0,425000000.0,,-5761000000.0,3500000000.0,,29.9749,8.4385,1.32,,0.0478503046127067,0.004784763947003823,0.2974464401644666,,,,-0.6233499242588184,,0.060922541340295906,17964000000.0,5271000000.0,-8420000000.0,378000000.0,3.17,3.17,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2021-09-30,607548000000.0,550106000000.0,57442000000.0,,3000000000.0,34323000000.0,13812000000.0,,4275000000.0,348000000.0,1415000000.0,2.06,1895000000.0,-3521000000.0,603000000.0,,-4124000000.0,3000000000.0,,25.42,7.461,2.06,,0.07442289613871383,0.007036481068162515,0.30951346655082534,,,,-0.298580944106574,,0.05222659378155357,24261000000.0,7382000000.0,-5674000000.0,404000000.0,4.23,4.23,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2021-12-31,667270000000.0,611009000000.0,56261000000.0,,4855000000.0,62975000000.0,-9249000000.0,,-2653000000.0,-201000000.0,-963000000.0,-1.2799999999999994,-3784000000.0,15717000000.0,-298000000.0,,15419000000.0,4855000000.0,0.2593,27.1561,8.3701,-1.2799999999999994,,-0.04715522297861752,-0.003975901808862979,0.286841820737377,,,,-1.6670991458536057,,0.0862942357938892,18520000000.0,5855000000.0,606000000.0,476000000.0,2.830000000000001,2.830000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2022-03-31,680950000000.0,632852000000.0,48098000000.0,,4234000000.0,91126000000.0,4672000000.0,,1402000000.0,136000000.0,437000000.0,0.67,1905000000.0,3053000000.0,296000000.0,,2757000000.0,4234000000.0,,27.6793,8.4168,0.67,,0.029148821156804856,0.002058888317791321,0.3000856164383562,,,,0.590111301369863,,0.08802860825813963,18477000000.0,5773000000.0,8291000000.0,508000000.0,2.770000000000001,2.770000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2022-06-30,637557000000.0,593044000000.0,44513000000.0,,1350000000.0,64550000000.0,9765000000.0,,3195000000.0,302000000.0,918000000.0,1.54,1905000000.0,-4890000000.0,537000000.0,,-5427000000.0,1350000000.0,,19.0147,6.1141,1.54,,0.07177678431020151,0.0050113166352184985,0.3271889400921659,,,,-0.5557603686635945,,0.030328218722620356,19000000000.0,6219000000.0,8625000000.0,585000000.0,2.990000000000001,2.990000000000001,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2022-09-30,577563000000.0,540522000000.0,37041000000.0,,500000000.0,46486000000.0,15265000000.0,,5215000000.0,733000000.0,1575000000.0,2.0,1901000000.0,4164000000.0,769000000.0,,3395000000.0,500000000.0,,20.0653,6.5443,2.0,,0.14078993547690397,0.009029318013792434,0.3416311824434982,,,,0.22240419259744515,,0.013498555654544964,20453000000.0,7159000000.0,16144000000.0,970000000.0,2.9300000000000006,2.9300000000000006,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2022-12-31,551772000000.0,515164000000.0,36608000000.0,,17100000000.0,40195000000.0,-8940000000.0,,-2629000000.0,374000000.0,-725000000.0,-1.21,-3817000000.0,-270000000.0,-631000000.0,,-901000000.0,17100000000.0,0.216,21.6379,6.9675,-1.21,,-0.07181490384615384,-0.00476464916668479,0.2940715883668904,,,,0.10078299776286354,,0.467111013986014,20762000000.0,7183000000.0,-176000000.0,1545000000.0,3.0,3.0,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
2023-03-31,535552000000.0,499205000000.0,36347000000.0,,,49162000000.0,5116000000.0,,1603000000.0,1246000000.0,507000000.0,0.0,1842000000.0,9777000000.0,159000000.0,,9618000000.0,0.0,,12.9014,3.9925,0.0,,0.04410267697471593,0.0029931733986615677,0.31333072713057075,,,,1.8799843627834245,,0.0,21206000000.0,7384000000.0,6685000000.0,2655000000.0,2.33,2.33,0.9027077,107.5,65.88,8.93232,164304.73,18.5613,3.592,5.9369
