report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,8202000000.0,2851000000.0,1540000000.0,,574000000.0,3233000000.0,258000000.0,1139000000.0,,1388000000.0,218000000.0,-14000000.0,18000000.0,49000000.0,-20000000.0,0.1,152642371.0,55000000.0,44000000.0,93000000.0,11000000.0,3491000000.0,,0.8726,8.8154,0.1,79000000.0,0.0313588850174216,0.0021945866861741038,0.012968299711815562,0.15706051873198848,-0.010086455331412104,-0.001706900755913192,-0.0034440344403444036,0.00792507204610951,0.0569164265129683,6.081881533101045,1.8512987012987012,,,,,,,,,,,,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2010-06-30,8105000000.0,2822000000.0,1510000000.0,,689000000.0,3162000000.0,265000000.0,1081000000.0,,2905000000.0,521000000.0,142000000.0,174000000.0,98000000.0,41000000.0,1.1,158674073.0,219000000.0,78000000.0,159000000.0,141000000.0,3427000000.0,,0.6973,6.7521,1.1,301000000.0,0.2525399129172714,0.021468229487970388,0.059896729776247846,0.1793459552495697,0.048881239242685025,0.017520049352251696,0.034499514091350825,0.048537005163511185,0.10361445783132531,4.973875181422351,1.8688741721854305,,,,,,,,,,,,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2010-09-30,8394000000.0,2767000000.0,1637000000.0,,917000000.0,3010000000.0,261000000.0,884000000.0,,4411000000.0,867000000.0,363000000.0,319000000.0,146000000.0,85000000.0,2.01,158408403.0,363000000.0,122000000.0,226000000.0,241000000.0,3271000000.0,,0.864,15.4162,2.01,589000000.0,0.3478735005452563,0.03800333571598761,0.07231920199501247,0.1965540693720245,0.08229426433915212,0.04324517512508935,0.08667621776504297,0.05463613693040127,0.13352981183405124,3.5670665212649943,1.6902871105681123,,,,,,,,,,,,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2010-12-31,8281000000.0,2668000000.0,1542000000.0,,926000000.0,2990000000.0,228000000.0,740000000.0,,-2786000000.0,-426000000.0,12000000.0,-134000000.0,-89000000.0,6000000.0,-0.8300000000000001,-311352655.0,-185000000.0,-43000000.0,-178000000.0,-228000000.0,3218000000.0,1.7302,1.0829,16.9992,-0.8300000000000001,-166000000.0,-0.1447084233261339,-0.016181620577224973,0.04809763101220388,0.15290739411342427,-0.004307250538406317,0.0014491003501992514,0.0028957528957528956,0.08183776022972003,0.05958363244795405,3.475161987041037,1.7302204928664073,5918000000.0,377000000.0,503000000.0,1180000000.0,165000000.0,803000000.0,204000000.0,2.38,2.38,4.00747198007472,2.465686274509804,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2011-03-31,8622000000.0,2851000000.0,1610000000.0,,1136000000.0,3003000000.0,219000000.0,722000000.0,,1589000000.0,351000000.0,188000000.0,142000000.0,55000000.0,42000000.0,0.9,158666687.0,132000000.0,77000000.0,,55000000.0,3222000000.0,,1.1315,13.7097,0.9,188000000.0,0.125,0.01646949663651125,0.0893643801132788,0.2208936438011328,0.118313404657017,0.02180468568777546,0.043139054612207434,0.034612964128382634,0.118313404657017,2.836267605633803,1.770807453416149,6119000000.0,501000000.0,705000000.0,1313000000.0,209000000.0,912000000.0,210000000.0,3.1799999999999997,3.1799999999999997,3.5328947368421053,3.357142857142857,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2011-06-30,8919000000.0,3014000000.0,1641000000.0,,1373000000.0,2893000000.0,155000000.0,741000000.0,,3342000000.0,761000000.0,397000000.0,345000000.0,112000000.0,117000000.0,2.17,158927250.0,316000000.0,151000000.0,,165000000.0,3048000000.0,,1.3105,15.1972,2.17,397000000.0,0.25127458120903134,0.038681466532122434,0.10323159784560143,0.2277079593058049,0.11879114302812686,0.04451171656015249,0.08979868807961999,0.04937163375224417,0.11879114302812686,2.219956300072833,1.8366849482023158,6556000000.0,672000000.0,960000000.0,1553000000.0,233000000.0,1008000000.0,224000000.0,4.25,4.25,3.0238095238095237,4.285714285714286,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2011-09-30,8711000000.0,2898000000.0,1613000000.0,8711000000.0,1456000000.0,2893000000.0,161000000.0,704000000.0,,5149000000.0,1162000000.0,593000000.0,512000000.0,166000000.0,151000000.0,3.22,158965811.0,481000000.0,241000000.0,,240000000.0,3054000000.0,,0.7641,8.9226,3.22,593000000.0,0.3516483516483517,0.058776259901274254,0.09943678384152263,0.22567488832783064,0.11516799378520101,0.06807484789346803,0.13148558758314857,0.04661099242571373,0.11516799378520101,2.0975274725274726,1.796652200867948,7294000000.0,865000000.0,1190000000.0,1848000000.0,232000000.0,1012000000.0,244000000.0,5.46,5.46,3.0177865612648223,4.877049180327869,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2011-12-31,8518000000.0,2703000000.0,1385000000.0,8518000000.0,1341000000.0,2873000000.0,144000000.0,682000000.0,,-3317000000.0,-840000000.0,-488000000.0,-392000000.0,-112000000.0,-161000000.0,-2.47,-317611914.0,-291000000.0,-120000000.0,,-411000000.0,3017000000.0,1.9516,1.0611,11.8221,-2.47,-488000000.0,-0.2923191648023863,-0.04602019253345856,0.11817907747965029,0.2532408803135363,0.14712089237262588,-0.057290443766142285,-0.111977971546581,0.12390714501055171,0.14712089237262588,2.249813571961223,1.951624548736462,6763000000.0,607000000.0,690000000.0,1434000000.0,49000000.0,690000000.0,221000000.0,3.82,3.82,4.372463768115942,3.1221719457013575,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2012-03-31,8823000000.0,2817000000.0,1471000000.0,8823000000.0,1541000000.0,2875000000.0,155000000.0,727000000.0,,1633000000.0,270000000.0,98000000.0,183000000.0,45000000.0,-76000000.0,1.15,159080760.0,215000000.0,106000000.0,,109000000.0,3030000000.0,,1.0781,11.1527,1.15,98000000.0,0.11875405580791694,0.02074124447466848,0.11206368646662584,0.1653398652786283,0.06001224739742805,0.011107333106653065,0.021439509954058193,0.06674831598285365,0.06001224739742805,1.9662556781310838,1.9150237933378653,6807000000.0,648000000.0,600000000.0,1353000000.0,103000000.0,600000000.0,211000000.0,4.07,4.07,5.05,2.843601895734597,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
2012-06-30,8779000000.0,2866000000.0,1340000000.0,8779000000.0,1777000000.0,2845000000.0,131000000.0,800000000.0,,3308000000.0,601000000.0,262000000.0,393000000.0,90000000.0,-22000000.0,2.47,159410607.0,402000000.0,183000000.0,,219000000.0,2976000000.0,,0.7796,7.7599,2.47,262000000.0,0.22115925717501406,0.04476591866955234,0.11880290205562273,0.1816807738814994,0.07920193470374849,0.02984394577970156,0.05512308015989901,0.06620314389359129,0.07920193470374849,1.674732695554305,2.138805970149254,6773000000.0,696000000.0,465000000.0,1193000000.0,157000000.0,465000000.0,189000000.0,4.37,4.37,6.4,2.4603174603174605,0.8445963,67.82,35.13,2.6258,7019.182,1.1435,0.7355
