report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,3233000000.0,1637900000.0,734500000.0,,1132300000.0,609900000.0,,86700000.0,756500000.0,,135900000.0,77400000.0,,40700000.0,1.06,,31000000.0,33900000.0,,609900000.0,,1.5218,18.5864,1.06,169800000.0,0.06835644263887662,0.023940612434271574,0.1023132848645076,,0.17964309319233313,0.04203526136715125,0.07800482149007003,,0.22445472571050892,0.5386381700962642,2.229952348536419,,,,,,,,,,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2010-06-30,3219100000.0,1658600000.0,737200000.0,,1155000000.0,562900000.0,,162400000.0,1533300000.0,,267300000.0,143100000.0,,74500000.0,1.95,,59200000.0,66500000.0,,562900000.0,,1.4022,17.85,1.95,333800000.0,0.12389610389610389,0.044453418657388714,0.09332811582860497,,0.17432987673645078,0.0830356310770091,0.15559694976424704,,0.21770038479097373,0.4873593073593074,2.249864351600651,,,,,,,,,,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2010-09-30,3403800000.0,1762400000.0,834500000.0,,1302200000.0,535300000.0,,267300000.0,2305800000.0,,394400000.0,226000000.0,,106800000.0,3.08,,95300000.0,99000000.0,,535300000.0,,1.6388,17.2237,3.08,493400000.0,0.17355244970050684,0.066396380515894,0.09801370457108162,,0.1710469251452858,0.11587049767906457,0.21463945578231292,,0.2139821320149189,0.4110735678083244,2.1119233073696826,,,,,,,,,,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2010-12-31,3319900000.0,1646200000.0,963400000.0,,1131500000.0,503000000.0,,161500000.0,-1479300000.0,,-410500000.0,-274000000.0,39500000.0,-90000000.0,-3.73,,-43200000.0,-65800000.0,,503000000.0,1.7087,1.8326,33.1072,-3.73,-476300000.0,-0.2421564295183385,-0.08253260640380734,0.1852227404853647,,0.2774961130264314,-0.12364830265971867,-0.2511471397981034,,0.3219766105590482,0.4445426425099426,1.7087398795931077,3116300000.0,172500000.0,387100000.0,,,520700000.0,2.36,2.36,0.9660072978682542,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2011-03-31,3416200000.0,1717500000.0,906300000.0,,1261700000.0,533900000.0,,86000000.0,795000000.0,,155000000.0,94000000.0,,40600000.0,1.3,,30400000.0,30400000.0,,533900000.0,,1.9313,32.2206,1.3,185400000.0,0.07450265514781644,0.02751595339851297,0.11823899371069183,,0.1949685534591195,0.045372050816696916,0.08632212073958566,,0.23320754716981132,0.4231592296108425,1.895067858325058,3154800000.0,189100000.0,406200000.0,,,536300000.0,2.5999999999999996,2.5999999999999996,0.9955248927838896,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2011-06-30,3466200000.0,1753100000.0,925300000.0,,1360700000.0,485500000.0,,186600000.0,1607200000.0,586900000.0,310600000.0,201200000.0,,66300000.0,2.79,,71100000.0,62700000.0,,485500000.0,,1.9322,26.7303,2.79,373300000.0,0.14786506944954803,0.0580462754601581,0.12518666002986562,0.36516923842707816,0.19325535092085613,0.08960821649068144,0.16823746073014842,,0.23226729716276753,0.3568016462115088,1.8946287690478765,3228700000.0,247200000.0,449500000.0,,,575800000.0,3.4399999999999995,3.4399999999999995,0.8431747134421674,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2011-09-30,3389600000.0,1690300000.0,909500000.0,3389600000.0,1318000000.0,493600000.0,,109400000.0,2469300000.0,874300000.0,446200000.0,288000000.0,,96100000.0,4.01,327800000.0,119100000.0,94300000.0,208700000.0,493600000.0,,1.485,20.7696,4.01,540500000.0,0.21851289833080426,0.08496577767288176,0.11663224395577694,0.354067954481027,0.18069898351759608,0.1316379513806939,0.24630161183484212,0.08451787956100919,0.2188879439517272,0.3745068285280728,1.8584936778449697,3392200000.0,309200000.0,501300000.0,,,622900000.0,4.369999999999999,4.369999999999999,0.7924225397335046,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2011-12-31,3743500000.0,1869400000.0,919900000.0,3743500000.0,1240600000.0,779100000.0,,158900000.0,-1493600000.0,-293800000.0,-324500000.0,-217300000.0,39500000.0,-66500000.0,-3.0,97800000.0,-31100000.0,-60800000.0,66700000.0,779100000.0,2.0322,1.8099,16.7082,-3.0,-385300000.0,-0.17515718200870548,-0.05804728195538934,0.14548741296197107,0.19670594536689875,0.21726031065881093,-0.08668358488045946,-0.16066742585532504,-0.04465720407070166,0.25796732726298877,0.6280025793970659,2.0321774105881074,3377900000.0,365900000.0,587300000.0,,,713900000.0,5.1,5.1,1.091329317831629,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2012-03-31,3851600000.0,1943300000.0,917200000.0,3851600000.0,1237500000.0,910400000.0,,70800000.0,940700000.0,347300000.0,188000000.0,119100000.0,,44800000.0,1.71,24400000.0,38800000.0,32200000.0,-14400000.0,910400000.0,,2.0964,18.8919,1.71,220200000.0,0.09624242424242424,0.030922214144771004,0.12660784522164345,0.3691931540342298,0.1998511746571702,0.04881088378855541,0.087527352297593,-0.015307749548208781,0.23408100350802594,0.7356767676767677,2.1187309201918882,3523600000.0,391000000.0,620300000.0,1514700000.0,,748700000.0,5.509999999999999,5.509999999999999,1.2159743555496194,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2012-06-30,3907600000.0,1952700000.0,996400000.0,3907600000.0,1319400000.0,810000000.0,,75500000.0,1845900000.0,685100000.0,363500000.0,224000000.0,,90100000.0,1.61,267900000.0,81200000.0,66700000.0,186700000.0,810000000.0,,2.1372,18.932,1.61,430200000.0,0.16977413976049718,0.057324188760364415,0.12135001896094046,0.3711468660274121,0.19692291023349043,0.09302385095710922,0.17070536301305533,0.10114307383931957,0.23305704534373475,0.6139154160982264,1.9597551184263349,3762300000.0,413800000.0,673200000.0,1612900000.0,447700000.0,805600000.0,4.329999999999999,4.329999999999999,1.0054617676266138,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2012-09-30,4065900000.0,2025500000.0,1087300000.0,4065900000.0,1424600000.0,807900000.0,,84400000.0,2748300000.0,1000600000.0,510300000.0,314000000.0,,124500000.0,2.26,364400000.0,128000000.0,100400000.0,236400000.0,807900000.0,,2.2743,19.7484,2.26,610700000.0,0.2204127474378773,0.07722767406970167,0.11425244696721609,0.36407961285158097,0.18567841938652985,0.12550726776359478,0.22857782754759237,0.08601681039187861,0.2222100935123531,0.5671065562263091,1.8628713326588797,4041300000.0,439800000.0,737300000.0,1739200000.0,475400000.0,875800000.0,2.579999999999999,2.579999999999999,0.9224708837634163,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
2012-12-31,4373900000.0,2181800000.0,1135400000.0,4373900000.0,1480300000.0,908800000.0,,77100000.0,-1786600000.0,-691800000.0,-403600000.0,-240900000.0,45400000.0,-112700000.0,-2.58,-246800000.0,-41400000.0,-61500000.0,-288200000.0,908800000.0,1.9215,2.3627,19.3572,-2.58,-465100000.0,-0.16273728298317908,-0.055076705000114315,0.1348371207880891,0.3872159408933169,0.22590395163998656,-0.09227462904958961,-0.1689339081662551,0.16131198925333035,0.26032687786857717,0.6139296088630682,1.9216135282719746,3748300000.0,416200000.0,658200000.0,1341200000.0,120500000.0,796000000.0,2.999999999999999,2.999999999999999,1.1417085427135678,0.48763263,44.78,12.17,4.92706,2219.5488,0.8364,0.6401
