report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,964895000.0,769213000.0,158918000.0,,678464000.0,409911000.0,,317905000.0,160462000.0,,65367000.0,1.04,92983000.0,126723000.0,4384000.0,5450000.0,122339000.0,0.0,,16.8315,2.8867,1.04,165912000.0,,,,,,0.1662999600992854,0.23650775870200924,,,0.0,4.840313872563208,,,,,,,,,,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2010-09-30,1026680000.0,842533000.0,139777000.0,,761974000.0,509629000.0,,515830000.0,268017000.0,,106239000.0,1.75,92915000.0,170815000.0,7967000.0,8450000.0,162848000.0,0.0,,19.0068,3.2208,1.75,276467000.0,,,,,,0.26105212919312737,0.3517403480958668,,,0.0,6.027694112765333,,,,,,,,,,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2010-12-31,1082131000.0,898153000.0,128834000.0,,828398000.0,354842000.0,,680240000.0,347814000.0,,137273000.0,2.28,93021000.0,229044000.0,12545000.0,11728000.0,216499000.0,0.0,4.9727,21.8405,3.5514,2.28,359542000.0,,,,,,0.3214157990113951,0.4198633989942033,,,0.0,6.971397301954453,,,,,,,,,,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2011-03-31,1131992000.0,955819000.0,155247000.0,,853553000.0,295505000.0,,185537000.0,88455000.0,,33713000.0,0.59,93624000.0,23613000.0,6523000.0,3581000.0,17090000.0,0.0,,22.7022,3.7433,0.59,92036000.0,,,,,,0.0781410115972551,0.10363152610324139,,,0.0,6.156763093650763,,,864748000.0,1699512000.0,518776000.0,893957000.0,5.66,5.66,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2011-06-30,1233570000.0,1054135000.0,161850000.0,,950344000.0,418197000.0,,429758000.0,220936000.0,,82221000.0,1.49,93642000.0,123966000.0,12311000.0,7671000.0,111655000.0,0.0,,28.0693,4.7115,1.49,228607000.0,,,,,,0.1791029288974278,0.23248002828449488,,,0.0,6.513036762434353,,,925222000.0,1811365000.0,508092000.0,956652000.0,6.109999999999999,6.109999999999999,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2011-09-30,1218428000.0,1038732000.0,165929000.0,1218428000.0,932546000.0,287157000.0,,680065000.0,353026000.0,221683000.0,131057000.0,,93582000.0,233003000.0,19926000.0,12152000.0,213077000.0,0.0,,28.5575,4.7978,,365178000.0,0.2377180321399695,0.18194181354991842,,,,0.2897389094800842,0.37856148651112115,,,0.0,6.260099199055017,,,1010231000.0,1975600000.0,558321000.0,1045363000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2011-12-31,1362399000.0,1182677000.0,266090000.0,1362399000.0,979158000.0,359331000.0,,-401051000.0,-205994000.0,64536000.0,-75940000.0,,-94174000.0,-46755000.0,-13208000.0,-6372000.0,-59963000.0,0.0,4.4447,28.1421,4.7291,,-212366000.0,0.06590968975384974,0.04736938297811434,,,,-0.15119946506126325,-0.21037871313924822,,,0.0,4.444650306287347,,,456423000.0,894309000.0,281859000.0,473455000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2012-03-31,1470745000.0,1284463000.0,288117000.0,1470745000.0,1067328000.0,391438000.0,,241169000.0,126285000.0,76099000.0,50532000.0,,185262000.0,36770000.0,14542000.0,4956000.0,22228000.0,0.0,,35.9141,6.126,,131241000.0,0.07129860736343467,0.051741804323659095,,,,0.08586464682864807,0.11831882982550819,,,0.0,4.458129856967829,,,494253000.0,949941000.0,286997000.0,512660000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2012-06-30,1601517000.0,1414257000.0,299832000.0,1601517000.0,1187929000.0,419167000.0,,548177000.0,296059000.0,185895000.0,110450000.0,,185833000.0,110069000.0,19880000.0,10069000.0,90189000.0,0.0,,39.5911,6.8206,,306128000.0,0.15648662504240574,0.11607432203342206,,,,0.18486160309256786,0.24922280708695554,,,0.0,4.716831425598335,,548213000.0,569376000.0,1068360000.0,265531000.0,590181000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2012-09-30,1318922000.0,1128937000.0,317038000.0,1318922000.0,889675000.0,283054000.0,,821768000.0,436742000.0,272037000.0,165545000.0,,185365000.0,218049000.0,25813000.0,15228000.0,192236000.0,0.0,,28.8464,4.8565,,451970000.0,0.30577120858740553,0.20625707964534673,,,,0.3311355789045903,0.4909006097732318,,,0.0,3.5608886001047195,,598567000.0,653092000.0,1210063000.0,244690000.0,676973000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2012-12-31,1043325000.0,835068000.0,288545000.0,1043325000.0,644397000.0,222514000.0,,-545458000.0,-308463000.0,-194011000.0,-117393000.0,,-373377000.0,-77212000.0,-17300000.0,-9740000.0,-94512000.0,0.0,2.8941,26.6313,4.3942,,-318203000.0,-0.30107371697881896,-0.1859545204035176,,,,-0.29565379915175044,-0.4786847238581185,,,0.0,2.8940650505120518,,340020000.0,550623000.0,1065656000.0,210141000.0,571136000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2013-03-31,1147372000.0,936699000.0,329766000.0,1147372000.0,701371000.0,242533000.0,,252039000.0,107306000.0,63496000.0,41908000.0,,172559000.0,45893000.0,8732000.0,5048000.0,37161000.0,0.0,,24.1133,3.777,,112354000.0,0.09053125949034106,0.05534037783735354,,,,0.0935232862576392,0.15299463479385375,,,0.0,2.840495988064264,,327417000.0,531644000.0,1076526000.0,225074000.0,552249000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
2013-06-30,1317842000.0,1093822000.0,346174000.0,,856021000.0,283839000.0,,588301000.0,286732000.0,170369000.0,111060000.0,,172992000.0,,22497000.0,10313000.0,,0.0,,31.1066,4.742,,297045000.0,0.1990243230014217,0.12927877545259597,,,,0.21757691741498603,0.3349590722657505,,,0.0,3.159746254773611,,311891000.0,522317000.0,1116650000.0,,543166000.0,,,0.0,0.4793395,87.38,54.73,5.85977,73370.305,38.5059,9.0753,8.8458
