report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-31,1727067000.0,962613000.0,198411000.0,353780000.0,1373287000.0,,244954000.0,1032120000.0,435567000.0,189080000.0,124614000.0,,65505000.0,0.72,172572985.0,124338000.0,64570000.0,49051000.0,59768000.0,0.0,,20.6904,2.5763,0.72,238131000.0,0.09074141093595148,0.07215354123493761,0.12073596093477502,0.4220119753517033,0.18319575243188777,0.10948040811387166,0.13768425682322777,0.05790799519435724,0.23072026508545518,0.0,4.851611049790586,,,,,,,,,,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2010-10-31,1721971000.0,899606000.0,238028000.0,402072000.0,1319899000.0,,253546000.0,1605712000.0,671560000.0,293880000.0,197720000.0,,98075000.0,1.16,171228883.0,241011000.0,106742000.0,74856000.0,134269000.0,0.0,,18.1621,2.2803,1.16,368736000.0,0.14979934070712986,0.11482191047352133,0.12313540659844356,0.4182319120738962,0.1830216128421535,0.17066489505340102,0.2226533999949996,0.0836196030172285,0.22964018454118795,0.0,3.7794125060917203,,,,,,,,,,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2011-01-31,1794321000.0,803977000.0,211024000.0,382773000.0,1411548000.0,,340257000.0,2274102000.0,936620000.0,414203000.0,272958000.0,,144250000.0,1.6,170333550.0,385113000.0,143642000.0,101105000.0,241471000.0,0.0,3.8104,20.3222,2.4395,1.6,515308000.0,0.19337493305222353,0.152123282288955,0.12002891690874024,0.41186367190213985,0.18213914767235595,0.23084108138956186,0.2934388345277667,0.10618301201968953,0.2265984551264631,0.0,3.8098841837895216,,,,,,,,,,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2011-04-30,1694259000.0,701290000.0,212006000.0,381779000.0,1312480000.0,,243939000.0,524019000.0,193365000.0,58836000.0,38624000.0,,21577000.0,0.23,165293594.0,20040000.0,35738000.0,26551000.0,-15698000.0,0.0,,19.9839,2.2292,0.23,85387000.0,0.029428257954406924,0.022796986765305657,0.07370725107295728,0.3690037956638977,0.1122783715857631,0.03472668582548477,0.04482811166646349,-0.029956929042649218,0.16294638171516682,0.0,3.3078780789222946,5435953000.0,633916000.0,955999000.0,2237112000.0,419810000.0,1207562000.0,3.71,3.71,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2011-07-31,1705424000.0,698568000.0,228515000.0,401104000.0,1304320000.0,,226381000.0,1133200000.0,424455000.0,146831000.0,95317000.0,,53814000.0,0.59,162960745.0,91542000.0,77547000.0,53304000.0,13995000.0,0.0,,21.1151,2.1656,0.59,200135000.0,0.07307792566241413,0.05589049995778176,0.08411313095658313,0.3745631839039887,0.1295720084715849,0.08609647806058787,0.11257283488714426,0.012349982350864808,0.17661048358630427,0.0,3.0569896943307877,5537033000.0,604619000.0,913750000.0,2226000000.0,374037000.0,1169566000.0,3.58,3.58,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2011-10-31,1478105000.0,608330000.0,265070000.0,444299000.0,1033806000.0,,83370000.0,1743153000.0,640558000.0,220192000.0,145996000.0,,78514000.0,0.91,159751493.0,129064000.0,139566000.0,80708000.0,-10502000.0,0.0,,18.9615,1.7392,0.91,300900000.0,0.1412218540035558,0.09877241467960667,0.08375397914009843,0.3674708989973915,0.12631822909406115,0.14896911924389675,0.21299160577516477,-0.006024714984857898,0.1726182383301982,0.0,2.294978684875693,5674474000.0,552895000.0,840062000.0,2194998000.0,229266000.0,1101730000.0,3.33,3.33,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2012-01-31,1483708000.0,596992000.0,233466000.0,417440000.0,1066268000.0,,145273000.0,-926571000.0,-397842000.0,-141134000.0,-94686000.0,,-50325000.0,-0.54,-331814543.0,42056000.0,-62841000.0,-52451000.0,-20785000.0,0.0,2.5567,20.6225,1.5447,-0.54,-193585000.0,-0.08880131449129113,-0.06381713922146406,0.1021896864892167,0.429370226350706,0.15231860267588776,-0.09512249040916407,-0.13236259552007562,0.02243217195444278,0.20892624526344986,0.0,2.5570832583759517,2473801000.0,185251000.0,284725000.0,860536000.0,-32990000.0,392837000.0,1.19,1.19,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2012-04-30,1555344000.0,675888000.0,255204000.0,443023000.0,1112321000.0,,130462000.0,568930000.0,202479000.0,52915000.0,33957000.0,,19257000.0,0.23,145568667.0,42068000.0,52804000.0,28113000.0,-10736000.0,0.0,,23.1915,1.6638,0.23,81028000.0,0.030528057997646362,0.02183246921581335,0.05968572583621887,0.355894398256376,0.09300792716151372,0.0340214126264029,0.047571699176766416,-0.01887051131070606,0.14242173905401367,0.0,2.6484224385197725,2518712000.0,180584000.0,278804000.0,869650000.0,-28028000.0,388478000.0,1.19,1.19,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2012-07-31,1594582000.0,704028000.0,231740000.0,420388000.0,1174194000.0,,135481000.0,1245199000.0,456993000.0,148853000.0,95249000.0,,54047000.0,0.65,145592333.0,88917000.0,93154000.0,57092000.0,-4237000.0,0.0,,23.8744,1.7109,0.65,205945000.0,0.0811186226466836,0.05973289551744595,0.07649299429247855,0.3670039889206464,0.11954153512812009,0.09334922882611242,0.12677036333008004,-0.0034026689709837545,0.1653912346540593,0.0,3.038008112539915,2630711000.0,180516000.0,280826000.0,902188000.0,-46260000.0,394288000.0,1.25,1.25,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
2012-10-31,1755595000.0,866265000.0,295089000.0,485737000.0,1269858000.0,,216648000.0,1938093000.0,717835000.0,242363000.0,154766000.0,,88168000.0,1.06,146092442.0,190392000.0,130470000.0,87384000.0,59922000.0,0.0,,26.8044,1.9495,1.06,329747000.0,0.12187661927554104,0.08815586738399232,0.07985478509029237,0.3703821230456949,0.1250523065714597,0.138051771621587,0.19085834794126588,0.030918020961842388,0.1701399262058116,0.0,2.9356058680601445,2825651000.0,189286000.0,302997000.0,979465000.0,24164000.0,423135000.0,1.4,1.4,0.0,1.2623837,84.35,41.89,1.76058,5790.5664,12.455,2.3126,0.9392
