report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2015-09-30,144281000000.0,88103000000.0,18457000000.0,,116241000000.0,,3237000000.0,18068000000.0,,53660000000.0,13980000000.0,11425000000.0,3026000000.0,32.769999999999996,19609000000.0,7815000000.0,11794000000.0,3237000000.0,,26.3358,5.9084,32.769999999999996,13980000000.0,0.09828717922247744,0.07918575557419202,0.2129146477823332,0.26052925829295565,0.09689425496080566,0.1170089891025963,0.21979127841967946,0.26052925829295565,0.027847317211655096,4.773419298910983,,,,,,,,,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2015-12-31,147461000000.0,90114000000.0,19310000000.0,,120331000000.0,,3225000000.0,16549000000.0,,74989000000.0,19360000000.0,16348000000.0,3303000000.0,46.84,26024000000.0,9915000000.0,16109000000.0,3225000000.0,4.6667,32.3249,7.047,46.84,19360000000.0,0.13585859005576287,0.11086321128976476,0.21800530744509194,0.25817119844243824,0.13128895097686846,0.15669008384861924,0.21481817333208872,0.25817119844243824,0.026801073705030293,4.666701191092698,,,,,,,,,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2016-03-31,149747000000.0,90955000000.0,17684000000.0,26178000000.0,123569000000.0,,3221000000.0,15111000000.0,,20257000000.0,5342000000.0,4207000000.0,922000000.0,6.0,7658000000.0,2428000000.0,5230000000.0,3221000000.0,,30.4529,6.6538,6.0,5342000000.0,0.03404575581254198,0.028094051967652106,0.2076812953546922,0.2637113096707311,0.03567350264112136,0.04213266030444041,0.2581823567161969,0.2637113096707311,0.026066408241549256,5.1433499208323905,,,,,,,,,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2016-06-30,154292000000.0,94238000000.0,17341000000.0,26413000000.0,127879000000.0,,2219000000.0,13627000000.0,,41757000000.0,11310000000.0,9084000000.0,2164000000.0,26.009999999999998,16778000000.0,4551000000.0,12227000000.0,2219000000.0,,26.6367,5.8596,26.009999999999998,11310000000.0,0.07103590112528249,0.058875379151219764,0.2175443638192399,0.2708527911487894,0.07330256915458999,0.08693446478808282,0.292813181023541,0.2708527911487894,0.01735234088474261,5.434404013609365,190663000000.0,41064000000.0,49992000000.0,45360000000.0,49992000000.0,111.62,111.62,0.04438710193630981,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2016-09-30,159948000000.0,98546000000.0,14323000000.0,25845000000.0,134103000000.0,,0.0,9406000000.0,,64208000000.0,17077000000.0,14145000000.0,3148000000.0,40.260000000000005,26623000000.0,7134000000.0,19489000000.0,0.0,,28.4986,6.3529,40.260000000000005,17077000000.0,0.10547862463926981,0.08843499137219596,0.2202996511338151,0.2659637428357837,0.10676594893340335,0.12734241590419304,0.30352915524545226,0.2659637428357837,0.0,6.880262514836278,201211000000.0,43784000000.0,53089000000.0,53055000000.0,53089000000.0,119.11000000000001,119.11000000000001,0.0,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2016-12-31,167497000000.0,105408000000.0,16756000000.0,28461000000.0,139036000000.0,,0.0,12918000000.0,,-35950000000.0,-10013000000.0,-7958000000.0,-1562000000.0,-17.42000000000001,-15023000000.0,-3901000000.0,-18924000000.0,0.0,6.2908,28.2044,6.0857,-17.42000000000001,-10013000000.0,-0.05723697459650738,-0.04751129870982764,0.22136300417246174,0.2785257301808067,-0.05978017516731643,-0.07201731925544463,0.5263977746870654,0.2785257301808067,0.0,6.290761518262115,90272000000.0,19478000000.0,23716000000.0,18022000000.0,23716000000.0,54.849999999999994,54.849999999999994,0.0,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2017-03-31,172756000000.0,108794000000.0,15256000000.0,27807000000.0,144949000000.0,3937000000.0,,18132000000.0,,24750000000.0,6568000000.0,5426000000.0,1393000000.0,7.0,9548000000.0,2508000000.0,7040000000.0,3937000000.0,,28.0165,6.1189,7.0,6568000000.0,0.037433856045919596,0.03140846048762416,0.21923232323232322,0.2653737373737374,0.03801894000787238,0.044114288784707766,0.28444444444444444,0.2653737373737374,0.027161277414814868,7.1312270582066075,94765000000.0,20697000000.0,24942000000.0,19832000000.0,24942000000.0,55.849999999999994,55.849999999999994,0.15784620319140405,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2017-06-30,178621000000.0,112386000000.0,18685000000.0,30335000000.0,148286000000.0,,,15711000000.0,,50760000000.0,10700000000.0,8950000000.0,2246000000.0,12.0,16951000000.0,5339000000.0,11612000000.0,0.0,,32.9233,6.4152,12.0,10700000000.0,0.06035633842709359,0.05010609054926352,0.17631993695823484,0.210795902285264,0.059903370824259186,0.07215785711395546,0.22876280535855004,0.210795902285264,0.0,6.014771206850415,103768000000.0,20563000000.0,24332000000.0,19217000000.0,24332000000.0,41.839999999999996,41.839999999999996,0.0,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2017-09-30,189536000000.0,119345000000.0,20693000000.0,32436000000.0,157100000000.0,,,10581000000.0,,78532000000.0,18482000000.0,15682000000.0,3493000000.0,22.0,26823000000.0,8877000000.0,17946000000.0,0.0,,31.6632,6.3616,22.0,18482000000.0,0.09982176957352006,0.0827388992064832,0.1996892986298579,0.23534355421993583,0.09751181833530305,0.11764481222151496,0.22851831100697806,0.23534355421993583,0.0,5.7674092688348715,118092000000.0,22100000000.0,25737000000.0,17674000000.0,25737000000.0,23.57999999999999,23.57999999999999,0.0,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
2017-12-31,197295000000.0,124308000000.0,24183000000.0,44793000000.0,152502000000.0,,,10715000000.0,,-43187000000.0,-9604000000.0,-17396000000.0,7399000000.0,-5.0,-16231000000.0,-3540000000.0,-19771000000.0,0.0,5.1403,58.6636,6.7006,-5.0,-9604000000.0,-0.11407063513921128,-0.0881725335158012,0.40280640007409635,0.22238173524440225,-0.04867837502217492,-0.06297622326264574,0.45779980086600136,0.22238173524440225,0.0,5.140305173055452,110855000000.0,12662000000.0,26146000000.0,16827000000.0,26146000000.0,36.0,36.0,0.0,1.0870802,349.0,140.53,25.21129,3714000.0,28.1002,9.1044,9.2196
