report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,,,,,,2421000000.0,178000000.0,115000000.0,-93000000.0,0.36,493500000.0,,0.0,47.965,0.9194,0.36,,,0.0735233374638579,,,,,,,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2010-06-30,,,,,,4831000000.0,220000000.0,224000000.0,-98000000.0,0.45,493900000.0,,0.0,22.9114,0.6602,0.45,,,0.045539225833160835,,,,,,,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2010-09-30,,,,,,7498000000.0,303000000.0,338000000.0,-80000000.0,0.61,493900000.0,,0.0,17.4334,0.6004,0.61,,,0.04041077620698853,,,,,,,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2010-12-31,112395000000.0,97424000000.0,13861000000.0,4952000000.0,3132000000.0,-4661000000.0,-559000000.0,-220000000.0,62000000.0,-1.13,-987400000.0,1336000000.0,4952000000.0,45.3049,0.6377,-1.13,-0.040328980593030805,-0.004973530851016504,0.11993134520489165,0.35726138085275233,10089000000.0,142000000.0,457000000.0,0.29000000000000004,0.29000000000000004,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2011-03-31,112940000000.0,97711000000.0,14077000000.0,5347000000.0,3742000000.0,2568000000.0,82000000.0,127000000.0,30000000.0,0.17,494400000.0,336000000.0,5347000000.0,287.0609,0.645,0.17,0.005825104780848192,0.0007260492296794758,0.031931464174454825,0.37983945442921074,10236000000.0,46000000.0,469000000.0,0.10000000000000006,0.10000000000000006,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2011-06-30,112347000000.0,96789000000.0,14432000000.0,4755000000.0,2831000000.0,5223000000.0,-14000000.0,261000000.0,24000000.0,-0.03,490400000.0,842000000.0,4755000000.0,,0.4812,-0.03,-0.0009700665188470067,-0.00012461391937479416,-0.0026804518475971664,0.3294761640798226,10628000000.0,-188000000.0,506000000.0,-0.38,-0.38,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2011-09-30,113886000000.0,96518000000.0,16278000000.0,4708000000.0,3648000000.0,7744000000.0,15000000.0,385000000.0,5000000.0,0.03,493700000.0,2032000000.0,4708000000.0,,0.2725,0.03,0.0009214891264283082,0.0001317106580264475,0.0019369834710743802,0.28922472048163167,10874000000.0,-476000000.0,553000000.0,-0.9599999999999999,-0.9599999999999999,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2011-12-31,114302000000.0,96637000000.0,16541000000.0,4726000000.0,4488000000.0,-5191000000.0,39000000.0,-267000000.0,-6000000.0,0.07999999999999999,-985000000.0,-85000000.0,4726000000.0,56.9112,0.3246,0.07999999999999999,0.002357777643431473,0.0003412013788035205,-0.007513003274898863,0.2857142857142857,10344000000.0,122000000.0,506000000.0,0.25,0.25,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2012-03-31,110983000000.0,95100000000.0,14738000000.0,5095000000.0,4187000000.0,2426000000.0,47000000.0,95000000.0,22000000.0,0.09,495700000.0,-252000000.0,5095000000.0,89.5339,0.4075,0.09,0.0031890351472384313,0.00042348828198913345,0.019373454245671887,0.34570498032297464,10202000000.0,87000000.0,474000000.0,0.17,0.17,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2012-06-30,,,,,,2523000000.0,76000000.0,131000000.0,57000000.0,0.16,493900000.0,,0.0,10.8778,0.2848,0.16,,,0.030122869599682918,,7502000000.0,177000000.0,344000000.0,0.36,0.36,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2012-09-30,,,,,,2536000000.0,34000000.0,126000000.0,29000000.0,0.07,493900000.0,,0.0,9.5533,0.2576,0.07,,,0.013406940063091483,,2294000000.0,196000000.0,85000000.0,0.4,0.4,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2012-12-31,,,,,,2538000000.0,166000000.0,124000000.0,81000000.0,0.33,-989100000.0,,0.0,11.3651,0.379,0.33,,,0.06540583136327817,,10023000000.0,323000000.0,476000000.0,0.65,0.65,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2013-03-31,,,,,,2303000000.0,103000000.0,126000000.0,76000000.0,0.0,496800000.0,,0.0,12.7306,0.4999,0.0,,,0.04472427268779852,,9900000000.0,379000000.0,507000000.0,0.56,0.56,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2013-06-30,,,,,,4674000000.0,244000000.0,247000000.0,149000000.0,0.0,497200000.0,,0.0,13.1627,0.6064,0.0,,,0.05220367993153616,,12051000000.0,547000000.0,623000000.0,0.4,0.4,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2013-09-30,,,,,,6991000000.0,352000000.0,371000000.0,254000000.0,0.0,497900000.0,,0.0,12.1534,0.6604,0.0,,,0.05035045057931627,,16506000000.0,865000000.0,868000000.0,0.33,0.33,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2013-12-31,,,,,,-4565000000.0,-139000000.0,-252000000.0,-155000000.0,1.12,-993200000.0,,0.0,13.7219,0.8884,1.12,,,0.03044906900328587,,9403000000.0,560000000.0,492000000.0,1.12,1.12,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2014-03-31,,,,,,2322000000.0,184000000.0,127000000.0,87000000.0,0.0,502700000.0,,0.0,13.7249,1.0409,0.0,,,0.07924203273040482,,9422000000.0,641000000.0,493000000.0,1.12,1.12,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2014-06-30,,,,,,4737000000.0,360000000.0,247000000.0,172000000.0,0.0,503200000.0,,0.0,12.7741,1.0439,0.0,,,0.0759974667511083,,9485000000.0,757000000.0,493000000.0,1.12,1.12,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
2014-09-30,,,,,,7141000000.0,-484000000.0,361000000.0,-13000000.0,0.0,496400000.0,,0.0,,0.7986,0.0,,,-0.06777762218176726,,9635000000.0,-79000000.0,483000000.0,1.12,1.12,0.93233496,9.28,5.99,3.53612,3252.0564,14.5832,0.4122,0.4514
