report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-26,27193000000.0,2501000000.0,2388000000.0,18308000000.0,8885000000.0,,993000000.0,2491000000.0,634000000.0,306000000.0,-142000000.0,197000000.0,0.78,394323.0,747000000.0,331000000.0,,416000000.0,0.0,,16.4702,2.1375,0.78,634000000.0,0.03444006752954418,0.011252895965873571,0.12284223203532718,0.2545162585307106,0.0233148236678557,0.07135621834552616,0.1670012043356082,0.2545162585307106,0.0,1.047319932998325,,,,,,,,,,,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2010-06-25,26744000000.0,2143000000.0,2354000000.0,18167000000.0,8577000000.0,,633000000.0,5154000000.0,1400000000.0,719000000.0,277000000.0,424000000.0,1.84,390357000.0,1422000000.0,687000000.0,,735000000.0,0.0,,15.0849,2.0318,1.84,1400000000.0,0.08382884458435351,0.02688453484893808,0.13950329840900272,0.2716336825766395,0.05234819024827999,0.16322723563017372,0.14260768335273574,0.2716336825766395,0.0,0.9103653355989805,,,,,,,,,,,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2010-09-24,27029000000.0,2205000000.0,2540000000.0,18391000000.0,8638000000.0,,636000000.0,7820000000.0,2225000000.0,1133000000.0,408000000.0,712000000.0,2.92,387516000.0,2266000000.0,1092000000.0,,1174000000.0,0.0,,14.5981,2.0717,2.92,2225000000.0,0.13116462144014818,0.0419179399903807,0.1448849104859335,0.28452685421994883,0.0823189907136779,0.2575827737902292,0.15012787723785168,0.28452685421994883,0.0,0.8681102362204725,,,,,,,,,,,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2010-12-31,28141000000.0,2855000000.0,2537000000.0,19441000000.0,8700000000.0,,1292000000.0,-4829000000.0,-1188000000.0,-595000000.0,14000000.0,-350000000.0,-1.4800000000000004,-393758323.0,-1189000000.0,-285000000.0,,-1474000000.0,0.0,1.1253,15.4678,2.273,-1.4800000000000004,-1188000000.0,-0.06839080459770115,-0.02114352723783803,0.12321391592462208,0.2460136674259681,-0.04221598379588501,-0.13655172413793104,0.3052391799544419,0.2460136674259681,0.0,1.1253448955459204,10636000000.0,1563000000.0,3071000000.0,851000000.0,3071000000.0,557000000.0,4.06,4.06,0.0,5.51346499102334,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2011-04-01,27577000000.0,2171000000.0,2222000000.0,18821000000.0,8756000000.0,,534000000.0,2810000000.0,773000000.0,395000000.0,140000000.0,243000000.0,1.06,371586000.0,506000000.0,390000000.0,,116000000.0,0.0,,17.6651,2.6639,1.06,773000000.0,0.04511192325262677,0.014323530478297132,0.14056939501779359,0.27508896797153026,0.028030605214490335,0.088282320694381,0.04128113879003559,0.27508896797153026,0.0,0.9770477047704771,10955000000.0,1652000000.0,3210000000.0,551000000.0,3210000000.0,839000000.0,4.34,4.34,0.0,3.8259833134684147,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2011-07-01,28705000000.0,2967000000.0,2485000000.0,19764000000.0,8941000000.0,,1252000000.0,5829000000.0,1699000000.0,901000000.0,274000000.0,529000000.0,0.81,1111886000.0,1587000000.0,947000000.0,,640000000.0,0.0,,16.8374,2.5961,0.81,1699000000.0,0.10077172575774522,0.03138825988503745,0.15457196774746954,0.2914736661519986,0.05918829472217384,0.1900234873056705,0.10979584834448447,0.2914736661519986,0.0,1.193963782696177,11630000000.0,1834000000.0,3509000000.0,456000000.0,3509000000.0,836000000.0,3.3099999999999996,3.3099999999999996,0.0,4.197368421052632,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2011-09-30,28248000000.0,2301000000.0,2568000000.0,19980000000.0,8268000000.0,8160000000.0,580000000.0,8792000000.0,2577000000.0,1365000000.0,412000000.0,811000000.0,1.24,1100000000.0,2585000000.0,1436000000.0,,1149000000.0,8160000000.0,,10.9268,1.6887,1.24,2577000000.0,0.1650943396226415,0.04832200509770603,0.1552547770700637,0.2931073703366697,0.09122769753610875,0.1568663257852447,0.1306869881710646,0.2931073703366697,0.9869375907111756,0.8960280373831776,12602000000.0,2066000000.0,3861000000.0,431000000.0,3861000000.0,840000000.0,1.6299999999999997,1.6299999999999997,2.1134421134421135,4.5964285714285715,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2011-12-30,29473000000.0,2935000000.0,2687000000.0,21005000000.0,8468000000.0,8734000000.0,783000000.0,-5688000000.0,-1631000000.0,-839000000.0,-274000000.0,-517000000.0,-1.4400000000000004,-1494472000.0,-1187000000.0,-476000000.0,,-1663000000.0,8734000000.0,1.097,11.9266,1.8747,-1.4400000000000004,-1631000000.0,-0.09907888521492678,-0.028466732263427545,0.14750351617440224,0.28674402250351616,-0.05533878465035796,-0.09481455644692477,0.29236990154711673,0.28674402250351616,1.031412376003779,1.0922962411611463,11743000000.0,1822000000.0,3418000000.0,242000000.0,3418000000.0,552000000.0,1.67,1.67,2.555295494441194,6.192028985507246,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2012-03-30,29186000000.0,2468000000.0,2593000000.0,20682000000.0,8504000000.0,8623000000.0,627000000.0,2966000000.0,856000000.0,449000000.0,144000000.0,267000000.0,0.43,1049000000.0,444000000.0,469000000.0,,-25000000.0,8623000000.0,,11.7205,1.8712,0.43,856000000.0,0.05279868297271872,0.015384088261495238,0.15138233310856372,0.28860418071476734,0.029329130404988694,0.04997956443043148,-0.008428860418071477,0.28860418071476734,1.0139934148635936,0.9517932896259159,11899000000.0,1876000000.0,3501000000.0,101000000.0,3501000000.0,556000000.0,1.0399999999999996,1.0399999999999996,2.463010568409026,6.296762589928058,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
2012-06-29,29589000000.0,2372000000.0,2575000000.0,20694000000.0,8895000000.0,8581000000.0,642000000.0,5978000000.0,1799000000.0,961000000.0,283000000.0,564000000.0,0.92,1046000000.0,1291000000.0,1223000000.0,,68000000.0,8581000000.0,,12.1495,1.9469,0.92,1799000000.0,0.10803822372119168,0.032478285849471086,0.16075610572097693,0.3009367681498829,0.06079962148095576,0.10294117647058823,0.011375041820006692,0.3009367681498829,0.964699269252389,0.9211650485436893,12048000000.0,1936000000.0,3601000000.0,-471000000.0,3601000000.0,565000000.0,1.1499999999999997,1.1499999999999997,2.382949180783116,6.373451327433628,1.2855524,43.345,26.2184,12.88091,73712.83,25.515,5.1313,5.2308
