report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,25334501000.0,2344294000.0,2759838000.0,,,,466000000.0,79504000.0,,2807462000.0,403665000.0,166058000.0,143830000.0,121898000.0,0.36,459697000.0,555539000.0,,,466000000.0,,14.4461,1.0056,0.36,403665000.0,,0.006554618936445601,0.05914879702735068,0.1437828900266504,0.01593341033241586,0.8662339055793992,,0.1437828900266504,,0.8494317420080454,,,,,,,,,,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2010-06-30,25563212000.0,2263947000.0,2345667000.0,,,,129000000.0,65988000.0,,5115226000.0,728969000.0,304774000.0,285285000.0,198764000.0,0.66,460068000.0,911531000.0,,,129000000.0,,13.597,0.9499,0.66,728969000.0,,0.01192236718922489,0.05958172718077363,0.1425096369153582,0.02851633042044951,5.650922480620155,,0.1425096369153582,,0.96516129527337,,,,,,,,,,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2010-09-30,26301466000.0,2529513000.0,2199484000.0,26301466000.0,,8864759000.0,40000000.0,213455000.0,,7744013000.0,1297599000.0,616020000.0,430134000.0,364964000.0,1.34,460722000.0,1521729000.0,,,8904759000.0,,13.4068,1.0274,1.34,1297599000.0,,0.02342150813950827,0.07954790365150471,0.16756157305004524,0.049335614980548996,0.1457197213310321,,0.16756157305004524,,1.150048374982496,,,,,,,,,,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2010-12-31,27387690000.0,2732643000.0,2536533000.0,,,,466400000.0,108437000.0,,-5355754000.0,-810264000.0,-335259000.0,-281958000.0,-248991000.0,-0.7400000000000002,-917096000.0,-1094857000.0,732495000.0,-1827352000.0,466400000.0,1.0773,14.3367,1.0588,-0.7400000000000002,-810264000.0,,-0.012241229545098545,0.06259790871649444,0.15128850204845107,-0.029584970473961112,-1.7372727272727273,0.3411941623905803,0.15128850204845107,,1.0773141922458727,10310947000.0,751593000.0,1619969000.0,1619969000.0,577291000.0,1.6199999999999999,1.6199999999999999,0.28790674389448195,2.806156687008805,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2011-03-31,27466649000.0,2514129000.0,2484756000.0,,,,531500000.0,94338000.0,,2816540000.0,426663000.0,202509000.0,144354000.0,112001000.0,0.42,484301000.0,659443000.0,,,531500000.0,,14.5986,1.1291,0.42,426663000.0,,0.007372905227718168,0.07189991975970517,0.15148480049990415,0.01553385707881584,0.8027525870178739,,0.15148480049990415,,1.0118212814457435,10320025000.0,788044000.0,1642967000.0,1642967000.0,577815000.0,1.6799999999999997,1.6799999999999997,0.32350010681894403,2.843413549319419,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2011-06-30,28003224000.0,2478963000.0,2638759000.0,,,,656000000.0,101603000.0,,5254762000.0,786105000.0,362331000.0,290692000.0,196534000.0,0.74,484775000.0,1123116000.0,,,656000000.0,,14.502,1.1342,0.74,786105000.0,,0.012938903034879127,0.06895288502124358,0.14959859266699424,0.02807194628732749,1.1983307926829267,,0.14959859266699424,,0.9394427456239846,10459561000.0,845601000.0,1700103000.0,1700103000.0,583222000.0,1.7599999999999998,1.7599999999999998,0.3858589744268435,2.9150186378428797,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2011-09-30,28537854000.0,2861473000.0,2653183000.0,28537854000.0,,9450157000.0,50000000.0,194155000.0,,8086360000.0,1437601000.0,700663000.0,438703000.0,389838000.0,1.43,485152000.0,1924118000.0,,,9500157000.0,,14.2884,1.1311,1.43,1437601000.0,,0.024552056366957377,0.08664751507476788,0.1777809793281526,0.05037523143821536,0.15132392022573943,,0.1777809793281526,,1.0785057042804813,10801908000.0,930244000.0,1840105000.0,1840105000.0,591791000.0,1.8499999999999996,1.8499999999999996,5.162834186092642,3.1093832113026387,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2011-12-31,29497267000.0,2982564000.0,3588639000.0,29497267000.0,,8848513000.0,219000000.0,60684000.0,,-5502892000.0,-868767000.0,-424331000.0,-282651000.0,-230057000.0,-0.8699999999999999,-968613000.0,-1301155000.0,0.0,-1301155000.0,9067513000.0,0.8312,15.7617,1.2534,-0.8699999999999999,-868767000.0,,-0.014385434420076951,0.0771105447826343,0.15787462301640665,-0.0294524574090203,-0.09581094617675211,0.2364493070189275,0.15787462301640665,,0.8311128536473019,10654770000.0,841172000.0,1781602000.0,1781602000.0,591098000.0,1.72,1.72,5.089527851899582,3.014055198968699,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2012-03-31,29453253000.0,2542834000.0,3708042000.0,29453253000.0,,8598363000.0,339000000.0,99742000.0,,2578079000.0,380162000.0,183893000.0,151830000.0,75515000.0,0.38,487995000.0,477483000.0,,,8937363000.0,,15.7547,1.2516,0.38,380162000.0,,0.006243554829071003,0.07132946662999853,0.14745940679087025,0.012907300935485802,0.04253626041596386,,0.14745940679087025,,0.685761919633057,10416309000.0,822556000.0,1735101000.0,1735101000.0,598574000.0,1.6800000000000002,1.6800000000000002,5.1509180157235805,2.898724301423049,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2012-06-30,29820143000.0,2560408000.0,3831222000.0,29820143000.0,,8706403000.0,481000000.0,63530000.0,,4852747000.0,785852000.0,366953000.0,303751000.0,177316000.0,0.75,488006000.0,865296000.0,,,9187403000.0,,16.5404,1.3744,0.75,785852000.0,,0.012305541257800139,0.07561758319566217,0.16193961894160153,0.026353059406857976,0.085535814636628,,0.16193961894160153,,0.6683006100925502,10014294000.0,827178000.0,1734848000.0,1734848000.0,611633000.0,1.69,1.69,5.295797095768621,2.83641987924131,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
2012-09-30,31057498000.0,3370844000.0,3160534000.0,31057498000.0,,10105947000.0,304000000.0,747273000.0,,7577088000.0,1506286000.0,765059000.0,457470000.0,380161000.0,1.57,488198000.0,1571921000.0,,,10409947000.0,,14.7892,1.3297,1.57,1506286000.0,,0.024633632754319103,0.10097005604263802,0.19879484044530035,0.04849991457779374,0.1446967981681367,,0.19879484044530035,,1.0665425526192727,9505022000.0,891574000.0,1803533000.0,1803533000.0,630400000.0,1.8300000000000003,1.8300000000000003,5.771974785046905,2.8609343274111674,0.43339252,84.23,65.21,4.62641,52352.184,25.9426,1.8596,3.5828
