report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-27,2991735000.0,481125000.0,444463000.0,,652018000.0,,,102431000.0,1177454000.0,,113483000.0,44826000.0,52462000.0,0.29,153855000.0,60592000.0,12429000.0,60716000.0,48163000.0,0.0,,14.0875,0.5807,0.29,174199000.0,0.06874963574625241,0.014983278933461687,0.038070277055409385,,0.09637998596972791,0.037932169794450375,0.1740488759512774,0.04090435804710842,0.14794548237128585,0.0,1.0824860562071534,,,,,,,,,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2010-09-26,3016507000.0,534790000.0,456450000.0,,657940000.0,,,128641000.0,1731787000.0,,122476000.0,40565000.0,50444000.0,0.26,153092000.0,92629000.0,20305000.0,90816000.0,72324000.0,0.0,,8.5671,0.4665,0.26,213292000.0,0.06165455816639815,0.013447673086785477,0.023423781331075935,,0.07072232324183055,0.04060192799154784,0.18615071283095724,0.04176264171055678,0.12316295248780595,0.0,1.1716288750136927,,,,,,,,,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2010-12-26,3285741000.0,857232000.0,504377000.0,,659927000.0,,,369668000.0,2393463000.0,,234120000.0,107704000.0,68516000.0,0.71,152600000.0,153327000.0,33565000.0,120950000.0,119762000.0,0.0,1.6994,13.2007,0.7171,0.71,355070000.0,0.16320593035290268,0.032779211751626194,0.04499923332844502,,0.09781642749438783,0.07125333372289538,0.35476651205360593,0.05003712194422893,0.14834990137720952,0.0,1.69958582568198,,,,,,,,,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2011-03-27,3171438000.0,768247000.0,426209000.0,,685681000.0,,,152537000.0,566504000.0,,31074000.0,5419000.0,1406000.0,0.04,153760000.0,-45154000.0,12852000.0,28648000.0,-58006000.0,0.0,,13.4663,0.7126,0.04,59722000.0,0.007903091962589018,0.0017086886138086255,0.009565687091353282,,0.05485221640094333,0.009798078978684118,0.045318449833085646,-0.1023929222035502,0.10542202702893537,0.0,1.802512382422708,5869208000.0,198514000.0,501153000.0,182243000.0,802283000.0,1.3,1.3,0.0,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2011-06-26,3056902000.0,823718000.0,663179000.0,,569528000.0,,229724000.0,178451000.0,1143206000.0,,-83003000.0,-114299000.0,-15209000.0,-0.78,146976000.0,45161000.0,23449000.0,58195000.0,21712000.0,229724000.0,,,0.6906,-0.78,-24808000.0,-0.20069074742593868,-0.0373904691743471,-0.09998110576746448,,-0.07260546218266874,-0.027152653241746056,-0.10385085054525982,0.018992202630147146,-0.021700375960238136,0.403358570605835,1.2420749149173904,5834960000.0,39389000.0,304667000.0,155792000.0,603276000.0,0.22999999999999998,0.22999999999999998,0.38079419701761713,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2011-09-25,2834961000.0,680075000.0,440322000.0,2834961000.0,589048000.0,771991000.0,,93685000.0,1680441000.0,,-49958000.0,-98614000.0,153000.0,-0.67,147103000.0,55874000.0,35457000.0,87597000.0,20417000.0,771991000.0,,,0.5239,-0.67,37639000.0,-0.1674125028860127,-0.03478495824104811,-0.05868340512996291,,-0.02972910087292562,-0.017622111909123266,-0.03670578139201008,0.012149786871422442,0.022398287116298637,1.3105740109464763,1.5444947106889957,5783614000.0,-99790000.0,132233000.0,103885000.0,427623000.0,-0.7,-0.7,1.805307478783882,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2011-12-25,2883450000.0,748589000.0,513308000.0,2883450000.0,506360000.0,698220000.0,74920000.0,175151000.0,-1066750000.0,,158594000.0,167825000.0,50156000.0,1.1400000000000001,-300649000.0,18046000.0,-26871000.0,-57986000.0,-8825000.0,773140000.0,2.4589,,0.5827,1.1400000000000001,100608000.0,0.3314341575163915,0.05820284728363592,-0.15732364659011014,,-0.14867026013592688,0.055001473928800566,0.12394998046111762,0.008272791188188423,-0.09431263182563862,1.52685836163994,1.4583622308633413,2323401000.0,-39669000.0,56707000.0,-24702000.0,173161000.0,-0.2699999999999998,-0.2699999999999998,4.464862180283089,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2012-03-25,2817780000.0,848314000.0,447927000.0,2817780000.0,552835000.0,699349000.0,,206468000.0,499376000.0,,19616000.0,42130000.0,4076000.0,0.28,151468000.0,-9607000.0,9357000.0,32628000.0,-18964000.0,699349000.0,,,0.5639,0.28,52244000.0,0.07620718659274467,0.014951486631319691,0.08436528787927333,,0.039281022716350006,0.006961508705434775,0.01566542936181903,-0.03797539329082695,0.10461856396783185,1.265023017717764,1.893866634518571,2256273000.0,-2958000.0,45249000.0,14340000.0,165683000.0,-0.02999999999999975,-0.02999999999999975,4.22100637965271,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2012-06-24,2716806000.0,962440000.0,443726000.0,2716806000.0,463772000.0,700820000.0,,290292000.0,1014588000.0,,-124008000.0,-46019000.0,-32465000.0,-0.31,147936000.0,73871000.0,19215000.0,57811000.0,54656000.0,700820000.0,,33.3098,0.5568,-0.31,-66197000.0,-0.0992276377185341,-0.0169386404476433,-0.0453573273092132,,-0.12222498196312198,-0.045644775519488694,-0.1064819267176831,0.05387014236320556,-0.06524520297894318,1.5111304692823198,2.1689961823287343,2127655000.0,65322000.0,4244000.0,47284000.0,124294000.0,0.4400000000000002,0.4400000000000002,5.638405715481037,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2012-09-23,2725565000.0,1194678000.0,463100000.0,2725565000.0,472086000.0,701678000.0,,334374000.0,1414262000.0,,64332000.0,-43737000.0,27707000.0,-0.29,151762000.0,124269000.0,29978000.0,82538000.0,94291000.0,701678000.0,,85.6602,0.8492,-0.29,146870000.0,-0.09264625513148028,-0.016046948063979397,-0.03092567006679102,,0.045488035455948046,0.02360317952424543,0.05480829195647507,0.06667152196693399,0.10384921605756217,1.4863351169066654,2.579740876700497,1861476000.0,120199000.0,118534000.0,121158000.0,233525000.0,0.8200000000000003,0.8200000000000003,3.004723263033936,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
2012-12-30,2806335000.0,1308408000.0,422577000.0,2806335000.0,632500000.0,696914000.0,164000.0,820489000.0,-938146000.0,,148400000.0,180799000.0,104164000.0,1.19,-298473000.0,-109224000.0,-23662000.0,-69202000.0,-132886000.0,697078000.0,3.3025,9.3275,0.7941,1.19,79198000.0,0.2858482213438735,0.06442530916658204,-0.19271947010380047,,-0.15818433378173546,0.052880358189596036,0.11161436185015094,0.1416474621221004,-0.08441969586823372,1.102099604743083,3.0962593799473233,1990080000.0,133173000.0,108340000.0,-2903000.0,212115000.0,0.8700000000000001,0.8700000000000001,3.2863210994036254,0.9912738,87.1,51.03,1.9164,12746.103,37.0547,5.521,4.512
