report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-01,2882607000.0,1859744000.0,1229551000.0,,1229353000.0,150000000.0,,823652000.0,,1934778000.0,,142347000.0,89489000.0,1.16,122332000.0,189181000.0,35519000.0,39844000.0,153662000.0,150000000.0,,14.1334,0.9395,1.16,,0.11579017580792499,0.04938134126504237,0.07357278199359306,,,,0.07942099817136643,,0.12201540159742563,1.5125391301377495,,,,,,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2010-07-31,2850863000.0,1814847000.0,1179602000.0,,1256849000.0,150000000.0,,772671000.0,,3846538000.0,,271623000.0,170350000.0,2.24,121243000.0,304837000.0,88122000.0,80161000.0,216715000.0,150000000.0,,12.3716,0.8491,2.24,,0.21611426670984343,0.09527746510442628,0.07061492698109313,,,,0.05634027273355937,,0.11934607896413968,1.5385248583844382,,,,,,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2010-10-30,2962589000.0,1904844000.0,1247630000.0,,1285011000.0,150000000.0,,732798000.0,,5720858000.0,,393001000.0,243270000.0,3.26,120522000.0,426761000.0,149659000.0,120123000.0,277102000.0,150000000.0,,13.3944,0.9321,3.26,,0.3058347360450611,0.13265458016619922,0.0686961641068525,,,,0.04843714002340208,,0.11673051826015497,1.5267699558362655,,,,,,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2011-01-29,3116204000.0,2043239000.0,1352320000.0,,1332692000.0,150000000.0,,833924000.0,,-3636074000.0,,-252174000.0,-160885000.0,-2.0300000000000002,-244195000.0,-247713000.0,-74649000.0,-79435000.0,-322362000.0,150000000.0,1.5111,13.9948,0.9871,-2.0300000000000002,,-0.18922151554897906,-0.08092345687252825,0.0693533739962388,,,,0.0886566114991059,,0.11255413854063805,1.510913836961666,7866100000.0,554797000.0,325117000.0,4.63,4.63,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2011-04-30,3101994000.0,1997241000.0,1238794000.0,,1406106000.0,150000000.0,,671005000.0,,2074576000.0,,172973000.0,108742000.0,1.48,116773000.0,41051000.0,70096000.0,39934000.0,-29045000.0,150000000.0,,14.7314,1.0774,1.48,,0.12301561902161004,0.05576187445881584,0.08337751906895674,,,,-0.014000451176529566,,0.10667759045192894,1.6122462653193348,8005898000.0,585423000.0,142410000.0,4.949999999999999,4.949999999999999,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2011-07-30,3055275000.0,1869862000.0,1164731000.0,,1425929000.0,150000000.0,,512716000.0,,4163986000.0,,321249000.0,202115000.0,2.76,116204000.0,161665000.0,145720000.0,77416000.0,15945000.0,150000000.0,,14.7642,1.0906,2.76,,0.22529102080117594,0.10514569064977784,0.07714939483466082,,,,0.0038292635950264962,,0.1051945784116881,1.6054024491492027,8323346000.0,635049000.0,-58360000.0,5.469999999999999,5.469999999999999,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2011-10-29,3181944000.0,1958100000.0,1269072000.0,3181944000.0,1447251000.0,150000000.0,,552924000.0,,6210413000.0,,465218000.0,279569000.0,4.03,115552000.0,413691000.0,231349000.0,117337000.0,182342000.0,150000000.0,,16.1721,1.2137,4.03,,0.32144942376961566,0.1462055900418109,0.07490934982906934,,,,0.029360688250523757,,0.10364477205405283,1.5429384621203526,8812901000.0,707266000.0,-153120000.0,6.24,6.24,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2012-01-28,3301209000.0,1924371000.0,1346052000.0,3301209000.0,1493012000.0,150000000.0,,649835000.0,,-3840684000.0,,-302270000.0,-194452000.0,-5.41,-118547000.0,203698000.0,-30894000.0,-74795000.0,172804000.0,150000000.0,1.4294,17.6359,1.3466,-5.41,,-0.202456510731327,-0.0915634241879263,0.07870212701695843,,,,-0.044993027283681764,,0.10046804714228687,1.4296409054033574,8608291000.0,657170000.0,342046000.0,2.8599999999999994,2.8599999999999994,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2012-04-28,3457486000.0,2058985000.0,1370637000.0,3457486000.0,1610635000.0,150000000.0,,741117000.0,,2356841000.0,,208613000.0,129058000.0,0.93,224929000.0,297330000.0,57993000.0,43136000.0,239337000.0,150000000.0,,20.1074,1.5671,0.93,,0.12952220707981635,0.060336614522806455,0.08851381998191647,,,,0.10154991363439451,,0.09313097008322804,1.5022102861662132,8890556000.0,692810000.0,610428000.0,2.3100000000000005,2.3100000000000005,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
2012-07-28,3560163000.0,2117992000.0,1415136000.0,3560163000.0,1664153000.0,150000000.0,,721046000.0,,4697696000.0,,390637000.0,244071000.0,1.74,224289000.0,504163000.0,152105000.0,87684000.0,352058000.0,150000000.0,,20.8379,1.6562,1.74,,0.23473622918085055,0.10972447048070552,0.08315501897100196,,,,0.0749426953127661,,0.09013594302927676,1.4966702846934854,9424266000.0,762198000.0,946541000.0,1.2900000000000005,1.2900000000000005,0.9620708,216.7995,122.36,2.56635,67024.266,31.2461,9.9379,2.946
