report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,32068000000.0,9115000000.0,3537000000.0,8081000000.0,23983000000.0,38000000.0,,4560000000.0,,3919000000.0,2339000000.0,1476000000.0,44000000.0,846000000.0,4.15,1113000000.0,580000000.0,124000000.0,38000000.0,,24.7652,9.0457,4.15,2463000000.0,0.06154359337864321,0.04602719221653985,0.3766266904822659,0.5968359275325338,0.0729387551453162,0.09737313184297074,0.6284766522071957,0.0015844556560897303,2.5770426915465086,,,,,,,,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2010-06-30,32696000000.0,9850000000.0,3482000000.0,8016000000.0,24676000000.0,35000000.0,,5205000000.0,,5948000000.0,3476000000.0,2192000000.0,57000000.0,1252000000.0,7.63,1104000000.0,1798000000.0,187000000.0,35000000.0,,19.2755,6.664,7.63,3663000000.0,0.0888312530393905,0.06704183998042575,0.3685272360457297,0.5843981170141224,0.10631269880107659,0.14066610011735664,0.6158372562205784,0.0014183822337493922,2.8288340034462953,,,,,,,,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2010-09-30,33408000000.0,8734000000.0,3498000000.0,8394000000.0,25011000000.0,32000000.0,,3867000000.0,,8065000000.0,4589000000.0,2966000000.0,72000000.0,1674000000.0,10.309999999999999,1096000000.0,2691000000.0,265000000.0,32000000.0,2.4969,18.2979,6.7293,10.309999999999999,4854000000.0,0.11858782135860221,0.08878113026819924,0.36776193428394294,0.5690018598884067,0.13736230842911878,0.18324481891147226,0.6018598884066956,0.0012794370476990125,2.49685534591195,,,,,,,,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2010-12-31,33989000000.0,9355000000.0,3679000000.0,8445000000.0,25541000000.0,29000000.0,,3684000000.0,,2238000000.0,1366000000.0,884000000.0,,498000000.0,2.86,1058000000.0,1006000000.0,67000000.0,29000000.0,,16.3411,6.0464,2.86,1433000000.0,0.034611017579577935,0.026008414487039926,0.39499553172475427,0.610366398570152,0.04018947306481509,0.05342197888150176,0.6403038427167114,0.0011354293097372852,2.542810546344115,20170000000.0,7518000000.0,11770000000.0,12413000000.0,24.95,24.95,0.0023362603721904453,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2011-03-31,34422000000.0,9606000000.0,3465000000.0,8268000000.0,26151000000.0,25000000.0,,3512000000.0,,4483000000.0,2749000000.0,1765000000.0,,995000000.0,5.72,1049000000.0,1609000000.0,137000000.0,25000000.0,,16.1192,6.0804,5.72,2886000000.0,0.06749263890482199,0.05127534716169891,0.3937095694847201,0.6132054427838501,0.07986171634419847,0.10501986552567237,0.6437653357126923,0.0009559863867538526,2.7722943722943723,20734000000.0,7807000000.0,12180000000.0,12836000000.0,26.519999999999996,26.519999999999996,0.0019476472421315052,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2011-06-30,34447000000.0,9516000000.0,3531000000.0,8395000000.0,26050000000.0,22000000.0,,3600000000.0,,6805000000.0,4094000000.0,2770000000.0,,1534000000.0,8.85,1035000000.0,3004000000.0,211000000.0,22000000.0,,16.7472,6.6523,8.85,4305000000.0,0.10633397312859885,0.08041338868406538,0.4070536370315944,0.6016164584864071,0.11884924666879554,0.15702669530530838,0.6326230712711242,0.0008445297504798465,2.6949872557349193,21591000000.0,8385000000.0,12798000000.0,13478000000.0,27.74,27.74,0.001632289657219172,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2011-09-30,34760000000.0,9190000000.0,3451000000.0,8323000000.0,26437000000.0,,,2127000000.0,,-4338000000.0,-2753000000.0,-1769000000.0,,-1017000000.0,-4.6899999999999995,-2120000000.0,-1747000000.0,-127000000.0,0.0,2.663,16.2342,6.4492,-4.6899999999999995,-2880000000.0,-0.06691379505995386,-0.05089182968929804,0.4077916090364223,0.6346242508068234,-0.07920023014959723,-0.10413435715096267,0.6639004149377593,0.0,2.662996232975949,9188000000.0,3650000000.0,5456000000.0,5744000000.0,12.74,12.74,0.0,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2011-12-31,35768000000.0,9978000000.0,3537000000.0,8467000000.0,27301000000.0,,,1942000000.0,,2547000000.0,1618000000.0,1029000000.0,,590000000.0,3.2199999999999998,981000000.0,1286000000.0,80000000.0,0.0,,18.674,7.4621,3.2199999999999998,1698000000.0,0.03769092707226841,0.02876873182733169,0.4040047114252061,0.635257165292501,0.04523596510847685,0.05926522837991283,0.6666666666666666,0.0,2.8210347752332483,9497000000.0,3795000000.0,5708000000.0,6009000000.0,13.100000000000001,13.100000000000001,0.0,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2012-03-31,36846000000.0,10295000000.0,3587000000.0,8325000000.0,28521000000.0,,,2042000000.0,,5125000000.0,3224000000.0,2321000000.0,,907000000.0,7.949999999999999,972000000.0,2383000000.0,160000000.0,0.0,,19.0161,8.1365,7.949999999999999,3384000000.0,0.08137863328775288,0.06299191228355859,0.4528780487804878,0.6290731707317073,0.08749932150029854,0.11303951474352232,0.6602926829268293,0.0,2.8700864231948704,10139000000.0,4351000000.0,6183000000.0,6507000000.0,15.329999999999998,15.329999999999998,0.0,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
2012-06-30,38741000000.0,10899000000.0,7854000000.0,12583000000.0,26158000000.0,,,1558000000.0,,7690000000.0,617000000.0,482000000.0,,139000000.0,1.03,969000000.0,3640000000.0,244000000.0,0.0,,62.5576,8.4586,1.03,861000000.0,0.018426485205290926,0.012441599339201363,0.06267880364109232,0.08023407022106632,0.01592627965204822,0.023587430231669086,0.11196358907672302,0.0,1.3877005347593583,11024000000.0,2063000000.0,2706000000.0,3063000000.0,7.51,7.51,0.0,0.7826582,375.51,293.89,8.31674,505671.88,24.3205,17.2671,12.217
