report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2018-12-31,1962149000.0,1563006000.0,222803000.0,431908000.0,1530241000.0,,658364000.0,135068000.0,-413266000.0,-384700000.0,326000.0,,,-330865000.0,105766000.0,24862000.0,-436631000.0,0.0,7.009,,,,-388404000.0,-0.25139830915522454,-0.19606054382210525,-2.8481949832676876,-3.0596884532235613,-0.2106190712326128,-0.2700659569309671,-3.2326753931353096,-2.8756182071253,0.0,7.015192793633838,,,,,,,,,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2019-03-31,1806207000.0,1140827000.0,159159000.0,360174000.0,1446033000.0,,502934000.0,16025000.0,-141833000.0,-132657000.0,-24000.0,-0.4,,-143927000.0,7595000.0,7300000.0,-151522000.0,0.0,7.009,,,-0.4,-134533000.0,-0.09173857028159109,-0.07344507024942323,-8.278127925117005,-8.850733229329173,-0.07852532959954202,-0.0980842069302706,-9.455351014040561,-8.395195007800313,0.0,7.16784473388247,,,,,,,,,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2019-06-30,1685279000.0,1097418000.0,161987000.0,346725000.0,1338554000.0,,151624000.0,29108000.0,-285769000.0,-267711000.0,-348000.0,,,-256147000.0,18181000.0,14817000.0,-274328000.0,0.0,,,,,-270952000.0,-0.2000001494149657,-0.15885262914923878,-9.19716229215336,-9.81754156932802,-0.1695677688976128,-0.21349082666818073,-9.424488113233476,-9.308506252576612,0.0,6.7747288362646385,,,,,,,,,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2019-09-30,1590899000.0,1094466000.0,147842000.0,339092000.0,1251807000.0,,173711000.0,46154000.0,-416626000.0,-390905000.0,-526000.0,,,-363195000.0,24892000.0,22082000.0,-388087000.0,0.0,,64.4969,,,-394544000.0,-0.31227257876014436,-0.24571327280990182,-8.469580101399663,-9.02686657711141,-0.2618808610728902,-0.33281967587655287,-8.40852363825454,-8.548424838583871,0.0,7.40294368312117,226355000.0,-1175973000.0,-1257494000.0,-1250568000.0,-1188433000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2019-12-31,1589422000.0,1128804000.0,143115000.0,414612000.0,1174810000.0,,235876000.0,-31078000.0,298508000.0,277273000.0,203000.0,,,304301000.0,-19114000.0,-13178000.0,285187000.0,0.0,7.8951,108.2786,,,285330000.0,0.23601518543424044,0.17444895062481833,-8.921841817362765,-9.605122594761568,0.18780915326452005,0.2540904486682953,-9.17649140871356,-9.181092734410194,0.0,7.887391258777906,60209000.0,-514000000.0,-545720000.0,-528750000.0,-514699000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2020-03-31,2067541000.0,1249936000.0,134582000.0,426667000.0,1640874000.0,,391720000.0,8389000.0,-130862000.0,-124230000.0,66000.0,,,-106191000.0,6223000.0,7400000.0,-112414000.0,0.0,,187.3317,,,-123462000.0,-0.07570965229505738,-0.060085870123010865,-14.80867803075456,-15.5992370961974,-0.06329354532751709,-0.07975140077787814,-13.400166885206819,-14.717129574442723,0.0,9.287542167600423,52573000.0,-505573000.0,-534749000.0,-489642000.0,-503628000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2020-06-30,3486006000.0,2796744000.0,161647000.0,539121000.0,2946885000.0,,1761629000.0,74740000.0,-252989000.0,-240943000.0,214000.0,-0.66,,-130066000.0,24855000.0,15045000.0,-154921000.0,0.0,,235.0746,,-0.66,-237944000.0,-0.08176192827341414,-0.06911720748616038,-3.2237489965212736,-3.384921059673535,-0.07257273797004365,-0.08584963444450666,-2.072799036660423,-3.1836232271875837,0.0,17.30155214758084,98205000.0,-478805000.0,-501969000.0,-370235000.0,-470620000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2020-09-30,4650873000.0,3577211000.0,1473561000.0,1891075000.0,2759798000.0,,1505581000.0,232650000.0,-488106000.0,-474579000.0,1100000.0,,,762682000.0,44147000.0,23500000.0,718535000.0,0.0,,113.1159,,,-464606000.0,-0.17196149863142157,-0.1020408426547016,-2.0398839458413924,-2.0980270793036753,-0.10494932886793512,-0.17686294431693914,3.0884805501826778,-1.997016978293574,0.0,2.4275961429489517,284701000.0,-562479000.0,-573449000.0,736387000.0,-540682000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2020-12-31,7336750000.0,6297879000.0,4388808000.0,4775375000.0,2561375000.0,,2623850000.0,487616000.0,108813000.0,92688000.0,1171000.0,-1.2999999999999998,,1500546000.0,-7777000.0,-14694000.0,1492769000.0,0.0,1.435,51.4561,,-1.2999999999999998,94119000.0,0.03618681372309795,0.012633386717552049,0.1900840005250033,0.2231530548628429,0.014831226360445702,0.042482260504611784,3.061361809292558,0.1930186868355427,0.0,1.4349862194928555,803395000.0,-747064000.0,-763144000.0,1943969000.0,-731893000.0,,,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2021-03-31,12694000000.0,11703000000.0,8441000000.0,8856000000.0,3838000000.0,,5442000000.0,1937000000.0,1266000000.0,1221000000.0,39000000.0,2.84,430000000.0,2971000000.0,35000000.0,15000000.0,2936000000.0,0.0,,19.1814,87.6021,2.84,1281000000.0,0.31813444502344973,0.09618717504332755,0.6303562209602478,0.6535880227155395,0.09973215692453127,0.32985930171964567,1.5157459989674755,0.66133195663397,0.0,1.3864471034237649,2732006000.0,598166000.0,633718000.0,4992383000.0,672569000.0,,,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2021-06-30,16153000000.0,10969000000.0,8840000000.0,9449000000.0,6704000000.0,,5603000000.0,6291000000.0,4328000000.0,4001000000.0,322000000.0,9.3,430000000.0,7034000000.0,65000000.0,84000000.0,6969000000.0,0.0,,13.4411,26.9968,9.3,4412000000.0,0.5968078758949881,0.24769392682473843,0.6359879192497219,0.6879669368939755,0.26793784436327617,0.6455847255369929,1.1077730090605626,0.7013193450961691,0.0,1.2408371040723982,8948266000.0,4840109000.0,5214707000.0,12116304000.0,5322513000.0,,,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2021-09-30,20923000000.0,13425000000.0,9957000000.0,10799000000.0,10124000000.0,,5550000000.0,11260000000.0,7886000000.0,7334000000.0,541000000.0,17.0,431000000.0,10310000000.0,164000000.0,154000000.0,10146000000.0,0.0,,13.1308,21.9992,17.0,8040000000.0,0.7244172263927301,0.350523347512307,0.6513321492007105,0.7003552397868561,0.37690579744778474,0.778941129988147,0.9010657193605683,0.7140319715808171,0.0,1.3482976800241036,19975616000.0,12648688000.0,13588813000.0,21543769000.0,13827119000.0,27.84,27.84,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2021-12-31,24669000000.0,16071000000.0,9128000000.0,10524000000.0,14145000000.0,,6848000000.0,-1017000000.0,-184000000.0,-354000000.0,181000000.0,-0.8500000000000014,-860000000.0,-6695000000.0,20000000.0,-21000000.0,-6715000000.0,0.0,1.7606,5.575,8.4393,-0.8500000000000014,-205000000.0,-0.025026511134676563,-0.014349993919494103,0.3480825958702065,0.18092428711897737,-0.007458753901657952,-0.013008130081300813,6.602753195673549,0.2015732546705998,0.0,1.760626643295355,18471000000.0,12202000000.0,13296000000.0,13336000000.0,13528000000.0,28.29,28.29,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2022-03-31,27609000000.0,16350000000.0,9238000000.0,10534000000.0,17075000000.0,,5048000000.0,6066000000.0,4227000000.0,3657000000.0,572000000.0,8.58,426000000.0,2763000000.0,132000000.0,79000000.0,2631000000.0,0.0,,3.0719,4.7427,8.58,4306000000.0,0.21417276720351391,0.13245680756275127,0.602868447082097,0.6968348170128585,0.1531022492665435,0.24755490483162518,0.43372898120672604,0.709858226178701,0.0,1.7698636068413076,22600000000.0,14638000000.0,16257000000.0,13031000000.0,16553000000.0,34.03,34.03,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2022-06-30,26043000000.0,13563000000.0,6812000000.0,8058000000.0,17985000000.0,,2873000000.0,10815000000.0,6674000000.0,5854000000.0,849000000.0,13.85,423000000.0,3067000000.0,219000000.0,155000000.0,2848000000.0,0.0,,2.471,4.0427,13.85,6829000000.0,0.32549346677787044,0.22478209115693276,0.5412852519648637,0.6171058714748036,0.25626847905387246,0.3710870169585766,0.26333795654184006,0.6314378178455848,0.0,1.9910452143276571,27124000000.0,16491000000.0,18603000000.0,8910000000.0,18970000000.0,38.58,38.58,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2022-09-30,26056000000.0,14297000000.0,6807000000.0,8064000000.0,17992000000.0,,3027000000.0,14179000000.0,7840000000.0,6897000000.0,1023000000.0,16.46,419000000.0,3319000000.0,308000000.0,268000000.0,3011000000.0,0.0,,2.1627,3.9319,16.46,8108000000.0,0.3833370386838595,0.2646991096100706,0.4864235841737781,0.5529303900134,0.3008903899293829,0.4357492218763895,0.21235630157274843,0.5718315819169194,0.0,2.100337887468782,30043000000.0,16054000000.0,18557000000.0,1775000000.0,19038000000.0,38.04,38.04,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2022-12-31,25858000000.0,13431000000.0,4923000000.0,6735000000.0,19123000000.0,,3205000000.0,-11797000000.0,-9321000000.0,-8046000000.0,-1231000000.0,-18.77,-852000000.0,-4168000000.0,-259000000.0,-154000000.0,-4427000000.0,0.0,2.7282,3.5823,8.2524,-18.77,-9475000000.0,-0.4207498823406369,-0.31116095599040916,0.6820378062219208,0.7901161312198016,-0.3604687137442958,-0.4874235214140041,0.37526489785538697,0.8031702975332712,0.0,2.728214503351615,19263000000.0,8362000000.0,9420000000.0,4063000000.0,9768000000.0,20.12,20.12,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2023-03-31,24125000000.0,12122000000.0,3499000000.0,5262000000.0,18863000000.0,,3441000000.0,1862000000.0,-366000000.0,79000000.0,-384000000.0,0.19,405000000.0,-1225000000.0,113000000.0,78000000.0,-1338000000.0,0.0,,3.9334,12.3814,0.19,-288000000.0,0.00418809309229709,0.0032746113989637307,0.04242749731471536,-0.19656283566058003,-0.015170984455958549,-0.019403064199756136,-0.7185821697099892,-0.15467239527389903,0.0,3.4644184052586455,15059000000.0,4784000000.0,4827000000.0,94000000.0,5174000000.0,11.73,11.73,0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2023-06-30,21884000000.0,10599000000.0,3123000000.0,4935000000.0,16949000000.0,,3801000000.0,2206000000.0,-2233000000.0,-1301000000.0,-753000000.0,-3.39,383000000.0,-2140000000.0,347000000.0,,-2487000000.0,0.0,,4.3474,38.3736,-3.39,-2233000000.0,-0.07675969083721754,-0.05944982635715591,-0.5897552130553038,-1.0122393472348141,-0.102038018643758,-0.1317481857336716,-1.1273798730734361,-1.0122393472348141,0.0,3.393852065321806,6450000000.0,-2371000000.0,-4080000000.0,-5241000000.0,-3888000000.0,-5.509999999999999,-5.509999999999999,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2023-09-30,19450000000.0,10799000000.0,4385000000.0,5995000000.0,13455000000.0,,2932000000.0,4037000000.0,-4245000000.0,-4931000000.0,919000000.0,-12.89,382000000.0,-3740000000.0,487000000.0,,-4227000000.0,0.0,,4.3108,,-12.89,-4245000000.0,-0.36648086213303604,-0.25352185089974294,-1.2214515729502105,-1.0515234084716374,-0.21825192802056556,-0.31549609810479373,-1.047064651969284,-1.0515234084716374,0.0,2.462713797035348,-3692000000.0,-14199000000.0,-16165000000.0,-12479000000.0,-16241000000.0,-34.86,-34.86,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
2023-12-31,18426000000.0,10325000000.0,3015000000.0,4572000000.0,13854000000.0,,2907000000.0,-1257000000.0,2605000000.0,1439000000.0,990000000.0,3.76,-788000000.0,3987000000.0,-240000000.0,,3747000000.0,0.0,3.4245,5.5372,,3.76,2605000000.0,0.10386891872383427,0.07809616845761425,-1.1447891805887032,-2.0723945902943517,0.14137631607511125,0.18803233723112459,-2.98090692124105,-2.0723945902943517,0.0,3.4245439469320065,6848000000.0,-4714000000.0,-4239000000.0,-4305000000.0,-4161000000.0,-12.33,-12.33,-0.0,1.2081299,59.55,22.28,7.94418,20682.977,1.3321,10.6394
