report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-03-31,22001000000.0,5968000000.0,4451000000.0,18975000000.0,2697000000.0,11029000000.0,,768000000.0,3888000000.0,315000000.0,96000000.0,193000000.0,0.11,866000000.0,47000000.0,11029000000.0,1.3334,,,0.11,315000000.0,0.035595105672969966,0.004363438025544293,0.024691358024691357,0.08101851851851852,0.014317531021317213,0.02294914760308903,0.08101851851851852,4.089358546533185,1.3408222871264883,,,,,,,,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2020-06-30,24176000000.0,8053000000.0,4789000000.0,19810000000.0,4366000000.0,11728000000.0,,2704000000.0,7860000000.0,757000000.0,357000000.0,299000000.0,0.41,870900000.0,556000000.0,11728000000.0,,,,0.41,757000000.0,0.08176820888685296,0.014766710787557908,0.04541984732824427,0.09631043256997456,0.031312045003309065,0.04703616254504785,0.09631043256997456,2.686211635364178,1.6815619127166423,,,,,,,,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2020-09-30,25728000000.0,9334000000.0,5182000000.0,20291000000.0,5437000000.0,11751000000.0,,3848000000.0,12862000000.0,1838000000.0,1098000000.0,560000000.0,1.25,876200000.0,1493000000.0,11751000000.0,,,,1.25,1838000000.0,0.20194960456133898,0.04267723880597015,0.0853677499611258,0.1429015705178044,0.07143967661691543,0.10693507097975331,0.1429015705178044,2.1613021887070074,1.8012350443844076,,,,,,,,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2020-12-31,25093000000.0,8524000000.0,5110000000.0,18515000000.0,6578000000.0,10036000000.0,,3115000000.0,-7154000000.0,173000000.0,431000000.0,-203000000.0,0.48,-1732900000.0,-404000000.0,10036000000.0,1.6681,16.4941,1.8728,0.48,173000000.0,0.06552143508665248,0.017176104889809907,-0.06024601621470506,-0.024182275649986023,0.006894353006814649,0.010412904779101962,-0.024182275649986023,1.5256916996047432,1.6681017612524462,17456000000.0,1982000000.0,3083000000.0,3083000000.0,2.25,2.25,3.255270840090821,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2021-03-31,24868000000.0,8328000000.0,5138000000.0,18050000000.0,6818000000.0,9577000000.0,,2599000000.0,4699000000.0,571000000.0,384000000.0,104000000.0,0.43,889800000.0,184000000.0,9577000000.0,,16.1679,2.0091,0.43,571000000.0,0.05632150190671751,0.015441531285185781,0.08171951479038093,0.12151521600340498,0.022961235322502816,0.034827691369319916,0.12151521600340498,1.40466412437665,1.6208641494745037,18267000000.0,2270000000.0,3339000000.0,3339000000.0,2.5700000000000003,2.5700000000000003,2.8682240191674153,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2021-06-30,25738000000.0,8754000000.0,5604000000.0,18618000000.0,7120000000.0,9600000000.0,,2630000000.0,10139000000.0,1354000000.0,871000000.0,338000000.0,0.98,890400000.0,745000000.0,9600000000.0,,16.9204,2.14,0.98,1354000000.0,0.1223314606741573,0.03384101328774575,0.08590590788046158,0.1335437419863892,0.052607040174061696,0.08098086124401914,0.1335437419863892,1.348314606741573,1.5620985010706638,20546000000.0,2784000000.0,3936000000.0,3936000000.0,3.1399999999999997,3.1399999999999997,2.4390243902439024,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2021-09-30,25788000000.0,11300000000.0,6068000000.0,18566000000.0,7222000000.0,9558000000.0,,2671000000.0,15480000000.0,2182000000.0,1340000000.0,626000000.0,1.5,890900000.0,1324000000.0,9558000000.0,,20.1943,2.2373,1.5,2182000000.0,0.1855441705898643,0.051962152939351636,0.08656330749354005,0.14095607235142119,0.08461299829378005,0.1300357568533969,0.14095607235142119,1.3234561063417336,1.8622280817402768,23164000000.0,3026000000.0,4280000000.0,4280000000.0,3.3899999999999997,3.3899999999999997,2.2331775700934577,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2021-12-31,26172000000.0,11407000000.0,6627000000.0,19078000000.0,7094000000.0,,,2987000000.0,-9705000000.0,-1462000000.0,-931000000.0,-369000000.0,-1.04,-1780800000.0,-16000000.0,0.0,1.7213,28.1317,2.271,-1.04,-1462000000.0,-0.13123766563292924,-0.03557236741555861,0.09592993302421432,0.1506439979392066,-0.05586122573742931,-0.20608965322808007,0.1506439979392066,0.0,1.7212916855288969,20613000000.0,1664000000.0,2645000000.0,2645000000.0,1.8699999999999999,1.8699999999999999,0.0,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2022-03-31,24193000000.0,9602000000.0,5531000000.0,16763000000.0,7430000000.0,8305000000.0,,3604000000.0,4654000000.0,1737000000.0,1379000000.0,301000000.0,1.58,874100000.0,-202000000.0,8305000000.0,,14.7151,1.9023,1.58,1737000000.0,0.18559892328398384,0.05699995866572976,0.29630425440481306,0.37322733132789,0.07179762741288803,0.1103908484270734,0.37322733132789,1.1177658142664872,1.7360332670403182,20568000000.0,2659000000.0,3811000000.0,3811000000.0,3.02,3.02,2.179218053004461,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
2022-06-30,23662000000.0,9276000000.0,5546000000.0,16670000000.0,6992000000.0,8298000000.0,,3017000000.0,9865000000.0,2556000000.0,1952000000.0,471000000.0,2.25,868400000.0,-170000000.0,8298000000.0,,11.0194,1.4872,2.25,2556000000.0,0.2791762013729977,0.08249513988673823,0.19787126203750632,0.2590978205778003,0.10802129997464288,0.16716808371484632,0.2590978205778003,1.1867848970251715,1.6725567976920304,20294000000.0,3740000000.0,5013000000.0,5013000000.0,4.29,4.29,1.6552962298025136,1.3341254,81.09,50.24,6.81222,48129.316,32.4322,3.2239,2.2131
