report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-04-30,406967000.0,383560000.0,88756000.0,93340000.0,313627000.0,338038000.0,37314000.0,31828000.0,-12729000.0,-12064000.0,,245000.0,-0.37,,-7566000.0,1190000.0,470000.0,-8756000.0,0.0,1.9459,,,-0.37,-12259000.0,-0.03846607594371658,-0.029643681182995183,-0.3233102856836576,0.8529774347429919,-0.3411320147933751,-0.03127772030656048,-0.040586429102086236,-0.23465723321005522,-0.328536206249665,0.0,4.321510658434359,,,,,,,,,,,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2019-07-31,418312000.0,393693000.0,100500000.0,109149000.0,309163000.0,306316000.0,77675000.0,66083000.0,-27110000.0,-24634000.0,,500000.0,,,-5407000.0,2019000.0,1046000.0,-7426000.0,0.0,,,,,-26064000.0,-0.0796796511872378,-0.05888905888427776,-0.3171419375603476,0.850762793691664,-0.3490183456710653,-0.06480808583067184,-0.0876883715062928,-0.09560347602188607,-0.3355519794013518,0.0,3.9173432835820896,,,,,,,,,,,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2019-10-31,419997000.0,393532000.0,106332000.0,115506000.0,304491000.0,176347000.0,120425000.0,102199000.0,-43803000.0,-39899000.0,,700000.0,,,-1975000.0,3190000.0,1675000.0,-5165000.0,0.0,,,,,-42128000.0,-0.13103507164415368,-0.09499829760688767,-0.33131824787211955,0.8486526883952668,-0.3637367656217563,-0.10429360209715784,-0.14385646866409846,-0.04288976541415819,-0.34982769358521904,0.0,3.7009743068878604,,,,,,,,,,,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2020-01-31,435398000.0,404991000.0,115032000.0,127460000.0,307938000.0,124024000.0,-69063000.0,-58338000.0,28083000.0,26258000.0,0.0,-770000.0,,,14775000.0,-1225000.0,-854000.0,13550000.0,0.0,3.5217,,10.8234,,27229000.0,0.08527041157635629,0.06030804000018374,-0.3802035822365087,0.8447070066461058,-0.40662873028973545,0.06449960725589002,0.09119692925199228,-0.19619767458697132,-0.3942632089541433,0.0,3.5206812017525557,166351000.0,-50339000.0,-55559000.0,141772000.0,-7797000.0,-53222000.0,,,,-0.0,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2020-04-30,466319000.0,407312000.0,122191000.0,158776000.0,307543000.0,139455000.0,49786000.0,42823000.0,-12600000.0,-11459000.0,,200000.0,,,-185000.0,2713000.0,1023000.0,-2898000.0,0.0,,,9.2541,,-11577000.0,-0.03725983033266893,-0.02457330711379978,-0.2301651066564898,0.8601414052143173,-0.25308319607921903,-0.02702012999684765,-0.04096988063457793,-0.058209135098220385,-0.2325352508737396,0.0,3.3334042605429204,178823000.0,-49734000.0,-55430000.0,152767000.0,-1939000.0,-52540000.0,,,,-0.0,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2020-07-31,719187000.0,661275000.0,129771000.0,377316000.0,341871000.0,376638000.0,100500000.0,86900000.0,-26049000.0,-26147000.0,1608000.0,500000.0,,,1862000.0,3292000.0,2039000.0,-1430000.0,0.0,,,12.6793,,-24010000.0,-0.07648206487242264,-0.03635633013388729,-0.2601691542288557,0.8646766169154229,-0.25919402985074624,-0.03622006515690634,-0.07619540703949736,-0.014228855721393034,-0.2389054726368159,0.0,5.095707053193703,201648000.0,-51247000.0,-54369000.0,173584000.0,4057000.0,-50486000.0,,,,-0.0,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2020-10-31,777897000.0,620893000.0,150814000.0,403339000.0,374558000.0,336657000.0,154272000.0,132987000.0,-47888000.0,-46755000.0,5741000.0,-4400000.0,,,6706000.0,3402000.0,3352000.0,3304000.0,0.0,,,10.6067,,-44536000.0,-0.12482712957672777,-0.0601043582890794,-0.30306860609831987,0.8620294026135656,-0.310412777432068,-0.06156084931552635,-0.12785202825730593,0.021416718523127983,-0.2886849201410496,0.0,4.116945376423939,235495000.0,-58103000.0,-58454000.0,204372000.0,12526000.0,-52894000.0,,,,-0.0,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2021-01-31,795443000.0,638314000.0,172694000.0,428716000.0,366727000.0,339166000.0,-91002000.0,-79840000.0,20255000.0,15458000.0,2616000.0,-206000.0,,,1712000.0,-5369000.0,-1144000.0,-3657000.0,0.0,3.696,,19.4169,,19111000.0,0.04215124602224543,0.019433196344678376,-0.1698643985846465,0.8773433550910968,-0.22257752576866444,0.025463798160270442,0.05523182094582619,0.040185929979560886,-0.210006373486297,0.0,3.6962141128238386,213556000.0,-68903000.0,-66282000.0,182870000.0,-4681000.0,-61012000.0,,,,-0.0,,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2021-04-30,775355000.0,619694000.0,165262000.0,481299000.0,294056000.0,326033000.0,63591000.0,53173000.0,-21238000.0,-22558000.0,1317000.0,200000.0,,,1579000.0,927000.0,1972000.0,652000.0,0.0,,,15.6019,,-19266000.0,-0.07671327910330006,-0.029093769950538785,-0.3547357330439842,0.836171785315532,-0.3339780786589297,-0.02739132397417957,-0.07222433822129118,0.010253023226557217,-0.302967401047318,0.0,3.7497670365843327,227361000.0,-80002000.0,-74920000.0,193220000.0,-1131000.0,-68701000.0,11282000.0,,,-0.0,-6.640666548484312,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
2021-07-31,778512000.0,623782000.0,179206000.0,493340000.0,285172000.0,354525000.0,131127000.0,108733000.0,-49695000.0,-52219000.0,2695000.0,200000.0,-0.63,83413000.0,-10016000.0,1291000.0,4027000.0,-11307000.0,0.0,,,14.3719,-0.63,-45668000.0,-0.18311405046778786,-0.06707539511272786,-0.3982322481258627,0.8292190014260984,-0.3789837333272324,-0.06383331278130587,-0.1742632516516348,-0.0862293806767485,-0.3482730482661847,0.0,3.4808097943149225,257988000.0,-106074000.0,-98566000.0,215053000.0,-11008000.0,-90359000.0,12369000.0,,,-0.0,-7.968792950117229,0.7564756,18.0,5.7,2.27736,630.5478,3.6269,3.7566,1.2802
