report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,76318600000.0,69871500000.0,6447100000.0,2725400000.0,,,157200000.0,83900000.0,81000000.0,0.64,242513391.0,34800000.0,19400000.0,15400000.0,2725400000.0,,15.5475,3.2091,0.64,,0.02438305594763537,0.002059786212011227,,,,,,,0.42273270152471654,,,,,,,,,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2010-09-30,80723400000.0,73954700000.0,6768700000.0,2765300000.0,,,512400000.0,265700000.0,263000000.0,2.1,242421661.0,919400000.0,58600000.0,860800000.0,2765300000.0,,16.3932,2.8367,2.1,,0.07570139022264245,0.006347601810627402,,,,,,,0.4085422606999867,,,,,,,,,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2010-12-31,83843900000.0,77013600000.0,6830300000.0,2729300000.0,,,669500000.0,378000000.0,320300000.0,2.74,242502531000000.0,790200000.0,90500000.0,699700000.0,2729300000.0,0.0398,20.0448,3.333,2.74,,0.0980191206828397,0.007985077030052275,,,,,,,0.3995871338008579,,,,,,,,,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2011-03-31,92679200000.0,85751000000.0,6928200000.0,2538200000.0,,,151000000.0,112700000.0,79000000.0,0.61,242969629.0,72900000.0,8900000.0,64000000.0,2538200000.0,,18.5007,3.0223,0.61,,0.021794982823821484,0.0016292760403628862,,,,,,,0.3663577841286337,,1490100000.0,,1639900000.0,,840300000.0,6.090000000000001,6.090000000000001,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2011-06-30,97398300000.0,90372900000.0,7025400000.0,,,,303000000.0,226300000.0,156500000.0,1.24,242437963.0,563200000.0,25100000.0,538100000.0,0.0,,17.9893,2.7106,1.24,,0.043129216841745664,0.003110937254551671,,,,,,,0.0,,1635900000.0,,2162600000.0,,982700000.0,6.690000000000001,6.690000000000001,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2011-09-30,96098200000.0,88945400000.0,7152800000.0,,,712300000.0,473400000.0,316500000.0,238900000.0,1.93,242018750.0,-137000000.0,55100000.0,-192100000.0,0.0,,13.3705,2.0318,1.93,712300000.0,0.06618387205010626,0.004926210896770179,,,0.007412209593936203,0.09958337993513029,,,0.0,,1596900000.0,,1109700000.0,,1033500000.0,6.5200000000000005,6.5200000000000005,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2011-12-31,100223700000.0,93106400000.0,7117300000.0,,,171400000.0,-323800000.0,-256000000.0,-194300000.0,-1.31,-485614958.0,755200000.0,7800000.0,747400000.0,0.0,0.0498,16.2341,2.3371,-1.31,171400000.0,-0.04549478032399927,-0.0032307727613328984,,,0.0017101743400014168,0.024082165989911905,,,0.0,,603600000.0,,1157400000.0,,399500000.0,2.4699999999999998,2.4699999999999998,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2012-03-31,91604300000.0,84381100000.0,7223200000.0,,,236800000.0,161200000.0,84600000.0,75600000.0,0.66,241556096.0,757600000.0,9900000.0,747700000.0,0.0,,18.7915,2.7267,0.66,236800000.0,0.022316978624432385,0.0017597427195011589,,,0.0025850314886964915,0.03278325395946395,,,0.0,,613800000.0,,1841100000.0,,371400000.0,2.52,2.52,,,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2012-06-30,94455900000.0,87065600000.0,7390300000.0,,,503000000.0,340800000.0,152000000.0,162200000.0,1.39,241462039.0,539300000.0,16900000.0,522400000.0,0.0,,17.3806,2.6495,1.39,503000000.0,0.04611450144107817,0.0036080329550615686,,,0.005325236433086763,0.06806218962694342,,,0.0,,651600000.0,1623500000.0,1825400000.0,1623500000.0,297100000.0,2.67,2.67,0.0,5.464490070683271,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
2012-09-30,93632500000.0,86100300000.0,7532200000.0,,,769100000.0,519600000.0,229500000.0,249500000.0,2.12,241205186.0,791200000.0,27900000.0,763300000.0,0.0,,17.3022,2.6804,2.12,769100000.0,0.0689838294256658,0.00554935519184044,,,0.008214028248738419,0.1021082817769045,,,0.0,,697800000.0,1680300000.0,2780800000.0,1680300000.0,210100000.0,2.8600000000000003,2.8600000000000003,0.0,7.997620180866254,1.2738937,157.5999,81.62,1.08758,25231.697,14.5269,1.9935,3.1203
