report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,4594980000.0,2835477000.0,1586776000.0,128155000.0,,,63297000.0,0.06,67521000.0,99975000.0,85987000.0,0.0,,,4.4787,0.06,,,,0.0,,,,,,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2010-09-30,4606735000.0,2843844000.0,1591807000.0,91071000.0,,,95078000.0,0.09,68169000.0,178461000.0,129419000.0,0.0,,,5.3678,0.09,,,,0.0,,,,,,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2010-12-31,4699737000.0,2844439000.0,1686419000.0,170575000.0,,,125893000.0,0.33,68957000.0,224036000.0,174465000.0,0.0,1.4547,159.7927,6.1632,0.33,,,,0.0,,,,,,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2011-03-31,4583293000.0,2746347000.0,1668737000.0,98771000.0,,,29737000.0,0.1,72783000.0,54407000.0,46593000.0,0.0,,140.9872,6.522,0.1,,,,0.0,,,314005000.0,0.5800000000000001,0.5800000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2011-06-30,4559059000.0,2702746000.0,1689116000.0,63148000.0,,,58118000.0,-0.13,72126000.0,114754000.0,92170000.0,0.0,,469.9916,7.226,-0.13,,,,0.0,,,308826000.0,0.39,0.39,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2011-09-30,,,,56099000.0,,11840000.0,27354000.0,0.16,74274000.0,,,0.0,,200.673,6.1989,0.16,,,,,,,241102000.0,0.46,0.46,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2011-12-31,,,,55159000.0,,37539000.0,-2795000.0,0.53,-145482000.0,75673000.0,43028000.0,0.0,0.5565,89.3126,7.1036,0.53,,,,,,,112414000.0,0.6600000000000001,0.6600000000000001,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2012-03-31,5004015000.0,2692484000.0,2242916000.0,49702000.0,,88758000.0,26683000.0,1.07,82855000.0,75779000.0,50304000.0,0.0,,39.8134,8.2305,1.07,0.03957259210777399,0.017737356902407367,,0.0,,,109360000.0,1.6300000000000003,1.6300000000000003,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2012-06-30,5112574000.0,2647666000.0,2396453000.0,52126000.0,,110521000.0,52930000.0,1.32,84461000.0,140866000.0,103614000.0,0.0,,31.938,8.5509,1.32,0.046118576078896606,0.021617486612418715,,0.0,,248658000.0,104172000.0,3.08,3.08,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2012-09-30,5217960000.0,2684852000.0,2462836000.0,5590000.0,,141224000.0,78795000.0,1.66,84694000.0,249995000.0,156423000.0,0.0,,28.0515,8.113,1.66,0.057342023585817324,0.027064983250159064,,0.0,,378042000.0,155613000.0,4.58,4.58,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2012-12-31,5385172000.0,2758464000.0,2563099000.0,26669000.0,,-57113000.0,-54126000.0,-0.75,-166454000.0,-142373000.0,-100469000.0,0.0,0.3344,20.0403,8.2164,-0.75,-0.022282791261671906,-0.010605603683596363,,0.0,,283390000.0,104282000.0,3.3000000000000007,3.3000000000000007,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2013-03-31,5382856000.0,2732833000.0,2586701000.0,59642000.0,,63476000.0,24895000.0,0.72,87276000.0,84870000.0,53470000.0,0.0,,23.4064,8.5037,0.72,0.02453936500585108,0.011792253034448627,,0.0,,258108000.0,102494000.0,2.95,2.95,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2013-06-30,5486282000.0,2781152000.0,2640264000.0,6506000.0,,135648000.0,49692000.0,1.0,88283000.0,181029000.0,107785000.0,0.0,,19.0322,7.8921,1.0,0.05137668051376681,0.024724941226134566,,0.0,,283235000.0,99256000.0,2.63,2.63,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2013-09-30,5691211000.0,2966129000.0,2613238000.0,4707000.0,,206368000.0,73967000.0,2.0,88429000.0,309604000.0,163573000.0,0.0,,15.027,6.8737,2.0,0.07897022774045073,0.03626082392657731,,0.0,,348379000.0,94428000.0,2.9699999999999998,2.9699999999999998,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
2013-12-31,5632141000.0,2824780000.0,2691536000.0,17794000.0,,-69128000.0,-50425000.0,0.06000000000000005,-175494000.0,-171212000.0,-105178000.0,0.0,0.2212,15.1753,6.5256,0.06000000000000005,-0.02568347590372189,-0.012273840445400782,,0.0,,336364000.0,98129000.0,3.7800000000000002,3.7800000000000002,0.83425206,123.305,96.53,1.47282,13915.783,36.1955,3.581,8.8436
