report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,capex,depreciation,fcf,total_debt,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,debt_to_ebitda,interest_coverage
2012-05-31,10420400000.0,1711300000.0,510500000.0,7738300000.0,2682100000.0,5792200000.0,492400000.0,2838100000.0,1943700000.0,-93400000.0,-458800000.0,479800000.0,-132000000.0,377300000.0,179300000.0,509400000.0,198000000.0,5792200000.0,416000000.0,-0.17105999030610342,-0.044029019999232276,-0.16165744688347838,0.6848595891617631,-0.032909340756139674,-0.008963187593566466,-0.011021559302833273,0.0697649836157993,0.14657693527359852,2.15957645128817,3.352203721841332,,,,,,,,,
2012-08-31,10851200000.0,1963600000.0,520500000.0,8159600000.0,2691600000.0,6246200000.0,619200000.0,707400000.0,479300000.0,69000000.0,-31500000.0,117100000.0,-54100000.0,85500000.0,53100000.0,120600000.0,32400000.0,6246200000.0,189600000.0,-0.011703076237182345,-0.0029029047478619876,-0.044529262086514,0.6775515973989257,0.09754028837998303,0.006358743733411973,0.007720020586721565,0.04580152671755725,0.2680237489397795,2.3206271362758213,3.7725264169068202,,,,,,,,,
2012-11-30,10465100000.0,1606400000.0,477200000.0,7845000000.0,2620100000.0,6005300000.0,167500000.0,1497500000.0,1033400000.0,212200000.0,-97700000.0,222000000.0,-73600000.0,128600000.0,106900000.0,242100000.0,21700000.0,6005300000.0,454300000.0,-0.037288653104843326,-0.009335792300121356,-0.06524207011686144,0.6900834724540902,0.14170283806343906,0.020276920430765115,0.024601757599647552,0.014490818030050083,0.30337228714524206,2.292011755276516,3.366303436714166,,,,,,,,,
2013-02-28,10001700000.0,1603000000.0,485000000.0,7735700000.0,2266000000.0,5943900000.0,217400000.0,2269000000.0,1533000000.0,-25200000.0,-402200000.0,310800000.0,-106200000.0,273800000.0,149700000.0,364800000.0,124100000.0,5943900000.0,339600000.0,-0.17749338040600177,-0.040213163762160435,-0.17725870427501103,0.6756280299691494,-0.01110621419127369,-0.0025195716728156213,-0.0030694649143107712,0.05469369766416924,0.149669457910974,2.623080317740512,3.3051546391752575,7312000000.0,-990200000.0,162600000.0,4989400000.0,376200000.0,1399500000.0,1129700000.0,4.247159699892819,0.14393201734973887
2013-05-31,9794700000.0,1772600000.0,564100000.0,7826100000.0,1968600000.0,5926100000.0,355600000.0,-1421000000.0,-989300000.0,-420500000.0,-92000000.0,-251100000.0,116200000.0,-19400000.0,-105700000.0,-232100000.0,-125100000.0,5926100000.0,-652600000.0,-0.04673371939449355,-0.009392834900507418,0.06474313863476425,0.6961998592540465,0.29591836734693877,-0.042931381257210535,-0.05326358189671552,0.088036593947924,0.4592540464461647,3.010311896779437,3.1423506470483957,3052900000.0,-623400000.0,-164500000.0,2056400000.0,53100000.0,330900000.0,398800000.0,17.909035962526442,-0.4124874623871615
2013-08-31,9705600000.0,1767300000.0,490400000.0,7683200000.0,2022400000.0,5935000000.0,345400000.0,730700000.0,493500000.0,96400000.0,31100000.0,87600000.0,-24500000.0,50800000.0,46500000.0,120400000.0,4300000.0,5935000000.0,216800000.0,0.015377768987341773,0.0032043356412792615,0.04256192691939236,0.675379772820583,0.1319282879430683,0.009932410154962084,0.012114509764495941,0.005884768030655536,0.2967017928014233,2.9346321202531644,3.6037928221859707,3076200000.0,-560800000.0,-137100000.0,2070600000.0,25000000.0,358100000.0,369300000.0,16.57358279810109,-0.37124289195775795
2013-11-30,9737400000.0,1720600000.0,561300000.0,7668600000.0,2068800000.0,5862600000.0,176200000.0,1556400000.0,1034200000.0,210000000.0,36000000.0,193300000.0,-25200000.0,170900000.0,98500000.0,242500000.0,72400000.0,5862600000.0,452500000.0,0.01740139211136891,0.003697085464292316,0.02313030069390902,0.6644821382677975,0.13492675404780263,0.02156633187503851,0.026477040623345185,0.046517604728861475,0.2907350295553842,2.8338167053364267,3.0653839301621235,3135100000.0,-427100000.0,-139300000.0,2071400000.0,75700000.0,356300000.0,340600000.0,16.454111703620544,-0.408984145625367
2014-02-28,9696800000.0,1766300000.0,644400000.0,7695900000.0,2000900000.0,5798500000.0,212400000.0,2378900000.0,1588900000.0,210200000.0,-29900000.0,274400000.0,-39700000.0,325600000.0,158800000.0,378400000.0,166800000.0,5798500000.0,588600000.0,-0.014943275526013294,-0.0030834914611005695,-0.01256883433519694,0.6679137416452983,0.08836016646349153,0.02167725435195116,0.02695079108649383,0.07011644037160032,0.2474252805918702,2.8979459243340497,2.7409993792675356,3245000000.0,-54800000.0,96100000.0,2127300000.0,118400000.0,605300000.0,304200000.0,9.579547331901537,0.3159105851413544
2014-05-31,9766600000.0,1871100000.0,845200000.0,7657400000.0,2109200000.0,5587300000.0,247600000.0,-1442600000.0,-933400000.0,-203400000.0,38700000.0,-199400000.0,-26400000.0,-18300000.0,-75100000.0,-240100000.0,-93400000.0,5587300000.0,-443500000.0,0.01834818888678172,0.0039624843855589455,-0.026826563149868293,0.6470262026895882,0.14099542492721476,-0.020826080724100506,-0.026427596959656987,0.06474421183973382,0.30743102731179817,2.6490138441115114,2.213795551348793,3223400000.0,75900000.0,313200000.0,2183200000.0,150100000.0,814400000.0,355900000.0,6.860633595284872,0.8800224782242203
2014-08-31,9597100000.0,1780200000.0,725400000.0,7520900000.0,2076200000.0,5603500000.0,192000000.0,774800000.0,558900000.0,82500000.0,7300000.0,80100000.0,-700000.0,2400000.0,60800000.0,122100000.0,-58400000.0,5603500000.0,204600000.0,0.003516038917252673,0.0007606464452803451,0.009421786267423852,0.7213474445018069,0.10647909137842024,0.00859634681309979,0.010742607133091137,-0.07537429013939081,0.2640681466184822,2.698921105866487,2.4540942928039704,3267500000.0,52100000.0,299300000.0,2248600000.0,87400000.0,802200000.0,348400000.0,6.985165794066318,0.8590700344431688
