report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,2102298000.0,1180906000.0,218365000.0,2102298000.0,1547727000.0,247747000.0,374499000.0,1138850000.0,603820000.0,203527000.0,145343000.0,2311000.0,57109000.0,0.9,161811000.0,127695000.0,31100000.0,61208000.0,96595000.0,247747000.0,,0.9,264735000.0,0.09390738806003901,0.06913529861132912,0.12762260174737675,0.5302015190762611,0.17871273653246697,0.09681167940986482,0.1133555818686319,0.08481801817623041,0.23245818149888045,0.16007151131950273,5.407945412497424,,,,,,,,,,,
2011-12-31,2147029000.0,1233995000.0,231530000.0,2147029000.0,1579029000.0,247861000.0,440846000.0,1544062000.0,828604000.0,313195000.0,221474000.0,5487000.0,88427000.0,1.38,,243891000.0,42014000.0,77498000.0,201877000.0,247861000.0,5.2444,1.38,390693000.0,0.14025961524455852,0.1031537068199824,0.14343595011081162,0.5366390727833468,0.20283835752709412,0.14587367008084196,0.17143615652830768,0.13074410224459898,0.25302934726714343,0.15697051795755493,5.329741286226407,,,,,,,,,,,
2012-03-31,2166213000.0,1243324000.0,207626000.0,2166213000.0,1614907000.0,247976000.0,448166000.0,348452000.0,182727000.0,68296000.0,48139000.0,3066000.0,18058000.0,0.31,156972000.0,48995000.0,12935000.0,15207000.0,36060000.0,247976000.0,5.2444,0.31,83503000.0,0.029809146904434744,0.02222265308166833,0.13815102223548725,0.5243964735458543,0.19599830105724747,0.031527832212252443,0.03666145431570313,0.10348627644553626,0.23963989301252397,0.15355435328474024,5.988286630768786,,,,,,,,,,,
2012-06-30,2114806000.0,1200929000.0,208427000.0,2114806000.0,1564775000.0,248090000.0,429771000.0,686743000.0,352755000.0,129017000.0,89232000.0,5834000.0,33742000.0,0.57,155983000.0,126231000.0,26429000.0,30016000.0,99802000.0,248090000.0,,0.57,159033000.0,0.05702545094342637,0.042193941193660316,0.1299350703247066,0.5136637723282218,0.18786795060160788,0.061006541498369114,0.07116746144914265,0.14532656321214776,0.23157571318528183,0.15854675592337555,5.761868663848734,3718107000.0,504188000.0,714035000.0,1967906000.0,434334000.0,897964000.0,16698000.0,3.1599999999999997,3.1599999999999997,0.27628056358606806,42.76170798898072
2012-09-30,2146014000.0,1226182000.0,201337000.0,2146014000.0,1602423000.0,248205000.0,424489000.0,1018973000.0,526108000.0,203253000.0,145137000.0,8930000.0,47027000.0,0.94,154758000.0,172671000.0,39188000.0,44859000.0,133483000.0,248205000.0,,0.94,248112000.0,0.09057346281225369,0.06763096606079923,0.14243458855141403,0.5163120121926685,0.199468484444632,0.09471187047242004,0.10982920392428948,0.13099758286038982,0.2434922220706535,0.15489355806800076,6.090197032835495,3598230000.0,503982000.0,713761000.0,1890194000.0,471222000.0,881341000.0,23317000.0,3.1999999999999997,3.1999999999999997,0.28162198286474815,30.611184972337778
2012-12-31,2177505000.0,1165246000.0,239492000.0,2177505000.0,1599901000.0,248319000.0,321739000.0,-648810000.0,-330200000.0,-97236000.0,-60110000.0,-6171000.0,-32271000.0,-0.3699999999999999,,-62352000.0,-20463000.0,-30367000.0,-82815000.0,248319000.0,4.8228,-0.3699999999999999,-127603000.0,-0.0375710747102477,-0.02760498827786848,0.09264653750712844,0.508931736563863,0.1498682202802053,-0.044654776912108125,-0.052610619947841705,0.1276413742081657,0.19667236941477473,0.15520897855554813,4.865490287775792,1405358000.0,222398000.0,303330000.0,731390000.0,186530000.0,363045000.0,11659000.0,1.45,1.45,0.6839895880675949,26.016811047259626
2013-03-31,2078375000.0,1073488000.0,215009000.0,2078375000.0,1524631000.0,248434000.0,246007000.0,348583000.0,183987000.0,69130000.0,51636000.0,2897000.0,15552000.0,0.35,146291000.0,61959000.0,12648000.0,14871000.0,49311000.0,248434000.0,4.8228,0.35,84001000.0,0.03386786704455045,0.024844409695074277,0.1481311481053293,0.5278140356816023,0.1983171870114148,0.03326156251879473,0.0389889823554128,0.14146128755561804,0.2409784757145357,0.16294696880753443,4.9927584426698415,1405489000.0,225895000.0,304164000.0,732650000.0,199781000.0,363543000.0,11490000.0,1.4899999999999998,1.4899999999999998,0.6833689549791909,26.47206266318538
2013-12-31,2343359000.0,1309731000.0,276515000.0,2343359000.0,1613380000.0,372528000.0,542476000.0,1496372000.0,737010000.0,240743000.0,177015000.0,14091000.0,51971000.0,1.22,,354965000.0,52061000.0,62796000.0,302904000.0,372528000.0,4.7367,1.22,303539000.0,0.10971686769390968,0.07553900191989363,0.11829611887952995,0.4925312689625307,0.16088445921201414,0.10273415212948592,0.12122565597197855,0.20242560005132412,0.20284995976936215,0.23089910622420012,4.73656402003508,2215118000.0,313678000.0,415890000.0,1116905000.0,402883000.0,508049000.0,19747000.0,2.14,2.14,0.7332521075723011,21.060920646174104
2019-03-31,3206309000.0,1127446000.0,459648000.0,3206309000.0,1902695000.0,656891000.0,,444736000.0,233659000.0,81082000.0,61748000.0,5516000.0,13009000.0,0.45,137165.0,55511000.0,9140000.0,16662000.0,46371000.0,656891000.0,4.0905,0.45,97744000.0,0.03245291546989927,0.019258281095178287,0.13884191970067636,0.5253880954094114,0.18231490142466542,0.025288267599910052,0.031677779140845436,0.10426635127356454,0.21977982443517052,0.3452424061659909,2.4528465260373156,1640881000.0,230289000.0,293719000.0,824456000.0,315771000.0,357681000.0,16333000.0,1.6500000000000001,1.6500000000000001,1.8365275203323632,17.98316292169228
2021-03-31,3228802000.0,1223209000.0,408688000.0,3228802000.0,1909874000.0,712866000.0,,467313000.0,209198000.0,52462000.0,38807000.0,6115000.0,11203000.0,0.29,132596.0,24304000.0,14183000.0,23861000.0,10121000.0,712866000.0,2.8033,0.29,76323000.0,0.020319141472159942,0.012019008907947902,0.08304284280557142,0.4476614175081797,0.11226308705300302,0.01624813165997791,0.02000274522064711,0.021657861005364713,0.16332308324399278,0.3732528952171714,2.9930142309047487,2757004000.0,329206000.0,443417000.0,1363854000.0,408707000.0,561607000.0,28619000.0,2.31,2.31,1.269332469146574,15.49379782661868
