report_date,total_assets,total_liabilities,total_equity,long_term_debt,shares_outstanding,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,roe,roa,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,52147295000.0,45726193000.0,6421842000.0,1918852000.0,,-173203000.0,295227000.0,-51542000.0,-1.42,156471000.0,758557000.0,32878000.0,,725679000.0,1918852000.0,,-1.42,-0.026970922050090922,-0.0033214186852836758,0.29880087364341884,,,,,,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2010-09-30,51047776000.0,44553185000.0,6495432000.0,1919156000.0,,-220528000.0,425286000.0,-82722000.0,-1.87,161996000.0,1131185000.0,58223000.0,208004000.0,1072962000.0,1919156000.0,,-1.87,-0.033951244505369314,-0.004320031493634512,0.29546241112215477,,,,,,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2010-12-31,51034886000.0,44387672000.0,6648279000.0,1942622000.0,,-292728000.0,592456000.0,-106819000.0,-2.48,166054000.0,1460994000.0,79071000.0,372754000.0,1381923000.0,1942622000.0,,-2.48,-0.04403064311831679,-0.005735841165590142,0.2921992293043057,,,,,,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2011-03-31,50807708000.0,44063121000.0,6745852000.0,1913083000.0,,52817000.0,128536000.0,37033000.0,0.08,181998000.0,269221000.0,20185000.0,89806000.0,249036000.0,1913083000.0,,0.08,0.007829552145525873,0.001039546991570649,0.28359397745458986,-633642000.0,3429600000.0,1441505000.0,-5.69,-5.69,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2011-06-30,51361414000.0,44448323000.0,6914593000.0,1879669000.0,,125692000.0,271030000.0,91358000.0,0.24,182365000.0,615447000.0,39480000.0,195596000.0,575967000.0,1879669000.0,711.8774,0.24,0.018177787181400264,0.0024472067688790654,0.27184087335292184,-334747000.0,3279888000.0,1417308000.0,-4.03,-4.03,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2011-09-30,51531320000.0,44612403000.0,6920766000.0,1898439000.0,,109093000.0,83801000.0,59348000.0,0.35,182858000.0,215904000.0,22749000.0,52288000.0,193155000.0,1898439000.0,15.9586,0.35,0.015763139513747467,0.002117023200647684,0.27431053152208873,-5126000.0,2400081000.0,1075823000.0,-1.81,-1.81,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2011-12-31,53149109000.0,46165881000.0,6985308000.0,1954462000.0,,36202000.0,-50971000.0,10844000.0,0.16000000000000003,-364616000.0,-3505000.0,-4745000.0,-37742000.0,-8250000.0,1954462000.0,9.5418,0.16000000000000003,0.0051825918055438645,0.0006811402990782029,0.27979610920520614,323804000.0,1009908000.0,432396000.0,0.8300000000000001,0.8300000000000001,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2012-03-31,52896307000.0,46509529000.0,6389113000.0,2283121000.0,,89676000.0,81399000.0,51859000.0,0.14,182964000.0,248095000.0,15162000.0,57143000.0,232933000.0,2283121000.0,10.9454,0.14,0.014035751128521283,0.0016953168394156515,0.35734553450533746,360663000.0,993805000.0,385259000.0,0.8900000000000001,0.8900000000000001,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2012-06-30,53407012000.0,46917649000.0,6491971000.0,2274571000.0,,91737000.0,86244000.0,51036000.0,0.3,183137000.0,260707000.0,17655000.0,62166000.0,243052000.0,2274571000.0,9.5278,0.3,0.014130839463084478,0.0017176957961999447,0.3503667838319056,326708000.0,660890000.0,200473000.0,0.9500000000000001,0.9500000000000001,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2012-09-30,53087001000.0,47168746000.0,5921117000.0,2326659000.0,,109851000.0,70839000.0,60704000.0,0.34,183383000.0,93566000.0,15145000.0,47810000.0,78421000.0,2326659000.0,10.0673,0.34,0.01855241164800493,0.002069263622557997,0.39294258161086837,327466000.0,546156000.0,187511000.0,0.9400000000000002,0.9400000000000002,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
2012-12-31,55511918000.0,49463277000.0,6052069000.0,2337113000.0,,-112633000.0,68300000.0,29817000.0,0.18999999999999995,-366248000.0,163259000.0,20932000.0,47498000.0,142327000.0,2337113000.0,11.2753,0.18999999999999995,-0.018610660255195373,-0.0020289877211592654,0.3861676064830061,178631000.0,696733000.0,306782000.0,0.97,0.97,0.8311695,66.175,39.32,1.94388,8513.876,9.4704,1.2037,1.56245
