report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-09-30,3840900000.0,1015100000.0,1146200000.0,1712500000.0,2124900000.0,16800000.0,,127600000.0,2452500000.0,117100000.0,50000000.0,,40900000.0,0.32,,23000000.0,41400000.0,-18400000.0,16800000.0,,,,0.32,117100000.0,0.023530519083250975,0.013017782290608971,0.020387359836901122,0.04774719673802243,0.03048764612460621,0.0546761918102442,-0.007502548419979612,0.04774719673802243,0.007906254411972327,0.8856220554876985,,,,,,,,,,,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2011-12-31,3637900000.0,953500000.0,597800000.0,1513400000.0,2120800000.0,389300000.0,,120800000.0,3328600000.0,-15600000.0,-35600000.0,3200000.0,-9000000.0,-0.23,,175400000.0,68500000.0,106900000.0,389300000.0,1.595,,,-0.23,-15600000.0,-0.016786118445869483,-0.009785865471838148,-0.0106951871657754,-0.0046866550501712435,-0.004288188240468402,-0.006214891836978606,0.03211560415790422,-0.0046866550501712435,0.18356280648811768,1.595015055202409,,,,,,,,,,,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2012-03-31,3647500000.0,973900000.0,516900000.0,1464000000.0,2180500000.0,409300000.0,,120600000.0,798800000.0,21300000.0,12500000.0,2500000.0,6300000.0,0.08,,-43900000.0,11200000.0,-55100000.0,409300000.0,1.595,,,0.08,21300000.0,0.005732630130703967,0.003427004797806717,0.015648472709063596,0.026664997496244368,0.005839616175462646,0.00822457332612557,-0.06897846770155233,0.026664997496244368,0.18770924099977068,1.8841168504546333,,,,,,,,,,,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2012-06-30,3726000000.0,1068100000.0,596400000.0,1475800000.0,2247000000.0,339300000.0,,147200000.0,1734100000.0,93600000.0,60300000.0,4600000.0,27900000.0,0.37,,52500000.0,28200000.0,24300000.0,339300000.0,,,1.0787,0.37,93600000.0,0.026835781041388517,0.01618357487922705,0.03477308113718932,0.05397612594429387,0.025120772946859903,0.036190697134903145,0.014013032697076292,0.05397612594429387,0.15100133511348465,1.7909121395036889,8314000000.0,87200000.0,216400000.0,57700000.0,216400000.0,,0.54,0.54,1.5679297597042514,,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2012-09-30,3784500000.0,1138400000.0,597800000.0,1450200000.0,2330900000.0,339300000.0,,216100000.0,2643200000.0,154200000.0,100300000.0,6600000.0,47100000.0,0.61,,119400000.0,46000000.0,73400000.0,339300000.0,,41.58,1.2228,0.61,154200000.0,0.04303058904285898,0.026502840533756112,0.03794642857142857,0.05833837772397094,0.04074514466904479,0.057748483259680926,0.027769370460048425,0.05833837772397094,0.14556609035136642,1.9043158246905318,8504700000.0,137500000.0,253500000.0,149500000.0,253500000.0,16900000.0,0.8299999999999998,0.8299999999999998,1.3384615384615384,15.0,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2012-12-31,3873700000.0,1228000000.0,632600000.0,1489000000.0,2381100000.0,297500000.0,,336000000.0,-1585000000.0,-107400000.0,-54400000.0,-5000000.0,-47000000.0,-0.3500000000000001,166100000.0,154800000.0,-10400000.0,144400000.0,297500000.0,1.9417,39.7421,1.3247,-0.3500000000000001,-107400000.0,-0.022846583511822265,-0.014043421018664326,0.03432176656151419,0.0677602523659306,-0.02772543046699538,-0.040095572313895315,-0.09110410094637224,0.0677602523659306,0.12494225358027802,1.9411950679734429,3591100000.0,118700000.0,161700000.0,187000000.0,161700000.0,8700000.0,0.7099999999999997,0.7099999999999997,1.8398268398268398,18.586206896551722,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2013-03-31,3823800000.0,1199200000.0,559700000.0,1362600000.0,2458500000.0,297500000.0,,258900000.0,890000000.0,56600000.0,37300000.0,1700000.0,17600000.0,0.0,,-72500000.0,14400000.0,-86900000.0,297500000.0,,41.3737,1.6168,0.0,56600000.0,0.015171852755745374,0.009754694283173807,0.04191011235955056,0.06359550561797753,0.014802029394842826,0.020537010159651668,-0.09764044943820224,0.06359550561797753,0.121008745169819,2.1425763802036806,3682300000.0,143500000.0,197000000.0,155200000.0,197000000.0,7900000.0,0.6299999999999998,0.6299999999999998,1.5101522842639594,24.936708860759495,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2013-06-30,4065400000.0,1203600000.0,671700000.0,1537000000.0,2525500000.0,357500000.0,,123600000.0,1930400000.0,163100000.0,101300000.0,3400000.0,52100000.0,0.0,,45900000.0,31200000.0,14700000.0,357500000.0,,40.5771,1.7706,0.0,163100000.0,0.04011086913482479,0.02491759728440006,0.05247617074181517,0.08449026108578533,0.04011905347567275,0.05657301422129726,0.007615002072109407,0.08449026108578533,0.14155612749950505,1.7918713711478338,3878600000.0,184500000.0,266500000.0,145600000.0,266500000.0,6700000.0,0.2599999999999998,0.2599999999999998,1.3414634146341464,39.776119402985074,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2013-09-30,4119300000.0,1273600000.0,707900000.0,1565300000.0,2550500000.0,350000000.0,,157000000.0,3055500000.0,261700000.0,165500000.0,5500000.0,84500000.0,0.0,,166200000.0,55200000.0,111000000.0,350000000.0,,37.5794,1.8207,0.0,261700000.0,0.0648892374044305,0.04017672905590756,0.054164621174930455,0.08564882997872689,0.06353021144369189,0.09022582313394242,0.03632793323514973,0.08564882997872689,0.13722799451088022,1.7991241700805198,4290900000.0,249700000.0,374000000.0,183200000.0,374000000.0,5600000.0,-0.3500000000000002,-0.3500000000000002,0.9358288770053476,66.78571428571429,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
2013-12-31,4178100000.0,1327400000.0,738700000.0,1525000000.0,2649400000.0,350000000.0,,241400000.0,-1718500000.0,-124300000.0,-74400000.0,-3400000.0,-40200000.0,1.34,171300000.0,158200000.0,-4100000.0,154100000.0,350000000.0,1.7969,33.0693,2.051,1.34,-124300000.0,-0.02808182984826753,-0.01780713721548072,0.04329356997381437,0.07233052080302589,-0.02975036499844427,-0.041441621657664865,-0.08967122490544079,0.07233052080302589,0.13210538235072092,1.7969405712738595,4157400000.0,229700000.0,357100000.0,192900000.0,357100000.0,7200000.0,1.3399999999999999,1.3399999999999999,0.9801176141136937,49.59722222222222,1.56255,108.35,53.01,1.70411,7736.872,2.65871,0.96174
