report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,2016600000.0,1019500000.0,173800000.0,246600000.0,1770000000.0,313600000.0,328600000.0,240500000.0,129700000.0,85300000.0,48500000.0,2.12,40200000.0,115600000.0,0.0,,46.776,11.367,2.12,129700000.0,0.048192090395480225,0.042298918972528014,0.2595861229458308,0.7318928788800974,0.39470480827754106,0.06431617574134682,0.0732768361581921,0.39470480827754106,0.0,5.865937859608746,,,,,,,,,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2010-06-30,2243100000.0,1264100000.0,243300000.0,318700000.0,1924400000.0,420000000.0,679300000.0,497300000.0,269400000.0,174000000.0,104000000.0,4.31,40400000.0,291100000.0,0.0,,39.1096,9.6389,4.31,269400000.0,0.0904177925587196,0.07757121840310285,0.25614603268070074,0.7320771382305314,0.39658471956425734,0.12010164504480407,0.1399916857202245,0.39658471956425734,0.0,5.1956432387998355,,,,,,,,,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2010-09-30,2351800000.0,1301500000.0,267300000.0,343500000.0,2008300000.0,382000000.0,1023700000.0,747900000.0,401500000.0,260600000.0,154500000.0,6.45,40400000.0,404100000.0,0.0,,33.0204,8.2911,6.45,401500000.0,0.12976148981725838,0.1108087422399864,0.2545667676076976,0.7305851323629969,0.39220474748461465,0.1707202993451824,0.19992033062789424,0.39220474748461465,0.0,4.869060980172091,,,,,,,,,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2010-12-31,2390400000.0,1275800000.0,273800000.0,353000000.0,2037400000.0,279800000.0,-618600000.0,-455700000.0,-245400000.0,-138100000.0,-116500000.0,-3.4099999999999984,-80700000.0,-282800000.0,0.0,4.6596,26.5267,7.1677,-3.4099999999999984,-245400000.0,-0.06778246785118287,-0.05777275769745649,0.2232460394439056,0.7366634335596508,0.39670223084384093,-0.10266064257028112,-0.12044762933150094,0.39670223084384093,0.0,4.659605551497443,1413000000.0,381800000.0,555200000.0,1030000000.0,555200000.0,9.470000000000002,9.470000000000002,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2011-03-31,2568300000.0,1483600000.0,252300000.0,337400000.0,2230900000.0,449800000.0,388100000.0,278800000.0,148300000.0,104100000.0,49500000.0,2.59,40200000.0,100300000.0,0.0,,32.6463,8.8816,2.59,148300000.0,0.0466627818369268,0.04053264805513375,0.2682298376707034,0.7183715537232672,0.3821180108219531,0.05774247556749601,0.0664754135102425,0.3821180108219531,0.0,5.880301228695997,1472500000.0,400600000.0,573800000.0,1068300000.0,573800000.0,9.940000000000001,9.940000000000001,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2011-06-30,2649900000.0,1365300000.0,274000000.0,361400000.0,2288500000.0,382000000.0,813800000.0,585400000.0,316400000.0,221500000.0,104300000.0,5.51,40200000.0,296300000.0,0.0,,34.054,9.4471,5.51,316400000.0,0.0967882892724492,0.08358805992678969,0.2721798967805358,0.7193413615138855,0.3887933153108872,0.11940073210309823,0.13825649989075814,0.3887933153108872,0.0,4.982846715328467,1607000000.0,448100000.0,620800000.0,1156400000.0,620800000.0,11.14,11.14,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2011-09-30,2746000000.0,1311900000.0,284100000.0,377000000.0,2369000000.0,298200000.0,1260500000.0,910900000.0,495300000.0,343900000.0,162700000.0,8.55,40200000.0,447900000.0,0.0,,30.6111,8.6297,8.55,495300000.0,0.1451667370198396,0.1252367079388201,0.2728282427608092,0.7226497421658072,0.3929393097976993,0.1803714493809177,0.20907555930772478,0.3929393097976993,0.0,4.617740232312566,1843800000.0,531400000.0,714600000.0,1319400000.0,714600000.0,13.240000000000002,13.240000000000002,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2011-12-31,3063100000.0,1466300000.0,320600000.0,417500000.0,2645600000.0,465800000.0,-705100000.0,-501300000.0,-265200000.0,-174400000.0,-101900000.0,-4.329999999999998,-80400000.0,-166900000.0,0.0,4.5736,37.1521,10.4672,-4.329999999999998,-265200000.0,-0.06592077411551255,-0.05693578400966341,0.247340802723018,0.7109629839739044,0.37611686285633245,-0.08657895595964872,-0.10024191109767161,0.37611686285633245,0.0,4.573611977542108,1757300000.0,495100000.0,694800000.0,1273800000.0,694800000.0,12.32,12.32,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2012-03-31,3332900000.0,1436100000.0,313600000.0,405600000.0,2927300000.0,325900000.0,495200000.0,355900000.0,193300000.0,143500000.0,53600000.0,3.5,41000000.0,166500000.0,0.0,,40.4647,11.6007,3.5,193300000.0,0.04902128241041233,0.043055597227639596,0.28978190630048467,0.7186995153473344,0.39034733441033925,0.05799753968015842,0.06603354627130803,0.39034733441033925,0.0,4.579400510204081,1864400000.0,534500000.0,739800000.0,1350900000.0,739800000.0,13.230000000000002,13.230000000000002,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
2012-06-30,3626100000.0,1703300000.0,346800000.0,443700000.0,3182400000.0,484400000.0,1031700000.0,742300000.0,418600000.0,298400000.0,128000000.0,7.26,41100000.0,383000000.0,0.0,,39.2837,11.3762,7.26,418600000.0,0.09376571141277024,0.08229226993188274,0.2892313657070854,0.7194921004167878,0.40573810216148104,0.11544083174760762,0.1315359477124183,0.40573810216148104,0.0,4.911476355247982,2082300000.0,611400000.0,842000000.0,1507800000.0,842000000.0,14.980000000000002,14.980000000000002,0.0,1.6520526,603.88,425.0,1.74347,160543.62,56.2128,11.2642,15.9512
