report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,roi,roic,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,28772000000.0,2107000000.0,4238000000.0,28772000000.0,9060000000.0,7198000000.0,912000000.0,222000000.0,247000000.0,,106000000.0,109000000.0,58000000.0,0.42,250373000.0,888000000.0,210000000.0,8110000000.0,,13.4577,,0.42,,0.011699779249448124,0.003684137355762547,,,0.8951434878587197,0.4971684756960831,,,,,,,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2010-12-31,30283000000.0,3353000000.0,3786000000.0,,9027000000.0,,158000000.0,912000000.0,,,,,,,,,,158000000.0,0.8856,16.8199,,,,,,,,0.017503046416306636,0.8856312731114633,,,,,,,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2011-03-31,30696000000.0,3426000000.0,3654000000.0,30696000000.0,9186000000.0,9174000000.0,566000000.0,1219000000.0,,,258000000.0,108000000.0,109000000.0,1.07,241903000.0,805000000.0,231000000.0,9740000000.0,,14.3845,,1.07,,0.028086218158066622,0.008405003909304144,,,1.06030916612236,0.9376026272577996,,,,,,,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2011-06-30,31836000000.0,2551000000.0,3575000000.0,31836000000.0,9579000000.0,9648000000.0,453000000.0,392000000.0,,,769000000.0,226000000.0,201000000.0,3.19,241154000.0,1139000000.0,479000000.0,10101000000.0,,10.8263,,3.19,,0.0802797786825347,0.024155044603593415,,,1.0544942060757907,0.7135664335664336,,,,,,,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2011-09-30,32616000000.0,2938000000.0,3995000000.0,32616000000.0,9630000000.0,10033000000.0,641000000.0,657000000.0,,,1065000000.0,344000000.0,269000000.0,4.4,241955000.0,1643000000.0,730000000.0,10674000000.0,,9.2411,,4.4,,0.11059190031152648,0.03265268579838116,,,1.108411214953271,0.7354192740926158,,,,,,,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2012-03-31,34045000000.0,2298000000.0,4480000000.0,34045000000.0,9952000000.0,10180000000.0,426000000.0,404000000.0,,,236000000.0,113000000.0,117000000.0,0.97,243761000.0,699000000.0,257000000.0,10606000000.0,,11.1431,,0.97,,0.023713826366559485,0.0069320017623733295,,,1.0657154340836013,0.5129464285714286,2328000000.0,,,791000000.0,9.63,9.63,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2012-06-30,34202000000.0,2040000000.0,4434000000.0,34202000000.0,9879000000.0,10315000000.0,713000000.0,221000000.0,,,298000000.0,226000000.0,-1000000.0,1.21,245766000.0,1152000000.0,523000000.0,11028000000.0,,19.0487,,1.21,,0.030164996457131287,0.008712940763698029,,,1.1163073185545096,0.46008119079837617,2368000000.0,,,909000000.0,9.77,9.77,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2012-09-30,35390000000.0,3078000000.0,4349000000.0,35390000000.0,10082000000.0,11193000000.0,584000000.0,530000000.0,,,566000000.0,352000000.0,48000000.0,2.31,245013000.0,1688000000.0,803000000.0,11777000000.0,,18.2092,,2.31,,0.056139654830390795,0.015993218423283412,,,1.1681214044832375,0.7077489077948954,2165000000.0,,,1035000000.0,8.89,8.89,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2012-12-31,36499000000.0,3695000000.0,4258000000.0,36499000000.0,10282000000.0,11621000000.0,546000000.0,475000000.0,,,-241000000.0,-198000000.0,-105000000.0,-1.0100000000000002,-487847000.0,,,12167000000.0,0.8678,19.8347,,-1.0100000000000002,,-0.023439019645983272,-0.00660292062796241,,,1.1833300914219023,0.8677782996712071,859000000.0,,,493000000.0,3.48,3.48,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
2013-03-31,37273000000.0,4123000000.0,5189000000.0,37273000000.0,10423000000.0,10680000000.0,762000000.0,1471000000.0,,,178000000.0,138000000.0,178000000.0,0.72,247534000.0,835000000.0,295000000.0,11442000000.0,,24.1082,,0.72,,0.01707761680898014,0.004775574812867223,,,1.097764559148038,0.7945654268645211,801000000.0,,,518000000.0,3.2299999999999995,3.2299999999999995,,,0.70528376,97.445,61.9,3.48109,62179.586,33.8484,1.8228,5.2379
