report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,8688986000.0,3774997000.0,3469886000.0,10539240000.0,-1850705000.0,,99917000.0,3057395000.0,456979000.0,230947000.0,123549000.0,0.52,447530000.0,726014000.0,320370000.0,239662000.0,405644000.0,0.0,,16.7821,0.7865,0.52,696641000.0,-0.12478866161814012,0.02657928094256338,0.07553718116239479,0.14946678463201515,0.05259290324555708,-0.24692157853358584,0.1326763470209116,0.22785443163215743,-0.0,1.0879311308786515,,,,,,,,,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2010-06-30,9031019000.0,4101505000.0,3492943000.0,10611326000.0,-1580752000.0,,308447000.0,6226437000.0,982789000.0,487937000.0,280271000.0,1.09,448182000.0,1115861000.0,537279000.0,504108000.0,578582000.0,0.0,,10.8755,0.6728,1.09,1486897000.0,-0.3086739728939138,0.054029008243698745,0.07836536369034168,0.15784131438252727,0.10882371081270009,-0.621722446025689,0.09292344883598758,0.2388038295416785,-0.0,1.1742261468337731,,,,,,,,,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2010-09-30,9292883000.0,4323234000.0,3590110000.0,10709394000.0,-1416970000.0,,714357000.0,9434165000.0,1437446000.0,732901000.0,409923000.0,1.64,447575000.0,1533942000.0,832280000.0,746967000.0,701662000.0,0.0,,9.4339,0.6939,1.64,2184413000.0,-0.517231134039535,0.07886691352941816,0.07768583653137294,0.15236600165462444,0.15468245968447036,-1.0144505529404293,0.0743745736904114,0.2315428021451819,-0.0,1.2042065563450701,,,,,,,,,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2010-12-31,9632153000.0,4573393000.0,4499301000.0,10765596000.0,-1133929000.0,,640672000.0,-6077253000.0,-936386000.0,-467056000.0,-256270000.0,-1.0499999999999998,-896690000.0,-1236015000.0,-576710000.0,-506772000.0,-1812725000.0,0.0,1.0164,8.8459,0.6891,-1.0499999999999998,-1443158000.0,0.41189174983618904,-0.048489262992396406,0.07685314401095364,0.154080470238774,-0.09721461027456686,0.82578891623726,0.298280325008684,0.23746880375064194,-0.0,1.0164674468322967,12640744000.0,984729000.0,1940828000.0,-126837000.0,2924793000.0,2.2,2.2,0.0,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2011-03-31,10280613000.0,4996755000.0,4291673000.0,10783085000.0,-504090000.0,,1163522000.0,3224131000.0,983353000.0,549394000.0,331767000.0,1.22,448850000.0,844295000.0,232952000.0,229697000.0,611343000.0,0.0,,8.2887,0.8434,1.22,1213050000.0,-1.0898728401674305,0.05343980947439613,0.17040064439069008,0.30499784282958725,0.09565120290006053,-1.9507488742089707,0.18961481403826333,0.3762409157692414,-0.0,1.1642907090078858,12807480000.0,1303176000.0,2467202000.0,78862000.0,3441202000.0,2.9000000000000004,2.9000000000000004,0.0,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2011-06-30,12827702000.0,6412775000.0,4248610000.0,12920307000.0,-94301000.0,7470954000.0,1855250000.0,6814292000.0,1701135000.0,884154000.0,559954000.0,1.98,445794000.0,1258345000.0,402744000.0,466746000.0,855601000.0,7470954000.0,,9.8773,1.0311,1.98,2167881000.0,-9.375870881538901,0.06892536168988023,0.12974994320759956,0.24964222255224755,0.13261416581083657,0.23061068481871114,0.1255597793578555,0.3181373794959183,-79.22454692951294,1.5093818919599586,13395335000.0,1699393000.0,3185548000.0,355881000.0,4122186000.0,3.79,3.79,1.812376734092057,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2011-09-30,13035490000.0,5423292000.0,4071903000.0,12932155000.0,101751000.0,7461596000.0,1045516000.0,10416943000.0,2325974000.0,1203253000.0,739039000.0,2.7,446476000.0,1991156000.0,593912000.0,695892000.0,1397244000.0,7461596000.0,,7.6799,0.8203,2.7,3021866000.0,11.825466088785369,0.09230592789377308,0.1155092237713118,0.22328758062706114,0.17843395223347952,0.3075323662923306,0.13413186574986538,0.2900914404542676,73.33191811382689,1.331881432342568,14378113000.0,2169745000.0,4074076000.0,1051463000.0,4959639000.0,4.8500000000000005,4.8500000000000005,1.5044635305109908,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2011-12-31,11470231000.0,3747823000.0,3220511000.0,11889234000.0,-420370000.0,7458134000.0,609108000.0,-6406973000.0,-2082508000.0,-1120894000.0,-735754000.0,-2.5100000000000002,-894255000.0,-1519918000.0,-450703000.0,-470262000.0,-1970621000.0,7458134000.0,1.1636,8.5555,0.9232,-2.5100000000000002,-2552770000.0,2.6664462259438113,-0.09772200751667512,0.1749490750156119,0.3250377362289493,-0.18155763384364274,-0.29590477884737254,0.3075744193084628,0.39843620380482325,-17.741832195446868,1.1637355065702306,14048393000.0,1515907000.0,2927954000.0,893567000.0,3850027000.0,3.39,3.39,1.937164077031148,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2012-03-31,12409512000.0,4349477000.0,3571119000.0,12465095000.0,-56766000.0,7474426000.0,1358668000.0,3581869000.0,572411000.0,360310000.0,191643000.0,0.8,449880000.0,858550000.0,168928000.0,208698000.0,689622000.0,7474426000.0,,11.3208,1.0427,0.8,781109000.0,-6.3472853468625585,0.02903498542086103,0.100592735245203,0.1598079103395462,0.046126793704700075,0.0771686758357757,0.19253132931438866,0.21807302277107288,-131.67082408483952,1.2179591326976222,14406131000.0,1326823000.0,2517012000.0,971846000.0,3418086000.0,2.9699999999999998,2.9699999999999998,2.1867284790376837,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2012-06-30,14521163000.0,6497028000.0,3515697000.0,14348785000.0,171282000.0,9364972000.0,2595694000.0,3571766000.0,468352000.0,225732000.0,146211000.0,0.5,453077000.0,,,,,9364972000.0,,10.6081,0.8979,0.5,468352000.0,1.3178968017655095,0.015545035890031674,0.0631989889595231,0.13112617119934508,0.03225306402799831,0.0491127857961837,,0.13112617119934508,54.67575110052428,1.8480056728438201,11163605000.0,668401000.0,1284229000.0,,1718557000.0,1.49,1.49,5.449322891239569,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
2012-09-30,16514257000.0,8335918000.0,4142065000.0,16364673000.0,109165000.0,10356799000.0,3087639000.0,10676982000.0,767734000.0,427581000.0,188471000.0,0.95,452319000.0,2034042000.0,681925000.0,743220000.0,1352117000.0,10356799000.0,,18.4412,0.954,0.95,1510954000.0,3.9168323180506572,0.025891628064162984,0.04004699080695275,0.07190552536287877,0.04648916387821747,0.07335530678301588,0.12663850140423577,0.14151508356949558,94.8728896624376,2.012502942372947,11423644000.0,-107271000.0,-274011000.0,,207645000.0,-0.26000000000000023,-0.26000000000000023,49.87743022947819,1.2380816,16.45,3.215,8.98563,1707.6604,1.4005,0.4153,0.1093
