report_date,total_assets,current_assets,current_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-26,4955000000.0,3313000000.0,1630000000.0,752000000.0,,,1084000000.0,,,1479000000.0,307000000.0,214000000.0,104000000.0,-5000000.0,0.0,732000000.0,-75000000.0,79000000.0,200000000.0,-154000000.0,0.0,,4.1442,0.8647,0.0,507000000.0,0.2845744680851064,0.04318869828456105,,,,0.06195761856710393,0.40824468085106386,,,0.0,2.032515337423313,,,,,,,,,,,,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2010-09-25,4595000000.0,3212000000.0,1665000000.0,614000000.0,,,620000000.0,,,2218000000.0,435000000.0,96000000.0,160000000.0,-4000000.0,0.0,732000000.0,-199000000.0,110000000.0,294000000.0,-309000000.0,0.0,,3.6539,0.7295,0.0,729000000.0,0.1563517915309446,0.02089227421109902,,,,0.09466811751904244,0.7084690553745928,,,0.0,1.929129129129129,,,,,,,,,,,,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2010-12-25,4964000000.0,3594000000.0,1674000000.0,1013000000.0,,,606000000.0,,,2961000000.0,848000000.0,471000000.0,199000000.0,38000000.0,0.0,733000000.0,-412000000.0,148000000.0,383000000.0,-560000000.0,0.0,2.147,11.6522,0.8451,0.0,1231000000.0,0.46495557749259625,0.09488315874294924,,,,0.1708299758259468,0.8371174728529122,,,0.0,2.1469534050179213,,,,,,,,,,,,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2011-04-02,5209000000.0,3411000000.0,1375000000.0,1558000000.0,,,602000000.0,,,691000000.0,54000000.0,,48000000.0,2000000.0,0.0,764000000.0,-168000000.0,38000000.0,88000000.0,-206000000.0,0.0,,7.6805,0.8512,0.0,142000000.0,,,,,,0.010366673065847572,0.03465982028241335,,,0.0,2.4807272727272727,,,1644000000.0,7349000000.0,-1229000000.0,2609000000.0,511000000.0,0.0,0.0,0.0,3.2172211350293543,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2011-07-02,5224000000.0,3438000000.0,1312000000.0,1641000000.0,,,554000000.0,,,1411000000.0,159000000.0,,95000000.0,5000000.0,0.0,766000000.0,6000000.0,105000000.0,168000000.0,-99000000.0,0.0,,5.9288,0.7606,0.0,327000000.0,,,,,,0.0304364471669219,0.09689213893967093,,,0.0,2.620426829268293,,,1496000000.0,7281000000.0,-1174000000.0,2429000000.0,502000000.0,0.0,0.0,0.0,2.9800796812749004,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2011-10-01,5236000000.0,3412000000.0,1855000000.0,1744000000.0,,,625000000.0,,,2167000000.0,297000000.0,,137000000.0,,0.0,742000000.0,195000000.0,163000000.0,247000000.0,32000000.0,0.0,,3.0026,0.4799,0.0,544000000.0,,,,,,0.05672268907563025,0.17029816513761467,,,0.0,1.8393530997304581,,,1358000000.0,7230000000.0,-833000000.0,2244000000.0,479000000.0,0.0,0.0,0.0,2.835073068893528,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2011-12-31,4954000000.0,3229000000.0,1774000000.0,1590000000.0,,,869000000.0,,,-1329000000.0,-142000000.0,491000000.0,-100000000.0,-11000000.0,0.0,-1530000000.0,349000000.0,-56000000.0,-186000000.0,293000000.0,0.0,1.8202,7.7783,0.5815,0.0,-328000000.0,0.30880503144654087,0.09911182882519176,,,,-0.02866370609608397,-0.08930817610062892,,,0.0,1.8201803833145433,,,368000000.0,2940000000.0,20000000.0,685000000.0,180000000.0,0.0,0.0,0.0,2.0444444444444443,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2012-03-31,4988000000.0,3195000000.0,2347000000.0,1052000000.0,,,1193000000.0,,,27000000.0,-580000000.0,,43000000.0,-32000000.0,0.0,734000000.0,107000000.0,40000000.0,63000000.0,67000000.0,0.0,,,0.8769,0.0,-517000000.0,,,,,,-0.11627906976744186,-0.5513307984790875,,,0.0,1.3613123135918193,,,-266000000.0,2276000000.0,293000000.0,26000000.0,175000000.0,0.0,0.0,0.0,-1.52,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2012-06-30,5041000000.0,3233000000.0,2352000000.0,1117000000.0,,,1015000000.0,,,665000000.0,-503000000.0,,86000000.0,-38000000.0,0.0,737000000.0,188000000.0,79000000.0,128000000.0,109000000.0,0.0,,,0.6322,0.0,-375000000.0,,,,,,-0.09978178932751439,-0.450313339301701,,,0.0,1.3745748299319729,,,-928000000.0,1530000000.0,501000000.0,-676000000.0,166000000.0,0.0,0.0,-0.0,-5.590361445783133,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
2012-09-29,4612000000.0,2815000000.0,1555000000.0,989000000.0,,,776000000.0,,,1057000000.0,-634000000.0,,130000000.0,-38000000.0,0.0,739000000.0,-52000000.0,111000000.0,194000000.0,-163000000.0,0.0,,,0.3895,0.0,-440000000.0,,,,,,-0.13746747614917607,-0.641051567239636,,,0.0,1.810289389067524,,,-1859000000.0,420000000.0,306000000.0,-1660000000.0,159000000.0,0.0,0.0,-0.0,-11.69182389937107,2.0590887,267.0799,76.48,29.909,325201.78,75.0177,5.5719,9.3883
