report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,1981242000.0,1249217000.0,305204000.0,1168200000.0,813042000.0,700000000.0,12382000.0,297012000.0,367700000.0,221768000.0,92357000.0,,-2614000.0,14554000.0,0.79,95223000.0,103155000.0,712382000.0,,19.4018,4.1175,0.79,92357000.0,,,,0.6031221104161001,0.2511748708186021,0.0466157087321993,0.06054513368086512,0.2511748708186021,0.8761933577847147,4.0930557921914525,,,,,,,,,,,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2010-07-03,2036399000.0,,,,,,,,,,,,,,,94753000.0,,0.0,,17.4832,3.811,,,,,,,,,,,,,,,,,,,,,,,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2010-10-02,2205646000.0,1438327000.0,417410000.0,1282384000.0,923262000.0,700000000.0,92243000.0,262792000.0,1159793000.0,695743000.0,301756000.0,,10045000.0,37845000.0,,94271000.0,323769000.0,792243000.0,,17.9029,4.048,,301756000.0,,,,0.5998854968084822,0.2601809115937068,0.13681071214510399,0.1758992250095453,0.2601809115937068,0.8580912027138559,3.445837426031959,,,,,,,,,,,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2010-12-31,2327670000.0,1586641000.0,385850000.0,1258873000.0,1068797000.0,700000000.0,66055000.0,308498000.0,115878000.0,72557000.0,55819000.0,,6493000.0,3701000.0,,-190190000.0,30932000.0,766055000.0,4.1114,18.5938,4.3186,,55819000.0,,,,0.6261499162912718,0.4817048965291082,0.02398063299350853,0.030421527185843872,0.4817048965291082,0.716745088169222,4.112066865362188,,,,,,,,,,,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2011-04-02,2447162000.0,1683334000.0,716229000.0,1296368000.0,1150794000.0,400000000.0,390346000.0,296860000.0,427603000.0,257774000.0,115895000.0,,4083000.0,18036000.0,,93313000.0,122761000.0,790346000.0,,20.3514,4.7876,,115895000.0,,,,0.6028348725336352,0.27103411341828754,0.047358940683126,0.05970460657139619,0.27103411341828754,0.6867832122864735,2.350273446062642,,,,,,,,,,,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2011-07-02,2571856000.0,1800008000.0,467297000.0,1346322000.0,1225534000.0,700000000.0,136176000.0,344914000.0,875230000.0,529298000.0,236462000.0,,9135000.0,34289000.0,,93302000.0,219979000.0,836176000.0,,21.5777,5.0995,,236462000.0,,,,0.6047530363447322,0.27017126926636426,0.09194216161402505,0.1146921730020226,0.27017126926636426,0.6822952280393689,3.8519571065082805,2578504000.0,,709932000.0,1555372000.0,709932000.0,29756000.0,,,1.1778254818771374,23.8584487162253,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2011-10-01,2639615000.0,1863359000.0,605579000.0,1480532000.0,1159083000.0,700000000.0,271578000.0,423926000.0,1329764000.0,803514000.0,363726000.0,,15294000.0,54750000.0,,92898000.0,347312000.0,971578000.0,,15.9703,3.7211,,363726000.0,,,,0.6042530855099101,0.27352673105904507,0.13779509511803806,0.17071040395445358,0.27352673105904507,0.8382298765489615,3.076987478099472,2748475000.0,,771902000.0,1663143000.0,771902000.0,35005000.0,,,1.2586805060746054,22.051192686759034,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2011-12-31,2723234000.0,1942104000.0,601863000.0,1496656000.0,1226578000.0,700000000.0,290832000.0,383990000.0,-781413000.0,-469895000.0,-187483000.0,,-6541000.0,-30791000.0,,-187188000.0,-192678000.0,990832000.0,3.2266,15.7153,3.676,,-187483000.0,,,,0.6013401363939428,0.239928181384236,-0.06884571799558907,-0.08455044398645266,0.239928181384236,0.8078018682872186,3.226820721659248,1851184000.0,,528600000.0,1120691000.0,528600000.0,21971000.0,,,1.8744457056375332,24.05898684629739,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2012-03-31,2839416000.0,2023479000.0,648283000.0,1551885000.0,1287531000.0,700000000.0,323616000.0,427186000.0,420458000.0,253168000.0,110217000.0,,6491000.0,15829000.0,,90269000.0,111198000.0,1023616000.0,,19.5394,4.5267,,110217000.0,,,,0.6021243501134477,0.26213557596715964,0.03881678485998529,0.04768930751700346,0.26213557596715964,0.7950224111108781,3.121289621970652,1844039000.0,,522922000.0,1116085000.0,522922000.0,24379000.0,,,1.9574927044568788,21.449690307231634,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2012-06-30,2883556000.0,2065292000.0,721657000.0,1620873000.0,1262683000.0,700000000.0,401354000.0,369429000.0,871923000.0,525374000.0,230340000.0,,13369000.0,32381000.0,,89823000.0,216274000.0,1101354000.0,,16.4228,3.7753,,230340000.0,,,,0.6025463257650044,0.2641747035001944,0.07988053639325889,0.09743502322510181,0.2641747035001944,0.8722331733301233,2.861874824189331,1840732000.0,,516800000.0,1112161000.0,516800000.0,28613000.0,,,2.1311029411764704,18.0617201971132,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2012-09-29,2997140000.0,2137498000.0,767562000.0,1667261000.0,1329879000.0,700000000.0,447703000.0,356293000.0,1321875000.0,792624000.0,352085000.0,,20476000.0,49094000.0,,89367000.0,317627000.0,1147703000.0,,17.4609,4.0029,,352085000.0,,,,0.5996209929078015,0.2663527186761229,0.1174736582208372,0.1421083136703447,0.2663527186761229,0.863013101191913,2.7847887206505795,1832843000.0,,505159000.0,1101271000.0,505159000.0,33795000.0,,,2.271963876720003,14.947743749075308,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2012-12-31,3168150000.0,2257726000.0,504242000.0,1700793000.0,1467357000.0,1045000000.0,132781000.0,481035000.0,-770615000.0,-465139000.0,-181152000.0,,-12263000.0,-71122000.0,,-180480000.0,-195819000.0,1177781000.0,4.4778,16.4184,4.1086,,-181152000.0,,,,0.6035945316403133,0.23507458328737438,-0.05717911083755504,-0.06848489568408152,0.23507458328737438,0.8026547050240671,4.477465185367343,1843641000.0,,511490000.0,1106027000.0,511490000.0,28073000.0,,,2.302647168077577,18.219997862715065,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2013-03-30,3207317000.0,2287681000.0,476866000.0,1730817000.0,1476500000.0,1100000000.0,133232000.0,472048000.0,430338000.0,255770000.0,109405000.0,,7185000.0,-17652000.0,,87215000.0,127798000.0,1233232000.0,,16.2517,4.3295,,109405000.0,,,,0.5943467692836794,0.25423039564249494,0.03411106541698248,0.04037484149724032,0.25423039564249494,0.8352400948188283,4.7973246153007345,1853521000.0,,510678000.0,1108629000.0,510678000.0,28767000.0,,,2.4148915755133373,17.75221608092606,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2013-06-29,3285529000.0,2344278000.0,474953000.0,1765417000.0,1520112000.0,1135000000.0,132909000.0,455045000.0,881453000.0,518556000.0,222097000.0,,14765000.0,-2250000.0,,86950000.0,236820000.0,1267909000.0,,18.0714,4.7334,,222097000.0,,,,0.5882968235402228,0.2519669227967912,0.06759855110090339,0.07966116467558888,0.2519669227967912,0.8340891986906228,4.93581049072224,1863051000.0,,502435000.0,1101811000.0,502435000.0,30163000.0,,,2.523528416611104,16.65732851506813,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2013-09-28,3425319000.0,2429082000.0,492904000.0,1806685000.0,1618634000.0,1160000000.0,133761000.0,431001000.0,1338770000.0,784305000.0,341166000.0,,22123000.0,12359000.0,,86719000.0,341585000.0,1293761000.0,,18.6889,4.8648,,341166000.0,,,,0.5858399874511678,0.25483540862134646,0.09960123422081271,0.11714276394513794,0.25483540862134646,0.7992918720353088,4.928103646957623,1879946000.0,,491516000.0,1093492000.0,491516000.0,31810000.0,,,2.6321849136142057,15.451618987739705,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2014-03-29,3649735000.0,2607709000.0,584448000.0,1830363000.0,1819372000.0,1100000000.0,232104000.0,395382000.0,430508000.0,242789000.0,88761000.0,,7489000.0,12428000.0,,85873000.0,115755000.0,1332104000.0,,23.0191,4.8255,,88761000.0,,,,0.5639593224748437,0.20617735326637368,0.024319847879366585,0.028164897971617107,0.20617735326637368,0.7321779163359665,4.4618323614761275,3081069000.0,,761429000.0,1801420000.0,761429000.0,51562000.0,,,1.749478940255756,14.767251076374073,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2014-06-28,3727530000.0,2680606000.0,594590000.0,1884045000.0,1843485000.0,1160000000.0,233403000.0,428691000.0,912309000.0,522737000.0,207156000.0,166831000.0,15460000.0,28023000.0,,85538000.0,,1393403000.0,,21.7894,4.5763,,207156000.0,0.09049761728465379,0.04475644729888156,0.1828667699211561,0.5729823996036431,0.2270678026852744,0.055574603021303653,0.06399850720815796,0.2270678026852744,0.755852637802857,4.50832674616122,3563040000.0,,859180000.0,2068387000.0,859180000.0,59837000.0,,,1.621782397169394,14.35867439878336,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2014-09-27,3751676000.0,2699410000.0,574479000.0,1909856000.0,1841820000.0,1205000000.0,225006000.0,356968000.0,1405474000.0,813680000.0,345869000.0,280328000.0,24522000.0,45939000.0,,85162000.0,,1430006000.0,,19.9114,4.2623,,345869000.0,0.15220162665189865,0.07472073814476517,0.199454418936245,0.5789363588369475,0.24608708521111028,0.09219053031231908,0.10571130616359183,0.24608708521111028,0.7764092039395815,4.698883684172964,4087061000.0,,982952000.0,2363511000.0,982952000.0,69594000.0,,,1.4548075592704426,14.124091157283674,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2014-12-31,3877934000.0,2853736000.0,581595000.0,1983268000.0,1894666000.0,1240000000.0,225243000.0,422177000.0,-758947000.0,-414775000.0,-123878000.0,-15539000.0,-13280000.0,-27270000.0,,-171422000.0,,1465243000.0,4.8527,21.7491,4.7185,,-123878000.0,-0.008201445531824607,-0.004007030547709167,0.02047442047995446,0.5465137881828376,0.16322351890184691,-0.03194432911957759,-0.036869450928581696,0.16322351890184691,0.773351609201833,4.906740945159433,1989344000.0,,517908000.0,1164431000.0,517908000.0,34191000.0,,,2.8291569159001213,15.14749495481267,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2015-04-04,3872726000.0,2875973000.0,538471000.0,2010486000.0,1862240000.0,1310000000.0,175316000.0,440798000.0,460404000.0,271158000.0,119982000.0,96061000.0,8975000.0,17286000.0,1.0,83752000.0,,1485316000.0,,22.7081,5.1437,1.0,119982000.0,0.05158357676776355,0.02480449171978601,0.20864501611628047,0.5889566554591185,0.2606015586311153,0.03098127778727439,0.03584167075920463,0.2606015586311153,0.7975964429933843,5.340998865305653,2019240000.0,527681000.0,549129000.0,1192800000.0,549129000.0,35677000.0,,,2.7048580570321366,15.39168091487513,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2015-07-04,4028844000.0,3006957000.0,546694000.0,2096246000.0,1932598000.0,1385000000.0,175297000.0,365875000.0,955144000.0,557191000.0,250300000.0,201718000.0,18021000.0,35401000.0,2.0,83551000.0,,1560297000.0,,22.97,5.274,2.0,250300000.0,0.10437659565000067,0.050068456361179535,0.21119119211344048,0.5833581114470697,0.26205472682653086,0.0621270021872279,0.07165975501697017,0.26205472682653086,0.807357246566539,5.500256084756738,2062075000.0,562568000.0,592273000.0,1227254000.0,592273000.0,38238000.0,,,2.6344219641955653,15.489120769914745,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2015-10-03,4121244000.0,3093847000.0,535954000.0,2152688000.0,1968556000.0,1455000000.0,175176000.0,459518000.0,1455722000.0,850965000.0,386143000.0,317999000.0,27038000.0,48682000.0,3.0,83305000.0,,1630176000.0,,20.9865,4.8299,3.0,386143000.0,0.16153921961071974,0.07716092519637274,0.2184476156848629,0.5845655970027244,0.26525875132751997,0.09369573847119947,0.107299737796535,0.26525875132751997,0.8281075062126757,5.772598021471992,2112323000.0,600239000.0,632547000.0,1264539000.0,632547000.0,40754000.0,,,2.5771618551664934,15.521102223094665,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2015-12-31,4268677000.0,3213533000.0,564076000.0,2209826000.0,2058851000.0,1493027000.0,175309000.0,487665000.0,-828938000.0,-479654000.0,-188974000.0,-146725000.0,-17791000.0,-28503000.0,-1.0,-167521000.0,,1668336000.0,5.6967,23.4235,5.3813,-1.0,-188974000.0,-0.07126547768634059,-0.034372476530784596,0.17700358772308664,0.5786367617361009,0.22797121135718232,-0.04426992250760599,-0.05070150759808939,0.22797121135718232,0.8103238165365051,5.696985867152653,2042332000.0,469053000.0,567451000.0,1199660000.0,567451000.0,36243000.0,5.0,5.0,2.940052973736939,15.656844080236183,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
2016-04-02,4368395000.0,3310619000.0,524030000.0,2266709000.0,2101686000.0,1593301000.0,125499000.0,416387000.0,475246000.0,274095000.0,112662000.0,94052000.0,10119000.0,12578000.0,1.0,81974000.0,,1718800000.0,,23.0353,5.2317,1.0,112662000.0,0.04475073821684115,0.021530104306043754,0.19790171826801278,0.5767434128851163,0.23706038556873704,0.02579025019486562,0.029488918425561565,0.23706038556873704,0.817819598170231,6.317613495410568,2057174000.0,467044000.0,560131000.0,1202597000.0,560131000.0,37387000.0,5.0,5.0,3.0685678885832064,14.981972343327895,1.2105056,414.15,275.05,1.0202,29846.521,46.4444,8.8309,9.4293
