report_date,total_assets,total_liabilities,total_equity,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,15518413000.0,10075387000.0,5021928000.0,60186000.0,,,,55483000.0,,,,155457000.0,0.0,,33.2228,6.2087,,,0.011048147245440397,0.003575301159983305,,,,,,0.0,,,,,,,,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2010-06-30,15625272000.0,10315672000.0,4877178000.0,47982000.0,,,,65444000.0,,,,360711000.0,0.0,,48.2974,6.7726,,,0.013418415321319009,0.0041883430893235015,,,,,,0.0,,,,,,,,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2010-09-30,16086829000.0,10865433000.0,4748623000.0,43660000.0,,1524898000.0,366769000.0,94227000.0,-311000.0,0.293,299031000.0,566682000.0,0.0,,97.6605,7.6579,0.293,366769000.0,0.01984301554366392,0.0058574004858260136,0.0617923297164794,0.2405203495578065,0.022799334784997093,0.07723691689148622,0.2405203495578065,0.0,,,,,,,,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2010-12-31,16184194000.0,10592078000.0,5090186000.0,431408000.0,,470621000.0,75232000.0,68456000.0,-23000.0,0.657,-16143000.0,-350157000.0,0.0,1.2676,53.39,8.9106,0.657,75232000.0,0.013448624470697142,0.004229805945232737,0.14545887242600733,0.15985686996542867,0.004648486047559736,0.014779813547088455,0.15985686996542867,0.0,,283610000.0,,,,,,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2011-03-31,16075329000.0,10256546000.0,5278838000.0,306072000.0,,520623000.0,133510000.0,127331000.0,-192000.0,0.42,310467000.0,187528000.0,0.0,,47.7247,9.816,0.42,133510000.0,0.024121028150513427,0.007920895429263065,0.24457428888082164,0.25644276184494347,0.008305273254438524,0.02529155090571069,0.25644276184494347,0.0,,355458000.0,,,,,,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2011-06-30,16398122000.0,10084172000.0,5750496000.0,604764000.0,,977850000.0,267473000.0,683255000.0,387000.0,2.273,311380000.0,392477000.0,0.0,,19.8738,10.2499,2.273,267473000.0,0.11881670728924948,0.041666661584783916,0.6987319118474203,0.27353172777010787,0.01631119709927759,0.0465130312237414,0.27353172777010787,0.0,3493992000.0,973269000.0,842984000.0,842984000.0,3.643,3.643,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2011-09-30,15756817000.0,9523248000.0,5735699000.0,45986000.0,,1477080000.0,414159000.0,791103000.0,669000.0,2.62,311908000.0,614051000.0,0.0,,15.9145,8.7304,2.62,414159000.0,0.13792617081196207,0.050207031026634374,0.5355857502640344,0.2803903647737428,0.026284432953686016,0.07220724100061736,0.2803903647737428,0.0,3446174000.0,1670145000.0,890374000.0,890374000.0,5.970000000000001,5.970000000000001,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2011-12-31,16659303000.0,10380042000.0,5669015000.0,383921000.0,,-986090000.0,-241810000.0,-708104000.0,-136000.0,-2.3630000000000004,-621690000.0,-395722000.0,0.0,1.0463,19.7433,8.9959,-2.3630000000000004,-241810000.0,-0.12490776616396322,-0.04250501956774542,0.7180926690261538,0.2452210244501009,-0.014515013023053846,-0.04265467634148084,0.2452210244501009,0.0,1989463000.0,893585000.0,573332000.0,573332000.0,2.9499999999999997,2.9499999999999997,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2012-03-31,16481247000.0,10005069000.0,5822008000.0,219628000.0,,527659000.0,146152000.0,145299000.0,191000.0,0.47,315230000.0,235027000.0,0.0,,21.632,10.2382,0.47,146152000.0,0.024956853374299728,0.0088160198072391,0.27536534011549124,0.27698191445611653,0.008867775599746792,0.025103366398672073,0.27698191445611653,0.0,1996499000.0,911553000.0,585974000.0,585974000.0,3.0,3.0,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2012-06-30,16714412000.0,10157984000.0,5885258000.0,44585000.0,,1067438000.0,310601000.0,248563000.0,405000.0,0.799,316457000.0,586013000.0,0.0,,45.0297,10.5694,0.799,310601000.0,0.04223485189604262,0.014871178238277242,0.23285942602755383,0.2909780240163832,0.01858282540839606,0.052776105992294646,0.2909780240163832,0.0,2086087000.0,476861000.0,629102000.0,629102000.0,1.5259999999999998,1.5259999999999998,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2012-09-30,16668545000.0,10040476000.0,5990772000.0,45623000.0,,1609963000.0,489790000.0,474702000.0,627000.0,1.519,317265000.0,863000000.0,0.0,,31.7789,9.7708,1.519,489790000.0,0.07923886938110815,0.0284789104267949,0.29485273885176244,0.3042243827963748,0.029384088413235827,0.08175740956257391,0.3042243827963748,0.0,2218970000.0,160460000.0,704733000.0,704733000.0,0.4249999999999994,0.4249999999999994,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2012-12-31,17201000000.0,9275521000.0,7289813000.0,612590000.0,325054654.0,-1081345000.0,-278585000.0,-26845000.0,-684000.0,-0.08300000000000018,-629186000.0,-637789000.0,0.0,1.39,21.8852,10.5412,-0.08300000000000018,-278585000.0,-0.003682536163822035,-0.0015606650776117668,0.024825564459076428,0.25762823150798314,-0.01619586070577292,-0.038215657932514864,0.25762823150798314,0.0,2123715000.0,841719000.0,667958000.0,667958000.0,2.7049999999999996,2.7049999999999996,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
2013-03-31,23795158000.0,12973313000.0,10123928000.0,56087000.0,,539162000.0,117529000.0,1017686000.0,407000.0,3.012,337532000.0,193514000.0,0.0,,11.6688,10.9784,3.012,117529000.0,0.1005228405417344,0.04276861704385405,1.8875328750913454,0.21798457606433688,0.00493919813434313,0.011609031593270912,0.21798457606433688,0.0,2135218000.0,1714106000.0,639335000.0,639335000.0,5.247,5.247,0.0,0.74695045,72.4,57.57,2.73821,22754.764,20.3151,2.1881,7.3546
