report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2025-06-30,1159411000.0,1009326000.0,150085000.0,173783000.0,18951000.0,6396000.0,69533000.0,95000.0,18.8,3692701.0,-20738000.0,173783000.0,,,18.8,0.4632908018789353,0.059972693031202916,10.871325828642902,1.1578971915914316,0.6127565,36.8,8.07,0.01378,73.62588,1.9137,0.618,2.1393
2025-09-30,1130440000.0,986666000.0,143774000.0,174084000.0,12890000.0,23841000.0,64480000.0,102000.0,12.7,5053828.0,-30436000.0,174084000.0,,8.4028,12.7,0.44848164480365016,0.057039736739676584,2.704584539239126,1.2108169766438994,0.6127565,36.8,8.07,0.01378,73.62588,1.9137,0.618,2.1393
2025-12-31,1009955000.0,881671000.0,128284000.0,174402000.0,7801000.0,34049000.0,46725000.0,68000.0,8.08,5731380.0,-96141000.0,174402000.0,2.0605,2.3035,8.08,0.36423092513485705,0.04626443752444416,1.3722869981497254,1.3594992360699698,0.6127565,36.8,8.07,0.01378,73.62588,1.9137,0.618,2.1393
