report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_ps_ttm
2011-03-27,487429000.0,339039000.0,171149000.0,,-1167746000.0,829000.0,92584000.0,389186000.0,111606000.0,65112000.0,27111000.0,21457000.0,16624000.0,0.43,27809000.0,,5606000.0,,829000.0,,12.3003,0.7051,0.43,70718000.0,-0.023216521401058107,0.055620408305619894,0.06966077916471816,0.2867677665691983,0.16730303762211385,0.13358253202004805,-0.05579831299055545,,0.1817074612139183,-0.0007099146560981583,1.9809581125218376,,,,,,,,,,,,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2011-06-19,486989000.0,340231000.0,172352000.0,,-1171365000.0,,78639000.0,774119000.0,222299000.0,127158000.0,52359000.0,42501000.0,32451000.0,0.83,44412000.0,8384000.0,11068000.0,36028000.0,0.0,,15.9557,0.9279,0.83,138226000.0,-0.04469913306270889,0.1075157755103298,0.06763688786866102,0.2871638598200018,0.16426156702005765,0.2611106205684317,-0.10855540331152118,0.04654064814324413,0.1785591104210076,-0.0,1.974047298551801,,,,,,,,,,,,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2011-09-11,438225000.0,288756000.0,170576000.0,438225000.0,-1220956000.0,1450668000.0,32080000.0,1150445000.0,325658000.0,183012000.0,74450000.0,63485000.0,45290000.0,1.19,85106000.0,13100000.0,17078000.0,72006000.0,1450668000.0,,16.2664,0.9839,1.19,200090000.0,-0.06097680833707357,0.16988989674254093,0.06471408889603589,0.2830713332666924,0.15907931278766044,0.417621085059045,0.7967019572334053,0.06258969355336413,0.17392400332045427,-1.1881410959936312,1.6928290029077948,,,,,,,,,,,,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2012-01-01,480543000.0,326843000.0,197175000.0,1690282000.0,-1209739000.0,1450369000.0,50292000.0,-661557000.0,-189047000.0,-116137000.0,-48559000.0,-35808000.0,-31920000.0,-0.7400000000000002,-4254000.0,2865000.0,-9710000.0,-7119000.0,1450369000.0,1.6576,18.311,1.1677,-0.7400000000000002,-125847000.0,0.04014006326984581,-0.10105027021515245,0.07340108259756907,0.285760712984671,0.17555101072167628,-0.24167868432169443,-0.48263724390142543,0.010760977512141811,0.19022850638720473,-1.1989106741206161,1.657629009762901,1652193000.0,105361000.0,259145000.0,470516000.0,,283187000.0,91635000.0,1.7099999999999997,1.7099999999999997,5.12159456472225,2.828013313690184,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2012-03-25,601277000.0,427888000.0,369087000.0,601277000.0,-1365727000.0,1554651000.0,214730000.0,384587000.0,114649000.0,66895000.0,20742000.0,32250000.0,14057000.0,0.35,20217000.0,3634000.0,5216000.0,16583000.0,1554651000.0,,21.3899,1.2852,0.35,72111000.0,-0.015187515513715406,0.034496579779369575,0.05393318026870383,0.29810940047375495,0.1739398367599529,0.11125487919877194,0.35408418199911074,0.043118982180884946,0.18750243767990077,-1.1383321849827968,1.1593147415108092,1647594000.0,98992000.0,260928000.0,473559000.0,117498000.0,284580000.0,102428000.0,1.63,1.63,5.462966476913346,2.547428437536611,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2012-06-17,424619000.0,254502000.0,201596000.0,424619000.0,-1369110000.0,1548570000.0,10750000.0,760712000.0,229256000.0,132673000.0,48837000.0,52967000.0,31075000.0,0.82,58110000.0,8025000.0,10441000.0,50085000.0,1548570000.0,,16.8988,1.0501,0.82,143114000.0,-0.0356706181387909,0.11501369462977398,0.06419906613803911,0.3013702951971311,0.17440634563409016,0.31245186861633606,0.7392900924997214,0.06583963444772792,0.18813164509038902,-1.1310778534960668,1.2624357626143377,1634187000.0,95470000.0,266443000.0,480516000.0,131555000.0,289468000.0,112894000.0,1.6199999999999997,1.6199999999999997,5.349710503406249,2.3601165695253954,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2012-09-09,440952000.0,272127000.0,198151000.0,440952000.0,-1345531000.0,1542522000.0,34550000.0,1138789000.0,340663000.0,194292000.0,74814000.0,73651000.0,46067000.0,1.26,101252000.0,14301000.0,15852000.0,86951000.0,1542522000.0,,19.3563,1.2474,1.26,210144000.0,-0.055601840462984504,0.16966472541228977,0.06569610349239412,0.2991449689099561,0.17061281765103106,0.440619387144179,0.9862988664456752,0.07635391630934264,0.18453286780957667,-1.1464039104264414,1.3733314492483006,1622531000.0,95834000.0,277723000.0,495521000.0,146500000.0,299522000.0,123060000.0,1.6899999999999997,1.6899999999999997,5.149945579957399,2.2568096863318705,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2012-12-30,478197000.0,306267000.0,229498000.0,1813720000.0,-1335523000.0,1536443000.0,54813000.0,-605649000.0,-183230000.0,-111529000.0,-32001000.0,-57420000.0,-22404000.0,-0.5199999999999998,-3259000.0,3307000.0,-8338000.0,-6566000.0,1536443000.0,1.3345,21.9964,1.4729,-0.5199999999999998,-119867000.0,0.023961399391848735,-0.0669201186958513,0.05283753461163149,0.3025349666225817,0.18414791405583103,-0.233228146558845,-0.5550915787378061,0.010841262843660273,0.19791496394776512,-1.1504429350898486,1.3345083617286426,1678439000.0,112392000.0,282331000.0,501338000.0,147053000.0,305502000.0,101448000.0,1.91,1.91,5.029240397771536,2.783011986436401,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2013-03-24,476555000.0,308557000.0,223585000.0,,-1323372000.0,,75081000.0,417617000.0,129806000.0,75525000.0,34420000.0,20945000.0,20202000.0,0.0,47649000.0,5086000.0,5631000.0,42563000.0,0.0,,22.9391,1.6897,0.0,81156000.0,-0.02600931559682387,0.07222671045314812,0.08242001642653436,0.3108254692696897,0.1808475229696109,0.15848118265467784,-0.0570701208730425,0.10191874372930221,0.19433116946867585,-0.0,1.3800433839479394,1711469000.0,126070000.0,290961000.0,516495000.0,173033000.0,314547000.0,90143000.0,1.56,1.56,0.0,3.2277714298392555,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2013-06-16,468799000.0,302536000.0,228812000.0,,-1328791000.0,,40838000.0,831627000.0,255793000.0,149366000.0,67690000.0,41372000.0,40377000.0,1.0,66840000.0,11587000.0,11407000.0,55253000.0,0.0,,25.523,1.9149,1.0,160773000.0,-0.05094104339960159,0.14439023974027249,0.0813946637134196,0.3075814036821796,0.17960696321788494,0.3186141608663841,-0.11240744406005158,0.06643964181057133,0.19332344909436563,-0.0,1.322203380941559,1782384000.0,144923000.0,307654000.0,543032000.0,178201000.0,332206000.0,78548000.0,1.7400000000000002,1.7400000000000002,0.0,3.9167642715282374,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2013-09-08,468524000.0,302410000.0,225476000.0,,-1322175000.0,,32079000.0,1235676000.0,376427000.0,216141000.0,98322000.0,61718000.0,56198000.0,1.0,104575000.0,20286000.0,17480000.0,84289000.0,0.0,,25.8151,1.9761,1.0,233621000.0,-0.07436383232174258,0.20985477798362517,0.07956940168782108,0.3046324441034705,0.17491721130781857,0.46132321930146586,-0.16347382154404674,0.06821286486101534,0.18906331433158854,-0.0,1.3412070464262271,1879271000.0,168431000.0,329503000.0,578796000.0,175539000.0,355683000.0,66615000.0,1.4800000000000002,1.4800000000000002,0.0,4.946378443293552,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2013-12-29,525255000.0,351540000.0,254611000.0,1815457000.0,-1290202000.0,1512299000.0,14383000.0,-682697000.0,-213052000.0,-127221000.0,-57447000.0,-35163000.0,-34663000.0,0.48,-25075000.0,3428000.0,-8735000.0,-28503000.0,1512299000.0,1.3807,27.2466,2.1617,0.48,-135956000.0,0.04452558591600385,-0.10936973470028843,0.0841471399464184,0.3120740240545952,0.1863506064916061,-0.24220807036582231,-0.5728172825387106,0.04175058627766051,0.19914544812706075,-1.1721412616008966,1.3806944711736728,1802223000.0,142985000.0,313811000.0,548974000.0,153602000.0,339594000.0,88872000.0,2.48,2.48,4.45325594680707,3.5310446484832116,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2014-03-23,524312000.0,353880000.0,240404000.0,,-1268956000.0,,38376000.0,453852000.0,137042000.0,84175000.0,40474000.0,20326000.0,23406000.0,0.0,,6561000.0,6421000.0,,0.0,,28.7393,2.3298,0.0,90596000.0,-0.0318955109554626,0.0771944948809106,0.08917885125547535,0.301953059587707,0.18546794990437412,0.16054372205862158,-0.06633405728803836,,0.19961573376342948,-0.0,1.4720220961381674,1838458000.0,149039000.0,322461000.0,556210000.0,,349034000.0,88253000.0,2.48,2.48,0.0,3.6538247991569692,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2014-06-15,495671000.0,320980000.0,216007000.0,,-1289682000.0,,15304000.0,904315000.0,271687000.0,165538000.0,78936000.0,40177000.0,46483000.0,1.0,,18948000.0,13077000.0,,0.0,,26.0346,2.1416,1.0,178615000.0,-0.06120578561226721,0.1592507933689887,0.08728816839265079,0.30043403017753767,0.18305347141206327,0.33396749053303504,-0.1283556721734505,,0.19751414053731278,-0.0,1.4859703620715996,1911146000.0,160285000.0,338633000.0,572104000.0,,366876000.0,87058000.0,2.48,2.48,0.0,3.889740173217855,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2014-09-07,510883000.0,333324000.0,220386000.0,,-1281742000.0,,30936000.0,1350883000.0,405201000.0,242479000.0,114554000.0,60151000.0,67854000.0,2.0,,30983000.0,20024000.0,,0.0,,26.3312,2.1865,2.0,262503000.0,-0.08937368050668543,0.22422746499687796,0.08479934975863936,0.2999526976059363,0.1794966699558733,0.4746272629936796,-0.18917925760410442,,0.19431956727562638,-0.0,1.5124554191282569,2026353000.0,176517000.0,364971000.0,600878000.0,,395758000.0,85491000.0,3.48,3.48,0.0,4.269116047303225,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2014-12-28,619280000.0,428361000.0,265608000.0,1838745000.0,-1219465000.0,,30855000.0,-715217000.0,-219164000.0,-146831000.0,-71377000.0,-33773000.0,-41707000.0,-1.0,,13601000.0,-3734000.0,,0.0,1.6128,32.2889,2.633,-1.0,-150565000.0,0.0585314051653799,-0.11525804159669294,0.09979768377988778,0.3064300764663032,0.2052957354201592,-0.2370995349438057,0.12040607971528498,,0.2105165285500764,-0.0,1.6127563928797326,1993833000.0,162587000.0,345361000.0,594766000.0,,381149000.0,86881000.0,2.0,2.0,0.0,3.975103877717798,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2015-03-22,636981000.0,446041000.0,275313000.0,,-3090000.0,,74991000.0,-26100000.0,157066000.0,-17184000.0,46289000.0,20153000.0,27893000.0,0.0,,7600000.0,7347000.0,,0.0,,34.3568,2.8334,0.0,-9837000.0,-14.980258899676375,0.07266935748476014,-1.7735249042145593,-6.017854406130268,0.6583908045977012,-0.02697725677845964,5.561165048543689,,0.37689655172413794,-0.0,1.620123277869189,1513881000.0,168402000.0,244002000.0,614790000.0,,280716000.0,86708000.0,2.0,2.0,0.0,2.8140655994833232,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2015-06-14,597901000.0,404501000.0,269213000.0,,-2929000.0,,25891000.0,-50571000.0,309738000.0,-33257000.0,92198000.0,39163000.0,55262000.0,1.0,,20238000.0,15028000.0,,0.0,,34.7794,2.9401,1.0,-18229000.0,-31.477637418914306,0.15420278607996976,-1.8231397441221253,-6.124814617073026,0.6576298669197762,-0.05562292085144531,11.354387162854216,,0.3604635067528821,-0.0,1.5025314527901699,558995000.0,181664000.0,45207000.0,652841000.0,,83872000.0,85694000.0,2.0,2.0,0.0,0.5275398510980932,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2015-09-06,603196000.0,404432000.0,279291000.0,,-1255949000.0,,32506000.0,1475345000.0,451692000.0,267027000.0,130030000.0,59142000.0,78058000.0,2.0,,33834000.0,22695000.0,,0.0,,33.6152,2.8257,2.0,289722000.0,-0.10353127396096498,0.215568405626032,0.08813531750200801,0.30616025404227487,0.18099292029999764,0.44268695415752096,-0.21260974768879948,,0.19637576295713885,-0.0,1.4480667117809023,683457000.0,197140000.0,69755000.0,699332000.0,,111091000.0,84685000.0,2.0,2.0,0.0,0.8236995926078998,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2016-01-03,799845000.0,602637000.0,375983000.0,2600096000.0,-1800251000.0,,133449000.0,817854000.0,-235365000.0,188853000.0,-75728000.0,-18921000.0,-47787000.0,0.0,,1610000.0,-12636000.0,,0.0,1.6028,30.9619,2.693,0.0,176217000.0,0.04206524534634337,-0.09467834392913627,-0.09259354359090986,-0.28778363864455025,0.23091285241620144,0.2361119966993605,-0.10490370509445628,,0.215462662039924,-0.0,1.6028304471212793,2216528000.0,192789000.0,405439000.0,683131000.0,,437873000.0,99537000.0,3.0,3.0,0.0,4.073249143534565,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
2016-03-27,820759000.0,626486000.0,333726000.0,,-1730279000.0,,178252000.0,539175000.0,167216000.0,98712000.0,45451000.0,26146000.0,27391000.0,0.0,,10486000.0,8221000.0,,0.0,,33.8591,2.8839,0.0,106933000.0,-0.026268018047956428,0.05537679148203066,0.08429730606945797,0.31013307367737747,0.18307970510502156,0.120269165491941,-0.057049759027301375,,0.19832707377011174,-0.0,1.8772466035010758,2781803000.0,191951000.0,521335000.0,693281000.0,,554643000.0,105530000.0,3.0,3.0,0.0,4.940159196437032,1.1533033,499.08,346.31,1.0698,12469.082,20.723,2.5241
