report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-12-31,2063060000000.0,2058583000000.0,4477000000.0,,,,,-7255000000.0,-26982000000.0,-1845000000.0,,,-10358000000.0,0.0,0.0577,0.0746,0.0105,,,-1.6205048023229842,-0.0035166209417079484,,,0.0,9235000000.0,58033000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2019-03-31,2092907000000.0,2088242000000.0,4665000000.0,,,,,1407000000.0,15833000000.0,358000000.0,,,4274000000.0,0.0,,0.2199,0.0247,,,0.3016077170418006,0.0006722706742344499,,,0.0,7716000000.0,59909000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2019-06-30,2124500000000.0,2119674000000.0,4826000000.0,,,,,2913000000.0,31368000000.0,750000000.0,,,5610000000.0,0.0,,0.2612,0.0244,,,0.6036054703688355,0.001371146152035773,,,0.0,5200000000.0,63021000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2019-09-30,2170246000000.0,2163572000000.0,6674000000.0,,,,,4622000000.0,46498000000.0,1177000000.0,,,3404000000.0,0.0,,0.4078,0.0317,,,0.6925382079712317,0.0021297124842068597,,,0.0,1687000000.0,66717000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2019-12-31,2203623000000.0,2194501000000.0,9122000000.0,,,,,-1728000000.0,-32652000000.0,-450000000.0,,,-1091000000.0,0.0,0.0275,0.2707,0.0268,,,-0.18943214207410655,-0.0007841631712865586,,,0.0,7214000000.0,61047000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2020-03-31,2241984000000.0,2232480000000.0,9504000000.0,,,,,173000000.0,14807000000.0,45000000.0,,,2791000000.0,0.0,,0.1519,0.0124,,,0.018202861952861953,7.716379777910994e-05,,,0.0,5980000000.0,60021000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2020-06-30,2335655000000.0,2324213000000.0,11442000000.0,,,,,1950000000.0,27647000000.0,503000000.0,,,428000000.0,0.0,,0.2277,0.0203,,,0.17042475091767173,0.0008348835765556128,,,0.0,5017000000.0,56300000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2020-09-30,2454071000000.0,2440180000000.0,13891000000.0,,,,,4413000000.0,39039000000.0,1147000000.0,,,6235000000.0,0.0,,0.1772,0.0183,,,0.3176877114678569,0.0017982364813405969,,,0.0,4808000000.0,48841000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2020-12-31,2627415000000.0,2611002000000.0,16413000000.0,,,,,790000000.0,-31924000000.0,208000000.0,0.01,,-8547000000.0,0.0,0.46,0.2067,0.023,0.01,,0.048132577834643274,0.0003006757592538674,,,0.0,7326000000.0,49569000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2021-03-31,2741874000000.0,2723083000000.0,18791000000.0,,,,,2767000000.0,10263000000.0,714000000.0,,,10382000000.0,0.0,,0.1343,0.022,,,0.1472513437283806,0.0010091638054848617,,,0.0,9920000000.0,45025000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2021-06-30,2842142000000.0,2819740000000.0,22402000000.0,,,,,6446000000.0,20726000000.0,1672000000.0,0.14,3234000000.0,16070000000.0,0.0,,0.0792,0.0154,0.14,,0.28774216587804663,0.002268007720937237,,,0.0,14416000000.0,38104000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2021-09-30,2937984000000.0,2912673000000.0,25311000000.0,,,,,9365000000.0,32099000000.0,2399000000.0,0.14,3234000000.0,17318000000.0,0.0,,0.0434,0.0087,0.14,,0.36999723440401405,0.0031875599050233084,,,0.0,19368000000.0,31164000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2021-12-31,3025586000000.0,2997553000000.0,28033000000.0,,,,,-6469000000.0,-19141000000.0,-1695000000.0,-0.13000000000000003,-3234000000.0,-27417000000.0,0.0,0.3304,0.0446,0.0085,-0.13000000000000003,,-0.2307637427317804,-0.0021380982064300932,,,0.0,12109000000.0,43947000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2022-03-31,3108854000000.0,3077143000000.0,31711000000.0,,,,4751000000.0,3798000000.0,13636000000.0,953000000.0,0.04,3234000000.0,3749000000.0,0.0,,0.0388,0.0074,0.04,4751000000.0,0.11976916527387972,0.001221672037348811,0.0015282158634660876,0.14982182838762576,0.0,13140000000.0,47320000000.0,0.19,0.19,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2022-06-30,3145581000000.0,3111483000000.0,34098000000.0,,,,,6251000000.0,28885000000.0,1577000000.0,0.06,3234000000.0,7783000000.0,0.0,,0.0229,0.0038,0.06,,0.1833245351633527,0.001987232247397222,,,0.0,12945000000.0,55479000000.0,0.10999999999999999,0.10999999999999999,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2022-09-30,3190656000000.0,3155426000000.0,35230000000.0,,,,,7564000000.0,46225000000.0,1824000000.0,0.0,3234000000.0,12193000000.0,0.0,,0.033,0.0043,0.0,,0.2147033778030088,0.0023706723633008385,,,0.0,11144000000.0,69605000000.0,-0.030000000000000034,-0.030000000000000034,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2022-12-31,3208333000000.0,3171315000000.0,37018000000.0,,,,,-8286000000.0,-23293000000.0,-2077000000.0,-0.1,-6468000000.0,-11800000000.0,0.0,0.0917,0.0246,0.0027,-0.1,,-0.22383705224485387,-0.0025826496189765838,,,0.0,9327000000.0,65453000000.0,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2023-06-30,3250956000000.0,3208999000000.0,41957000000.0,,,,,4939000000.0,41718000000.0,1233000000.0,0.0,3234000000.0,5006000000.0,0.0,,0.0352,0.0029,0.0,,0.11771575660795576,0.0015192454158099956,,,0.0,10468000000.0,93535000000.0,-0.04,-0.04,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2023-09-30,3271641000000.0,3226980000000.0,44661000000.0,,,,,7624000000.0,63768000000.0,1925000000.0,0.0,3234000000.0,5732000000.0,0.0,,0.041,0.0038,0.0,,0.17070822417769418,0.0023303290305996286,,,0.0,11841000000.0,128418000000.0,-0.1,-0.1,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2023-12-31,3280976000000.0,3233254000000.0,47722000000.0,,,,,10538000000.0,86821000000.0,2661000000.0,0.0,3234000000.0,7615000000.0,0.0,0.082,0.0524,0.0052,0.0,,0.2208205858932987,0.003211849157080088,,,0.0,14815000000.0,169014000000.0,-0.1,-0.1,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2024-03-31,3287373000000.0,3236910000000.0,50463000000.0,,,,,2766000000.0,23626000000.0,688000000.0,0.0,3234000000.0,2894000000.0,0.0,,0.0868,0.0085,0.0,,0.054812436834908745,0.0008414013256177501,,,0.0,25867000000.0,215933000000.0,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2024-06-30,3307252000000.0,3254029000000.0,53223000000.0,,,,,5531000000.0,47762000000.0,1383000000.0,0.0,3234000000.0,3821000000.0,0.0,,0.0794,0.0075,0.0,,0.10392123705916614,0.0016723854124209465,,,0.0,26459000000.0,221977000000.0,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2024-09-30,3342583000000.0,3286193000000.0,56390000000.0,,,,,8636000000.0,,2124000000.0,0.0,3234000000.0,7527000000.0,0.0,,0.0647,0.0062,0.0,,0.15314772122716794,0.002583630683217141,,,0.0,27471000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2024-12-31,3386692000000.0,3327117000000.0,59575000000.0,,,,,-5075000000.0,,-1275000000.0,0.0,-6468000000.0,-7615000000.0,0.0,0.0562,0.179,0.017,0.0,,-0.08518673940411246,-0.0014985124127024248,,,0.0,11858000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2025-03-31,3409116000000.0,3346713000000.0,62403000000.0,,,,,2794000000.0,,690000000.0,0.0,3234000000.0,3572000000.0,0.0,,0.2926,0.0283,0.0,,0.04477348845408073,0.0008195673013179956,,,0.0,11886000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2025-06-30,3436280000000.0,3371469000000.0,64811000000.0,,,,,5181000000.0,,1278000000.0,0.0,3234000000.0,11715000000.0,0.0,,0.4655,0.0428,0.0,,0.07994013361929302,0.0015077351088968302,,,0.0,11536000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2025-09-30,3468187000000.0,3400587000000.0,67600000000.0,,,,,7954000000.0,,1953000000.0,0.0,3234000000.0,16795000000.0,0.0,,0.6846,0.0598,0.0,,0.11766272189349113,0.002293417281132765,,,0.0,10854000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2025-12-31,3497598000000.0,3427214000000.0,70384000000.0,169296000000.0,37718000000.0,,,-5198000000.0,,-1291000000.0,0.0,-6468000000.0,-12709000000.0,207014000000.0,0.0416,0.6143,0.0509,0.0,,-0.07385201182086838,-0.001486162789434349,,,2.941208229142987,10731000000.0,,0.0,0.0,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
