report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,2195795000000.0,2197273000000.0,-1478000000.0,,,17488000000.0,,-1463000000.0,41562000000.0,-306000000.0,-1.44,3245970000.0,7794000000.0,0.0,,,0.0022,-1.44,,0.989851150202977,-0.0006662734909224222,,,-0.0,,,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2011-09-30,97483000000.0,88759000000.0,8724000000.0,,,8153000000.0,1898000000.0,1184000000.0,2676000000.0,714000000.0,,,3210000000.0,0.0,,,0.0015,,1898000000.0,0.13571756075194866,0.012145707456684755,0.019470061446611203,0.2175607519486474,0.0,,,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2011-12-31,2147216000000.0,2147362000000.0,-146000000.0,,,28442000000.0,,-5266000000.0,79988000000.0,-400000000.0,-3.63,3244896000.0,10320000000.0,0.0,0.2621,,0.0015,-3.63,,36.06849315068493,-0.0024524779994187823,,,-0.0,,,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2012-03-31,101682000000.0,92483000000.0,9199000000.0,,,7747000000.0,452000000.0,295000000.0,803000000.0,157000000.0,,,1408000000.0,0.0,,,0.002,,452000000.0,0.03206870311990434,0.00290120178596015,0.004445231211030467,0.04913577562778563,0.0,-5250000000.0,125029000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2012-06-30,2066335000000.0,2065249000000.0,1086000000.0,,,19182000000.0,,-15000000.0,35354000000.0,-90000000.0,0.0,3240627000.0,6566000000.0,0.0,,,0.0018,0.0,,-0.013812154696132596,-7.259229505380299e-06,,,0.0,-3802000000.0,118821000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2012-09-30,2016503000000.0,2011596000000.0,4907000000.0,,,7783000000.0,,1104000000.0,51431000000.0,-392000000.0,0.34,3240241000.0,6173000000.0,0.0,,0.0235,0.0019,0.34,,0.22498471571224782,0.0005474824485755787,,,0.0,-3882000000.0,167576000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2012-12-31,1989856000000.0,1981029000000.0,8827000000.0,,,8513000000.0,,9598000000.0,-21086000000.0,-1212000000.0,-0.98,,-5681000000.0,0.0,0.2013,0.0156,0.002,-0.98,,1.0873456440466749,0.004823464612514675,,,0.0,10982000000.0,66502000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2013-03-31,1979386000000.0,1969415000000.0,9971000000.0,,,27733000000.0,,-2390000000.0,14292000000.0,-35000000.0,,,1960000000.0,0.0,,0.0332,0.0064,,,-0.23969511583592418,-0.0012074451370273408,,,0.0,8297000000.0,79991000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2013-06-30,1967518000000.0,1960161000000.0,7357000000.0,,,13867000000.0,,-1759000000.0,28171000000.0,-76000000.0,,,6409000000.0,0.0,,0.0544,0.0128,,,-0.23909202120429524,-0.0008940197751685118,,,0.0,6553000000.0,72808000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2013-09-30,1981785000000.0,1948349000000.0,33436000000.0,,,9532000000.0,,-1709000000.0,41735000000.0,-24036000000.0,,,9361000000.0,0.0,,0.0184,0.0121,,,-0.05111257327431511,-0.0008623538880352813,,,0.0,3740000000.0,63112000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2013-12-31,1966061000000.0,1953226000000.0,12835000000.0,,,11281000000.0,,54526000000.0,-28419000000.0,842000000.0,,,802000000.0,0.0,0.1459,0.0387,0.0286,,,4.248227502921698,0.027733625762374616,,,0.0,48668000000.0,55779000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2014-03-31,1921538000000.0,1914639000000.0,6899000000.0,,,10611000000.0,,4020000000.0,14072000000.0,1745000000.0,,,4217000000.0,0.0,,0.0522,0.0384,,,0.5826931439339035,0.00209207416142694,,,0.0,55078000000.0,55559000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2014-06-30,1916618000000.0,1912328000000.0,4290000000.0,,,4662000000.0,,5382000000.0,27932000000.0,2418000000.0,,,11021000000.0,0.0,,0.0564,0.0385,,,1.2545454545454546,0.0028080713005930237,,,0.0,62219000000.0,55320000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2014-09-30,1922784000000.0,1917598000000.0,5186000000.0,,,16191000000.0,,7463000000.0,41416000000.0,3374000000.0,,,,0.0,,0.1067,0.0265,,,1.4390667180871577,0.0038813512074159138,,,0.0,71391000000.0,55001000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2014-12-31,1945539000000.0,1942888000000.0,2651000000.0,,,10928000000.0,,-9175000000.0,-28504000000.0,-4225000000.0,,,,0.0,0.1203,0.1741,0.0215,,,-3.4609581290079214,-0.004715916771650427,,,0.0,7690000000.0,54916000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2015-03-31,1951603000000.0,1949057000000.0,2546000000.0,,,10407000000.0,,524000000.0,13088000000.0,264000000.0,,,,0.0,,0.3534,0.024,,,0.20581304006284368,0.00026849723022561453,,,0.0,4194000000.0,53932000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2015-06-30,1947462000000.0,1941749000000.0,5713000000.0,,,5461000000.0,,4693000000.0,25716000000.0,2173000000.0,,,,0.0,,0.2052,0.0235,,,0.8214598284614039,0.0024098031181096218,,,0.0,3505000000.0,51716000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2015-09-30,1962147000000.0,1960848000000.0,1299000000.0,,,5000000000.0,,4218000000.0,38679000000.0,1979000000.0,,,,0.0,,0.3217,0.0235,,,3.2471131639722866,0.002149686032697856,,,0.0,260000000.0,48979000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2015-12-31,1986050000000.0,1983110000000.0,2940000000.0,,,5595000000.0,,-3059000000.0,-25567000000.0,-1518000000.0,,,,0.0,0.0467,0.1652,0.0174,,,-1.0404761904761906,-0.0015402431962941517,,,0.0,6376000000.0,51916000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2016-03-31,1969100000000.0,1968100000000.0,1000000000.0,,,6158000000.0,,-354000000.0,13388000000.0,-154000000.0,,,,0.0,,0.1584,0.0143,,,-0.354,-0.00017977756335381647,,,0.0,5498000000.0,52216000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2016-06-30,1986437000000.0,1984304000000.0,2133000000.0,,,8140000000.0,,639000000.0,26169000000.0,312000000.0,,,,0.0,,0.5179,0.0199,,,0.29957805907172996,0.00032168148297680724,,,0.0,1444000000.0,52669000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2016-09-30,2015262000000.0,2011752000000.0,3510000000.0,,,3940000000.0,,2968000000.0,38523000000.0,1308000000.0,,,,0.0,,0.1991,0.017,,,0.8455840455840455,0.001472761358076518,,,0.0,194000000.0,52513000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2016-12-31,2023376000000.0,2018301000000.0,5075000000.0,,,12369000000.0,,4562000000.0,-27485000000.0,2358000000.0,,,,0.0,0.1597,0.3219,0.0424,,,0.8989162561576355,0.0022546476779402346,,,0.0,7815000000.0,50595000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2017-03-31,2032308000000.0,2029474000000.0,2834000000.0,,,10679000000.0,,2211000000.0,13142000000.0,1110000000.0,,,,0.0,,0.1553,0.027,,,0.7801693719124911,0.001087925649065004,,,0.0,10380000000.0,50349000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2017-06-30,2022757000000.0,2020171000000.0,2586000000.0,,,6666000000.0,,3875000000.0,26621000000.0,1947000000.0,,,,0.0,,0.1312,0.024,,,1.4984532095901006,0.001915702182713989,,,0.0,13616000000.0,50801000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2017-09-30,2030656000000.0,2025406000000.0,5250000000.0,,,8183000000.0,,8546000000.0,39965000000.0,4466000000.0,,,,0.0,,0.1485,0.0325,,,1.6278095238095238,0.004208492231081976,,,0.0,19194000000.0,52243000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2017-12-31,2049776000000.0,2050088000000.0,-312000000.0,,,6848000000.0,,-9007000000.0,-26085000000.0,3686000000.0,,,5462000000.0,0.0,0.0864,0.2889,0.026,,,28.868589743589745,-0.004394138676616372,,,-0.0,5625000000.0,53643000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2018-03-31,2022483000000.0,2020333000000.0,2200000000.0,,,8617000000.0,,2926000000.0,13957000000.0,748000000.0,,,4643000000.0,0.0,,0.1558,0.0158,,,1.33,0.0014467365115059063,,,0.0,6340000000.0,54458000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2018-06-30,2041732000000.0,2037147000000.0,4585000000.0,,,,,5429000000.0,28256000000.0,1390000000.0,,,3494000000.0,0.0,,0.1431,0.0163,,,1.1840785169029444,0.0026590169522738537,,,0.0,7894000000.0,56093000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
2018-09-30,2063457000000.0,2057898000000.0,5559000000.0,,,,,8135000000.0,42802000000.0,1946000000.0,,,2895000000.0,0.0,,0.1758,0.0143,,,1.4633926965281525,0.003942413144543356,,,0.0,7483000000.0,58930000000.0,,,1.7681959,14.99,3.4,2.75538,4632.324,0.4317,0.0937,0.0357
