report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,2336812000.0,709261000.0,504082000.0,,1439094000.0,250000000.0,5766000.0,293011000.0,495938000.0,,85313000.0,7240000.0,55784000.0,0.59,138937000.0,166731000.0,4964000.0,161767000.0,255766000.0,,18.1472,2.8524,0.59,,0.05928243742243384,0.03650828564728356,0.17202351906891586,,,,0.3261839181510592,,0.17772709774344136,1.4070349665332227,,,,,,,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2010-09-30,2387811000.0,669721000.0,594326000.0,,1481362000.0,150067000.0,101689000.0,257151000.0,743554000.0,,129606000.0,10847000.0,84525000.0,0.9,139128000.0,226205000.0,7248000.0,218957000.0,251756000.0,,18.7304,2.9973,0.9,,0.08749110615771162,0.054278165231670346,0.17430610285197848,,,,0.2944735688329294,,0.16994900638736515,1.126857987030687,,,,,,,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2010-12-31,2400814000.0,652809000.0,470157000.0,,1506344000.0,250067000.0,1662000.0,272984000.0,973492000.0,,161752000.0,14471000.0,104346000.0,1.12,139318000.0,296052000.0,10454000.0,285598000.0,251729000.0,1.3885,21.1123,3.5079,1.12,,0.10738051865974838,0.06737381571417028,0.16615647586215399,,,,0.2933747786319764,,0.16711255861874844,1.3884915039018881,,,,,,,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2011-03-31,2443996000.0,654963000.0,459848000.0,,1544412000.0,250067000.0,1212000.0,265682000.0,262228000.0,,46293000.0,3607000.0,30377000.0,0.32,140648000.0,51604000.0,2917000.0,48687000.0,251279000.0,,22.4381,3.7399,0.32,,0.029974514572536345,0.018941520362553785,0.17653721189194135,,,,0.1856666717513004,,0.16270205100711468,1.4243032480297837,2475212000.0,422964000.0,715009000.0,36165000.0,2.93,2.93,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2011-06-30,2524872000.0,697061000.0,502971000.0,,1572931000.0,250067000.0,,278866000.0,509044000.0,,83328000.0,7215000.0,54810000.0,0.57,140950000.0,123598000.0,6513000.0,117085000.0,250067000.0,,22.9572,3.7176,0.57,,0.052976258971308976,0.033002861135138735,0.16369508333267851,,,,0.23000958659762222,,0.15898154464499714,1.3858870590948584,2488318000.0,420979000.0,670327000.0,36140000.0,2.91,2.91,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2011-09-30,2561303000.0,732694000.0,488281000.0,2561303000.0,1616561000.0,250603000.0,,334497000.0,769445000.0,,127501000.0,10780000.0,83329000.0,0.88,140120000.0,201223000.0,9507000.0,191716000.0,250603000.0,,15.9354,2.5456,0.88,,0.07887175306097326,0.049779741014632006,0.16570515111541437,,,,0.24916140854771945,,0.15502229733366077,1.500558080285737,2514209000.0,418874000.0,643086000.0,36073000.0,2.8899999999999997,2.8899999999999997,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2011-12-31,2607011000.0,708127000.0,481620000.0,2607011000.0,1643963000.0,250033000.0,,286305000.0,-527175000.0,,-93127000.0,-7470000.0,-61990000.0,-0.6400000000000001,-281454000.0,-138894000.0,-5329000.0,-144223000.0,250033000.0,1.4703,19.8688,3.2149,-0.6400000000000001,,-0.05664786859558275,-0.035721751845312504,0.17665291411770284,,,,0.2735770854080713,,0.15209162250001976,1.4703023130268678,1013542000.0,163995000.0,213265000.0,14132000.0,1.13,1.13,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2012-03-31,3017447000.0,697791000.0,601222000.0,3017447000.0,1685050000.0,450043000.0,,155714000.0,302486000.0,,49433000.0,4087000.0,33357000.0,0.34,141500000.0,25788000.0,5905000.0,19883000.0,450043000.0,,20.4862,3.2492,0.34,,0.029336221477107505,0.016382392134808,0.16342243938562445,,,,0.0657319677604914,,0.2670799086080532,1.1606212014863062,1053800000.0,167135000.0,184461000.0,14612000.0,1.1499999999999997,1.1499999999999997,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2012-06-30,,,,,,,,,290916000.0,,42471000.0,4000000.0,28674000.0,0.29,141828000.0,,,,0.0,,22.7665,3.5785,0.29,,,,0.14599059522336344,,,,,,,,835672000.0,126278000.0,,11397000.0,0.8699999999999999,0.8699999999999999,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
2012-09-30,,,,,,,,,303800000.0,,49504000.0,4006000.0,32145000.0,0.34,142097000.0,,,,0.0,,21.0832,3.2864,0.34,,,,0.16294930875576036,,,,,,,,370027000.0,48281000.0,,4623000.0,0.3299999999999999,0.3299999999999999,0.77947134,125.675,65.68,2.68492,22661.764,21.5211,2.1687,3.8397
