report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2019-06-30,170781.0,,146235.0,,24546.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2019-09-30,232009871.0,1035743.0,100926.0,8155748.0,5000008.0,,,,,-132574.0,664827.0,176727.0,,,-319728.0,,,,0.0,,,,-132574.0,0.1329651872557004,0.002865511700577602,,,,-0.0005714153429273706,-0.02651475757638788,,,0.0,10.262400174385194,,,,,,,,,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2019-12-31,232661414.0,741517.0,214393.0,8266100.0,5000004.0,,,,,-393291.0,1206018.0,320588.0,,,-624353.0,,,,0.0,0.4581,,,-393291.0,0.24120340703727436,0.005183575476765563,,,,-0.0016904006265516809,-0.07865813707349034,,,0.0,3.458681020369135,,,,,,,,,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2020-03-31,233194207.0,1015750.0,237504.0,8287504.0,5000008.0,,,,,-131264.0,511389.0,135939.0,,,-179018.0,,,,0.0,0.4581,,,-131264.0,0.10227763635578183,0.0021929747165631776,,,,-0.0005628956297357764,-0.026252757995587208,,,0.0,4.276770075451361,,,,,,,,,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2020-06-30,233092093.0,826882.0,237511.0,8287511.0,5000009.0,,,,,-347286.0,409268.0,108792.0,,,-392140.0,,,,0.0,,,,-347286.0,0.0818534526637852,0.0017558210350790407,,,,-0.001489908969155809,-0.06945707497726504,,,0.0,3.481447175078207,,2791502.0,-1004415.0,,-1004415.0,,,-0.0,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2020-09-30,232960118.0,673896.0,1932060.0,9982060.0,5000001.0,,,,,-2218940.0,-1417256.0,84673.0,,,-609460.0,,,,0.0,,,,-2218940.0,-0.28345114330977134,-0.00608368510527626,,,,-0.009524978005033463,-0.44378791124241773,,,0.0,0.34879662122294336,,709419.0,-3090781.0,,-3090781.0,,,-0.0,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2020-12-31,,,,,,,,20338000.0,2744000.0,-12596510.0,-25094401.0,,,,-18700382.0,,622000.0,,0.0,37.9451,,,-11974510.0,,,-1.2338676861048283,0.13491985445963223,-0.619358343986626,,,,-0.5887751991346248,,,,-25591000.0,-15294000.0,,-14672000.0,,,-0.0,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2021-03-31,427510000.0,420425000.0,11030000.0,,384651000.0,80000.0,,675000.0,-716000.0,-10086000.0,61914000.0,,0.42,148571379.0,-9962000.0,1104000.0,219000.0,-11066000.0,80000.0,37.9451,,0.42,-9867000.0,0.1609614949655662,0.1448246824635681,91.72444444444444,-1.0607407407407408,-14.942222222222222,-0.023592430586419032,-0.026215719554701856,-16.394074074074073,-14.617777777777778,0.00020798074098338495,38.11650045330916,,35811611.0,-25248736.0,,-24407736.0,,,-0.0032776493485508038,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2021-06-30,423948000.0,405778000.0,16422000.0,47566000.0,376382000.0,559000.0,,4369000.0,246000.0,-22755000.0,51445000.0,,-0.17,137598535.0,-20544000.0,,601000.0,,559000.0,,46.8936,-0.17,-22154000.0,0.13668294445536716,0.12134742940171908,11.775005722133212,0.0563057907988098,-5.208285648889906,-0.05367403549491919,-0.0603675376252517,,-5.070725566491188,0.001485193234533001,24.709414200462795,,86847343.0,-47656450.0,,-46214450.0,,,-0.012095783894431287,6.379,0.69,0.61027,116.3054,0.31704,6.12005
2021-09-30,,389034000.0,17117000.0,40346000.0,370054000.0,37000.0,,7569000.0,936000.0,-38024000.0,43914000.0,,0.3,,-34215000.0,2917000.0,1074000.0,-37132000.0,37000.0,,30.7633,0.3,-36950000.0,0.11866916720262448,,5.801823226317875,0.12366230677764566,-5.0236490949927335,,-0.10274229851577045,-4.90579997357643,-4.881754525036333,9.998540753511649e-05,22.727931296372027,32951000.0,132178599.0,-83461510.0,3210000.0,-80945510.0,,,-0.00045709762036214236,6.379,0.69,0.61027,116.3054,0.31704,6.12005
