report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_pe,eps,roe,roa,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,55885000000.0,50093000000.0,5792000000.0,9041000000.0,,-1000000.0,115000000.0,18000000.0,-0.01,740000000.0,62000000.0,9041000000.0,57.9816,-0.01,-0.00017265193370165745,-1.7893889236825623e-05,1.5609461325966851,,,,,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2010-09-30,55004000000.0,49147000000.0,5857000000.0,7239000000.0,,58000000.0,167000000.0,25000000.0,0.34,995000000.0,94000000.0,7239000000.0,43.0938,0.34,0.009902680553184225,0.001054468765907934,1.2359569745603551,,,,,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2010-12-31,53667000000.0,47874000000.0,5793000000.0,6138000000.0,,153000000.0,207000000.0,55000000.0,0.88,1286000000.0,124000000.0,6138000000.0,26.9134,0.88,0.02641118591403418,0.0028509139694784503,1.0595546349041947,,,,,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2011-03-31,55017000000.0,49140000000.0,5877000000.0,6116000000.0,,102000000.0,39000000.0,35000000.0,0.57,150000000.0,29000000.0,6116000000.0,19.7899,0.57,0.017355793772332824,0.001853972408528273,1.0406670069763484,312000000.0,528000000.0,1.78,1.78,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2011-06-30,54141000000.0,48103000000.0,6038000000.0,5206000000.0,,197000000.0,79000000.0,76000000.0,1.1,462000000.0,59000000.0,5206000000.0,17.2626,1.1,0.032626697581980786,0.003638647235921021,0.8622060284862537,510000000.0,492000000.0,2.89,2.89,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2011-09-30,60888000000.0,53937000000.0,6951000000.0,5009000000.0,164000000.0,294000000.0,119000000.0,104000000.0,1.61,756000000.0,90000000.0,5173000000.0,10.3323,1.61,0.04229607250755287,0.004828537642885298,0.7442094662638469,746000000.0,444000000.0,4.16,4.16,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2011-12-31,61008000000.0,54140000000.0,6868000000.0,4944000000.0,70000000.0,-204000000.0,-81000000.0,-78000000.0,-1.1900000000000004,-466000000.0,-56000000.0,5014000000.0,13.5084,-1.1900000000000004,-0.0297029702970297,-0.0033438237608182536,0.7300524170064066,389000000.0,156000000.0,2.09,2.09,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2012-06-30,62650000000.0,55622000000.0,7028000000.0,4742000000.0,83000000.0,271000000.0,70000000.0,98000000.0,1.39,432000000.0,67000000.0,4825000000.0,12.8919,1.39,0.03856004553215708,0.00432561851556265,0.6865395560614684,558000000.0,187000000.0,2.9099999999999997,2.9099999999999997,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2012-09-30,63314000000.0,56230000000.0,7084000000.0,4740000000.0,63000000.0,387000000.0,103000000.0,134000000.0,2.0,745000000.0,100000000.0,4803000000.0,12.6773,2.0,0.054630152456239416,0.006112392203935938,0.6780067758328628,748000000.0,211000000.0,3.8099999999999996,3.8099999999999996,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2012-12-31,65359000000.0,58417000000.0,6942000000.0,4720000000.0,110000000.0,515000000.0,135000000.0,189000000.0,2.67,754000000.0,133000000.0,4830000000.0,10.948,2.67,0.07418611351195621,0.007879557520769902,0.6957649092480553,969000000.0,227000000.0,4.869999999999999,4.869999999999999,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2013-03-31,64885000000.0,57897000000.0,6988000000.0,4699000000.0,58000000.0,132000000.0,30000000.0,50000000.0,0.0,276000000.0,30000000.0,4757000000.0,12.5928,0.0,0.018889524899828276,0.002034368498112044,0.6807384087006296,1305000000.0,338000000.0,6.06,6.06,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2013-06-30,62947000000.0,56036000000.0,6911000000.0,3601000000.0,131000000.0,273000000.0,59000000.0,100000000.0,1.0,285000000.0,62000000.0,3732000000.0,14.2033,1.0,0.03950224280133121,0.00433698190541249,0.5400086818116047,1307000000.0,327000000.0,5.67,5.67,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
2013-09-30,64670000000.0,57701000000.0,6969000000.0,3565000000.0,226000000.0,418000000.0,86000000.0,154000000.0,2.0,450000000.0,92000000.0,3791000000.0,13.056,2.0,0.059979911034581716,0.006463584351322097,0.5439804850050223,1338000000.0,310000000.0,5.67,5.67,-0.14423941,99.41,48.12,6.86232,11348.052,8.9355,1.4414,1.50672
