report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-10-31,950148000.0,881654000.0,214894000.0,334647000.0,615501000.0,,442980000.0,,-40868000.0,-41471000.0,,-0.67,,-9358000.0,,4461000.0,,0.0,,,,-0.67,-36407000.0,-0.06737763220530917,-0.043646884485364384,,,-0.04301224651317479,-0.06639794248912674,,,0.0,4.10273902482154,,,,,,,,,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2013-01-31,959080000.0,884302000.0,254774000.0,366797000.0,592283000.0,,84158000.0,,-117863000.0,-119758000.0,,-1.62,,11214000.0,,17722000.0,,0.0,3.4709,,,-1.62,-100141000.0,-0.20219726043124656,-0.12486758143220586,,,-0.12289172957417525,-0.1989977764008084,,,0.0,3.470927174672455,,,,,,,,,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2013-04-30,981255000.0,893684000.0,309132000.0,409470000.0,571785000.0,,219264000.0,,-32624000.0,-33015000.0,,,,17310000.0,,6569000.0,,0.0,3.4709,,,,-26055000.0,-0.057740234528712714,-0.033645688429613095,,,-0.03324721912245033,-0.05705641106359908,,,0.0,2.890946262438052,,,,,,,,,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2013-07-31,1505973000.0,1395395000.0,310721000.0,867232000.0,638741000.0,,437432000.0,,-64907000.0,-68993000.0,,,,4394000.0,,14620000.0,,0.0,,,33.5326,,-50287000.0,-0.10801404638186683,-0.045812906340286313,,,-0.04309971028697061,-0.10161708736404897,,,0.0,4.490829393571725,,-263237000.0,-256262000.0,,-212890000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2013-10-31,1528185000.0,1405602000.0,361702000.0,914783000.0,613402000.0,,183460000.0,,-105306000.0,-116527000.0,,,,11470000.0,,23981000.0,,0.0,,,32.0303,,-81325000.0,-0.18996840571109974,-0.0762518935861823,,,-0.06890919620333925,-0.17167534504289195,,,0.0,3.88607748920382,,-338293000.0,-320700000.0,,-257808000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2014-01-31,2176265000.0,2023658000.0,421890000.0,989048000.0,1187217000.0,,581326000.0,468938000.0,49555000.0,46026000.0,,-1.01,,13089000.0,,-10475000.0,,0.0,4.7966,,35.0187,-1.01,39080000.0,0.03876797586287932,0.021149078811633693,0.09814943553305554,0.10567495063313274,0.022770664418165987,0.04174047372973938,,0.08333724287645701,0.0,4.796648415463746,,-172509000.0,-153282000.0,,-118587000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2014-04-30,2206690000.0,2013893000.0,487320000.0,1051254000.0,1155436000.0,,246001000.0,159737000.0,-52083000.0,,,,,,,12523000.0,,0.0,,,25.0761,,-39560000.0,,,,-0.3260547024170981,-0.02360231840448817,-0.04507649060614348,,-0.24765708633566424,0.0,4.132588442912255,,,-172741000.0,,-132092000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2014-07-31,2194898000.0,1980810000.0,489465000.0,1056057000.0,1138841000.0,,262634000.0,346517000.0,-113852000.0,,,,,,,26997000.0,,0.0,,,25.1008,,-86855000.0,,,,-0.3285610806973395,-0.05187120312652342,-0.09997181344893624,,-0.250651483188415,0.0,4.0468879286567985,,,-221686000.0,,-168660000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2014-10-31,2232318000.0,2009746000.0,537633000.0,1103102000.0,1129216000.0,,192142000.0,561587000.0,-165318000.0,,,,,,,42679000.0,,0.0,,,25.2187,,-122639000.0,,,,-0.2943764723898523,-0.07405665321876184,-0.1464006886193607,,-0.218379342826668,0.0,3.7381373539198672,1536779000.0,,-281698000.0,,-209974000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
2015-01-31,2358633000.0,2109039000.0,641265000.0,1232658000.0,1125975000.0,,298192000.0,-279981000.0,115551000.0,-247982000.0,2010000.0,,,102003000.0,,-22994000.0,,0.0,3.2889,,19.4213,,92557000.0,-0.22023757188214657,-0.10513801850478646,0.8857101017569049,-0.4127101481886271,0.04899066535573784,0.10262306001465396,,-0.330583146713527,0.0,3.28887277490585,787860000.0,,-215702000.0,,-156497000.0,,,-0.0,1.1691573,276.0,117.76,4.75499,34915.246,27.7105,5.8423,3.6553
