report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio
2012-12-29,23329000000.0,4823000000.0,3606000000.0,19757000000.0,3572000000.0,9966000000.0,1255000000.0,18339000000.0,5840000000.0,2670000000.0,1642000000.0,258000000.0,811000000.0,2.75,3035000000.0,440000000.0,428000000.0,2595000000.0,9966000000.0,2.75,3098000000.0,0.4596864501679731,0.07038449997856745,0.08953596161186542,0.3184470254648563,0.14559136266972028,0.11444982639633075,0.19722263258974737,0.1415017176509079,0.16892960357707618,2.7900335946248602,1.3374930671103715
2013-12-28,23148000000.0,4908000000.0,3410000000.0,17961000000.0,5187000000.0,9976000000.0,1686000000.0,18218000000.0,6823000000.0,4591000000.0,2715000000.0,501000000.0,1375000000.0,4.51,2043000000.0,557000000.0,393000000.0,1486000000.0,9976000000.0,4.51,4984000000.0,0.523423944476576,0.11728875064800415,0.1490284334174992,0.3745197057854869,0.2520035130091119,0.19833246932780368,0.30277649541647433,0.08156768031617082,0.2735755845866725,1.9232697127433969,1.4392961876832844
