report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2014-03-31,156472000000.0,150874000000.0,5593000000.0,136177000000.0,11626000000.0,3742000000.0,,,219000000.0,530000000.0,136000000.0,0.0,435000000.0,558000000.0,147803000000.0,0.5967,,,0.0,,0.03915608796710173,0.0013996114320773045,,,,26.42642588950474,,,,,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2014-06-30,,,,,,,,,526000000.0,1042000000.0,328000000.0,1.0,432000000.0,,0.0,,,,1.0,,,,,,,,,,,,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2014-09-30,,,,,,,,,885000000.0,1550000000.0,530000000.0,2.0,429000000.0,,0.0,,,,2.0,,,,,,,,,,,,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2014-12-31,,,,,,,,,-481000000.0,-1059000000.0,-306000000.0,-1.0,-871000000.0,,0.0,1.4352,,,-1.0,,,,,,,,1149000000.0,2063000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2015-03-31,,,,,,,,,292000000.0,514000000.0,181000000.0,0.0,405000000.0,,0.0,,2.776,6.472,0.0,,,,,,,,1222000000.0,2047000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2015-06-30,,,,,,,,,474000000.0,1029000000.0,293000000.0,1.0,396000000.0,,0.0,,2.5198,6.2089,1.0,,,,,,,,1170000000.0,2034000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2015-09-30,,,,,,,,,711000000.0,1553000000.0,438000000.0,1.0,389000000.0,,0.0,,1.5356,4.1768,1.0,,,,,,,,996000000.0,2037000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2015-12-31,,,,,,,,,-480000000.0,-1022000000.0,-308000000.0,0.0,-808000000.0,,0.0,1.3852,1.6029,4.2159,0.0,,,,,,,,997000000.0,2074000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2016-03-31,,,,,,,,,181000000.0,565000000.0,103000000.0,0.0,343000000.0,,0.0,,1.5876,4.5318,0.0,,,,,,,,886000000.0,2125000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2016-06-30,,,,,,,,,305000000.0,1165000000.0,184000000.0,0.0,335000000.0,,0.0,,1.5958,4.6428,0.0,,,,,,,,717000000.0,2261000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2016-09-30,,,,,,,,,535000000.0,1791000000.0,331000000.0,1.0,329000000.0,,0.0,,1.9536,5.4213,1.0,,,,,,,,541000000.0,2499000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2016-12-31,,,,,,,,,-340000000.0,-1080000000.0,-191000000.0,1.0,-685000000.0,,0.0,1.2901,2.4045,7.3864,1.0,,,,,,,,681000000.0,2441000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2017-03-31,,,,,,,,,88000000.0,675000000.0,53000000.0,0.0,296000000.0,,0.0,,2.1469,7.1405,0.0,,,,,,,,588000000.0,2551000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2017-06-30,,,,,,,,,200000000.0,1394000000.0,113000000.0,0.0,291000000.0,,0.0,,2.4135,7.9233,0.0,,,,,,,,483000000.0,2780000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2017-09-30,,,,,,,,,376000000.0,2178000000.0,206000000.0,1.0,285000000.0,,0.0,,2.0691,7.5074,1.0,,,,,,,,324000000.0,3167000000.0,2.0,2.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2017-12-31,114991000000.0,111506000000.0,3454000000.0,105012000000.0,4771000000.0,1518000000.0,,,-372000000.0,-1276000000.0,100000000.0,0.0,-591000000.0,,109783000000.0,0.8097,1.8988,12.2769,0.0,,-0.10770121598147075,-0.003235035785409293,,,,31.784308048639257,292000000.0,2971000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2018-03-31,113209000000.0,109541000000.0,3637000000.0,102797000000.0,5131000000.0,2398000000.0,,,126000000.0,843000000.0,36000000.0,0.0,269000000.0,,107928000000.0,,1.7804,10.1753,0.0,,0.03464393731097058,0.0011129857166833025,,,,29.675006873797084,330000000.0,3139000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2018-06-30,108949000000.0,105204000000.0,3714000000.0,98690000000.0,4752000000.0,1622000000.0,,,210000000.0,1773000000.0,64000000.0,0.0,269000000.0,482000000.0,103442000000.0,,1.9226,11.6313,0.0,,0.05654281098546042,0.0019275073658317195,,,,27.85191168551427,340000000.0,3518000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2018-09-30,106493000000.0,102738000000.0,3724000000.0,96089000000.0,5007000000.0,2143000000.0,263000000.0,,323000000.0,2707000000.0,98000000.0,1.0,267000000.0,655000000.0,101096000000.0,,2.0355,14.6577,1.0,,0.08673469387755102,0.0030330632060323213,1.2281368821292775,,,27.147153598281417,287000000.0,4047000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
2018-12-31,104176000000.0,100629000000.0,3519000000.0,93519000000.0,5422000000.0,1286000000.0,,,-264000000.0,-1655000000.0,-65000000.0,0.0,-541000000.0,3000000.0,98941000000.0,0.6234,1.3593,5.7536,0.0,,-0.07502131287297528,-0.0025341729381047457,,,,28.116226200625178,395000000.0,3668000000.0,1.0,1.0,1.2481226,16.07,7.86,1.04008,789.2445,0.5284,1.4589
