report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-04-02,2723400000.0,1565600000.0,957600000.0,,123400000.0,809900000.0,1800000.0,424000000.0,,985900000.0,67000000.0,27500000.0,23300000.0,13200000.0,0.3,92500000.0,-83100000.0,13200000.0,28400000.0,-96300000.0,811700000.0,,0.6427,,0.3,95400000.0,0.22285251215559157,0.010097672027612543,0.02789329546607161,0.06795821077188356,0.02460160094000147,0.07165009089936905,-0.09767724921391621,0.0967643777259357,6.577795786061588,1.6349206349206349,,,,,,,,,,,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2011-07-02,2792000000.0,1630200000.0,967900000.0,,210400000.0,785200000.0,1700000.0,527000000.0,,1096300000.0,107900000.0,69300000.0,21200000.0,17600000.0,0.75,92600000.0,,,,,786900000.0,,0.5232,,0.75,107900000.0,0.3293726235741445,0.024820916905444124,0.06321262428167472,0.0984219647906595,0.038646131805157594,0.10819211872054547,,0.0984219647906595,3.740019011406844,1.6842649033991115,,,,,,,,,,,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2011-10-01,2577800000.0,1434400000.0,902600000.0,2577800000.0,189400000.0,701200000.0,2100000.0,384500000.0,,2958900000.0,210500000.0,101500000.0,63800000.0,30800000.0,1.1,92300000.0,81200000.0,57900000.0,79300000.0,23300000.0,703300000.0,,0.3261,,1.1,289800000.0,0.5359028511087646,0.039374660563271005,0.03430328838419683,0.0711413025110683,0.081658778803631,0.2358015010641873,0.007874547973909223,0.09794180269694819,3.7133051742344243,1.5891867937070685,,,,,,,,,,,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2011-12-31,2494000000.0,1356100000.0,908100000.0,2494000000.0,30900000.0,690400000.0,2400000.0,338200000.0,,-1293100000.0,-193000000.0,-126400000.0,-26500000.0,-44200000.0,-1.3700000000000003,-185200000.0,91000000.0,18900000.0,-3200000.0,72100000.0,692800000.0,1.4936,0.4462,23.0858,-1.3700000000000003,-196200000.0,-4.090614886731392,-0.050681635926222934,0.09774959399891733,0.14925373134328357,-0.07738572574178028,-0.2666850905071162,-0.05575748201995205,0.15172840460907897,22.42071197411003,1.4933377381345667,3748000000.0,71900000.0,192400000.0,,296900000.0,81800000.0,0.7799999999999998,0.7799999999999998,2.333445604580667,2.352078239608802,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2012-03-31,2532000000.0,1442900000.0,890900000.0,2532000000.0,82400000.0,688700000.0,7300000.0,307100000.0,,974200000.0,67600000.0,39700000.0,18100000.0,10500000.0,0.43,92300000.0,-69700000.0,17500000.0,23900000.0,-87200000.0,696000000.0,,0.6298,27.6635,0.43,91500000.0,0.4817961165048544,0.015679304897314377,0.04075138575241224,0.0693902689386163,0.02669826224328594,0.0868448098663926,-0.08950934099774174,0.09392321905152946,8.446601941747574,1.6195981591648894,3736300000.0,84100000.0,193000000.0,,293000000.0,76600000.0,0.9099999999999998,0.9099999999999998,2.3754266211604094,2.519582245430809,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2012-06-30,2571500000.0,1506100000.0,898000000.0,2571500000.0,158400000.0,668200000.0,7100000.0,366000000.0,,2041200000.0,182400000.0,123300000.0,36000000.0,20500000.0,1.34,92300000.0,45200000.0,38200000.0,47500000.0,7000000.0,675300000.0,,0.5481,20.3405,1.34,229900000.0,0.7784090909090909,0.047948668092552986,0.06040564373897707,0.08935920047031158,0.07093136301769395,0.21878373515653113,0.003429355281207133,0.11262982559278856,4.263257575757576,1.6771714922048997,4681200000.0,138100000.0,267500000.0,15200000.0,415000000.0,91400000.0,1.5,1.5,1.6272289156626507,2.926695842450766,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2012-09-29,2507900000.0,1460700000.0,908000000.0,2507900000.0,185800000.0,590900000.0,6800000.0,310300000.0,,2926000000.0,219900000.0,125300000.0,52800000.0,31000000.0,1.36,92300000.0,106700000.0,68600000.0,71200000.0,38100000.0,597700000.0,,0.5513,21.0216,1.36,291100000.0,0.6743810548977395,0.0499621197017425,0.042822966507177034,0.07515379357484621,0.08768292196658559,0.28066368857689855,0.01302118933697881,0.09948735475051265,3.2168998923573735,1.6087004405286343,4648300000.0,161900000.0,276900000.0,30000000.0,416300000.0,80400000.0,1.7599999999999998,1.7599999999999998,1.435743454239731,3.4440298507462686,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2012-12-31,2424200000.0,1360100000.0,937200000.0,2424200000.0,77700000.0,563600000.0,8200000.0,284300000.0,,-2223800000.0,-205800000.0,-238300000.0,-38800000.0,-28400000.0,-2.59,-184500000.0,78500000.0,-9100000.0,-52600000.0,69400000.0,571800000.0,1.4512,0.7005,52.086,-2.59,-258400000.0,-3.066924066924067,-0.09830047025822952,0.10715891716881014,0.09254429355157838,-0.08489398564474879,-0.31685912240184755,-0.03120784243187337,0.11619749977515964,7.359073359073359,1.4512377294067436,3717600000.0,50000000.0,264100000.0,27300000.0,354100000.0,68100000.0,0.54,0.54,1.6147980796385202,3.878120411160059,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2013-03-30,2444100000.0,1411400000.0,900700000.0,,130600000.0,562900000.0,6800000.0,242000000.0,,995300000.0,89900000.0,49800000.0,14400000.0,21900000.0,0.0,93500000.0,-108200000.0,21200000.0,21600000.0,-129400000.0,569700000.0,,0.7952,49.6599,0.0,111500000.0,0.38131699846860645,0.020375598379771695,0.050035165276800964,0.09032452526876318,0.036782455709668184,0.12837355419106097,-0.13001105194413745,0.11202652466592987,4.362174578866769,1.567003441767514,3738700000.0,60100000.0,286400000.0,-14900000.0,374100000.0,64400000.0,0.11000000000000026,0.11000000000000026,1.5228548516439455,4.447204968944099,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
2013-06-29,2390700000.0,1380600000.0,877000000.0,,213500000.0,466400000.0,6000000.0,327500000.0,,2093600000.0,226600000.0,130200000.0,27000000.0,33800000.0,1.0,93600000.0,81100000.0,61300000.0,43100000.0,19800000.0,472400000.0,,0.8252,52.9701,1.0,269700000.0,0.6098360655737705,0.05446103651650144,0.06218952999617883,0.10823461979365685,0.09478395449031664,0.3303688584341741,0.00945739396255254,0.12882116927779902,2.2126463700234194,1.574230330672748,3791100000.0,67000000.0,330600000.0,-2100000.0,413900000.0,55400000.0,-0.22999999999999976,-0.22999999999999976,1.141338487557381,5.9675090252707585,1.3332485,90.25,45.44,0.84075,5171.268,2.9702,0.937
