report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,10408034000.0,5141952000.0,4684002000.0,339577000.0,518355000.0,166777000.0,,1.94,79771000.0,152654000.0,,118265000.0,,0.0,,4.3288,25.3911,1.94,0.03560566370381567,0.016023871559220502,0.321742821039635,,0.0,,,,,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2010-09-30,10587875000.0,5202544000.0,4788398000.0,270803000.0,834001000.0,285822000.0,,3.36,79722000.0,254049000.0,,178404000.0,,0.0,,4.6524,17.3439,3.36,0.05969052697791621,0.02699521858729915,0.3427118192903845,,0.0,,,,,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2010-12-31,11300294000.0,5818412000.0,4879084000.0,332830000.0,1101246000.0,300575000.0,,3.45,79761000.0,321058000.0,,240445000.0,,0.0,2.3471,4.8741,17.5848,3.45,0.06160480122908316,0.026598865480845012,0.27294083247521445,,0.0,,,,,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2011-03-31,11442366000.0,5682787000.0,5095963000.0,234009000.0,334322000.0,88432000.0,,1.01,81643000.0,79809000.0,,67979000.0,,0.0,,5.2336,16.591,1.01,0.017353344205992077,0.007728471541637455,0.26451145901256873,,0.0,2787924000.0,841606000.0,9.76,9.76,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2011-06-30,12644078000.0,6224415000.0,5869095000.0,390229000.0,631827000.0,622433000.0,,7.4,83995000.0,176848000.0,,136355000.0,,0.0,,5.7438,9.19,7.4,0.10605263673530586,0.049227235074000654,0.9851320060712822,,0.0,2901396000.0,1297262000.0,15.22,15.22,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2011-09-30,13162645000.0,6635292000.0,6028544000.0,394505000.0,940401000.0,637057000.0,,7.36,85384000.0,237696000.0,,212558000.0,,0.0,,4.3179,7.9316,7.36,0.10567344287443203,0.04839885904390797,0.6774312234887032,,0.0,3007796000.0,1648497000.0,19.22,19.22,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2011-12-31,13483852000.0,6833513000.0,5975547000.0,138192000.0,-643122000.0,-700512000.0,,-8.44,-164778000.0,-181493000.0,,-124581000.0,,0.0,1.2632,4.89,9.3903,-8.44,-0.11722976992733887,-0.051951919970643405,1.0892365678673719,,0.0,1263428000.0,647410000.0,7.330000000000002,7.330000000000002,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2012-03-31,13761713000.0,6822003000.0,6162350000.0,133665000.0,339192000.0,33198000.0,,0.29,90173000.0,56831000.0,,80663000.0,,0.0,,5.5287,11.6568,0.29,0.0053872305208240365,0.0024123450329185036,0.09787377060779735,,0.0,1268298000.0,592176000.0,6.610000000000002,6.610000000000002,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2012-06-30,14139113000.0,6998546000.0,6321812000.0,256799000.0,688197000.0,143385000.0,,1.45,91766000.0,197935000.0,,162028000.0,,0.0,,5.6135,43.0679,1.45,0.022680997157144184,0.010141018039816218,0.20834877222655723,,0.0,1324668000.0,113128000.0,0.6600000000000017,0.6600000000000017,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
2012-09-30,14284939000.0,7110271000.0,6371912000.0,162363000.0,1049638000.0,169042000.0,,1.52,92485000.0,265956000.0,,249950000.0,,0.0,,5.269,39.3004,1.52,0.026529242713960895,0.011833582208506456,0.1610479041345683,,0.0,1433905000.0,-354887000.0,-5.179999999999998,-5.179999999999998,1.6110522,66.91,34.77,1.38828,2737.2812,0.9061,2.729
