report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,112651000000.0,99243000000.0,13408000000.0,10947000000.0,,,,-10000000.0,246000000.0,-12000000.0,-0.09,,910000000.0,42000000.0,868000000.0,10947000000.0,15.9198,-0.09,,-0.0007458233890214797,-8.876974017097052e-05,,,,,,,0.8164528639618138,,,,,,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2010-06-30,112025000000.0,98324000000.0,13701000000.0,10989000000.0,,,,182000000.0,480000000.0,38000000.0,0.07,,1244000000.0,91000000.0,1153000000.0,10989000000.0,15.9198,0.07,,0.013283701919567915,0.001624637357732649,,,,,,,0.8020582439238012,,,,,,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2010-09-30,112322000000.0,98409000000.0,13884000000.0,10953000000.0,,,,420000000.0,695000000.0,103000000.0,0.29,,2291000000.0,151000000.0,2140000000.0,10953000000.0,29.7493,0.29,,0.03025064822817632,0.003739249657235448,,,,,,,0.7888936905790839,,,,,,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2010-12-31,111007000000.0,96927000000.0,14051000000.0,9558000000.0,,,,161000000.0,-536000000.0,58000000.0,0.36,,-1140000000.0,-60000000.0,-1200000000.0,9558000000.0,15.5236,0.36,,0.011458259198633549,0.0014503589863702289,,,,,,,0.680236282115152,753000000.0,2961000000.0,885000000.0,0.6299999999999999,0.6299999999999999,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2011-03-31,110485000000.0,98293000000.0,12163000000.0,10555000000.0,,,,265000000.0,181000000.0,112000000.0,0.1,,1883000000.0,57000000.0,1826000000.0,10555000000.0,12.409,0.1,,0.02178738797993916,0.0023985156356066436,,,,,,,0.8677957740688975,1028000000.0,3919000000.0,820000000.0,0.82,0.82,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2011-06-30,110805000000.0,98204000000.0,12572000000.0,10152000000.0,,,,602000000.0,362000000.0,281000000.0,0.46,,2894000000.0,119000000.0,2775000000.0,10152000000.0,9.998,0.46,,0.04788418708240535,0.005432967826361626,,,,,,,0.8075087496022908,1448000000.0,5541000000.0,702000000.0,1.21,1.21,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2011-09-30,114905000000.0,101847000000.0,13029000000.0,9800000000.0,,,,983000000.0,519000000.0,429000000.0,0.86,,2659000000.0,218000000.0,2441000000.0,9800000000.0,7.0591,0.86,,0.0754470795916801,0.008554893172620861,,,,,,,0.752168240079822,2011000000.0,5842000000.0,526000000.0,1.7799999999999998,1.7799999999999998,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2011-12-31,116967000000.0,103716000000.0,13201000000.0,9682000000.0,,,,-553000000.0,-401000000.0,-289000000.0,-0.24,,-5070000000.0,-75000000.0,-5145000000.0,9682000000.0,9.276,-0.24,,-0.04189076585107189,-0.004727829216787641,,,,,,,0.7334292856601773,1297000000.0,1897000000.0,661000000.0,1.1800000000000002,1.1800000000000002,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2012-03-31,116747000000.0,103137000000.0,13560000000.0,9648000000.0,,,,430000000.0,142000000.0,173000000.0,0.45,957415527.0,1895000000.0,95000000.0,1800000000.0,9648000000.0,9.0873,0.45,,0.03171091445427729,0.0036831781544707787,,,,,,,0.7115044247787611,1462000000.0,1871000000.0,622000000.0,1.53,1.53,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2012-06-30,117543000000.0,103719000000.0,13773000000.0,9685000000.0,,,,815000000.0,274000000.0,352000000.0,0.85,956015935.0,2073000000.0,193000000.0,1880000000.0,9685000000.0,8.2124,0.85,,0.0591737457344079,0.006933632798210017,,,,,,,0.7031873956291295,1675000000.0,976000000.0,534000000.0,1.9199999999999997,1.9199999999999997,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2012-09-30,117483000000.0,103714000000.0,13718000000.0,8127000000.0,,,,1178000000.0,395000000.0,491000000.0,1.23,952258953.0,2736000000.0,271000000.0,2465000000.0,8127000000.0,9.3145,1.23,,0.08587257617728532,0.010026982627273733,,,,,,,0.592433299314769,1870000000.0,1000000000.0,410000000.0,2.29,2.29,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2012-12-31,121894000000.0,108130000000.0,13716000000.0,7085000000.0,,,,-847000000.0,-299000000.0,-380000000.0,-0.8700000000000003,-1920136313.0,-4147000000.0,-197000000.0,-4344000000.0,7085000000.0,8.5081,-0.8700000000000003,,-0.06175269757946923,-0.006948660311418118,,,,,,,0.5165500145815106,1576000000.0,1801000000.0,512000000.0,1.6599999999999997,1.6599999999999997,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
2013-03-31,121382000000.0,107462000000.0,13882000000.0,8320000000.0,,,,422000000.0,107000000.0,179000000.0,0.46,913163262.0,1225000000.0,61000000.0,1164000000.0,8320000000.0,9.0031,0.46,,0.030399077942659558,0.003476627506549571,,,,,,,0.5993372712865581,1568000000.0,1165000000.0,477000000.0,1.6699999999999995,1.6699999999999995,1.0065137,55.4388,32.25,10.63338,39589.855,15.6916,1.4244,2.09431
