report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-09-30,1775600000.0,568500000.0,1046800000.0,2333600000.0,-567100000.0,704600000.0,,89500000.0,1259800000.0,279700000.0,166800000.0,27400000.0,68400000.0,3.36,49600000.0,271200000.0,3000000.0,60600000.0,268200000.0,704600000.0,,,3.36,340300000.0,-0.29412801974960323,0.09394007659382744,0.13240196856643913,0.22201936815367518,0.15752421716602838,2.034181818181818,0.21289093506905857,0.27012224162565485,-1.242461646975842,0.5430836836071838,,,,,,,,,,,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2011-12-31,1977100000.0,726900000.0,953500000.0,2717300000.0,-743900000.0,963900000.0,,84400000.0,1758500000.0,424800000.0,260300000.0,37000000.0,109200000.0,5.28,49300000.0,312900000.0,6200000.0,81100000.0,306700000.0,963900000.0,,,5.28,505900000.0,-0.3499126226643366,0.13165747812452583,0.14802388399203867,0.24156951947682684,0.21486014870264528,1.930909090909091,0.17441000852999716,0.2876883707705431,-1.2957386745530313,0.7623492396434189,,,,,,,,,,,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2012-03-31,1903800000.0,634700000.0,895700000.0,2532100000.0,-632300000.0,841800000.0,,117700000.0,402800000.0,74400000.0,63400000.0,9100000.0,8300000.0,1.32,48100000.0,167300000.0,500000.0,20200000.0,166800000.0,841800000.0,,,1.32,94600000.0,-0.10026885971848806,0.03330181741779599,0.15739821251241312,0.18470705064548162,0.039079735266309486,0.3551312649164678,0.4141012909632572,0.23485600794438927,-1.331330064842638,0.7086077927877638,,,,,,,,,,,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2012-06-30,1795600000.0,565800000.0,1221400000.0,2617500000.0,-825700000.0,613000000.0,,118600000.0,786700000.0,163700000.0,119900000.0,18300000.0,32500000.0,2.52,47600000.0,243600000.0,1100000.0,39900000.0,242500000.0,613000000.0,,,2.52,203600000.0,-0.1452101247426426,0.06677433726887948,0.15240879623744757,0.2080844032032541,0.0911672978391624,-0.769628584861307,0.30824965043854075,0.25880259311046144,-0.7424003875499576,0.4632389061732438,4207800000.0,610400000.0,942600000.0,984200000.0,1144400000.0,91800000.0,12.48,12.48,0.535651869975533,10.267973856209151,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2012-09-30,1821600000.0,598200000.0,1214000000.0,2587300000.0,-769600000.0,623900000.0,,137000000.0,1199900000.0,273400000.0,199500000.0,27800000.0,37300000.0,4.26,46800000.0,307100000.0,2100000.0,59900000.0,305000000.0,623900000.0,,,4.26,333300000.0,-0.2592255717255717,0.10951910408432147,0.16626385532127677,0.22785232102675224,0.15008783487044355,-1.876458476321208,0.25418784898741564,0.27777314776231354,-0.8106808731808732,0.4927512355848435,4147900000.0,643100000.0,936300000.0,1021000000.0,1137400000.0,92200000.0,13.379999999999999,13.379999999999999,0.5485317390539828,10.155097613882864,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2012-12-31,1991800000.0,747400000.0,876700000.0,3006100000.0,-1017400000.0,1290700000.0,,149100000.0,-726400000.0,-79400000.0,-87300000.0,-15700000.0,5000000.0,-1.67,-96500000.0,-360200000.0,3300000.0,-41700000.0,-363500000.0,1290700000.0,,,-1.67,-121100000.0,0.08580695891488108,-0.04382970177728688,0.120181718061674,0.10930616740088106,-0.039863440104428154,-0.29052323454079765,0.5004129955947136,0.1667125550660793,-1.2686259091802634,0.8525151134937835,1663000000.0,295500000.0,432100000.0,350800000.0,510400000.0,39500000.0,6.429999999999999,6.429999999999999,2.5288009404388716,10.939240506329114,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2020-06-30,8985100000.0,489000000.0,2453600000.0,7596100000.0,1331100000.0,3620800000.0,325300000.0,99800000.0,815900000.0,-9700000.0,-165600000.0,161000000.0,-101800000.0,0.0,314500000.0,114400000.0,3300000.0,266900000.0,111100000.0,3946100000.0,,,0.0,257200000.0,-0.12440838404327248,-0.01843051273775473,-0.20296604976100013,-0.01188871185194264,-0.0010795650577066476,-0.0018380959599787767,0.136168648118642,0.3152347101360461,2.9645406055142365,0.19929898924029996,2076100000.0,66500000.0,348000000.0,295100000.0,673000000.0,191400000.0,5.1099999999999985,5.1099999999999985,5.863447251114413,1.8181818181818181,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2020-09-30,9185400000.0,723400000.0,785700000.0,5521700000.0,3607900000.0,3257500000.0,25300000.0,311300000.0,1258000000.0,35500000.0,-182600000.0,221800000.0,-111100000.0,-0.52,348500000.0,118400000.0,7800000.0,401000000.0,110600000.0,3282800000.0,,,-0.52,436500000.0,-0.05061115884586602,-0.01987937378883881,-0.1451510333863275,0.02821939586645469,0.0038648289677096262,0.00515187136285138,0.08791732909379968,0.3469793322734499,0.9098921810471465,0.920707649229986,2547400000.0,-236000000.0,219800000.0,163200000.0,905900000.0,394900000.0,2.069999999999999,2.069999999999999,3.623799536372668,0.5565966067358825,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2020-12-31,9219400000.0,874000000.0,825300000.0,5641700000.0,3519200000.0,3255800000.0,25300000.0,354500000.0,1738100000.0,63000000.0,-175600000.0,271100000.0,-110500000.0,-0.48,367100000.0,195600000.0,7700000.0,536900000.0,187900000.0,3281100000.0,1.059,,-0.48,599900000.0,-0.049897704023641735,-0.019046792632926222,-0.10102986019216385,0.03624647603705195,0.006833416491311799,0.00926429716336044,0.10810655313273114,0.34514699959726136,0.9323425778586042,1.0590088452683872,3085600000.0,-611100000.0,9400000.0,46100000.0,1172500000.0,638200000.0,-2.670000000000001,-2.670000000000001,2.7983795309168444,0.01472892510184895,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
2021-03-31,9924900000.0,673200000.0,996300000.0,6246700000.0,3617600000.0,3548000000.0,28100000.0,173400000.0,504500000.0,8300000.0,-25000000.0,48900000.0,-9800000.0,-0.06,428500000.0,168200000.0,1200000.0,149700000.0,167000000.0,3576100000.0,,5.5605,-0.06,158000000.0,-0.006910659000442282,-0.0025189170671744802,-0.049554013875123884,0.01645193260654113,0.0008362804663019275,0.0011537873417017668,0.33102081268582756,0.313181367690783,0.9885283060592658,0.6757000903342367,4316500000.0,-548800000.0,97100000.0,576600000.0,1451600000.0,702800000.0,-1.060000000000001,-1.060000000000001,2.463557453844034,0.1381616391576551,-0.008998585,9.19,8.14,5.25136,4082.6313,1.6679,1.6969
