report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-27,3551528000.0,2209359000.0,679556000.0,,2554935000.0,1291343000.0,431067000.0,230909000.0,83348000.0,,,8194000.0,0.19,201091000.0,200131000.0,,,0.0,,11.3202,2.6664,0.19,83348000.0,,,,0.5356684691706858,0.19335277346676966,0.023468208613306722,0.03262235634174646,,0.19335277346676966,0.0,3.2511801823543607,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2010-06-26,3431359000.0,2159517000.0,436436000.0,,2651614000.0,1173169000.0,1159833000.0,622561000.0,285391000.0,,,37788000.0,0.86,200626000.0,381867000.0,,,0.0,,9.1566,2.0311,0.86,285391000.0,,,,0.5367677932943794,0.24606214860242812,0.08317141983686346,0.1076291647275961,,0.24606214860242812,0.0,4.9480725696322025,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2010-09-25,3658018000.0,2371398000.0,569527000.0,,2850249000.0,1235965000.0,1852196000.0,966581000.0,452027000.0,,,-30848000.0,2.27,198891000.0,586215000.0,,,0.0,,8.1773,2.0504,2.27,452027000.0,,,,0.5218567581400673,0.24404922589186026,0.1235715625237492,0.15859210897012857,,0.24404922589186026,0.0,4.163802594082458,,,,,,,,,,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2010-12-25,3988688000.0,2498755000.0,669037000.0,,3049562000.0,1260936000.0,-753185000.0,-473677000.0,-184090000.0,,1246000.0,-22465000.0,-0.3700000000000001,,-397576000.0,,,0.0,3.7351,10.0685,2.1881,-0.3700000000000001,-184090000.0,,,,0.6288986105671249,0.24441538267490723,-0.04615302074266024,-0.06036604600923018,,0.24441538267490723,0.0,3.7348532293430705,2689911000.0,,636676000.0,1346374000.0,,636676000.0,2.9499999999999997,2.9499999999999997,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2011-03-26,3937509000.0,2192837000.0,469913000.0,,3193229000.0,1210615000.0,507834000.0,238374000.0,74753000.0,,,1444000.0,0.49,194720000.0,207599000.0,,,0.0,,10.244,2.38,0.49,74753000.0,,,,0.4693935419841917,0.1471996754845087,0.01898484549495633,0.023409846271595303,,0.1471996754845087,0.0,4.666474432501335,2766678000.0,,628081000.0,1353839000.0,,628081000.0,3.25,3.25,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2011-09-24,4334885000.0,2553914000.0,914072000.0,4334885000.0,3068192000.0,1389406000.0,1848925000.0,904805000.0,353678000.0,355340000.0,,43694000.0,1.82,194809000.0,597476000.0,26523000.0,570953000.0,0.0,,12.689,2.3063,1.82,353678000.0,0.11581413418716952,0.0819721861133571,0.19218735211000987,0.48936814635531456,0.19128845139743364,0.08158878493893149,0.11527244709587926,0.3088026826399124,0.19128845139743364,0.0,2.793996534189867,3455770000.0,,696368000.0,1636083000.0,,696368000.0,4.209999999999999,4.209999999999999,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2011-12-31,4471338000.0,2556284000.0,858279000.0,4471338000.0,3256581000.0,1287160000.0,2758569000.0,1338592000.0,553767000.0,520896000.0,,63265000.0,2.67,,822334000.0,38366000.0,783968000.0,0.0,2.9783,14.7928,2.7939,2.67,553767000.0,0.1599518022121974,0.11649667280800512,0.1888283381709865,0.48524869234737283,0.2007442989463015,0.12384816356983078,0.17004551706221954,0.2841937250799237,0.2007442989463015,0.0,2.97838348602261,4362143000.0,,798108000.0,2008094000.0,,798108000.0,4.609999999999999,4.609999999999999,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2012-03-31,4324793000.0,2349266000.0,594542000.0,4324793000.0,3379405000.0,1285791000.0,556597000.0,283759000.0,90333000.0,86858000.0,,12698000.0,0.44,195673000.0,122228000.0,5758000.0,116470000.0,0.0,,17.9827,3.2823,0.44,90333000.0,0.0257021576283399,0.02008373579960937,0.15605186517354566,0.5098105092194173,0.16229516149027035,0.02088724246455264,0.02673044515232711,0.20925373295220778,0.16229516149027035,0.0,3.951387790938235,5671925000.0,,1072531000.0,2765530000.0,,1072531000.0,5.42,5.42,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2012-06-30,4462762000.0,2381214000.0,901952000.0,4462762000.0,3210687000.0,1267719000.0,1274751000.0,705571000.0,294339000.0,272761000.0,,34230000.0,1.39,196232000.0,345133000.0,17426000.0,327707000.0,0.0,,12.6795,2.6182,1.39,294339000.0,0.08495409237960598,0.06111932475897213,0.2139719835481596,0.5534971143384081,0.23089921090471785,0.06595444704422956,0.09167477240852191,0.2570753033337491,0.23089921090471785,0.0,2.640067320655645,6438842000.0,1235855000.0,1292117000.0,3232727000.0,1799098000.0,1292117000.0,6.319999999999999,6.319999999999999,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2012-09-29,4630742000.0,2473048000.0,883554000.0,4630742000.0,3387747000.0,1247073000.0,1947127000.0,1064626000.0,454401000.0,413109000.0,,56510000.0,2.11,196171000.0,510034000.0,26881000.0,483153000.0,0.0,,14.0761,2.8514,2.11,454401000.0,0.12194210488563638,0.0892101093086162,0.21216335657612473,0.546767622245493,0.23336998562497463,0.0981270388201286,0.134130736445195,0.24813635679644933,0.23336998562497463,0.0,2.7989777647998877,6537044000.0,1293624000.0,1392840000.0,3392548000.0,1711298000.0,1392840000.0,6.61,6.61,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
2012-12-29,4819124000.0,2536120000.0,909026000.0,4819124000.0,3531796000.0,1231180000.0,-1062800000.0,-615476000.0,-234913000.0,-230325000.0,,-21313000.0,-1.1799999999999997,,-292650000.0,-11620000.0,-304270000.0,0.0,2.79,14.6479,2.9256,-1.1799999999999997,-234913000.0,-0.06521469529950201,-0.047793955913979384,0.21671528039141888,0.5791080165600301,0.22103217914941664,-0.04874599616029801,-0.06651375107735555,0.286290929619872,0.22103217914941664,0.0,2.7899312010877577,2715675000.0,542403000.0,604160000.0,1438480000.0,623060000.0,604160000.0,2.7600000000000002,2.7600000000000002,0.0,0.99047834,261.69,169.2601,0.72609,44578.562,26.7918,4.4072,6.1526
