report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-03-31,32637000000.0,9604000000.0,8236000000.0,25740000000.0,6690000000.0,10234000000.0,5000000.0,4707000000.0,1891000000.0,559000000.0,372000000.0,136000000.0,163000000.0,0.41,457000000.0,468000000.0,143000000.0,325000000.0,10239000000.0,1.1567,,,0.41,559000000.0,0.05560538116591928,0.01139810644360695,0.07903123008285533,0.4017420862545146,0.11875929466751646,0.017127799736495388,0.03302026109043653,0.06904610155088167,0.11875929466751646,1.530493273542601,1.1661000485672657,,,,,,,,,,,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2023-06-30,32311000000.0,9240000000.0,7581000000.0,24988000000.0,7102000000.0,10233000000.0,5000000.0,9524000000.0,3831000000.0,1129000000.0,790000000.0,273000000.0,300000000.0,1.33,458000000.0,401000000.0,213000000.0,188000000.0,10238000000.0,,,,1.33,1129000000.0,0.11123627147282455,0.02444987775061125,0.08294834103317934,0.4022469550608988,0.11854262914741705,0.0349416607347343,0.06510957324106113,0.019739605207895843,0.11854262914741705,1.4415657561250352,1.2188365650969528,,,,,,,,,,,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2023-09-30,32382000000.0,9468000000.0,7565000000.0,25079000000.0,7131000000.0,10253000000.0,7000000.0,14346000000.0,5766000000.0,1746000000.0,1165000000.0,411000000.0,550000000.0,2.15,458000000.0,1051000000.0,,,10260000000.0,,17.9653,1.6015,2.15,1746000000.0,0.1633711961856682,0.035976777221913406,0.08120730517217342,0.40192388122124634,0.12170639899623588,0.05391884380211229,0.10039675694324651,,0.12170639899623588,1.438788388725284,1.2515532055518837,,,,,,,,,,,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2023-12-31,32454000000.0,9410000000.0,8981000000.0,25144000000.0,7133000000.0,8436000000.0,1006000000.0,-9025000000.0,-3566000000.0,-999000000.0,-759000000.0,-278000000.0,-270000000.0,-0.8599999999999999,-915000000.0,,,,9442000000.0,1.0478,22.4486,1.8003,-0.8599999999999999,-999000000.0,-0.10640684144118884,-0.02338694767979294,0.08409972299168975,0.3951246537396122,0.11069252077562326,-0.030782029950083195,-0.06027149321266968,,0.11069252077562326,1.3237067152670685,1.0477675091860594,19552000000.0,1568000000.0,2435000000.0,7922000000.0,2435000000.0,542000000.0,3.0300000000000002,3.0300000000000002,3.877618069815195,4.492619926199262,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2024-03-31,32208000000.0,9373000000.0,8859000000.0,24609000000.0,7408000000.0,8247000000.0,1008000000.0,4650000000.0,1902000000.0,540000000.0,374000000.0,122000000.0,124000000.0,0.81,459000000.0,419000000.0,,,9255000000.0,,26.0223,2.0957,0.81,540000000.0,0.05048596112311015,0.011612021857923498,0.08043010752688172,0.40903225806451615,0.11612903225806452,0.01676602086438152,0.03240712956850507,,0.11612903225806452,1.2493250539956804,1.058020092561237,19495000000.0,1570000000.0,2416000000.0,7933000000.0,2416000000.0,528000000.0,3.43,3.43,3.8307119205298013,4.575757575757576,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2024-06-30,31852000000.0,8806000000.0,8318000000.0,23858000000.0,7801000000.0,8233000000.0,1007000000.0,9489000000.0,3904000000.0,1148000000.0,802000000.0,254000000.0,267000000.0,1.75,459000000.0,300000000.0,,,9240000000.0,,22.0408,1.7843,1.75,1148000000.0,0.10280733239328291,0.02517895265603416,0.08451891664032037,0.4114237538202129,0.12098218990409948,0.03604169282933568,0.06736693855994366,,0.12098218990409948,1.184463530316626,1.0586679490262083,19460000000.0,1582000000.0,2435000000.0,8006000000.0,2435000000.0,509000000.0,3.8500000000000005,3.8500000000000005,3.7946611909650922,4.783889980353635,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2024-09-30,33855000000.0,10638000000.0,8670000000.0,25343000000.0,8317000000.0,9306000000.0,1007000000.0,14353000000.0,5930000000.0,1824000000.0,1272000000.0,383000000.0,435000000.0,2.77,459000000.0,,,,10313000000.0,,25.5822,2.1922,2.77,1824000000.0,0.15293976193338946,0.03757199822773593,0.08862258761234586,0.41315404445063747,0.1270814463875148,0.05387682764731945,0.09790660225442833,,0.1270814463875148,1.2399903811470483,1.2269896193771626,19467000000.0,1689000000.0,2513000000.0,8170000000.0,2513000000.0,481000000.0,4.470000000000001,4.470000000000001,4.103859928372463,5.224532224532225,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2024-12-31,33089000000.0,9901000000.0,9553000000.0,24437000000.0,8446000000.0,7449000000.0,1502000000.0,-8820000000.0,-3531000000.0,-887000000.0,-455000000.0,-255000000.0,-295000000.0,-0.9900000000000002,-918000000.0,,,,8951000000.0,1.0364,17.9129,1.8158,-0.9900000000000002,-887000000.0,-0.053871655221406585,-0.013750793314998943,0.051587301587301584,0.40034013605442176,0.10056689342403628,-0.02680649158330563,-0.05098580214979594,,0.10056689342403628,1.059791617333649,1.036428347116089,19672000000.0,1993000000.0,2625000000.0,8205000000.0,2625000000.0,504000000.0,4.34,4.34,3.409904761904762,5.208333333333333,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2025-03-31,33586000000.0,9735000000.0,9969000000.0,24168000000.0,9187000000.0,6757000000.0,2002000000.0,4777000000.0,2012000000.0,629000000.0,564000000.0,110000000.0,104000000.0,1.23,459000000.0,250000000.0,,,8759000000.0,,16.9197,1.8665,1.23,629000000.0,0.061391096114074235,0.01679271124873459,0.11806573163073059,0.42118484404437934,0.13167259786476868,0.01872804144584053,0.03504959322411679,,0.13167259786476868,0.9534124306084685,0.9765272344267228,19799000000.0,2183000000.0,2714000000.0,8315000000.0,2714000000.0,492000000.0,4.76,4.76,3.2273397199705234,5.516260162601626,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
2025-06-30,35500000000.0,11308000000.0,9748000000.0,25548000000.0,9712000000.0,8270000000.0,2005000000.0,9784000000.0,3997000000.0,1283000000.0,1049000000.0,224000000.0,216000000.0,2.29,459000000.0,344000000.0,,,10275000000.0,,15.0835,1.6937,2.29,1283000000.0,0.10801070840197693,0.029549295774647887,0.10721586263286999,0.40852412101390023,0.13113246116107932,0.036140845070422534,0.06419172462100366,,0.13113246116107932,1.0579695222405272,1.1600328272466147,20094000000.0,2430000000.0,2849000000.0,8408000000.0,2849000000.0,462000000.0,5.3,5.3,3.6065286065286064,6.166666666666667,1.3181117,89.77,57.65,3.99631,32061.996,15.3775,3.5998,1.5545
