report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2024-06-30,48052000000.0,30722000000.0,29065000000.0,38003000000.0,9067000000.0,15463000000.0,2852000000.0,238000000.0,1164000000.0,333000000.0,4.22,276000000.0,535000000.0,0.0,,,,4.22,238000000.0,0.12837763317525092,0.024223757595937735,0.07527646640367329,0.1844402767897562,0.015391579900407425,0.0049529676184133856,0.026249034961949927,0.015391579900407425,0.0,1.057010149664545,,,,,,,,,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2024-09-30,50853000000.0,33141000000.0,31233000000.0,40336000000.0,9504000000.0,24376000000.0,3962000000.0,-122000000.0,1068000000.0,310000000.0,3.85,277000000.0,1662000000.0,0.0,,,,3.85,-122000000.0,0.11237373737373738,0.021001710813521327,0.043813587134886776,0.16253692156219232,-0.005004922874958976,-0.0023990718345033727,-0.012836700336700337,-0.005004922874958976,0.0,1.0610892325425032,,,,,,,,,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2024-12-31,51485000000.0,34153000000.0,31685000000.0,40892000000.0,9546000000.0,34935000000.0,6085000000.0,471000000.0,1552000000.0,939000000.0,5.58,278000000.0,2583000000.0,0.0,1.0779,58.4217,2.5953,5.58,471000000.0,0.1625811858369998,0.03014470234048752,0.04442536138543009,0.1741806211535709,0.013482181193645342,0.00914829562008352,0.04934003771213073,0.013482181193645342,0.0,1.0778917468833833,,,,,,,,,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2025-03-31,51559000000.0,33936000000.0,32677000000.0,41887000000.0,8607000000.0,8032000000.0,1470000000.0,43000000.0,254000000.0,68000000.0,0.91,279000000.0,1161000000.0,0.0,,43.0602,2.3334,0.91,43000000.0,0.029510863250842338,0.0049263950037820746,0.03162350597609562,0.1830179282868526,0.0053535856573705175,0.0008339960045772804,0.004995933542465435,0.0053535856573705175,0.0,1.038528628699085,82806000000.0,4038000000.0,630000000.0,14369000000.0,630000000.0,14.56,14.56,0.0,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2025-06-30,53078000000.0,34709000000.0,33761000000.0,43131000000.0,8877000000.0,17143000000.0,3316000000.0,421000000.0,768000000.0,221000000.0,2.77,278000000.0,1528000000.0,0.0,,124.7163,3.9341,2.77,421000000.0,0.08651571476850287,0.014469271637966765,0.04479962666977775,0.19343172140232165,0.024558128682260982,0.007931723124458345,0.0474259321842965,0.024558128682260982,0.0,1.0280797369746157,84486000000.0,3642000000.0,813000000.0,14833000000.0,813000000.0,13.11,13.11,0.0,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2025-09-30,54398000000.0,36278000000.0,35272000000.0,44669000000.0,8646000000.0,27112000000.0,5213000000.0,787000000.0,1220000000.0,514000000.0,4.41,277000000.0,2508000000.0,0.0,,97.9653,4.4287,4.41,787000000.0,0.1411057136247976,0.02242729512114416,0.044998524638536444,0.1922764827382709,0.029027736795514902,0.014467443656016765,0.09102475133009484,0.029027736795514902,0.0,1.0285212066228169,87222000000.0,3794000000.0,1722000000.0,16084000000.0,1722000000.0,13.67,13.67,0.0,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
2025-12-31,63016000000.0,40216000000.0,40972000000.0,50720000000.0,11178000000.0,-14219000000.0,-2464000000.0,137000000.0,2642000000.0,-2854000000.0,9.600000000000001,-558000000.0,-210000000.0,0.0,0.9815,36.3152,4.6582,9.600000000000001,137000000.0,0.23635713007693684,0.04192586009902247,-0.18580772206202967,0.1732892608481609,-0.009634995428651804,0.002174051034657865,0.012256217570227232,-0.009634995428651804,0.0,0.9815483744996583,38068000000.0,4884000000.0,1388000000.0,7535000000.0,1388000000.0,17.69,17.69,0.0,1.3312055,894.9299,252.25,2.40939,231382.97,47.3854,15.8639,6.0781
