report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,5168762000.0,4146231000.0,1514129000.0,,2677582000.0,500000000.0,,333537000.0,,760475000.0,,,,,0.63,159179000.0,139645000.0,9850000.0,-22143000.0,129795000.0,500000000.0,,16.3197,0.6566,0.63,,,,,,,,,,,0.18673564432387132,2.7383604699467483,,,,,,,,,,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2010-06-30,5219360000.0,4210497000.0,1575373000.0,,2664500000.0,500000000.0,,411872000.0,,1582785000.0,,,,,1.42,158917000.0,354622000.0,27912000.0,45329000.0,326710000.0,500000000.0,,14.3964,0.5906,1.42,,,,,,,,,,,0.18765246762994933,2.6726984656966954,,,,,,,,,,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2010-09-30,5413770000.0,4391301000.0,1720885000.0,,2769188000.0,500000000.0,,531731000.0,,2435816000.0,,,,,2.25,158595000.0,568422000.0,58931000.0,67422000.0,509491000.0,500000000.0,,15.4012,0.6462,2.25,,,,,,,,,,,0.1805583441788712,2.551769002577162,,,,,,,,,,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2010-12-31,5465044000.0,4414887000.0,1971814000.0,,2793819000.0,,,529968000.0,,-1526132000.0,,,28061000.0,,-1.2999999999999998,-318230000.0,-384026000.0,-11314000.0,-1276000.0,-395340000.0,0.0,2.2388,17.0055,0.7216,-1.2999999999999998,,,,,,,,,,,0.0,2.2389976945087113,,,,3252944000.0,570656000.0,,,3.0,3.0,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2011-03-31,5569520000.0,4495229000.0,2003636000.0,,2870262000.0,,,465882000.0,,848794000.0,,,,,0.8,158656000.0,53411000.0,14534000.0,-22545000.0,38877000.0,0.0,,16.8628,0.7303,0.8,,,,,,,,,,,0.0,2.2435357520028587,,,,3341263000.0,479738000.0,,,3.17,3.17,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2011-06-30,5717001000.0,4633291000.0,2107415000.0,,2922024000.0,,,516728000.0,,1764908000.0,,,,,1.76,158427000.0,249951000.0,41748000.0,45473000.0,208203000.0,0.0,,16.1273,0.7156,1.76,,,,,,,,,,,0.0,2.198566015711191,,,,3523386000.0,361231000.0,,,3.5100000000000002,3.5100000000000002,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2011-09-30,5784718000.0,4646313000.0,2240660000.0,5784718000.0,2881728000.0,,,534801000.0,,2713440000.0,,,,,2.72,157989000.0,497408000.0,63932000.0,66938000.0,433476000.0,0.0,,14.4081,0.6454,2.72,,,,,,,,,,,0.0,2.0736358929958136,,,,3801010000.0,285216000.0,,,3.9800000000000004,3.9800000000000004,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2011-12-31,5879591000.0,4576596000.0,1812073000.0,5879591000.0,2783235000.0,,,525054000.0,,-1721102000.0,,,27036000.0,,-1.7000000000000002,-317412000.0,-175843000.0,-16745000.0,-930000.0,-192588000.0,0.0,2.3621,16.9976,0.771,-1.7000000000000002,,,,,,,,,,,0.0,2.52561348245904,,,,3606040000.0,487968000.0,,,3.58,3.58,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2012-03-31,6095829000.0,4601546000.0,1931369000.0,6095829000.0,2884509000.0,,,424424000.0,,919111000.0,228168000.0,,,,0.93,156949000.0,172297000.0,16889000.0,22985000.0,155408000.0,0.0,,16.8678,0.7789,0.93,251153000.0,,,,,,0.03743018381913272,0.0791011572506794,,,0.0,2.3825307333813477,,,,3676357000.0,604499000.0,,,3.7100000000000004,3.7100000000000004,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
2012-06-30,6184929000.0,4423375000.0,1978256000.0,6184929000.0,2921809000.0,,,171577000.0,,1891397000.0,495473000.0,,,,2.01,156854000.0,421313000.0,51368000.0,47720000.0,369945000.0,0.0,,15.5101,0.728,2.01,543193000.0,,,,,,0.08010973125156327,0.16957747751478622,,,0.0,2.2359972622350193,,,,3802846000.0,766241000.0,,,3.96,3.96,,0.781572,151.57,98.14,2.27745,13636.976,206.7932,3.8673,0.5612
