report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,168932000000.0,40826000000.0,27566000000.0,72880000000.0,95349000000.0,9793000000.0,302000000.0,7376000000.0,48179000000.0,4552000000.0,3070000000.0,2.27,2004217000.0,7517000000.0,3082000000.0,10095000000.0,,11.5408,0.8502,2.27,0.0477404062968673,0.026945753320862832,0.09448099794516283,0.10587420948305698,1.4810273525357325,,,,,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2010-06-30,171746000000.0,42394000000.0,26013000000.0,71455000000.0,99569000000.0,9793000000.0,375000000.0,9396000000.0,101183000000.0,9961000000.0,6392000000.0,4.97,2005114000.0,15120000000.0,6223000000.0,10168000000.0,,8.0915,0.716,4.97,0.10004117747491689,0.05799843955608864,0.0984453910241839,0.10212013779389167,1.6297235997385922,,,,,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2010-09-30,177199000000.0,44483000000.0,26850000000.0,74234000000.0,102243000000.0,10143000000.0,170000000.0,10995000000.0,150901000000.0,13729000000.0,9473000000.0,6.84,2005677000.0,23102000000.0,9624000000.0,10313000000.0,,9.7093,0.841,6.84,0.1342781412908463,0.0774778638705636,0.09098017905779286,0.1008675410541553,1.6567225325884545,,,,,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2010-12-31,184769000000.0,48841000000.0,29012000000.0,78958000000.0,105081000000.0,11003000000.0,187000000.0,14060000000.0,-95335000000.0,-9218000000.0,-6016000000.0,-4.6,,-14380000000.0,-5866000000.0,11190000000.0,1.6835,9.6528,0.9265,-4.6,-0.0877228043128634,-0.049889321260601076,0.0966906172969004,0.10648927969851829,1.683475803115952,204928000000.0,19024000000.0,9.48,9.48,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2011-03-31,194736000000.0,50851000000.0,33313000000.0,83886000000.0,110100000000.0,9484000000.0,1817000000.0,13149000000.0,60341000000.0,6211000000.0,4883000000.0,3.09,2008584000.0,9814000000.0,3126000000.0,11301000000.0,,10.4474,1.0296,3.09,0.056412352406902816,0.031894462246323224,0.10293167166603139,0.10264305177111717,1.5264611412961906,217090000000.0,20683000000.0,10.3,10.3,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2011-06-30,201717000000.0,54006000000.0,35220000000.0,85287000000.0,115653000000.0,9484000000.0,1902000000.0,13335000000.0,129289000000.0,13943000000.0,10330000000.0,6.94,2008791000.0,20504000000.0,6383000000.0,11386000000.0,,8.9536,0.9135,6.94,0.12055891330099522,0.06912159114006257,0.10784366806147468,0.09844967272790157,1.5333901192504258,245196000000.0,24665000000.0,12.27,12.27,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2011-09-30,204099000000.0,53025000000.0,32338000000.0,82423000000.0,120891000000.0,9384000000.0,245000000.0,14229000000.0,193721000000.0,21772000000.0,15813000000.0,10.86,2005381000.0,32026000000.0,9598000000.0,9629000000.0,,6.8124,0.7741,10.86,0.18009611964496944,0.10667372206625216,0.11238843491412909,0.07965026346047266,1.6397117941740367,288016000000.0,32708000000.0,16.29,16.29,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2011-12-31,209474000000.0,53234000000.0,33600000000.0,87293000000.0,121382000000.0,9684000000.0,340000000.0,15864000000.0,-129645000000.0,-15031000000.0,-10400000000.0,-7.450000000000001,,-21246000000.0,-6196000000.0,10024000000.0,1.5843,8.1725,0.8995,-7.450000000000001,-0.12383219917285923,-0.07175592197599702,0.11593968143777238,0.0825822609612628,1.584345238095238,253706000000.0,26895000000.0,13.44,13.44,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2012-03-31,214890000000.0,55222000000.0,34257000000.0,88564000000.0,125507000000.0,8765000000.0,396000000.0,18871000000.0,60705000000.0,6471000000.0,5570000000.0,3.27,1978781000.0,8387000000.0,3205000000.0,9161000000.0,,7.8695,0.8723,3.27,0.051558877194100725,0.03011308111126623,0.10659747961452928,0.07299194467240872,1.61199170972356,254070000000.0,27155000000.0,13.619999999999997,13.619999999999997,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
2012-06-30,219379000000.0,56008000000.0,32656000000.0,88090000000.0,129997000000.0,9765000000.0,359000000.0,21209000000.0,123313000000.0,13681000000.0,10693000000.0,6.93,1973386000.0,18302000000.0,6489000000.0,10124000000.0,,7.799,0.8733,6.93,0.10524089017438865,0.06236239567141796,0.11094531801188845,0.07787872027816027,1.7150906418422343,248094000000.0,26893000000.0,13.609999999999996,13.609999999999996,0.6215593,214.71,132.04,16.4532,397022.75,32.2809,1.6459,2.1527
