report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,20995000000.0,2719000000.0,2670000000.0,14454000000.0,6233000000.0,,632000000.0,871000000.0,2935000000.0,412000000.0,182000000.0,112000000.0,110000000.0,0.37,496000000.0,,632000000.0,,16.3368,1.3998,0.37,412000000.0,0.0291994224290069,0.0086687306501548,0.06201022146507666,0.1403747870528109,0.019623719933317456,0.06001456664238893,0.1403747870528109,0.10139579656666133,1.0183520599250937,,,,,,,,,,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2010-06-30,21759000000.0,3156000000.0,2858000000.0,15351000000.0,6099000000.0,,758000000.0,1169000000.0,6093000000.0,998000000.0,428000000.0,228000000.0,316000000.0,0.88,976000000.0,,758000000.0,,14.8174,1.2468,0.88,998000000.0,0.07017543859649122,0.019670021600257364,0.07024454291810274,0.16379451829968816,0.045866078404338435,0.14554469884789267,0.16379451829968816,0.12428266929004755,1.1042687193841847,,,,,,,,,,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2010-09-30,21339000000.0,2569000000.0,2311000000.0,14900000000.0,6108000000.0,,161000000.0,550000000.0,9328000000.0,1542000000.0,672000000.0,354000000.0,469000000.0,1.39,1653000000.0,,161000000.0,,17.2883,1.3835,1.39,1542000000.0,0.1100196463654224,0.03149163503444397,0.07204116638078903,0.16530874785591768,0.07226205539153663,0.24597224437709364,0.16530874785591768,0.02635887360838245,1.1116399826914756,,,,,,,,,,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2010-12-31,21476000000.0,2482000000.0,2485000000.0,14885000000.0,6260000000.0,,233000000.0,539000000.0,-5841000000.0,-836000000.0,-329000000.0,-221000000.0,-266000000.0,-0.6599999999999997,-850000000.0,,233000000.0,0.9988,18.408,1.4017,-0.6599999999999997,-836000000.0,-0.05255591054313099,-0.015319426336375489,0.05632597158020887,0.1431261770244821,-0.03892717452039486,-0.1287540428153396,0.1431261770244821,0.03722044728434505,0.9987927565392354,12515000000.0,953000000.0,2116000000.0,2116000000.0,473000000.0,1.9800000000000002,1.9800000000000002,0.11011342155009451,4.473572938689218,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2011-03-31,21648000000.0,2548000000.0,2363000000.0,15016000000.0,6298000000.0,,285000000.0,676000000.0,3103000000.0,427000000.0,186000000.0,121000000.0,110000000.0,0.39,600000000.0,,285000000.0,,18.5391,1.3989,0.39,427000000.0,0.02953318513813909,0.008592017738359202,0.05994199162101192,0.13760876571060265,0.01972468588322247,0.06486404374905058,0.13760876571060265,0.045252461098761514,1.0782903089293272,12683000000.0,957000000.0,2131000000.0,2131000000.0,482000000.0,2.0000000000000004,2.0000000000000004,0.1337400281557954,4.421161825726141,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2011-06-30,21583000000.0,2374000000.0,2295000000.0,14960000000.0,6291000000.0,,198000000.0,371000000.0,6450000000.0,933000000.0,423000000.0,240000000.0,241000000.0,0.89,1078000000.0,,198000000.0,,18.6428,1.373,0.89,933000000.0,0.06723891273247497,0.01959875828198119,0.06558139534883721,0.14465116279069767,0.04322846684890887,0.1437817845584836,0.14465116279069767,0.031473533619456366,1.0344226579520697,13040000000.0,952000000.0,2066000000.0,2066000000.0,494000000.0,2.0100000000000002,2.0100000000000002,0.09583736689254599,4.182186234817814,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2011-09-30,22052000000.0,2419000000.0,2527000000.0,15767000000.0,5948000000.0,9388000000.0,225000000.0,282000000.0,9972000000.0,1476000000.0,695000000.0,358000000.0,377000000.0,1.46,1737000000.0,,9613000000.0,,15.7481,1.168,1.46,1476000000.0,0.1168459986550101,0.03151641574460366,0.06969514640994785,0.148014440433213,0.06693270451659714,0.09485251590514748,0.148014440433213,1.6161735036987224,0.9572615749901069,13684000000.0,975000000.0,2000000000.0,2000000000.0,498000000.0,2.08,2.08,4.8065,4.016064257028113,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2011-12-31,22569000000.0,2379000000.0,3068000000.0,16179000000.0,6070000000.0,9125000000.0,631000000.0,258000000.0,-6147000000.0,-808000000.0,-343000000.0,-238000000.0,-217000000.0,-0.7000000000000002,-946000000.0,,9756000000.0,0.7754,15.7307,1.13,-0.7000000000000002,-808000000.0,-0.05650741350906095,-0.015197837742035536,0.055799577029445255,0.13144623393525298,-0.0358013203952324,-0.05105522557816252,0.13144623393525298,1.6072487644151565,0.7754237288135594,13378000000.0,961000000.0,2028000000.0,2028000000.0,481000000.0,2.04,2.04,4.810650887573964,4.216216216216216,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2012-03-31,22535000000.0,2285000000.0,3047000000.0,16054000000.0,6159000000.0,8989000000.0,860000000.0,189000000.0,3295000000.0,401000000.0,171000000.0,122000000.0,89000000.0,0.37,475000000.0,,9849000000.0,,17.2118,1.1999,0.37,401000000.0,0.027764247442766683,0.007588196139338806,0.05189681335356601,0.12169954476479515,0.0177945418238296,0.025049975012493755,0.12169954476479515,1.5991232342912811,0.749917952084017,13570000000.0,946000000.0,2002000000.0,2002000000.0,482000000.0,2.0199999999999996,2.0199999999999996,4.919580419580419,4.153526970954357,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
2012-06-30,22691000000.0,2454000000.0,3187000000.0,16204000000.0,6168000000.0,8973000000.0,853000000.0,237000000.0,6754000000.0,867000000.0,379000000.0,243000000.0,204000000.0,0.82,1144000000.0,640000000.0,9826000000.0,,16.795,1.1256,0.82,1507000000.0,0.0614461738002594,0.01670265744127628,0.05611489487710986,0.12836837429671305,0.03820898153452911,0.0542078279354758,0.22312703583061888,1.5930609597924772,0.7700031377470976,13874000000.0,902000000.0,1936000000.0,2576000000.0,485000000.0,1.9499999999999997,1.9499999999999997,3.81444099378882,3.9917525773195877,0.5309296,248.13,194.11,2.45602,94988.99,35.0772,8.8603,3.7688
