report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,95303000000.0,84381000000.0,10641000000.0,11177000000.0,446000000.0,,-55000000.0,267000000.0,-82000000.0,-0.11,874386000.0,843000000.0,21000000.0,822000000.0,11623000000.0,,-0.11,,-0.00516868715346302,-0.0005771067017827351,,,1.0922845597218307,,,,,,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2010-06-30,94167000000.0,83095000000.0,10820000000.0,10451000000.0,819000000.0,,15000000.0,511000000.0,-71000000.0,-0.08,874526000.0,1553000000.0,54000000.0,1499000000.0,11270000000.0,,-0.08,,0.0013863216266173752,0.00015929147153461402,,,1.0415896487985212,,,,,,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2010-09-30,94043000000.0,82655000000.0,11134000000.0,11443000000.0,685000000.0,,234000000.0,715000000.0,14000000.0,0.13,874495000.0,1969000000.0,102000000.0,1867000000.0,12128000000.0,700.705,0.13,,0.021016705586491827,0.0024882234722414217,,,1.0892760912520207,,,,,,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2010-12-31,91843000000.0,80469000000.0,11117000000.0,10592000000.0,1151000000.0,,360000000.0,-596000000.0,325000000.0,0.5,-1745254000.0,-1641000000.0,-21000000.0,-1662000000.0,11743000000.0,14.6745,0.5,,0.03238283709633894,0.003919732587132389,,,1.0563101556175227,554000000.0,2526000000.0,897000000.0,0.44,0.44,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2011-03-31,90438000000.0,80741000000.0,9425000000.0,11048000000.0,685000000.0,,263000000.0,163000000.0,111000000.0,0.19,887836000.0,412000000.0,30000000.0,382000000.0,11733000000.0,9.9458,0.19,,0.02790450928381963,0.0029080696167540195,,,1.2448806366047744,872000000.0,2086000000.0,793000000.0,0.74,0.74,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2011-06-30,88782000000.0,79045000000.0,9719000000.0,10997000000.0,511000000.0,,503000000.0,325000000.0,205000000.0,0.44,920162000.0,1454000000.0,74000000.0,1380000000.0,11508000000.0,7.7726,0.44,,0.05175429570943513,0.005665562839314275,,,1.1840724354357444,1360000000.0,1967000000.0,607000000.0,1.26,1.26,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2011-09-30,89262000000.0,79344000000.0,9901000000.0,10717000000.0,519000000.0,,720000000.0,481000000.0,300000000.0,0.67,930449000.0,1875000000.0,102000000.0,1773000000.0,11236000000.0,5.556,0.67,,0.07271992728007272,0.008066142367412784,,,1.1348348651651348,1846000000.0,1873000000.0,373000000.0,1.7999999999999998,1.7999999999999998,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2011-12-31,88785000000.0,78863000000.0,9905000000.0,9520000000.0,337000000.0,,-566000000.0,-347000000.0,-247000000.0,-0.43000000000000005,-1802646000.0,-1851000000.0,-48000000.0,-1899000000.0,9857000000.0,8.0478,-0.43000000000000005,,-0.05714285714285714,-0.0063749507236582756,,,0.9951539626451287,920000000.0,1636000000.0,622000000.0,0.8699999999999999,0.8699999999999999,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2012-03-31,87431000000.0,77315000000.0,10099000000.0,8898000000.0,324000000.0,,200000000.0,131000000.0,75000000.0,0.2,953971000.0,63000000.0,26000000.0,37000000.0,9222000000.0,9.4606,0.2,,0.019803940984255867,0.0022875181571753726,,,0.913159718784038,857000000.0,1291000000.0,590000000.0,0.8799999999999999,0.8799999999999999,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
2012-06-30,86523000000.0,76347000000.0,10155000000.0,7521000000.0,362000000.0,,436000000.0,255000000.0,132000000.0,0.45,951029000.0,235000000.0,53000000.0,182000000.0,7883000000.0,8.5569,0.45,,0.04293451501723289,0.005039122545450343,,,0.7762678483505662,790000000.0,93000000.0,520000000.0,0.89,0.89,1.104391,23.345,12.725,18.7747,21008.4,11.4863,1.0997,1.67174
