report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,17166000000.0,8015000000.0,4284000000.0,,6429000000.0,,15000000.0,2673000000.0,2927000000.0,1043000000.0,,-63000000.0,172000000.0,-0.11,602000000.0,279000000.0,166000000.0,15000000.0,,2.7546,21.4554,-0.11,,-0.00979934671021932,-0.003670045438657812,-0.02152374444824052,0.3563375469764264,,,,,0.0023331777881474567,1.8709150326797386,,,,,,,,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2010-06-30,16487000000.0,7375000000.0,4085000000.0,,5898000000.0,,15000000.0,2300000000.0,6121000000.0,2681000000.0,,472000000.0,305000000.0,0.78,602000000.0,1062000000.0,335000000.0,15000000.0,,1.9033,15.4001,0.78,,0.08002712783994574,0.02862861648571602,0.077111583074661,0.4380003267439961,,,,,0.00254323499491353,1.8053855569155446,,,,,,,,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2010-09-30,17563000000.0,8140000000.0,4199000000.0,,6531000000.0,,15000000.0,2788000000.0,9345000000.0,4340000000.0,,997000000.0,422000000.0,1.67,597000000.0,2068000000.0,506000000.0,15000000.0,,2.1756,17.7695,1.67,,0.15265656101668965,0.05676706712976143,0.1066880684858213,0.46441947565543074,,,,,0.0022967386311437757,1.9385567992379138,,,,,,,,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2010-12-31,17489000000.0,7989000000.0,4041000000.0,,6567000000.0,,15000000.0,2685000000.0,-5550000000.0,-2106000000.0,,14000000.0,-436000000.0,0.050000000000000266,-1207000000.0,-406000000.0,-322000000.0,15000000.0,1.977,2.2968,20.773,0.050000000000000266,,0.002131871478605147,0.0008005031734232946,-0.0025225225225225223,0.37945945945945947,,,,,0.0022841480127912287,1.9769858945805494,12843000000.0,1420000000.0,,5958000000.0,,2.39,2.39,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2011-03-31,17413000000.0,7761000000.0,3889000000.0,,6734000000.0,,14000000.0,2168000000.0,3284000000.0,1675000000.0,,570000000.0,154000000.0,0.98,581000000.0,371000000.0,158000000.0,14000000.0,,2.3373,15.0279,0.98,,0.08464508464508465,0.03273416413024752,0.1735688185140073,0.5100487210718636,,,,,0.002079002079002079,1.9956286963229621,13200000000.0,2053000000.0,,6590000000.0,,3.48,3.48,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2011-06-30,17741000000.0,7809000000.0,4031000000.0,17741000000.0,6997000000.0,4378000000.0,13000000.0,2018000000.0,6820000000.0,3510000000.0,,1185000000.0,328000000.0,2.05,578000000.0,1003000000.0,327000000.0,4391000000.0,,2.5141,15.9615,2.05,,0.16935829641274833,0.066794430979088,0.17375366568914957,0.5146627565982405,,,,,0.6275546662855509,1.9372364177623418,13899000000.0,2766000000.0,,7419000000.0,,4.75,4.75,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2011-09-30,17843000000.0,8002000000.0,4165000000.0,17843000000.0,6952000000.0,4447000000.0,87000000.0,2338000000.0,10299000000.0,5281000000.0,,1761000000.0,477000000.0,3.06,575000000.0,1925000000.0,503000000.0,4534000000.0,,2.3122,14.6071,3.06,,0.2533084004602992,0.0986941657792972,0.17098747451208854,0.5127682299252354,,,,,0.6521864211737629,1.9212484993997598,14853000000.0,3530000000.0,,8360000000.0,,6.140000000000001,6.140000000000001,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2011-12-31,19073000000.0,8650000000.0,4857000000.0,19073000000.0,6585000000.0,4749000000.0,256000000.0,2905000000.0,-6510000000.0,-3420000000.0,,-1292000000.0,-406000000.0,-2.21,-1161000000.0,-482000000.0,-318000000.0,5005000000.0,1.7809,2.0512,12.8138,-2.21,,-0.1962034927866363,-0.06773973680071305,0.19846390168970815,0.5253456221198156,,,,,0.7600607441154138,1.780934733374511,13893000000.0,2224000000.0,,7046000000.0,,3.8799999999999994,3.8799999999999994,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2012-03-31,18784000000.0,8117000000.0,4857000000.0,18784000000.0,6725000000.0,4411000000.0,313000000.0,2272000000.0,3388000000.0,1714000000.0,,588000000.0,144000000.0,1.04,563000000.0,413000000.0,175000000.0,4724000000.0,,2.3947,14.9504,1.04,,0.08743494423791821,0.03130323679727427,0.17355371900826447,0.5059031877213696,,,,,0.702453531598513,1.671196211653284,13997000000.0,2242000000.0,,7085000000.0,,3.94,3.94,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
2012-06-30,18446000000.0,8048000000.0,4870000000.0,18446000000.0,6551000000.0,4432000000.0,385000000.0,2353000000.0,6960000000.0,3586000000.0,,1249000000.0,300000000.0,2.24,558000000.0,1356000000.0,355000000.0,4817000000.0,,2.1132,12.9611,2.24,,0.19065791482216454,0.06771115689038273,0.17945402298850574,0.5152298850574712,,,,,0.7353075866279958,1.6525667351129363,14137000000.0,2306000000.0,,7161000000.0,,4.130000000000001,4.130000000000001,,0.60816675,33.83,15.73,9.39885,8581.693,1.6028,0.7632
