report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-12-02,14617000000.0,5783000000.0,2758000000.0,4623000000.0,8226000000.0,1348000000.0,,2411000000.0,,2252000000.0,524000000.0,390000000.0,155000000.0,38000000.0,48000000.0,0.15,1031300000.0,732000000.0,465000000.0,517000000.0,267000000.0,1348000000.0,,4.3755,0.8762,0.15,907000000.0,0.018842693897398493,0.0106040911267702,0.06882770870337478,0.23268206039076378,0.17317939609236235,0.02668126154477663,0.040735324838103194,0.11856127886323269,0.402753108348135,0.1638706540238269,2.09680928208847,,,,,,,,,,,,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2011-03-03,14398000000.0,5654000000.0,2590000000.0,4436000000.0,8462000000.0,1320000000.0,,2184000000.0,,4509000000.0,959000000.0,569000000.0,227000000.0,66000000.0,83000000.0,0.22,1034500000.0,1541000000.0,1189000000.0,1003000000.0,352000000.0,1320000000.0,,7.6516,1.242,0.22,1572000000.0,0.026825809501299928,0.015766078622030836,0.05034375693058328,0.21268573963184742,0.12619206032379685,0.03951937769134602,0.05816806379063586,0.07806609004213795,0.3486360612109115,0.15599149137319782,2.183011583011583,,,,,,,,,,,,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2011-06-02,14570000000.0,6045000000.0,2588000000.0,4538000000.0,8583000000.0,1388000000.0,,2395000000.0,,6648000000.0,1437000000.0,806000000.0,302000000.0,94000000.0,187000000.0,0.0,1036900000.0,2130000000.0,1682000000.0,1550000000.0,448000000.0,1388000000.0,,14.6333,1.0309,0.0,2356000000.0,0.03518583245951299,0.020727522306108442,0.04542719614921781,0.2161552346570397,0.12123947051744886,0.05531914893617021,0.08083441981747067,0.06738868832731648,0.35439229843561976,0.16171501805895375,2.3357805255023183,,,,,,,,,,,,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2011-09-01,14752000000.0,5832000000.0,2480000000.0,4900000000.0,8470000000.0,1861000000.0,,2160000000.0,,-4621000000.0,-1162000000.0,-1010000000.0,-517000000.0,-74000000.0,-115000000.0,-0.37,-2095200000.0,-1919000000.0,-786000000.0,-965000000.0,-2705000000.0,1861000000.0,2.3516,34.5081,0.6558,-0.37,-1975000000.0,-0.06103896103896104,-0.03504609544468547,0.11188054533650725,0.2514607227872755,0.21856740965159058,-0.0684652928416486,-0.09776401122834188,0.5853711317896559,0.42739666738801124,0.21971664698937426,2.3516129032258064,8788000000.0,167000000.0,755000000.0,1758000000.0,-1638000000.0,2860000000.0,124000000.0,0.0,0.0,0.6506993006993007,6.088709677419355,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2011-12-01,14211000000.0,5491000000.0,2021000000.0,4502000000.0,8271000000.0,1973000000.0,,1915000000.0,,2090000000.0,305000000.0,-82000000.0,-187000000.0,35000000.0,-2000000.0,0.0,981400000.0,404000000.0,697000000.0,564000000.0,-293000000.0,1973000000.0,,,0.6744,0.0,482000000.0,-0.022609116189094426,-0.013158820631904862,-0.08947368421052632,0.145933014354067,-0.03923444976076555,-0.005770178031102667,-0.008004685669660288,-0.14019138755980862,0.23062200956937798,0.23854431144964333,2.7169717961405246,8626000000.0,-175000000.0,283000000.0,1539000000.0,-2198000000.0,2435000000.0,121000000.0,-0.15,-0.15,0.8102669404517454,2.3388429752066116,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2012-03-01,14139000000.0,5659000000.0,2102000000.0,4780000000.0,7986000000.0,2165000000.0,,2094000000.0,,4099000000.0,515000000.0,-287000000.0,-469000000.0,70000000.0,7000000.0,0.0,982100000.0,978000000.0,1089000000.0,1133000000.0,-111000000.0,2165000000.0,,,1.027,0.0,846000000.0,-0.05872777360380666,-0.03317066270599052,-0.11441815076848012,0.1256404000975848,-0.0700170773359356,-0.0202984652379942,-0.02827307654418284,-0.027079775555013418,0.20639180287875092,0.271099423991986,2.692197906755471,8216000000.0,-871000000.0,-573000000.0,1095000000.0,-2661000000.0,1709000000.0,125000000.0,-0.37,-0.37,1.2668227033352837,-4.584,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2012-05-31,14316000000.0,5630000000.0,2177000000.0,5830000000.0,7811000000.0,2936000000.0,,2191000000.0,,6271000000.0,749000000.0,-478000000.0,-789000000.0,126000000.0,-31000000.0,0.0,983900000.0,1664000000.0,1367000000.0,1658000000.0,297000000.0,2936000000.0,,,0.6871,0.0,1180000000.0,-0.10101139418768404,-0.055113160100586756,-0.12581725402647106,0.11943868601498964,-0.076223887737203,-0.03338921486448729,-0.04447752861263608,0.047360867485249564,0.18816775633870197,0.37588016899244653,2.5861276986678914,7839000000.0,-1962000000.0,-1857000000.0,407000000.0,-2812000000.0,533000000.0,157000000.0,-0.37,-0.37,5.50844277673546,-11.828025477707007,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2012-08-30,14328000000.0,5758000000.0,2243000000.0,5911000000.0,7700000000.0,3038000000.0,,2459000000.0,,-4226000000.0,-601000000.0,229000000.0,413000000.0,-52000000.0,9000000.0,-1.0,-1956200000.0,-932000000.0,-1454000000.0,-1214000000.0,-2386000000.0,3038000000.0,2.5671,,0.7637,-1.0,-985000000.0,0.053636363636363635,0.02882467895030709,-0.09772834831992427,0.14221486038807382,-0.05418835778513961,0.015982691233947514,0.02132613149562302,0.5646000946521533,0.2330809275911027,0.39454545454545453,2.5670976370931786,8234000000.0,-1032000000.0,-618000000.0,968000000.0,-2493000000.0,1523000000.0,179000000.0,-1.0,-1.0,1.994747209455023,-3.452513966480447,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2012-11-29,14067000000.0,5315000000.0,2138000000.0,5881000000.0,7469000000.0,3169000000.0,,2102000000.0,,1834000000.0,217000000.0,-157000000.0,-275000000.0,57000000.0,13000000.0,0.0,1013700000.0,236000000.0,434000000.0,457000000.0,-198000000.0,3169000000.0,,,0.7563,0.0,300000000.0,-0.036818851251840944,-0.019549299779626075,-0.1499454743729553,0.1183206106870229,-0.08560523446019629,-0.011160872965095613,-0.014758413235570596,-0.1079607415485278,0.16357688113413305,0.42428705315303256,2.4859681945743684,7978000000.0,-1120000000.0,-693000000.0,880000000.0,-2398000000.0,1341000000.0,201000000.0,-1.0,-1.0,2.3631618195376585,-3.4477611940298507,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
2013-02-28,13912000000.0,5364000000.0,2117000000.0,5952000000.0,7231000000.0,3301000000.0,,2061000000.0,,3912000000.0,583000000.0,-120000000.0,-561000000.0,113000000.0,4000000.0,0.0,1014900000.0,470000000.0,761000000.0,912000000.0,-291000000.0,3301000000.0,,,1.0634,0.0,792000000.0,-0.07758263034158484,-0.04032489936745256,-0.14340490797546013,0.14902862985685073,-0.03067484662576687,-0.008625646923519264,-0.01139384732244588,-0.07438650306748466,0.20245398773006135,0.4565067072327479,2.533774208786018,7791000000.0,-1212000000.0,-526000000.0,948000000.0,-2578000000.0,1287000000.0,244000000.0,-1.0,-1.0,2.564879564879565,-2.1557377049180326,1.5415074,471.34,61.54,37.99439,519681.4,43.6377,2.5207,12.2821
