report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,4966200000.0,1759000000.0,1185100000.0,,2204200000.0,774000000.0,374100000.0,,,238500000.0,106600000.0,76200000.0,14200000.0,20900000.0,0.63,129663000.0,64100000.0,57100000.0,774000000.0,,40.7862,1.0148,0.63,163700000.0,0.03457036566554759,0.015343723571342274,,,,0.021465104103741292,0.03579343227452824,,0.3511478087287905,1.4842629313981943,,,,,,,,,,,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2010-06-30,4969200000.0,1702300000.0,1382300000.0,,2016100000.0,780600000.0,187500000.0,,,513900000.0,223900000.0,159000000.0,28400000.0,46900000.0,1.31,129372000.0,208300000.0,114500000.0,780600000.0,,18.5993,0.8628,1.31,338400000.0,0.07886513565795347,0.031997102149239315,,,,0.0450575545359414,0.08005864054063717,,0.3871831754377263,1.231498227591695,,,,,,,,,,,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2010-09-30,5577700000.0,2103700000.0,1421600000.0,,2255900000.0,1045100000.0,432200000.0,,,787200000.0,346900000.0,265700000.0,46800000.0,51100000.0,2.18,128535000.0,312700000.0,171200000.0,1045100000.0,,18.8429,1.1282,2.18,518100000.0,0.11778004344164192,0.04763612241604963,,,,0.06219409433996092,0.10508936685852772,,0.46327408129792985,1.47981148002251,,,,,,,,,,,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2010-12-31,5555000000.0,2059900000.0,1392300000.0,,2258600000.0,1051900000.0,449900000.0,,,-446300000.0,-173100000.0,-123500000.0,-20600000.0,-37200000.0,-1.0500000000000003,-257995000.0,-46200000.0,-118300000.0,1051900000.0,1.4799,21.8108,1.4562,-1.0500000000000003,-291400000.0,-0.05467989019746746,-0.022232223222322232,,,,-0.03116111611161116,-0.052288173991844135,,0.4657309837952714,1.479494361847303,,377400000.0,504300000.0,1093300000.0,728800000.0,68800000.0,3.07,3.07,1.4433315038419319,7.329941860465116,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2011-03-31,6007000000.0,2153700000.0,1532500000.0,,2306400000.0,1259500000.0,222900000.0,,,342800000.0,179300000.0,124500000.0,18400000.0,40900000.0,1.0,130224000.0,-41400000.0,60900000.0,1259500000.0,,20.9234,1.461,1.0,240200000.0,0.05398022892819979,0.020725819876810388,,,,0.029848510071583154,0.05028183628256541,,0.5460891432535553,1.4053507340946167,,425700000.0,577000000.0,1197600000.0,805300000.0,73000000.0,3.44,3.44,1.564013411151124,7.904109589041096,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2011-06-30,6226000000.0,2305700000.0,1936600000.0,,2430900000.0,919500000.0,372400000.0,,,699900000.0,407600000.0,286500000.0,38900000.0,90700000.0,2.3,129183000.0,249600000.0,125000000.0,919500000.0,,17.5221,1.3624,2.3,532600000.0,0.11785758361100827,0.04601670414391262,,,,0.06546739479601671,0.12165711556829036,,0.37825496729606317,1.1905917587524528,,553200000.0,760700000.0,1383600000.0,999500000.0,83500000.0,4.43,4.43,0.919959979989995,9.110179640718563,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2011-09-30,6094300000.0,2267700000.0,1924100000.0,6094300000.0,2405500000.0,867200000.0,377000000.0,,,1050700000.0,606400000.0,428100000.0,57400000.0,137100000.0,3.45,128769000.0,473100000.0,187000000.0,867200000.0,,12.291,0.9651,3.45,793400000.0,0.1779671585948867,0.07024596754344223,,,,0.09950281410498335,0.18529043297583037,,0.36050717106630636,1.178576997037576,,715600000.0,1020200000.0,1647100000.0,1274800000.0,94100000.0,5.699999999999999,5.699999999999999,0.680263570756197,10.841657810839532,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2011-12-31,5958600000.0,2137800000.0,1905400000.0,5958600000.0,2387900000.0,751300000.0,359600000.0,,,-683000000.0,-395800000.0,-289000000.0,-40100000.0,-73400000.0,-2.3,-259708000.0,26900000.0,-120700000.0,751300000.0,1.1223,13.0504,1.009,-2.3,-516500000.0,-0.12102684367017044,-0.04850132581478871,,,,-0.06642499916087671,-0.12608307849133538,,0.3146279157418652,1.1219691403379868,,550100000.0,797500000.0,1410400000.0,1049700000.0,74600000.0,4.450000000000001,4.450000000000001,0.7157283033247595,10.690348525469169,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2012-03-31,6281300000.0,2410000000.0,1881200000.0,6281300000.0,2658000000.0,848700000.0,396900000.0,,,395800000.0,225700000.0,158000000.0,15100000.0,57500000.0,1.28,127742000.0,30800000.0,63800000.0,848700000.0,,16.025,1.2817,1.28,289500000.0,0.059443190368698266,0.025154028624647762,,,,0.03593205228217089,0.06436250605982832,,0.3193002257336343,1.281097172017861,,583600000.0,843900000.0,1463400000.0,1099000000.0,71300000.0,4.73,4.73,0.7722474977252047,11.835904628330995,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
2012-06-30,6220700000.0,2420500000.0,1513300000.0,6220700000.0,2873700000.0,956200000.0,481900000.0,,,779000000.0,419200000.0,278600000.0,27700000.0,126000000.0,2.28,124608000.0,310100000.0,126800000.0,956200000.0,,13.7887,1.0193,2.28,546000000.0,0.09694818526638133,0.044785956564373786,,,,0.06738791454337936,0.10945455494921538,,0.33274176149215295,1.599484570144717,,575700000.0,855500000.0,1542500000.0,1112400000.0,60100000.0,4.71,4.71,0.8595828838547285,14.234608985024959,1.0688156,70.08,24.4,2.50443,10938.398,39.4888,1.7713,0.7641
