report_date,total_assets,total_liabilities,total_equity,cash,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-06-30,46984312000.0,42171967000.0,4812345000.0,1369711000.0,246188000.0,92351000.0,69221000.0,0.32,289725000.0,159293000.0,43556000.0,115737000.0,0.0,0.32,246188000.0,0.01919043626340173,0.0019655709761164535,0.005239791528712818,0.051157595725161015,0.0,,,,,,,
2011-09-30,46524658000.0,41578443000.0,4946215000.0,1678897000.0,313367000.0,163047000.0,21465000.0,0.56,289770000.0,576880000.0,71909000.0,504971000.0,0.0,0.56,313367000.0,0.03296399368001593,0.0035045287167935766,0.006735503568881689,0.06335490875346098,0.0,,,,,,,
2011-12-31,47940452000.0,43012502000.0,4927950000.0,2099839000.0,361081000.0,156701000.0,28629000.0,0.54,289822000.0,1095955000.0,89410000.0,1006545000.0,0.0,0.54,361081000.0,0.0317984151624915,0.003268659210805939,0.007531864739197703,0.07327205024401627,0.0,,,,,,,
2012-03-31,51291744000.0,46255843000.0,5035901000.0,2018438000.0,111211000.0,62591000.0,3403000.0,0.22,290017000.0,-189102000.0,22887000.0,-211989000.0,0.0,0.22,111211000.0,0.012428957598650172,0.001220293854699111,0.0021682046919675804,0.022083635083374357,0.0,474690000.0,1031847000.0,1415264000.0,1031847000.0,1.6400000000000001,1.6400000000000001,0.0
2012-06-30,49155830000.0,44076221000.0,5079609000.0,1378454000.0,214903000.0,102101000.0,24433000.0,0.35,290184000.0,10713000.0,45012000.0,-34299000.0,0.0,0.35,214903000.0,0.020100169127190697,0.0020770883128206764,0.004371872064819168,0.04230699646370419,0.0,484440000.0,1000562000.0,1265228000.0,1000562000.0,1.67,1.67,0.0
2012-09-30,50355605000.0,45261751000.0,5093854000.0,2825012000.0,274886000.0,73476000.0,16755000.0,0.25,290395000.0,358482000.0,65823000.0,292659000.0,0.0,0.25,274886000.0,0.014424441689926723,0.0014591424331015387,0.005458895787271347,0.053964247895601246,0.0,394869000.0,962081000.0,1052916000.0,962081000.0,1.3599999999999999,1.3599999999999999,0.0
2012-12-31,47386739000.0,42482269000.0,4904470000.0,2761494000.0,-218226000.0,-350751000.0,-62972000.0,-1.21,-584848000.0,-338852000.0,-53882000.0,-392734000.0,0.0,-1.21,-218226000.0,-0.07151659608479612,-0.007401880935508138,-0.004605212441396315,-0.04449532773164073,0.0,-112583000.0,382774000.0,-346363000.0,382774000.0,-0.3900000000000001,-0.3900000000000001,0.0
