report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,880528000000.0,,,807584000000.0,72944000000.0,,,,3456000000.0,,1703000000.0,5.59,590000000.0,,,,,0.0,,5.9824,1.6601,5.59,,0.04737881114279447,0.003924917776606763,,,,,,0.0,,,,,,,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2010-06-30,883188000000.0,,,809369000000.0,73819000000.0,,,,4069000000.0,,2538000000.0,6.41,585200000.0,,,,,0.0,,5.5368,1.3656,6.41,,0.05512131023178315,0.004607173104707038,,,,,,0.0,,,,,,,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2010-09-30,908679000000.0,,,833022000000.0,75657000000.0,,,,5967000000.0,,3451000000.0,9.39,584400000.0,,,,,0.0,,6.8298,1.6026,9.39,,0.07886910662595661,0.006566675360605891,,,,,,0.0,,,,,,,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2010-12-31,911332000000.0,,,833976000000.0,77356000000.0,,,,-5138000000.0,,-3154000000.0,-8.21,-1174300000.0,,,,,0.0,0.2403,10.291,1.8703,-8.21,,-0.0664201871865143,-0.005637901445356907,,,,,,0.0,,8354000000.0,,,,,13.18,13.18,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2011-03-31,933289000000.0,,,860820000000.0,72469000000.0,,,,2735000000.0,,1305000000.0,1.56,583000000.0,,,,,0.0,,10.8152,1.8243,1.56,,0.03774027515213402,0.002930496341433361,,,,,,0.0,,7633000000.0,,,,,9.15,9.15,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2011-06-30,936910000000.0,,,864554000000.0,72356000000.0,,,,3822000000.0,,1830000000.0,3.4,576400000.0,,,,,0.0,,8.4995,1.5562,3.4,,0.05282215711205705,0.004079367281809352,,,,,,0.0,,7386000000.0,,,,,6.14,6.14,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2011-09-30,948909000000.0,,,878821000000.0,70088000000.0,,,4922000000.0,3429000000.0,,1493000000.0,2.7,566600000.0,2430000000.0,,,,0.0,,8.2226,1.2215,2.7,4922000000.0,0.048924209565118136,0.003613623645681514,,0.005187009502491809,0.0702260015979911,,,0.0,,4848000000.0,,,,,-0.5500000000000007,-0.5500000000000007,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2011-12-31,923225000000.0,,,852846000000.0,70379000000.0,,,1247000000.0,-5544000000.0,,-2901000000.0,-3.1500000000000004,-1169100000.0,19215000000.0,,,,0.0,0.2585,10.5689,1.276,-3.1500000000000004,1247000000.0,-0.07877349777632532,-0.006005036692030653,,0.0013506999918763032,0.017718353486125122,,,0.0,,4442000000.0,,,,,4.51,4.51,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2012-03-31,950932000000.0,,,879276000000.0,71656000000.0,,,3181000000.0,2109000000.0,,1072000000.0,3.92,529200000.0,3538000000.0,,,,0.0,,16.2063,1.7694,3.92,3181000000.0,0.0294322875962934,0.002217824197734433,,0.0033451392949232963,0.04439265379033158,,,0.0,,3816000000.0,,,,,6.869999999999999,6.869999999999999,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2012-06-30,948638000000.0,,,875783000000.0,72855000000.0,,,4596000000.0,3071000000.0,,1525000000.0,5.72,524700000.0,8905000000.0,,,,0.0,,12.9439,1.4054,5.72,4596000000.0,0.04215222016333814,0.003237272805854288,,0.004844840708468351,0.06308420835906939,,,0.0,,3065000000.0,13946000000.0,,13946000000.0,,9.19,9.19,0.0,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2012-09-30,949207000000.0,,,875520000000.0,73687000000.0,,,6894000000.0,4583000000.0,,2311000000.0,8.57,520100000.0,9918000000.0,,,,0.0,,10.0115,1.4532,8.57,6894000000.0,0.06219550259883019,0.004828240836824844,,0.007262904719413152,0.09355788673714495,,,0.0,,4219000000.0,15918000000.0,,15918000000.0,,15.059999999999999,15.059999999999999,0.0,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2012-12-31,938555000000.0,,,862839000000.0,75716000000.0,,,-3464000000.0,-2288000000.0,,-1176000000.0,-4.08,-1057900000.0,-9482000000.0,,,,0.0,0.2996,8.0195,1.4388,-4.08,-3464000000.0,-0.03021818373923609,-0.0024377900069788134,,-0.0036907799756007906,-0.04574990754926304,,,0.0,,7475000000.0,11207000000.0,,11207000000.0,,14.13,14.13,0.0,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2013-03-30,959223000000.0,,,881995000000.0,77228000000.0,,,3373000000.0,2260000000.0,,1113000000.0,4.29,509800000.0,-5698000000.0,,,,0.0,0.2996,8.0195,1.4388,4.29,3373000000.0,0.02926399751385508,0.0023560736137477937,,0.0035163877429961543,0.043675868855855386,,,0.0,,7626000000.0,11399000000.0,,11399000000.0,,14.5,14.5,0.0,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2013-06-30,938456000000.0,,,860413000000.0,78043000000.0,72398000000.0,,,4191000000.0,,1827000000.0,7.0,506600000.0,,,,,0.0,,8.0952,1.5998,7.0,,0.05370116474251374,0.004465846027943771,,,,,,0.0,,8746000000.0,,,,,15.780000000000001,15.780000000000001,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2013-09-30,923223000000.0,,,845607000000.0,77616000000.0,65478000000.0,,,5708000000.0,5078000000.0,2477000000.0,10.0,503200000.0,,498000000.0,848000000.0,,0.0,,8.2619,1.7068,10.0,,0.07354153782725212,0.006182688256250115,,,,,,0.0,,9871000000.0,,,,,17.21,17.21,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2013-12-31,3005000000.0,252200000.0,110700000.0,3005000000.0,,1100000.0,468700000.0,-3244400000.0,,-5035200000.0,,,,5876700000.0,-385200000.0,-738600000.0,5491500000.0,0.0,0.3722,9.9925,1.9655,,-3983000000.0,,,-6.922125026669511,-1.0796672212978369,,11.716449754640495,-8.497973117132494,,2.2782294489611563,,,,,,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2014-03-31,915665000000.0,,,836566000000.0,79099000000.0,58858000000.0,,,2033000000.0,1557000000.0,988000000.0,4.0,484600000.0,,164000000.0,390000000.0,,0.0,,9.4261,1.8418,4.0,,0.02570196841932262,0.0022202443033205376,,,,,,0.0,,,,,,,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2014-06-30,859914000000.0,,,778285000000.0,81629000000.0,56983000000.0,,,4070000000.0,3136000000.0,1772000000.0,8.0,480100000.0,,353000000.0,684000000.0,,0.0,,9.4551,1.8607,8.0,,0.04985973122297223,0.0047330314426791515,,,,,,0.0,,,,,,4735800000.0,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2014-09-30,868933000000.0,,,786658000000.0,82275000000.0,54150000000.0,,,6311000000.0,4384000000.0,2836000000.0,12.0,476500000.0,,508000000.0,985000000.0,,0.0,,9.2546,1.923,12.0,,0.07670616833789122,0.0072629305136299345,,,,,,0.0,,,,,,4041800000.0,,,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2014-12-31,856240000000.0,,,773443000000.0,82797000000.0,57600000000.0,,,-3937000000.0,-3520000000.0,-1716000000.0,-7.0,-968000000.0,,-347000000.0,-722000000.0,,0.0,0.4169,9.9589,2.1061,-7.0,,-0.047550032005990554,-0.0045980099037653,,,,,,0.0,,8477000000.0,,,,5557000000.0,17.0,17.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2015-03-31,865458000000.0,,,780331000000.0,85127000000.0,63129000000.0,,,2844000000.0,1176000000.0,1090000000.0,5.0,462900000.0,,302000000.0,219000000.0,,0.0,,8.7508,1.9827,5.0,,0.03340890669235378,0.00328612133691063,,,,,,0.0,,9288000000.0,,,,5176000000.0,18.0,18.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2015-06-30,859879000000.0,,,772225000000.0,87654000000.0,60845000000.0,,,3892000000.0,2663000000.0,1768000000.0,7.0,462100000.0,,698000000.0,484000000.0,,0.0,,10.8689,2.2058,7.0,,0.04440185273917904,0.004526218223726826,,,,,,0.0,,9110000000.0,,,,4703000000.0,17.0,17.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2015-09-30,880559000000.0,,,792856000000.0,87703000000.0,65575000000.0,,,5318000000.0,3940000000.0,2388000000.0,10.0,460900000.0,,1205000000.0,706000000.0,,0.0,,10.0502,1.9064,10.0,,0.06063646625543026,0.006039345461235419,,,,,,0.0,,8117000000.0,,,,4259000000.0,15.0,15.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2015-12-31,861395000000.0,,,774667000000.0,86728000000.0,75105000000.0,,,-5971000000.0,-2391000000.0,-2551000000.0,-10.0,-927300000.0,,-372000000.0,-418000000.0,,0.0,0.4099,12.6376,1.9514,-10.0,,-0.06884743104879623,-0.0069317792650294,,,,,,0.0,,6083000000.0,,,,5388000000.0,12.0,12.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2016-03-31,878036000000.0,,,791199000000.0,86837000000.0,79169000000.0,,,1135000000.0,1465000000.0,441000000.0,2.0,447400000.0,,573000000.0,239000000.0,,0.0,,15.0289,1.8515,2.0,,0.013070465354629938,0.0012926577042399173,,,,,,0.0,,4374000000.0,,,,5677000000.0,9.0,9.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2016-06-30,896843000000.0,,,810329000000.0,86514000000.0,103293000000.0,,,2957000000.0,3241000000.0,1082000000.0,6.0,443200000.0,,1242000000.0,484000000.0,,0.0,,11.989,1.7817,6.0,,0.03417943916591534,0.003297121123764137,,,,,,0.0,,3439000000.0,,,,6255000000.0,8.0,8.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2016-09-30,879987000000.0,,,792877000000.0,87110000000.0,99535000000.0,,,5051000000.0,5016000000.0,1856000000.0,11.0,438800000.0,,2063000000.0,731000000.0,,0.0,,11.2429,1.7979,11.0,,0.05798415796119848,0.005739857520622464,,,,,,0.0,,3172000000.0,,,,7331000000.0,9.0,9.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2016-12-31,860165000000.0,,,773272000000.0,86893000000.0,121711000000.0,,,-1745000000.0,-2618000000.0,-473000000.0,-3.0,-894300000.0,,-1002000000.0,-456000000.0,,0.0,0.4216,12.9846,2.5258,-3.0,,-0.020082170025203412,-0.002028680543849145,,,,,,0.0,,7398000000.0,,,,7104000000.0,16.0,16.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2017-03-31,894069000000.0,,,807152000000.0,86917000000.0,123035000000.0,,,2255000000.0,2230000000.0,284000000.0,5.0,420100000.0,,838000000.0,257000000.0,,0.0,,10.7279,2.2598,5.0,,0.025944291680568818,0.0025221767000086124,,,,,,0.0,,8518000000.0,,,,7869000000.0,19.0,19.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2017-06-30,906518000000.0,,,819843000000.0,86675000000.0,110888000000.0,,,4086000000.0,4662000000.0,962000000.0,9.0,416700000.0,,1521000000.0,522000000.0,,0.0,,10.2435,2.12,9.0,,0.047141620997980964,0.004507356720991751,,,,,,0.0,,9647000000.0,,,,9290000000.0,22.0,22.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
2017-09-30,930132000000.0,,,843840000000.0,86292000000.0,116610000000.0,,,6214000000.0,7343000000.0,1810000000.0,14.0,413000000.0,,2210000000.0,802000000.0,,0.0,,10.8751,2.1977,14.0,,0.07201131043433923,0.006680772191473898,,,,,,0.0,,10810000000.0,,,,11617000000.0,25.0,25.0,,1.3694799,984.7,439.38,2.46165,238639.8,13.8938,2.1091,1.9076
