report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,2130742000.0,800533000.0,195650000.0,,1289898000.0,,27080000.0,190477000.0,,1188197000.0,544556000.0,159538000.0,91842000.0,14431000.0,55517000.0,0.63,145307000.0,101191000.0,20011000.0,27080000.0,,17.4078,1.23,0.63,179549000.0,0.07120097868203533,0.04310329453307815,0.07729526332754585,0.45830447307980077,0.1342689806488318,0.07487438648132903,0.12113945715114452,0.1511104640055479,0.020993908045442353,4.091658573984155,,,,,,,,,,,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2010-09-30,2205449000.0,821500000.0,225292000.0,,1336911000.0,,39880000.0,168678000.0,,1795818000.0,805980000.0,224745000.0,127743000.0,21617000.0,77911000.0,0.88,145470000.0,144563000.0,30389000.0,39880000.0,,18.0572,1.2662,0.88,255134000.0,0.09555086314646226,0.05792153887938465,0.07113360039825863,0.4488094005071783,0.12514909640063748,0.10190441946288488,0.16323828380632935,0.14207118984217776,0.02982995876314878,3.646378921577331,,,,,,,,,,,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2010-12-31,2299509000.0,836876000.0,225321000.0,,1414161000.0,,52888000.0,95689000.0,,2469881000.0,1093480000.0,297877000.0,169071000.0,29765000.0,103007000.0,1.16,,159183000.0,41428000.0,52888000.0,3.72,19.3815,1.3285,1.16,339305000.0,0.11955569415363597,0.07352482638685041,0.06845309551350855,0.4427257831450179,0.12060378617431367,0.12953939297476114,0.20304502439932137,0.13737706391522506,0.037398853454451084,3.714150034839185,,,,,,,,,,,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2011-03-31,2355379000.0,852117000.0,208272000.0,,1485370000.0,,14817000.0,64517000.0,,786648000.0,343646000.0,107371000.0,58182000.0,6409000.0,37541000.0,0.39,147920000.0,77315000.0,11926000.0,14817000.0,,20.2495,1.325,0.39,119297000.0,0.039170038441600406,0.02470175712698466,0.07396192452024285,0.43684850148986587,0.13649179811046364,0.04558544506000945,0.0715717440559077,0.15165232734336068,0.00997529235140066,4.091366098179304,6240544000.0,446838000.0,789531000.0,2787662000.0,893285000.0,72222000.0,3.06,3.06,0.0165870914657696,10.93200132923486,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2011-06-30,2417714000.0,890376000.0,193469000.0,,1535702000.0,,,42256000.0,,1546332000.0,665882000.0,185857000.0,104888000.0,11080000.0,66647000.0,0.71,148007000.0,101080000.0,24797000.0,0.0,,20.8673,1.3459,0.71,210654000.0,0.06829970918837118,0.04338312968365986,0.06783019429204078,0.43062033250298126,0.12019217089214994,0.07687302964701366,0.12102413098374555,0.13622818385702423,0.0,4.602163654125467,6598679000.0,459884000.0,815850000.0,2908988000.0,924390000.0,68871000.0,3.14,3.14,0.0,11.846060025264626,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2011-09-30,2538012000.0,936590000.0,227526000.0,2538012000.0,1579723000.0,613691000.0,,45112000.0,,2330230000.0,1000204000.0,271345000.0,154119000.0,15927000.0,97434000.0,1.04,148144000.0,159182000.0,38308000.0,613691000.0,,18.0775,1.1776,1.04,309653000.0,0.09756077489534558,0.06072429917589042,0.06613896482321488,0.4292297326873313,0.11644558691631299,0.10691241806579323,0.12370897605285641,0.13288516584199844,0.3884801322763548,4.116408674173501,7133091000.0,486260000.0,862450000.0,3103212000.0,978909000.0,63181000.0,3.3,3.3,0.6269132268678702,13.650464538389706,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2011-12-31,3199704000.0,1149735000.0,397693000.0,3199704000.0,1644085000.0,926552000.0,,48247000.0,,-1393348000.0,-617739000.0,-203090000.0,-106925000.0,-9109000.0,-76115000.0,-0.7200000000000002,,-125805000.0,-20526000.0,926552000.0,2.8894,21.518,1.3833,-0.7200000000000002,-223616000.0,-0.06503617513693027,-0.03341715358670677,0.07673962283650602,0.4433486824540603,0.14575683892322663,-0.0634714961133905,-0.07900376443659685,0.1604882628029753,0.563566968861099,2.891011408297355,3269862000.0,210264000.0,361483000.0,1391993000.0,415988000.0,24307000.0,1.42,1.42,2.2273527120974643,14.871559633027523,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2012-03-31,3260001000.0,1174278000.0,457074000.0,3260001000.0,1745085000.0,856068000.0,,55169000.0,,1031777000.0,447383000.0,133608000.0,80991000.0,7367000.0,47106000.0,0.54,,110155000.0,16257000.0,856068000.0,,19.8712,1.3172,0.54,149865000.0,0.04641091981192893,0.024843857409859692,0.07849661312473528,0.4336043544293001,0.1294930978302482,0.04098403650796426,0.051364913943931785,0.14524940951387752,0.4905594856411006,2.569120098714869,3514991000.0,233073000.0,387720000.0,1495730000.0,446556000.0,25265000.0,1.5699999999999998,1.5699999999999998,1.917045118641335,15.346131011280427,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2012-06-30,3425409000.0,1253007000.0,445322000.0,3425409000.0,1813728000.0,954067000.0,,59353000.0,,2038308000.0,869314000.0,242175000.0,144989000.0,14723000.0,84307000.0,0.97,,121012000.0,33446000.0,954067000.0,,19.8777,1.3226,0.97,275621000.0,0.07993977046172304,0.04232750016129461,0.0711320369639917,0.42648804792994977,0.11881177918155647,0.07069958653112665,0.08749744832980766,0.13522048679591112,0.5260254018243088,2.81371007944813,4006967000.0,273174000.0,444038000.0,1699162000.0,511523000.0,28908000.0,1.83,1.83,1.8651497586618784,15.360384668603846,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
2012-09-30,3502575000.0,1296349000.0,464519000.0,3502575000.0,1888641000.0,929743000.0,,69214000.0,,3055015000.0,1279019000.0,333609000.0,199037000.0,22687000.0,113511000.0,0.66,,182072000.0,51574000.0,929743000.0,,21.5666,1.3773,0.66,385183000.0,0.1053863598216919,0.05682590665438998,0.0651509076060183,0.41866210149541,0.10920044582432492,0.09524678272413867,0.11836889508313984,0.12608219599576434,0.492281487058684,2.790734071157477,4731752000.0,318092000.0,506302000.0,1977977000.0,587053000.0,35668000.0,1.45,1.45,1.583746271631352,14.194852528877425,0.88559794,43.47,27.64,3.41795,7192.171,11.8879,1.1825,0.5168
